"","baseMean","lgFC_CD3_CD28_vs_Naive","lfcSE","stat","pvalue","padj"
"Oasl1",806.27872161581,4.6628959023878,0.167245403248047,27.8805624060836,4.59131924969241e-171,7.37549524270589e-167
"Gadd45b",804.375631654614,2.33680844326926,0.0915565493657623,25.5231161446885,1.09202555856268e-143,8.77114928637545e-140
"Adgre5",599.742436842698,-2.53135409547617,0.101846199054843,-24.8546741946949,2.30183938338085e-136,1.232558261821e-132
"Ppa1",507.781085774931,3.83812929197901,0.156009701837728,24.6018628762665,1.2065076197873e-133,4.84533460106579e-130
"Wars1",381.378777730597,2.76318735035659,0.114477107317466,24.1374665652039,1.01104060826605e-128,3.24827126623718e-125
"Zbp1",1053.17737887658,3.51647343032915,0.147310151865603,23.8712226265123,6.0974740987934e-126,1.63249706538362e-122
"B4galt5",570.100195864007,2.13032152427663,0.0899980350270491,23.6707559630203,7.21670904733636e-124,1.65613163052016e-120
"Parp14",730.709635020864,3.42642461918161,0.148947548783102,23.0042363716315,4.22770714345288e-117,8.48923594405338e-114
"Tor3a",562.732844585927,3.1215842927902,0.136064502294021,22.941944740626,1.77323810483753e-116,3.16503299067889e-113
"Fos",706.091090559011,-4.99318171357691,0.222228731257945,-22.4686595892105,8.40910170312448e-112,1.35083809758992e-108
"Dusp1",449.513317043328,-4.02467951621731,0.183512205526591,-21.9313996290788,1.30355599678214e-106,1.90366577566439e-103
"C1qa",287.605162439698,-5.09844050516526,0.23320664737089,-21.8623292373684,5.93378474756284e-106,7.94335984873745e-103
"Gbp2",1182.21138319245,4.91175839127868,0.225491332671174,21.7824708963042,3.40219932100247e-105,4.20407153019874e-102
"Plbd1",286.7259262304,-3.22573558394076,0.155923899377062,-20.6878842616688,4.4532921183167e-95,5.10983461347425e-92
"Parp9",420.570540052819,2.91365958131271,0.141123046372632,20.6462350140831,1.05530722818509e-94,1.13016368757102e-91
"Tnfrsf9",252.130163509789,4.65416436212577,0.228442237484668,20.3734844018858,2.87477599032305e-92,2.88627509428434e-89
"Stat2",621.782638371567,3.14814551431787,0.156240826716541,20.1493142380088,2.72867605862368e-90,2.57843836504298e-87
"Serpina3g",671.745598383982,3.03239364656069,0.150989780665176,20.0834363306024,1.03016089677031e-89,9.19361369206567e-87
"Ifi35",605.810279324651,2.11003856263152,0.105625242186257,19.9766506467339,8.79287671133159e-89,7.43414586793846e-86
"Daxx",655.906716932377,3.22725633814686,0.16245537545377,19.8654943188706,8.09512620984438e-88,6.502005371747e-85
"Csf2rb2",982.953798593642,2.82526001745466,0.144138171845711,19.6010534980205,1.51455708293416e-85,1.15856404667878e-82
"Usp18",559.184001713474,4.28252191529084,0.220171298592285,19.450863680562,2.86563542472737e-84,2.09243488467366e-81
"Mx1",368.511199202753,4.1616997444985,0.214406947634718,19.4102839969007,6.31769344436422e-84,4.41249684740291e-81
"Cfp",439.174287284913,-3.46160521983715,0.178367958670129,-19.407102293742,6.72122179890904e-84,4.49873779073645e-81
"Tap1",1510.1227876006,2.03224608255012,0.10555386714931,19.253165586775,1.32795274585613e-82,8.53289316377314e-80
"Slc25a22",263.979483792015,3.06892104601632,0.15961503800491,19.2270169802041,2.19919606439132e-82,1.35876482993778e-79
"Mx2",163.674386182253,3.4546275233518,0.180658923873181,19.1223740808778,1.64449044361569e-81,9.78410906897867e-79
"Slfn8",158.098519749376,2.76915315687755,0.14613611584685,18.9491361586454,4.48891631358577e-80,2.57535541648007e-77
"Rtp4",539.459799321767,3.00699219115586,0.160014320994745,18.7920191921735,8.7775216871089e-79,4.86214166833508e-76
"Acp5",286.890010368722,-2.72486537628068,0.145353533442303,-18.7464680888703,2.06882761822939e-78,1.10778822864123e-75
"Pfkp",375.711237632167,1.74457479874577,0.0935297918536471,18.6526107261699,1.20258977397091e-77,6.23174262228022e-75
"Jaml",177.565562848575,2.41528763782691,0.129856108373743,18.5997229400669,3.22972631879924e-77,1.62132261203722e-74
"Irs2",182.066427240342,-2.66857657341626,0.145254068362471,-18.3717854067745,2.21020193583559e-75,1.07589951203827e-72
"Rfc3",193.877778397693,2.21532950039303,0.121459343774506,18.2392678203983,2.51808744316898e-74,1.18972225550196e-71
"Xcl1",521.292007816097,5.0515181260164,0.2774733057016,18.2054202051743,4.67453179560277e-74,2.14547653613037e-71
"Junb",1521.83642302556,-2.05213011421068,0.112849185319827,-18.184713592701,6.82108443506852e-74,3.04371945458169e-71
"Eif2ak2",246.632502868967,3.3218291475731,0.183881388653343,18.0650645065308,6.00517493811053e-73,2.6072197352921e-70
"Igtp",985.105339718453,3.90793666173198,0.218592460092298,17.8777285368484,1.75857009091233e-71,7.43412366853046e-69
"Rigi",399.400762004492,2.52803342064871,0.142170707654164,17.7816757218249,9.80064292287729e-71,4.03685969007951e-68
"C1qbp",709.358707429359,1.47320189712654,0.0829891105587684,17.7517494428778,1.67067608599035e-70,6.70943516133723e-68
"Nop2",250.470886966854,2.10939482727801,0.118946707746629,17.7339488182495,2.29345442880755e-70,8.98586632789379e-68
"Cish",407.362611080903,3.62048864361612,0.205663277647573,17.6039625791642,2.29677409296314e-69,8.78461405460949e-67
"Aif1",117.017293241684,-3.02318788276266,0.171786411280516,-17.5985274983478,2.52812162665153e-69,9.44459204896051e-67
"Gzmb",218.543567803278,3.81684982381666,0.219002325636256,17.4283529306265,5.02732550080013e-68,1.83543083738303e-65
"Samhd1",3243.00513699491,2.1778118203248,0.125384008293935,17.3691354261016,1.41339509905232e-67,5.04550641581698e-65
"Irf7",1371.16191838475,2.7926166064864,0.160833624807191,17.3633878477477,1.56226616073393e-67,5.45570513174563e-65
"Pkib",535.058303664534,3.32266322537072,0.191425414409531,17.3574822111253,1.73152030607052e-67,5.91811536100359e-65
"Trafd1",502.947181625073,2.34228455735908,0.137628003082676,17.018953300892,5.94234085499518e-65,1.98870340613839e-62
"Tbc1d10c",414.230544942243,-1.75324618456,0.103068862355141,-17.0104350091582,6.87255889365354e-65,2.25307726668674e-62
"Tpst1",214.651320948291,2.32397907346886,0.136662364674763,17.0052602192242,7.50711126425301e-65,2.41188470697921e-62
"Tdrd7",158.336015072163,2.11908974388483,0.124767687643132,16.9842832219987,1.0735713961197e-64,3.38153939358173e-62
"Serpina3f",192.020136003035,4.7624652578024,0.280837019319902,16.9581106840387,1.67648910323017e-64,5.17906172197875e-62
"Srsf7",949.564179244316,1.62184496815447,0.0959512621964827,16.9027997238156,4.29042616770367e-64,1.30040388599984e-61
"Eif3g",1030.28599163017,1.11491804482313,0.0660522991965666,16.8793222701487,6.3873886740224e-64,1.90012984554622e-61
"Myc",366.149641374931,1.88637396838426,0.111901260131255,16.8574863783627,9.24375067176134e-64,2.69984746893044e-61
"Tsc22d3",284.350619668027,-3.84150818546114,0.230220401439396,-16.6862196462306,1.65099524891909e-62,4.73599779975649e-60
"Il15ra",141.526919070653,3.41060598082792,0.205467667802152,16.5992344066125,7.05854854875642e-62,1.98927234889865e-59
"Stk10",278.953777190742,-1.99680643333609,0.120470403505731,-16.5750788179364,1.05524478752794e-61,2.92266418393944e-59
"Arhgap4",250.423212388197,-2.31653936740856,0.141322156549996,-16.3919050201376,2.18488637701513e-60,5.94881606107984e-58
"Ifit3b",134.935846054083,4.74777051052943,0.289674138253361,16.3900393012538,2.25298897084945e-60,6.0320024712876e-58
"Prex1",360.376877157902,-1.74430254510092,0.106574142399289,-16.3670333706815,3.28857911902716e-60,8.66028442099217e-58
"Stat1",2132.98513068461,2.48967107028914,0.152138901431811,16.3644606794077,3.43053304074531e-60,8.88840044621495e-58
"Hsh2d",167.493080509455,2.73356248967601,0.167139910431778,16.3549357099349,4.01131545186847e-60,1.02282176855262e-57
"Entrep3",108.325403308171,-2.92201238014386,0.178871170720348,-16.3358486914149,5.48634996463075e-60,1.37707384112232e-57
"Helz2",984.867108233821,2.61901321689362,0.160485164442419,16.3193478100794,7.18996363229802e-60,1.77691655060362e-57
"Il12rb1",77.5588458675613,3.70200978435885,0.226980743026934,16.3097967474693,8.40720206950154e-60,2.04626203097686e-57
"Trf",276.377780480294,-4.13129754230071,0.253997173901935,-16.2651319258211,1.74490883864772e-59,4.18361426627416e-57
"Gar1",342.207730384747,1.78635517253994,0.110347314581854,16.1884788887621,6.08133881931665e-59,1.43662686461033e-56
"Ncl",2645.34831534497,1.55321325030938,0.0966096280496328,16.0772097115561,3.68611539956825e-58,8.58170402589338e-56
"Cnn2",1565.23017914501,-1.64609024499549,0.102470632675217,-16.0640195343851,4.56017932232425e-58,1.04649600905453e-55
"Selenop",267.422015331013,-3.10289076759172,0.194129049673651,-15.9836499112728,1.6612722486713e-57,3.75868695812052e-55
"Mxd4",141.201199422546,-2.52470043714216,0.158293882115505,-15.9494504992929,2.87414664283322e-57,6.41254050978789e-55
"Spry1",49.8387287129207,3.9308178392365,0.246534651486267,15.9442813232908,3.12211175133028e-57,6.87035659909172e-55
"Fcgrt",59.5246049667364,-4.38889007993337,0.275785321458649,-15.9141540119691,5.05456006222651e-57,1.09724936269739e-54
"Isg15",1870.77564816781,3.3203886278023,0.208856752082082,15.8979233120382,6.55002888034636e-57,1.40292885245179e-54
"Mitd1",143.643950187021,2.68701717727696,0.169271652492746,15.8739938891547,9.59369294703675e-57,2.02780373027893e-54
"Bcl2l11",268.160748158437,2.15234751652,0.137070652374886,15.7024678822813,1.45471020963407e-55,3.0348655594236e-53
"Atad3a",219.350478821653,1.61426740236646,0.103406654385518,15.6108657799545,6.13981255160007e-55,1.26448652344748e-52
"Srm",583.196943593202,2.11176848082668,0.136190264273778,15.5060164695875,3.15877869976198e-54,6.42311658645272e-52
"Ccnd2",916.427667979685,2.56828494682799,0.165991169789119,15.4724191057322,5.32670962556214e-54,1.06960329281288e-51
"Hvcn1",1407.98125072043,-2.03589223446644,0.132490871796954,-15.3662830265507,2.75529550456125e-53,5.46432925744098e-51
"Dhrs1",145.684290212052,-1.91719947574057,0.124855160645715,-15.3553883221595,3.25951961058027e-53,6.38547841760506e-51
"Plxnb2",69.2531687297271,-3.32470446486462,0.216623301987164,-15.347861630609,3.66054843927051e-53,7.02458214867728e-51
"Rnf213",927.414032025235,2.64355507536305,0.17224508122972,15.3476375434918,3.67321277694778e-53,7.02458214867728e-51
"Dhx58",301.103189086997,2.84719914283973,0.185675381900229,15.3342845653585,4.51216634889937e-53,8.52746355631993e-51
"H1f2",174.798659095849,-3.23647776994416,0.21341175159688,-15.1654149582993,5.99190152499986e-52,1.11923146625114e-49
"Klf2",1061.54818641629,-3.29669601628718,0.217531803994726,-15.1550070185006,7.02079217255039e-52,1.2963448903431e-49
"Cdkn1a",1109.77387810629,2.73309368275167,0.180434613798882,15.1472803649418,7.89673448292455e-52,1.44151298561023e-49
"Gm12250",85.1028626222644,4.09857440042399,0.270623416959959,15.1449362603769,8.1833927349878e-52,1.47705641454881e-49
"Fam43a",170.569088347608,-2.61221753642925,0.173218126613333,-15.080509110114,2.17584688323216e-51,3.88364492580461e-49
"Ppp1r15a",395.661848267796,-2.27398469553719,0.150887406542626,-15.0707388220287,2.52276028482622e-51,4.4533649687306e-49
"Lyl1",300.581192926973,-1.85158308963241,0.123576352911992,-14.9833123085535,9.43929834618151e-51,1.64818357209848e-48
"Cd81",357.447145786661,-2.37613971523905,0.159822795808014,-14.8673391879176,5.37057605429455e-50,9.27665954152555e-48
"Fcer2a",173.364422495455,-3.5350023831044,0.23895566306463,-14.7935493043674,1.61222976027488e-49,2.75519775202719e-47
"Pml",600.509989979649,2.04149176598329,0.138333487472923,14.7577553582815,2.74257665594275e-49,4.6375527790594e-47
"Cotl1",1686.54037690787,-1.6423107658041,0.111327873571569,-14.75201773928,2.98601926431228e-49,4.99660556894922e-47
"Ppp1r18",616.985931587309,-1.41928100556282,0.096228903990576,-14.7490093589949,3.12213924594631e-49,5.17052008730738e-47
"Fosb",256.503976922993,-6.81072278258124,0.462640990516847,-14.7213993618951,4.6983634292354e-49,7.70148062522832e-47
"Il17ra",442.958366367897,-1.70713467712853,0.116451664793145,-14.659598728459,1.16962131236766e-48,1.89785825877516e-46
"Timm10",151.163400918772,1.75206910730618,0.120440535610891,14.547171335792,6.08683795866883e-48,9.77789649680562e-46
"Parp10",300.014856824044,2.19812089902471,0.151710842415836,14.4888846704819,1.42436861107301e-47,2.26545122458187e-45
"Hspd1",601.895379218086,1.61684801458989,0.111709720094231,14.4736555890215,1.77767604661393e-47,2.79966549145158e-45
"Crem",119.271119850052,2.62876438350046,0.181776414757375,14.461526194194,2.12043360733881e-47,3.30705295808647e-45
"Cd5l",47.849184090249,-4.2867454746973,0.297839778667339,-14.3927902910686,5.74312784874451e-47,8.87092363098383e-45
"Xaf1",237.204874694651,2.6142128686992,0.182794290095562,14.3013923866688,2.14475007539195e-46,3.28126335343774e-44
"Irf1",1287.80084379601,1.91639269684151,0.134145654224134,14.2859096548856,2.67888491690533e-46,4.05977427407238e-44
"Irgm1",1106.0862234036,3.83561645522453,0.269033398070433,14.2570271302166,4.05358252307921e-46,6.08567753745276e-44
"Srsf3",954.708983199883,1.11379996468573,0.0784245134849176,14.2021915749587,8.87915206935306e-46,1.32069165594525e-43
