"","baseMean","lgFC_LMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Jaml",177.565562848575,-3.87056120283138,0.176688869780804,-21.9060838842487,2.27307924649437e-106,3.5730532675645e-102
"Xcl1",521.292007816097,-8.05082066350191,0.388357031087613,-20.730461969377,1.84015167273603e-95,1.44626720718688e-91
"Wars1",381.378777730597,-2.3542195340385,0.117873457095278,-19.9724313857662,9.56805472176007e-89,5.01334173904488e-85
"Nr4a1",608.731583635289,-3.19289775927841,0.161701752459711,-19.7455977483852,8.75230729294412e-87,3.43943795844472e-83
"Trbc2",7418.5889081189,-2.11915598509479,0.112491341720368,-18.8383919392001,3.65914831678534e-79,1.15036304783097e-75
"Fcgr2b",342.977366424195,2.42285855221689,0.141732262842992,17.0946156056287,1.62765704543084e-65,4.26419018285456e-62
"Cd63",1024.93686995306,2.5061881306737,0.147902174458638,16.9449038856057,2.09876838511927e-64,4.71293432081282e-61
"B4galt5",570.100195864007,-1.53579957062887,0.0909632190836263,-16.8837425291308,5.92656476581424e-64,1.16449589442293e-60
"Samhd1",3243.00513699491,-2.1043433945397,0.126029462602362,-16.6972337347749,1.37283635558112e-62,2.39773496370886e-59
"Hmox1",1257.09666936416,3.32897212896899,0.204365747170652,16.2892861208742,1.17593843810838e-59,1.84845763086257e-56
"Tpst1",214.651320948291,-2.38717251009159,0.14677442196268,-16.2642269556924,1.77087998403477e-59,2.53058749718569e-56
"Ncf1",1994.36970036984,1.10273260174761,0.0687143621209193,16.0480657567204,5.89734677090239e-58,7.72503282431789e-55
"Slco4a1",132.40187075802,3.0448377749438,0.194205706400909,15.6784155902102,2.12488677494901e-55,2.56931501657103e-52
"Phf11a",138.467011469512,-3.69270927253864,0.236694534576325,-15.6011598626409,7.14835179290318e-55,8.02606727376037e-52
"Bpgm",332.390962292147,-3.83743752265127,0.249120571181572,-15.4039367542007,1.54001291259457e-53,1.6138308648716e-50
"Serpina3g",671.745598383982,-2.3065798217802,0.151102928528406,-15.2649577625267,1.30912565781689e-52,1.28613413845148e-49
"Rfc3",193.877778397693,-1.95685109732207,0.128460516543749,-15.2330937938868,2.13256596673458e-52,1.97187084888829e-49
"Crybg1",186.309287937886,-2.41917208043823,0.160848239708276,-15.0400904904262,4.01001554507605e-51,3.50185746405836e-48
"Alox15",692.917798798155,3.03830770937563,0.203296249346348,14.945222645005,1.67330983750592e-50,1.3843556492503e-47
"Tnip1",419.585921578393,1.83538568602382,0.124472756887245,14.7452802679258,3.29947202609542e-49,2.59322003890969e-46
"Gpr84",162.409848604667,3.81595373760494,0.260095831128205,14.6713375645148,9.83862960788189e-49,7.2089030376659e-46
"Myc",366.149641374931,-1.70062749168793,0.115943327280358,-14.6677478694027,1.03731226512861e-48,7.2089030376659e-46
"Pck2",266.025101005587,1.68215793472185,0.114693006519473,14.6666129502522,1.05480482133924e-48,7.2089030376659e-46
"Calhm6",93.6143186039496,-3.63709180475039,0.251999221437061,-14.4329485782113,3.21056763441068e-47,2.10278802688756e-44
"Phf11b",465.433710479392,-2.60614340463246,0.180747585396611,-14.4186900141091,3.94764165431198e-47,2.4821191665652e-44
"Rere",397.684756137267,-1.67852510143184,0.116483500578735,-14.4099816119218,4.47829616161019e-47,2.70747451401348e-44
