"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Ccl5",4015.70752222674,-4.19599699983274,0.1758260077643,-23.8644842886816,7.16340623600522e-126,1.12601582623766e-121
"Egr1",461.185402467258,-2.69037124228894,0.143110697387972,-18.7992322823735,7.66173097587395e-79,6.02173746048813e-75
"Id2",886.285344756787,-2.01611453299325,0.110508336627412,-18.2440039776432,2.30907337878165e-74,1.20987748136896e-70
"Cx3cl1",101.820510257849,-4.7305433973684,0.271805953294627,-17.4041198878403,7.67769148417113e-68,3.01714081099215e-64
"Pck2",266.025101005587,1.89293689918728,0.111310818886133,17.0058662592689,7.42987691121802e-65,2.33580470334872e-61
"Cxcl16",374.830025985368,-2.2253270281535,0.135029606238445,-16.4802896945716,5.08406639881137e-61,1.3319406620486e-57
"Ccl17",658.516682620954,-7.37493959826223,0.453878374971432,-16.2487133226526,2.2810154519056e-59,5.12218312692916e-56
"Slc7a5",231.648462232209,3.38114308523984,0.210773587641574,16.0415881471334,6.54587655018211e-58,1.28618291865391e-54
"Nars",617.089567330483,1.50528191028467,0.0952027826000716,15.8113226228698,2.59951582770926e-56,4.54019881064021e-53
"Slco4a1",132.40187075802,2.65669716787637,0.170495808628919,15.582184625187,9.62096617342131e-55,1.5123196728001e-51
"Chac1",62.1999184092056,4.49959537208368,0.289801819231612,15.5264566109834,2.29727762488462e-54,3.28280972596012e-51
"Cars",216.221664299573,2.27958823638004,0.150064257359468,15.1907474603993,4.07249243250659e-52,5.33462571221426e-49
"Shmt2",563.960237193688,2.72711442465743,0.181359407729507,15.0370717394757,4.19709175241593e-51,5.07492963509431e-48
"Psat1",336.590588291842,2.20807364764686,0.150041425927383,14.7164267068185,5.05683660615251e-49,5.67774390086509e-46
"Rnf19b",897.164439997086,-1.49984535415939,0.102994671987027,-14.5623586659736,4.87464300473513e-48,5.1083008927621e-45
"Phf10",170.519306008907,1.82935179647783,0.127633226824419,14.3328805671772,1.36345793293242e-46,1.3395122029853e-43
"Rn7sk",158.941540943996,4.91630027476246,0.344506636813613,14.2705531604093,3.33919390029028e-46,3.08757581874487e-43
"Gclm",953.656910605191,2.46455789885923,0.173485087217072,14.2061657194516,8.38948827671513e-46,7.3263536789825e-43
"Vdr",65.6303059579285,-5.29702446007066,0.375666621420914,-14.1003330027973,3.77981876057401e-45,3.12710374197173e-42
"Txndc17",503.873505357793,-1.43316420349542,0.101959020637876,-14.0562766739936,7.04989736349574e-45,5.54086683283947e-42
"Eif4ebp1",398.326121213291,2.89000034071906,0.206089614857715,14.0230275199181,1.12702262757472e-44,8.43603270611765e-42
"Psph",299.247065703759,1.70565963407139,0.123296154151032,13.8338429597896,1.59278710200889e-43,1.13804638438536e-40
"Isg15",1870.77564816781,2.8260649275826,0.20764263269315,13.6102345213418,3.48124916528738e-42,2.37920676648488e-39
"Glipr2",458.512542312734,-1.33753217789529,0.0989422121704246,-13.5183168897764,1.2193365832924e-41,7.9861465636555e-39
"Kdm4a",237.943183998636,-2.7185732079564,0.202016509591128,-13.4571833433746,2.79363870591168e-41,1.75652827272903e-38
"Tmem176a",182.831314378615,-1.80265860364295,0.134879105446898,-13.364995250155,9.68411912801806e-41,5.85479494512753e-38
"Sars",239.907816011921,2.18940811470335,0.168814737879562,12.9692948743927,1.82703319513877e-38,1.06367165905134e-35
"Dll4",43.8496768101994,3.2013189081338,0.249133770133728,12.8497991517385,8.6233845828611e-38,4.84110650921406e-35
"S100a10",1202.94549671189,-1.59666919359849,0.124514327136816,-12.8231764995531,1.21614187415128e-37,6.59190831716688e-35
"6530402F18Rik",99.4869785513479,2.89253791268264,0.227052490587044,12.7395119304967,3.56618776057454e-37,1.86856351361571e-34
"Hopx",122.413794843176,-2.22684443853526,0.175715928327104,-12.6729799610988,8.34816678702054e-37,4.23305915242503e-34
"Slc6a9",100.058659935011,3.71160302815318,0.302895799813104,12.2537289405907,1.60445255250197e-34,7.88137177274329e-32
"Aldh18a1",65.9270435932568,2.9110678065824,0.237631908732866,12.2503237132808,1.67326681233861e-34,7.97032758277293e-32
"Bax",679.497638234809,1.68228460660853,0.137368766016154,12.2464855395927,1.75435051483464e-34,8.11077521843699e-32
"Hmox1",1257.09666936416,2.43992599031976,0.200571806189613,12.1648502682034,4.78321607080786e-34,2.14821066905796e-31
"Asns",216.923549933901,2.91607617208012,0.239981968902975,12.151230300386,5.65087743370371e-34,2.46739284389968e-31
"Cd3g",168.720765178919,-2.53898608111136,0.209922543343842,-12.0948709970259,1.12418705694942e-33,4.77597198599672e-31
