"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Hmox1",1257.09666936416,4.22790078658403,0.209533234669368,20.1777097234977,1.53704601494284e-90,2.15094219331101e-86
"Isg15",1870.77564816781,3.85576003774469,0.210291468322346,18.3353136886865,4.32514176885781e-75,3.02630169566981e-71
"Oasl1",806.27872161581,2.62382830297752,0.161884420734185,16.2080346649654,4.42494187567562e-59,2.06408788694016e-55
"Pck2",266.025101005587,1.74398426827731,0.115515085572079,15.097458999752,1.68294910614501e-51,5.88779744784833e-48
"Usp18",559.184001713474,3.07555638954563,0.217418079470471,14.1458171143644,1.98201002911473e-45,5.5472496694863e-42
"Sqstm1",1627.28575388162,1.91786316450234,0.139007307966041,13.7968513495051,2.66229235586072e-43,6.2093532046525e-40
"Rn7sk",158.941540943996,5.26382752377778,0.387934892808382,13.5688426624151,6.12820071917013e-42,1.22511486948667e-38
"Mthfd2",425.284682759813,1.89294287362438,0.140846630678183,13.4397455197173,3.53650720965211e-41,6.18623523648396e-38
"Chac1",62.1999184092056,3.52133718491282,0.266314122669414,13.222495110723,6.506906861203e-40,1.01175171795194e-36
"Nars",617.089567330483,1.27195786719703,0.0967593500114994,13.1455809391637,1.80414555760483e-39,2.52472129331219e-36
"Nfkbia",2000.89624141043,1.22855892889131,0.0937999913641311,13.0976443710112,3.39635971631717e-39,4.32078707910386e-36
"Ifi35",605.810279324651,1.43444224635381,0.109781667369905,13.0663186369771,5.12881291457927e-39,5.98105066055186e-36
"Bst2",1220.08914050371,2.39464769974899,0.187336021274308,12.7826334917331,2.05008431786172e-37,2.2068369187813e-34
"Slco4a1",132.40187075802,2.17748810726751,0.17258021556603,12.6172522158798,1.6963761031934e-36,1.69564908486346e-33
"Cars",216.221664299573,1.85088302706595,0.151599457114855,12.2090346647065,2.7816996887928e-34,2.59514036299776e-31
"Tor3a",562.732844585927,1.65320568324619,0.136726598103329,12.0913246301704,1.17378796397928e-33,1.02662429799537e-30
"Egr1",461.185402467258,-1.75158603056969,0.145160807704708,-12.0665216614999,1.5870158481619e-33,1.27806070631028e-30
"Il17f",50.402752148661,4.59093567590695,0.380560331013706,12.0636211968756,1.64392544759076e-33,1.27806070631028e-30
"Parp14",730.709635020864,1.79614463231386,0.14904556679974,12.0509765629406,1.91665568245222e-33,1.41166734843349e-30
"Pfkp",375.711237632167,1.12528852752237,0.0936588479309155,12.0147594421874,2.97233343181972e-33,2.07974170224426e-30
"Ccl4",970.464072303588,3.20515265220341,0.267582118585282,11.9782019409562,4.62240473338661e-33,3.08028246852439e-30
"Tnip1",419.585921578393,1.45933642147167,0.122254842946707,11.9368393619206,7.60587764024887e-33,4.83802962262012e-30
"Isg20",601.910199861709,2.3629040072385,0.19870223540801,11.8916830622794,1.30745000063647e-32,7.95498056908988e-30
"Mx2",163.674386182253,2.256200318761,0.189926150374644,11.8793558144072,1.51530599527383e-32,8.83549670744249e-30
"Psph",299.247065703759,1.43628778921401,0.125493250135218,11.4451397797604,2.48703285153855e-30,1.39214150897722e-27
"Nfkb2",589.519639045222,1.40522443802957,0.122903953557183,11.4335169647392,2.84353684390375e-30,1.53047902283035e-27
"Parp10",300.014856824044,1.76039411275618,0.154355180875463,11.4048268595306,3.95563523661836e-30,2.05019109263842e-27
"Fth1",19139.9476283306,1.59875991661137,0.140780470922803,11.3564040959066,6.89236038733834e-30,3.44470325930046e-27
"Gadd45b",804.375631654614,1.03880501088901,0.0924090312682989,11.2413797291409,2.55359725985047e-29,1.23224276049474e-26
"Ifng",192.535300580715,3.14124357046345,0.281186535208094,11.1713868807365,5.62949554908868e-29,2.62597202379823e-26
"Il22",228.620141103703,5.0368514750671,0.451167886801812,11.1640292281699,6.11556170174676e-29,2.76068291787884e-26
"Eif4ebp1",398.326121213291,2.22997445958166,0.205600191139965,10.8461691947727,2.0795968556249e-27,9.09433699925465e-25
"Rasa4",196.427488370366,1.85153635430267,0.17282264745024,10.713505328263,8.79666367355467e-27,3.73031852871891e-24
"Tnfrsf1b",470.229820797128,1.93912010850989,0.181365980088602,10.6917521552971,1.11249143874683e-26,4.57888388053621e-24
"Stat2",621.782638371567,1.64909384525064,0.155497878510034,10.6052498018115,2.81710161634892e-26,1.12635771483391e-23
"Trib3",97.4667183627537,3.89536663788695,0.367838676331723,10.5898778147354,3.32024954673193e-26,1.29065478213796e-23
"Phf10",170.519306008907,1.35626593806081,0.12910978090738,10.5047497449768,8.21403710126243e-26,3.10668203229909e-23
"Sars",239.907816011921,1.7788026866701,0.169918236275566,10.4685802163419,1.20435748401201e-25,4.43520490296423e-23
"Fos",706.091090559011,-2.58887885488579,0.248477464667147,-10.4189684096857,2.03144578009509e-25,7.28924416580789e-23
"Bax",679.497638234809,1.43749389440069,0.13822530627922,10.3996434017437,2.48862759822673e-25,8.7064636523962e-23
"Sod2",1051.08724922341,1.8373462836051,0.177384039911807,10.3580135198105,3.84871992815398e-25,1.31363382133138e-22
"Parp12",123.082381870911,2.16104730913419,0.210274674126824,10.2772591045881,8.92290513248816e-25,2.97302701009617e-22
"Traf1",466.344321555692,1.19841999691152,0.118165929688492,10.1418403770933,3.60247725932437e-24,1.1723969015578e-21
"Oas1b",69.0134398781037,2.49115565507659,0.248189125940449,10.0373279676819,1.04465610745351e-23,3.32248126538737e-21
"Trafd1",502.947181625073,1.43318585019626,0.142849675262985,10.0328253988521,1.09342126486739e-23,3.40029715123429e-21
"Batf",316.118328597824,1.41800960105049,0.142056250938107,9.98202889127561,1.8269230292531e-23,5.55781758073214e-21
"Shmt2",563.960237193688,1.7822416208083,0.179789397617707,9.91294060953438,3.6572055121158e-23,1.08891348801167e-20
"Rasa3",427.382957860435,-1.23171032379682,0.124584530376365,-9.88654305695794,4.76188191228707e-23,1.38828698917803e-20
"Acod1",451.755862439221,3.55787677361561,0.361555954626202,9.84045962482889,7.53657335236933e-23,2.15238382638891e-20
"Dhx58",301.103189086997,1.8474300474582,0.188003516091456,9.82657178900578,8.65137578639968e-23,2.42134705509754e-20
"Slc25a22",263.979483792015,1.68695038845219,0.172082831172841,9.80313013770562,1.09149768179446e-22,2.99498403118268e-20
"Bcl3",350.007937467477,1.0181418311085,0.104349204753401,9.75706363565093,1.72065005924112e-22,4.5431654583057e-20
"Mx1",368.511199202753,2.19938348063463,0.225395992758389,9.75786416483558,1.70712492111532e-22,4.5431654583057e-20
"Il17a",38.7820704366072,4.85748513244155,0.500357441837737,9.70803015260598,2.78670467344465e-22,7.2216935555897e-20
"Cd82",477.224295341426,1.29828334437216,0.133838946246191,9.70034045235251,3.00494259478309e-22,7.64566666752627e-20
