"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Nr4a1",608.731583635289,-4.9067668444052,0.159512347328178,-30.7610471953628,8.70234465502749e-208,1.45807784694986e-203
"Csf2rb2",982.953798593642,4.00685681089651,0.142645285401132,28.089654695764,1.3105075870194e-173,1.0978777310255e-169
"Fos",706.091090559011,-5.99381451115927,0.229332117716776,-26.135957627015,1.42341851407265e-150,7.94979240109573e-147
"C1qa",287.605162439698,-7.77975775502652,0.318077895239549,-24.4586557930015,4.07092590286445e-132,1.70520908756235e-128
"Plbd1",286.7259262304,-3.91267443212798,0.160167274778507,-24.4286758174463,8.48172113039569e-132,2.8422247507956e-128
"Csf2rb",1314.14042336856,3.25050525017738,0.140572008722869,23.1234175260709,2.69210431000755e-118,7.51770128569609e-115
"Adgre5",599.742436842698,-2.20426915771125,0.0989982261096418,-22.2657439868669,7.93937740337166e-110,1.9003466913356e-106
"Aif1",117.017293241684,-5.80386913158625,0.264999577141998,-21.9014278972841,2.5176620151659e-106,5.27292838301309e-103
"Egr1",461.185402467258,-3.28030314105644,0.15047174978262,-21.8001262416058,2.31377954965067e-105,4.30748626159966e-102
"Acp5",286.890010368722,-3.21087032999919,0.147534107727536,-21.7635798220231,5.13768164187955e-105,8.60818559096918e-102
"Junb",1521.83642302556,-2.42781818909603,0.112996436259836,-21.485794326409,2.11417071995911e-102,3.22026640117409e-99
"Bpgm",332.390962292147,-5.0627644394383,0.23778052619401,-21.2917538726762,1.35366101122185e-100,1.89004918691851e-97
"Cd3g",168.720765178919,-3.82908647076984,0.180562175993566,-21.2064705672703,8.32283739977238e-100,1.07268569717835e-96
"Sdc3",277.935572046199,-3.75098380232362,0.17746779230926,-21.1361383015744,3.70154886685684e-99,4.42996080458475e-96
"Serpinb2",537.880406018892,4.87621351583467,0.233585447058385,20.8755022080457,8.94243958996117e-97,9.98870502198662e-94
"Mthfd2",425.284682759813,2.9089167729,0.139738424643561,20.8168710955484,3.04426112735469e-96,3.18791219930174e-93
"Dusp1",449.513317043328,-3.69526078086226,0.178690626831826,-20.679656489985,5.28155686616639e-95,5.20544031133047e-92
"Trbc2",7418.5889081189,-2.23957654753293,0.111870722377437,-20.0193267723514,3.7373685605852e-89,3.47886723514473e-86
"Hbb-bs",22293.6124264779,-6.47902158586061,0.329681796567517,-19.6523485776799,5.51987271563807e-86,4.86765617634294e-83
"Axl",206.738186688655,-2.9589355104144,0.151217024253815,-19.5674761159689,2.92828540553746e-85,2.453171098489e-82
"Jun",519.350727106559,-2.48302394045263,0.127707406112145,-19.4430692474655,3.33598138947791e-84,2.66163658003345e-81
"Klf2",1061.54818641629,-4.25423211291041,0.21914553203151,-19.412817014671,6.01378642634028e-84,4.58004507151506e-81
"Slco4a1",132.40187075802,3.3855597424653,0.175597567769396,19.280220025094,7.87408719435195e-83,5.73610134527683e-80
"Pck2",266.025101005587,2.12900279544568,0.111454134158107,19.1020531587058,2.42750961096912e-81,1.69470514715782e-78
"Psat1",336.590588291842,3.03839999006751,0.159391407420089,19.0625080689548,5.17343820557018e-81,3.46723828537313e-78
"Atf5",241.07897230472,4.00369341373926,0.210270567136934,19.0406744427143,7.85101338642572e-81,5.05937420344473e-78
"Naaa",183.061775874977,-3.32784494606595,0.174903496047926,-19.0267491574558,1.02412134239755e-80,6.35524188587812e-78
"Zfp36",677.074213263615,-2.67948623940794,0.142306673559144,-18.8289570151067,4.37288460411911e-79,2.61670291221485e-76
"Ncf1",1994.36970036984,1.27252166516438,0.0678574966908222,18.7528530703446,1.83478482899788e-78,1.06006275206412e-75
"Ppp1r15a",395.661848267796,-2.82497049233994,0.152116330252895,-18.5711191404854,5.50436449227618e-77,3.07418756893625e-74
"Sqstm1",1627.28575388162,2.52569924101979,0.136221640953182,18.5411012769098,9.62308139729339e-77,5.2011202842468e-74
"Gars",568.846507783794,1.82100545598895,0.0988704722617662,18.4180920180872,9.4061055735168e-76,4.92497809013356e-73
"Ccl22",1666.8993755889,4.20750599871799,0.231224691840199,18.1966119847868,5.49000205976131e-74,2.78742377306972e-71
"C1qb",220.813278732451,-6.21708761162569,0.34190435201512,-18.1837042289264,6.94782128302965e-74,3.42384545874005e-71
"Cd63",1024.93686995306,2.64978895467992,0.147277928408312,17.9917587334178,2.26067769228509e-72,1.08221870669248e-69
"Selenop",267.422015331013,-3.48431227785382,0.19492645062729,-17.8750101212073,1.84641803117279e-71,8.59353725341667e-69
"Gadd45b",804.375631654614,1.64222553832476,0.0921406747729753,17.8230248733367,4.68341553760121e-71,2.12082776574347e-68
"Nars",617.089567330483,1.62359789464535,0.0936759788614474,17.3320622253305,2.69489612836536e-67,1.18823643765162e-64
"Plxnb2",69.2531687297271,-3.92592082891692,0.228243746604617,-17.2005625009202,2.62966282706964e-66,1.1297436068603e-63
"Irs2",182.066427240342,-2.36703281843446,0.137637502778981,-17.197586200292,2.76825497970793e-66,1.15955280462516e-63
"Vpreb3",171.329443584797,-3.65420372259184,0.21253783697968,-17.1931914548524,2.98631559131721e-66,1.22038335932975e-63
