"","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_cell_CD3_28_1","T_cell_CD3_28_2","T_cell_CD3_28_3","T_cell_CD3_28_4","Naive_T_cell_1","Naive_T_cell_2","Naive_T_cell_3","Naive_T_cell_4"
"0610005C13Rik",0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0
"0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"0610009E02Rik",1,3,3,5,1,5,0,0,0,2,2,2,1,2,1,3,2,0,1,1,5,1,3,1
"0610009L18Rik",5,7,7,5,4,3,0,6,19,14,13,9,11,26,23,24,14,9,4,8,24,14,22,18
"0610010K14Rik",1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0610012D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",65,74,55,80,52,30,8,30,33,73,63,39,43,77,72,88,63,46,48,53,46,17,24,36
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610033M10Rik",0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"0610038B21Rik",1,2,2,1,0,1,0,0,1,2,1,1,2,0,4,3,1,0,0,0,2,0,1,0
"0610039K10Rik",0,1,0,1,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,1,3,3,2,1
"0610040B10Rik",5,3,2,2,4,1,1,3,5,0,3,3,1,6,4,4,1,3,3,3,5,3,4,3
