"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Ccl5",5151.88908192116,-4.20544870371901,0.174844399733481,-24.0525216142436,7.85571724522268e-128,1.22282094639136e-123
"Shmt2",621.365970443088,2.71784807666429,0.143018953678755,19.0034118328753,1.5981020926083e-80,1.24380285867704e-76
"Id2",1015.67563242425,-2.02617195341662,0.10811927890701,-18.7401541510397,2.3295174718202e-78,1.20870896554511e-74
"Egr1",475.47044804592,-2.69995582901093,0.146418387893409,-18.4400051650375,6.27352503937974e-76,2.44134226907462e-72
"Slco4a1",183.42079084526,2.65376374354798,0.150095349946405,17.680519379818,5.92478958700997e-70,1.84450549422794e-66
"Cx3cl1",151.84509176995,-4.73747900366659,0.268585265257344,-17.6386407464586,1.24417869598926e-69,3.22781426362814e-66
"Ccl17",991.427766291262,-7.38182534958915,0.426675576839255,-17.3007918669087,4.63967589730261e-67,1.03173135739161e-63
"Pck2",332.457895802058,1.88319354946145,0.109127756314322,17.2567787798849,9.95094623310736e-67,1.93620536330687e-63
"Eif4ebp1",507.369289826177,2.87916152004396,0.172525489059328,16.6883255091303,1.59378529215244e-62,2.75654020640499e-59
"Cxcl16",469.655064159584,-2.23484008729355,0.134975302979778,-16.557400042498,1.41581184808806e-61,2.20385272273388e-58
"Ier2",485.280547103637,-1.51986817555522,0.0918688767407204,-16.5438854754338,1.77214129191705e-61,2.50774103181644e-58
"Rnf19b",855.311968976008,-1.50758587941184,0.0914989816213273,-16.4765317897313,5.41007044321341e-61,7.017763043255e-58
"Slc7a5",278.230783378743,3.37191143114801,0.207610114019504,16.2415566653522,2.5633598666291e-59,3.06932766799605e-56
"Gclm",1238.42574861783,2.45379111875257,0.151580061102976,16.1880863544816,6.12025274933128e-59,6.80484673543505e-56
"Cars",255.40650342217,2.26908827860648,0.141258115679901,16.0634188533873,4.60456511636971e-58,4.77831070676073e-55
"Chac1",85.0988511004553,4.49016685463397,0.290887459300619,15.4360963701552,9.35962935890033e-54,9.10574941254015e-51
"Nars",666.722974001304,1.49521998908991,0.102138222724379,14.6391815836151,1.57958124384156e-48,1.44633892009634e-45
"Fos",221.398383608501,-2.87580165689897,0.198980055633686,-14.4527131010215,2.41002337309247e-47,2.08413465697541e-44
"Vdr",95.3474818062673,-5.3053254600209,0.367256768824131,-14.4458207727724,2.66365189685244e-47,2.18223186454764e-44
"Gpc1",113.953096607908,-2.44135204728903,0.169118255047969,-14.4357689038156,3.0818948087765e-47,2.39863872967075e-44
"Phf10",193.956959271811,1.82014243566793,0.129662398472032,14.0375502621952,9.18325113125437e-45,6.80697557662407e-42
"Tmem176a",219.632459738017,-1.81063569206149,0.132704828130105,-13.6440830192427,2.18950280343769e-42,1.54917275628687e-39
"Psat1",394.666896127622,2.19872994616537,0.161881032714288,13.5823815137504,5.09426929608247e-42,3.44771286360086e-39
"Bax",763.009406026262,1.67121510340529,0.123257753518163,13.5587016289326,7.03706791713727e-42,4.56412496658995e-39
"Rn7sk",162.350593923494,4.90683165197472,0.363838930155476,13.4862744068589,1.88382026705679e-41,1.17294185108024e-38
"Dll4",64.125394275695,3.19360719685142,0.240107771671592,13.3007239816439,2.29237822203106e-40,1.37242920785137e-37
"Ube2m",514.221209172261,1.38391737164965,0.105981154568677,13.058145830567,5.71016477921501e-39,3.29201573900966e-36
"Acp5",200.65370941492,-1.95876540697504,0.150534493097108,-13.0120703014655,1.04472802253209e-38,5.80794157097659e-36
"Cd3g",96.103264295157,-2.53787839844562,0.196207027660353,-12.9346967267597,2.86752369415879e-38,1.53916806287158e-35
"Slc6a9",115.237703809843,3.70836610614102,0.287147102276565,12.9145169034975,3.72776294104576e-38,1.93421193134394e-35
"Txndc17",495.628845855335,-1.44136279568733,0.111927645178699,-12.8776299491168,6.01545564083092e-38,3.02053491952174e-35
"Kdm4a",301.090610939066,-2.72797563720604,0.212215993794853,-12.8547127312333,8.09259342678632e-38,3.93654091504237e-35
"Dusp5",240.53887439057,-2.18104853343955,0.169987578763723,-12.8306347399132,1.10455519332432e-37,5.21015337554131e-35
"Isg15",1487.55506424504,2.81518738414294,0.219612540093305,12.8188826692086,1.28539456356919e-37,5.8848387577994e-35
"6530402F18Rik",138.352581872996,2.88197727087934,0.224917826373802,12.8134675554335,1.37834609429253e-37,6.13009580107356e-35
"Psph",359.706213295298,1.69545922517226,0.132355096513228,12.8099277612843,1.44268808044564e-37,6.23802296117135e-35
"Glipr2",512.156209107806,-1.34761519217572,0.10525853254071,-12.8029068964506,1.57926880901251e-37,6.6440265624564e-35
"Mars1",294.936386734297,1.22550407196015,0.0963617242065177,12.7177474464208,4.7125003631574e-37,1.88089181161303e-34
"Stk17b",612.338324534398,-2.00501787083517,0.157640047132265,-12.7189626450244,4.63978905135935e-37,1.88089181161303e-34
"Naaa",99.9012380395539,-2.48509226983228,0.198156804976321,-12.5410392548933,4.45119519065361e-36,1.73218260844285e-33
"Sars",287.862592973331,2.17899496839599,0.173873940122122,12.5320388257467,4.98640869903146e-36,1.89313262949082e-33
"Tuba8",139.869383653198,2.35992369468327,0.190017586131351,12.419501493151,2.0483384005018e-35,7.59153227195499e-33
"Trib3",136.683893684128,4.0239488596211,0.326688731449684,12.3173788142762,7.30295710721105e-35,2.6436704728104e-32
"Asns",269.188925829318,2.90652187872423,0.236089043089374,12.3111256697497,7.89147812574817e-35,2.791789738759e-32
"Ccnl1",548.064636868561,-1.07634315323074,0.0879797641524487,-12.2339854351699,2.04645896471045e-34,7.07892894326285e-32
"Il12b",87.8056837364628,-6.49100549659236,0.532578452496767,-12.1878860591563,3.60655752021195e-34,1.22042770346998e-31
"Zmiz1",311.359572779426,-1.27298913848077,0.105771573423437,-12.0352671070194,2.31882307951924e-33,7.67974469272266e-31
"Tubb4b",1206.17232257625,1.30051620975432,0.10848746439137,11.9877095206381,4.12144334297673e-33,1.33654973076616e-30
"Gpr84",236.804002996431,2.70485741821651,0.225850100918658,11.9763392055808,4.72741710395223e-33,1.50177499265552e-30
"Pip4k2a",246.406277290936,-1.76296175012338,0.147243952095676,-11.9730673146959,4.91763861034377e-33,1.53095925217222e-30
"S100a10",1091.22939950799,-1.60752575630157,0.134540824984121,-11.9482376928437,6.63165782644034e-33,2.02408599463471e-30
"Rogdi",294.441692585159,-1.6106902359997,0.135084417728846,-11.9235827720176,8.91888843210728e-33,2.66983494873427e-30
"Hopx",117.507472931056,-2.23732988881754,0.188233660700372,-11.8859181747461,1.40087150211335e-32,4.11433317016913e-30
"Eif3c",1426.84668150523,0.772489415295343,0.0656405959222908,11.768470478389,5.67439811995975e-32,1.63569779880173e-29
"Aldh18a1",80.8323788639826,2.90241546270976,0.248448467990424,11.6821628492458,1.57242832963634e-31,4.45025806893077e-29
"Clu",86.3935890792995,-3.33909362368543,0.287493917052804,-11.614484431238,3.4788046985582e-31,9.66983463174232e-29
"Add3",430.307628704714,-1.26004543957546,0.110215303545133,-11.4325814931814,2.87434422459489e-30,7.84948108772701e-28
"Tspan13",237.427915338589,-1.69924936278466,0.149742813834023,-11.3477857085558,7.60646237669393e-30,2.04141712682099e-27
"Ddx5",1552.47401601898,-1.21624333287735,0.107405183805884,-11.3238792559166,9.99490091804621e-30,2.63695979136114e-27
"Hmox1",1503.84111120304,2.42876975204537,0.21597759345814,11.2454709451891,2.43792054018687e-29,6.3247785214248e-27
"Zmynd15",96.5139999631224,-1.92234921186124,0.171838122018494,-11.1869775418888,4.72258280688783e-29,1.20511022904944e-26
"Gars",621.399246194264,1.17154487638957,0.104912492336286,11.1668767970387,5.92269230876786e-29,1.48697787868194e-26
"Slc7a1",209.443605450282,1.83287706885787,0.165576729817714,11.0696537543392,1.76079609722698e-28,4.35056381737067e-26
"Rnase6",99.8146193522162,-2.58766314498538,0.234002328833307,-11.0582794534012,1.99895155495202e-28,4.86182498505985e-26
"Hp",1655.48555405423,3.19514108955905,0.288993600771143,11.056096332352,2.04818970888003e-28,4.90494169360409e-26
"Stip1",370.803873135055,1.17773161327523,0.106754646322285,11.0321344676628,2.67441157426172e-28,6.30755917650877e-26
"Hhex",136.948776666556,-1.76329904918941,0.15992105829919,-11.0260591565779,2.86130185796187e-28,6.64761563000515e-26
"Atad3a",183.687706022767,1.31921332748859,0.119867807104983,11.005568211765,3.59244065595307e-28,8.22351930155375e-26
"Alas1",1134.30058228573,1.58235398863436,0.144072956943109,10.9830048761975,4.61318839224357e-28,1.04070855816903e-25
"Npepps",863.473526382945,1.30559695283472,0.119177309666468,10.9550799266118,6.2822885823282e-28,1.3970014867503e-25
"Ddx39a",444.281952767383,1.12635952269894,0.103285707268301,10.905279660554,1.08758328492641e-27,2.3844114666429e-25
"Phyh",100.013820211764,-2.17366745361114,0.200039605118612,-10.8661854852307,1.67039466463669e-27,3.61130046524094e-25
"Hnrnpf",462.098273131108,0.982470188008462,0.0907407459866586,10.8272218541482,2.5579866297838e-27,5.45446847660474e-25
"Larp1",169.166783343952,1.36614555948474,0.126757128382876,10.7776625812966,4.3889674319545e-27,9.232252303487e-25
"Mthfd2",501.640283161511,1.48061192362566,0.137832058191889,10.7421447742176,6.45276299861296e-27,1.33924945115212e-24
"Cd63",1394.29939915636,1.37378175276946,0.129167725495279,10.6356425144273,2.03421766112819e-26,4.16639896225282e-24
"Tmem176b",343.708372595084,-1.54758959446105,0.145621996834653,-10.6274438484611,2.22116950359556e-26,4.49022396012577e-24
"Cyp11a1",390.26977421039,2.65382485294124,0.25079170779471,10.5817886734659,3.61980923316405e-26,7.22383981069636e-24
"Mbd2",714.174807964732,-0.779835592834229,0.0738225729368401,-10.5636468875371,4.3925758264518e-26,8.65504244487959e-24
"Bcat1",52.4220279584836,2.96428953461754,0.280790098006032,10.556958937184,4.71696231925053e-26,9.17802943268173e-24
"Rasa3",409.196109723075,-1.28856513158192,0.122188005806562,-10.5457579332449,5.3142618775109e-26,1.02125679488068e-23
"Aif1",43.1970081611721,-3.25849699417953,0.30935498557997,-10.5331969616413,6.07359966117854e-26,1.15294697958421e-23
"Phgdh",211.917419674713,2.73153081603993,0.259637595806173,10.5205519545756,6.94654425590697e-26,1.30276997454756e-23
"Pde4b",340.06614074388,-1.40120755452489,0.133290149644657,-10.5124614103924,7.56917868251914e-26,1.40264089728682e-23
"Septin5",92.1097859219173,2.4746441632382,0.236661315930009,10.4564793511503,1.36846304229208e-25,2.50605831956689e-23
"Npr1",38.8176335506904,-3.83021921547197,0.369936359297195,-10.3537246859125,4.02514915906554e-25,7.28551997790863e-23
"Cln3",269.497750491951,1.9117274900664,0.184833033828926,10.3429968683835,4.50233183644383e-25,8.05555142138904e-23
"Tomm40",336.22128926595,1.08317607196237,0.104830339872115,10.3326582102449,5.01511773576264e-25,8.87105939487287e-23
"Trp53",211.222305570812,2.113835237597,0.204805147837721,10.3212016881134,5.65113884754559e-25,9.88377834841513e-23
"Chd4",892.987257007281,0.890999786625201,0.0867057862966907,10.2761283263884,9.02817537190583e-25,1.56147308710096e-22
"Cd1d1",76.4314758049543,-2.14021356719118,0.20871515960833,-10.2542315144116,1.13273417306997e-24,1.93759781736342e-22
"Castor1",49.4953378943366,-2.55264805976853,0.249010012772733,-10.251186413529,1.16899741420007e-24,1.97789279885199e-22
"Bank1",287.208473601148,-1.72199730951703,0.168012020982014,-10.2492506158317,1.19264584630227e-24,1.99620701543453e-22
"Isyna1",200.987233382668,1.48078769680894,0.144919411957689,10.2180079038774,1.64690508131841e-24,2.72720473359599e-22
"Snrpb",830.309230994508,0.775104376032311,0.0758941712599369,10.2129631718039,1.73484313511648e-24,2.84258613065507e-22
"Insl6",77.3234939483442,-2.24435527710038,0.220585622388993,-10.1745311085713,2.57637815266652e-24,4.17748982545906e-22
"Pnrc1",1150.23943530087,-0.765833914328145,0.0753014335764812,-10.1702434861391,2.69234798351633e-24,4.32052460942425e-22
"Prcp",131.484047919067,-1.69170881777036,0.167091657169989,-10.1244361712764,4.3045240806089e-24,6.83716549375083e-22
"Uap1l1",118.976385392435,1.84937100487421,0.183531523877477,10.0765850236651,7.01209479882875e-24,1.10252795594514e-21
"Vpreb3",110.458252754857,-2.24787098944779,0.223217091829523,-10.0703354345489,7.47228027229299e-24,1.16313514718513e-21
"Batf",405.476816651676,1.44347623738295,0.143868923226648,10.0332733783579,1.08847012013541e-23,1.67753721683444e-21
"Irak3",231.561714404697,1.8739922813057,0.186832940230432,10.0303098532539,1.12164059631283e-23,1.71171152178486e-21
"Yars",139.774444437428,1.63700968035603,0.163405734886161,10.0180674900822,1.26961066737843e-23,1.9187145289721e-21
"Lactb",165.215348297287,-1.57923733531689,0.157763889823633,-10.0101318310695,1.37569100177989e-23,2.05903905131787e-21
"Myc",222.788272039957,1.17825897761815,0.117730631696019,10.0080918673775,1.40434964234945e-23,2.08191490788682e-21
"Bop1",175.158239182552,1.21380988583093,0.121448614481875,9.99443172743711,1.61209205422814e-23,2.36734197321842e-21
"Atosa",100.6374861993,-2.13825933090294,0.214544379937215,-9.96651290296532,2.1359672983721e-23,3.10733336135142e-21
"Pcbd2",113.323032686682,-1.65579324708319,0.166330960434041,-9.95481083475019,2.40279396903896e-23,3.46313804833892e-21
"Pfkp",373.944943003615,0.937476412601871,0.0943822995570351,9.93275663976967,2.99849201470057e-23,4.28206666980083e-21
"Dnmt3l",58.5499889649065,2.88598292990874,0.291196404049987,9.91077805141212,3.73724330055418e-23,5.28853901967512e-21
"Cmah",159.921405058051,-2.00176414056263,0.202141926988784,-9.90276569726031,4.04919418632715e-23,5.67835645985302e-21
"Cd177",138.966544782436,2.46087452924186,0.248741965425915,9.89328248262479,4.45186203870032e-23,6.13253845083267e-21
"Kif21b",247.467425623825,-1.26209294419608,0.12756312291461,-9.89386991600161,4.42580599532023e-23,6.13253845083267e-21
"Ccl22",2402.86821171226,-2.1958837707909,0.222157772854133,-9.88434364721825,4.86761090754845e-23,6.64642380586834e-21
"Srsf5",1139.95424755502,-0.818021718059652,0.0827796154146851,-9.88192218533229,4.98670367260852e-23,6.74982864068037e-21
"Rps2",11145.3815246162,0.761656756893928,0.0773318582286747,9.84919765721477,6.90933257733887e-23,9.27160956024628e-21
"Arhgef18",193.167767039552,-1.33074814144183,0.135242627027971,-9.8397093481969,7.59298769257556e-23,1.01019184976608e-20
"Mtmr1",92.6517974850874,-1.83069668677349,0.186228011708438,-9.83040451314953,8.32835701207719e-23,1.09863733262706e-20
"Anxa5",527.365087677709,-0.993577517754605,0.101112855525908,-9.82642130505377,8.66430836822947e-23,1.13334978201563e-20
"Psmb5",312.106196263627,1.80993451048123,0.184240769830516,9.82374591761747,8.89745195088322e-23,1.1541478088954e-20
"Pik3r5",261.695975010615,-1.30810109600587,0.133382976077012,-9.80710683236372,1.04933986513405e-22,1.34991936699807e-20
"Isg20",348.543884323486,2.02758948469235,0.207633141944822,9.7652497366301,1.58720475159716e-22,2.02511714453782e-20
"Vopp1",55.2447341251835,-2.3138687301487,0.23791101694459,-9.72577377821727,2.3411855026269e-22,2.96283687267401e-20
"Mef2b",124.420025921145,2.02619597833855,0.209380783192346,9.67708663348157,3.77314752928335e-22,4.73651729361489e-20
"Ddit3",167.473392695815,1.48647939560963,0.153984530795202,9.65343328926095,4.75369744929283e-22,5.91968435965537e-20
"Cebpg",189.914016251682,1.16337653555773,0.121267351477619,9.5934851498133,8.51588124675425e-22,1.05204926576966e-19
"Csf1",218.833132859149,1.34111637458525,0.139885643351337,9.58723384655636,9.04781615689298e-22,1.10896304171808e-19
"Aff3",83.272429785399,-2.03127321025693,0.212356229130093,-9.56540440832815,1.11763664316248e-21,1.35915093652087e-19
"F10",489.479866121204,2.19603105877153,0.230116408176561,9.54313113164264,1.38583648850578e-21,1.67224269613031e-19
"Prkcd",895.110113608471,0.765041455610088,0.0801805272397783,9.54148696630849,1.40798804158531e-21,1.68590321963976e-19
"Tubb5",1509.2124451415,0.832131221889555,0.0872623891394081,9.53596652688667,1.48495785819442e-21,1.76449267333239e-19
"Arap3",199.954718913593,1.52895506925116,0.160817712874931,9.50737976506504,1.95525307193325e-21,2.30571737255401e-19
"Ero1a",100.69907014596,2.40315290206294,0.252838225935543,9.50470560047195,2.00614658721409e-21,2.3479456974868e-19
"Eef1g",2905.19681228345,0.770305924734319,0.081166072486502,9.49049154574311,2.29947368071891e-21,2.67116472493064e-19
"Tnfrsf9",213.244333090912,-2.06208629724072,0.217298428175499,-9.48965123473096,2.318085326863e-21,2.67283823688515e-19
"Slc3a2",1466.76166303105,1.30872120453819,0.138396987198698,9.45628391938367,3.19081691305198e-21,3.65207765210053e-19
"Jak2",521.150853839363,-1.17833226607227,0.124634705320657,-9.45428693429079,3.25231079120926e-21,3.69528976466886e-19
"Prex1",371.237744830304,-0.899014218955308,0.095225868645063,-9.44086130950634,3.69727556761676e-21,4.17041967286395e-19
