"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Egr1",475.47044804592,-4.18179697239687,0.151517881826535,-27.5993626757824,1.1324777287916e-167,1.79916736773122e-163
"Ccl5",5151.88908192116,-4.7795260580201,0.173895426732158,-27.485058968122,2.64888526664226e-166,2.10414201155728e-162
"Slco4a1",183.42079084526,3.45767575982609,0.140137550824364,24.6734421965147,2.06240505536134e-134,1.09218097048419e-130
"Ier2",485.280547103637,-2.01470293910962,0.085999792427923,-23.4268349054232,2.27734894873401e-121,9.0450606871343e-118
"Pck2",332.457895802058,2.22883684473126,0.103119841951692,21.6140444219784,1.32517238561557e-103,4.21060273805491e-100
"Gclm",1238.42574861783,3.24084266555281,0.150034962423834,21.6005830454221,1.77362788267653e-103,4.69627102868033e-100
"Shmt2",621.365970443088,2.95363321839796,0.140823964315002,20.9739388659101,1.13469715947784e-97,2.57527625323207e-94
"Id2",1015.67563242425,-2.16529324534743,0.10398655369268,-20.8228195709486,2.68888732527658e-96,5.33979411708363e-93
"Cxcl16",469.655064159584,-2.6374678824919,0.129508337729245,-20.3652361595892,3.40208738099541e-92,6.00544024687489e-89
"Mars1",294.936386734297,1.68551798522211,0.0870074857290631,19.3721031138715,1.32723870864941e-83,2.10858413643131e-80
"Vdr",95.3474818062673,-5.15442964918585,0.268538390796217,-19.1943864484439,4.12322967719072e-82,5.95506817104809e-79
"Slc6a9",115.237703809843,5.17480994027711,0.274895344423392,18.8246547104374,4.7429001145809e-79,6.27920451002889e-76
"Nars",666.722974001304,1.84698598224059,0.0986650735235735,18.7197547853577,3.41720631747043e-78,4.17608898197329e-75
"Trib3",136.683893684128,5.85333695722012,0.315708861762877,18.5402998336374,9.76756129109749e-77,1.10840890165476e-73
"Cx3cl1",151.84509176995,-3.40617925391194,0.186002176733751,-18.3125773779929,6.56857787933356e-75,6.95699978459815e-72
"Slc7a5",278.230783378743,3.7069611764487,0.204038273929775,18.1679696904539,9.25604686509273e-74,9.19067603410801e-71
"Tmem176a",219.632459738017,-2.22188235618824,0.123239101380439,-18.0290373047211,1.15281347931442e-72,1.07733810269813e-69
"Mx1",190.283145932946,-3.9944188222274,0.221630455085778,-18.022878763126,1.28860295116487e-72,1.13733528250868e-69
"Gars",621.399246194264,1.80510169364074,0.10032418305106,17.9926876924783,2.2230925708674e-72,1.8588564038616e-69
"Eif4ebp1",507.369289826177,3.06456462265758,0.17045061273741,17.9791939344843,2.83585330143832e-72,2.25266006999753e-69
"Phf10",193.956959271811,2.15654168516325,0.120776361464155,17.8556603214386,2.61173468595662e-71,1.97583947408538e-68
"Asns",269.188925829318,4.06893067779011,0.230622223839723,17.6432722312917,1.14626740304587e-69,8.27761374190441e-67
"Cars",255.40650342217,2.39722735137294,0.136231921917998,17.5966639655565,2.61267736920632e-69,1.80467849411221e-66
"Chac1",85.0988511004553,4.9667562560824,0.28284089319391,17.5602480956574,4.96577162789635e-69,3.28713391051622e-66
"Rnf19b",855.311968976008,-1.51578416451503,0.0869232184742899,-17.4381965040028,4.23219777834464e-68,2.68947704418245e-65
"Ifi27l2a",4038.96878162774,-2.66205249589991,0.155254414839771,-17.1463883886797,6.68821423866539e-66,4.08675613883374e-63
"Eif3c",1426.84668150523,1.07019698725096,0.0628050361377039,17.0399868078173,4.14825147195583e-65,2.44086189388749e-62
"Fos",221.398383608501,-3.05780127421053,0.179648119593891,-17.0210591745849,5.7324227865523e-65,3.25253574321273e-62
"Mthfd2",501.640283161511,2.25819740752099,0.133532357473343,16.9112374726987,3.7181761097596e-64,2.03691944330175e-61
"Cebpg",189.914016251682,1.82975857842065,0.108218237103937,16.9080427420314,3.92529941105661e-64,2.07870772478188e-61
"Sqstm1",2006.35914989876,2.40152090952252,0.142731640911425,16.8254277340848,1.58909913184804e-63,8.14387674440962e-61
"Il12b",87.8056837364628,-4.72317731946177,0.281097230028637,-16.8026462551075,2.33394831893766e-63,1.15873240446758e-60
"Cd3g",96.103264295157,-2.78776474645521,0.166662903307195,-16.7269661762508,8.33785435686372e-63,4.01404521719678e-60
"Zmynd15",96.5139999631224,-2.72947276109932,0.163969821664486,-16.6461897280363,3.22492588689898e-62,1.50689404603424e-59
"Psph",359.706213295298,2.0363610485718,0.127575047267731,15.9620638375956,2.34835719875558e-57,1.06595288047514e-54
"Bank1",287.208473601148,-2.60847665998386,0.165083503013533,-15.8009529260476,3.0644894138761e-56,1.35237620328471e-53
"Acp5",200.65370941492,-2.09595964626425,0.134541111451123,-15.578581324755,1.01788791146158e-54,4.3705906079433e-52
"Gpc1",113.953096607908,-2.05506292445704,0.132025000361339,-15.5657104247873,1.24480288271159e-54,5.20425878885237e-52
"Psat1",394.666896127622,2.44395326877003,0.158622403865101,15.4073649700106,1.46046694876056e-53,5.94934318332281e-51
"Txndc17",495.628845855335,-1.61461185490903,0.10596887931187,-15.236660662959,2.01930414940361e-52,8.02017125539381e-50
"Slc7a1",209.443605450282,2.37406869917228,0.158064523790467,15.0196175728805,5.46219339137323e-51,2.1165333270426e-48
"Ddit3",167.473392695815,2.14226919530521,0.143232212189627,14.9566159913039,1.41016571106606e-50,5.33411967897775e-48
"Phyh",100.013820211764,-2.77237737348149,0.185696517732683,-14.929614229344,2.1148603821741e-50,7.8136713701395e-48
"Slc3a2",1466.76166303105,2.02811795434318,0.136896298950878,14.8149947798876,1.17198376431928e-49,4.23166046903192e-47
"Hopx",117.507472931056,-2.4803794050946,0.169016325720208,-14.6753835437215,9.26899620635154e-49,3.27236761622904e-46
"Dusp5",240.53887439057,-2.29615405876809,0.157663888261544,-14.563601621692,4.78679539980555e-48,1.65321344601545e-45
"Irf7",912.245497342508,-2.68611240163132,0.18455044659485,-14.55489515844,5.43692268773797e-48,1.83779554766156e-45
"6530402F18Rik",138.352581872996,3.17833338141483,0.21854787085926,14.5429620014995,6.47300532530634e-48,2.09870684904371e-45
"Phf11b",214.06048579732,-3.24043586238562,0.222798781374928,-14.5442261505577,6.35453742753693e-48,2.09870684904371e-45
"Atf4",1701.04574795416,1.6064489065606,0.11110115321013,14.4593360207725,2.18899272693192e-47,6.95530549055349e-45
"Gclc",219.741021057872,1.64443907632857,0.113829299816748,14.4465359883257,2.63614308910817e-47,8.21184416797283e-45
"Myo1d",100.336772794528,2.81945162188348,0.195626878827678,14.4123938324807,4.3245750399346e-47,1.32124083960463e-44
"G0s2",135.231871175144,3.69269012978358,0.256770035811054,14.3813125161569,6.77965067232197e-47,2.03223226851281e-44
"Hmox1",1503.84111120304,3.08931449158716,0.215227102757847,14.3537428697489,1.00939270965837e-46,2.9696707367301e-44
