"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Mmp9",0.75,1.01,1.44,1.06,1.22,0.54,0.76,0.46,-1.53,-1.16,-0.54,-0.71,-0.9,-0.92,-0.29,-1.21
"Sell",1.34,1.13,1.37,1.23,0.73,-0.26,0.45,0.77,-1.35,-1.11,-0.87,-1.26,-0.84,-0.85,0.08,-0.57
"H2-DMa",1.05,1.04,0.88,1.01,0.39,0.7,1.15,0.94,-1.7,-0.91,-0.56,-1.41,-0.77,-0.95,-0.05,-0.81
"Itgb7",1.2,1.06,0.9,0.74,1.21,-0.08,0.73,0.69,-1.88,-1.75,-0.76,-0.1,-0.1,-0.79,-0.19,-0.88
"Flt3l",0.33,1.48,0.74,0.86,0.78,-0.03,1.04,0.93,-1.38,-1.09,-2.16,-0.33,-0.21,-0.54,0.31,-0.73
"Dll1",1.38,1.47,0.91,1.05,0.41,0.06,-0.22,0.35,-1.2,-1.3,-0.39,-1.91,0.18,-0.3,-1.1,0.62
"Cd2",0.84,0.99,1.05,0.54,0.31,0.73,0.59,0.98,-2.12,-1.42,-0.83,-1.35,0.62,-0.65,0.12,-0.39
"Clcf1",1.3,1.52,1.27,0.81,-0.19,0.06,0.33,0.24,-1.67,-1.13,-0.6,-1.55,0.83,-0.25,0.01,-0.97
"Tg",1.78,1.48,1.1,0.34,0.1,-0.5,-0.38,0.9,-1.77,-0.52,-0.35,-0.81,-0.39,-1.36,0.82,-0.43
"H2-M3",1.55,1.15,1.41,1.57,0.2,-0.54,-0.67,-0.94,-1.74,0.09,-0.53,-0.83,-0.16,-0.82,0.58,-0.31
"Il18",1.15,1.2,1.18,1.56,0.65,-1.17,-0.55,0.21,-0.76,-1.55,-1.15,-1.12,0.73,0.18,-0.21,-0.37
"Il15",1.31,1.22,1.66,1.69,-0.68,-0.86,-0.23,-0.82,-1.25,-0.67,-1.08,-0.97,0.32,0.15,0.08,0.12
"Cd86",0.96,1.45,1.17,1.39,-0.07,-0.63,-0.69,-0.01,-1.51,-0.48,-1.75,-1.08,1,-0.02,0.1,0.16
"Tnfsf10",0.5,1.41,0.71,1.44,-0.88,-0.82,0.42,0.54,-1.58,-1.42,-0.99,-1.14,0.21,0.78,0.92,-0.07
"Selplg",0.76,1.19,1.28,1.08,0.36,-0.08,-0.13,-0.56,-1.93,-1.99,-0.56,-0.75,0.81,0.55,0.28,-0.32
"Crtam",-0.42,1.19,1.82,1.98,0.22,0.03,0.85,-0.25,-0.51,-0.29,0.04,-1.44,-1.03,-1.11,-0.4,-0.67
"Flrt3",1.49,1.02,1.27,1.62,-0.82,0.47,0.6,-0.64,0.3,0.39,-0.76,-0.87,-0.92,-1.09,-1.29,-0.76
"Clstn1",0.58,1.54,0.83,1.64,-1.29,0.29,0.77,0.82,0.39,-0.27,-0.37,-0.39,-1.41,-1.35,-0.92,-0.86
"Itga4",1.02,1.33,1.06,1.36,0.28,0.65,-0.13,0.56,-0.85,-0.02,-2.36,-0.75,-1.03,-0.52,-0.2,-0.4
"Tnfsf13b",1.07,1.74,1.87,1.03,-0.23,0.82,-0.44,0.16,-0.64,-0.17,-0.84,-1.34,-0.76,-0.83,-0.56,-0.9
"Cmtm6",1.35,1.08,1.23,1.23,0.7,0.63,0.31,0.51,-0.31,-0.65,-1.69,-1.27,-0.57,-0.49,-0.77,-1.28
"Tgfb3",1.08,1.56,1.4,1.37,0.75,0.35,0.29,0.35,-0.99,-1.12,-1.21,-0.97,-0.73,-0.68,-0.71,-0.75
"Ptprc",1.31,1.42,1.21,1.17,0.55,0.51,0.41,0.5,-0.85,-0.38,-0.87,-1.55,-1.12,-0.9,-0.29,-1.12
"Xcl1",1.51,1.78,1.59,1.21,-0.62,-0.15,0.16,-0.39,-0.87,-0.16,-1.15,-0.97,-0.64,-0.72,0.36,-0.94
"Insl6",1.48,1.46,1.57,1.8,-0.43,-0.27,0.11,-0.08,-0.8,-0.48,-1.16,-0.74,-0.73,-0.12,-0.58,-1.04
"Pdcd1lg2",1.28,1.85,1.56,1.6,-0.39,-0.5,-0.41,-0.03,-0.73,-0.18,-1.45,-0.21,-0.91,-0.38,-0.73,-0.37
"Sema6d",1.43,1.25,1.29,1.97,-0.86,-0.35,0.05,0.5,-0.13,-0.67,-0.54,-1.2,-1.28,-0.56,-0.18,-0.74
