"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Rrbp1",-0.41,-1.29,-0.68,-1.28,-0.3,0.28,-0.12,-0.4,-0.09,-1.15,-0.81,0.94,1.18,2.03,0.78,1.32
"Ptpn6",-0.43,-0.91,-0.84,-0.81,-0.32,-0.64,-0.42,0.38,-1.06,-0.75,-0.25,0.37,1.95,1.57,1.89,0.26
"Pde1b",-0.42,-0.54,-0.16,-0.71,0.37,-1.02,-0.96,-0.32,-0.67,-1.05,-1.03,1.66,1.52,1.48,1.24,0.62
"Pdcd1",-0.12,-0.34,-0.9,0,0.82,-0.18,0.06,0.15,-1.64,-1.02,-1.14,-0.98,1.76,1.39,1.23,0.91
"Vcam1",0.64,-0.36,0.01,0.14,-0.15,-0.67,-0.57,-0.55,-0.95,-0.78,-1.41,-0.35,1.52,2.34,1.38,-0.23
"Ogfr",0.09,-0.48,0.38,-0.01,-0.73,-1.09,-0.87,-0.07,-1.36,-1.05,-0.25,-0.43,1.46,1.91,1.14,1.37
"Ager",0.71,-0.41,-0.72,0.54,0.36,0.51,-0.69,-1.01,-1.11,-1.04,-0.76,-0.51,1.22,-0.69,1.71,1.89
"Itga5",-0.12,-0.64,-1.21,-0.29,-0.48,-0.72,-0.81,-0.47,-0.2,-0.16,-0.46,0.54,2.97,0.05,1.16,0.83
"Mpl",-0.48,-0.71,-1.1,-1.29,0.3,-0.37,-0.65,-0.01,0,-0.67,0.34,0.4,3,-0.09,0.4,0.92
"M6pr",-0.53,-0.27,0.01,0.24,0.07,-0.86,-1.29,-1.87,-0.77,0.24,1.45,-0.26,1.2,0.82,1.93,-0.12
"Cd40",0.36,0.57,-0.06,0.3,-2.18,-1.2,-1.04,-1.24,-0.22,0.55,0.37,-0.21,1.37,0.67,1.63,0.34
"Ifnar2",-0.76,-0.46,0.48,-0.03,-1.26,-1.15,-1.52,-1.1,-0.25,0.93,0.84,-0.4,1.48,1.26,1.22,0.72
"Rpsa",-0.38,-0.62,-0.61,-1.49,-1.43,-0.41,-0.99,-0.17,-0.14,-0.11,1.41,0.71,1.61,-0.03,1.47,1.17
"Slc1a5",-0.96,-0.87,-1,-1.93,-0.25,-0.08,0.05,-0.54,0.05,0.43,1.72,0.98,0.09,-0.2,1.96,0.53
"Cxcr4",-0.5,-1.28,-0.99,-0.93,-1.16,-0.67,-0.92,-0.85,0.87,1.43,0.27,0.88,1.52,0.51,1.03,0.79
"Traf2",-0.95,-0.14,-1.36,-1.16,-0.91,-1,-0.76,-0.85,0.7,0.61,0.3,1.15,0.98,0.52,1.19,1.68
"Tnfrsf8",-0.69,-0.85,-1.05,-0.82,-0.95,-1.06,-1.16,-0.74,0.62,0.48,0.75,1.78,0.61,0.88,0.77,1.43
"Robo3",-1.4,-1,-0.93,-1.03,-0.5,-0.41,-0.98,-1.01,1.2,0.9,0.33,0.66,0.65,1.51,0.74,1.28
"Gpr84",-1.18,-1.19,-1.29,-1.26,-0.4,-0.54,-0.55,-0.89,0.85,0.44,0.87,1.52,0.7,1.13,0.91,0.88
"Tnfrsf12a",-0.28,-0.78,-0.13,-0.96,-0.77,-0.86,0.04,-1.74,0.01,-0.46,0.45,-0.11,0.83,1.33,1.38,2.06
"Adgrl1",-1.29,-0.52,-1.54,-1.18,-0.8,-0.82,-0.18,-0.54,0.32,0.39,1.11,0.17,1.29,1.51,1.2,0.88
"Nlgn2",-0.83,-1.03,-0.7,-0.7,-0.61,-0.81,-0.78,-0.72,0.11,-0.31,0.28,0.15,1.09,2,2,0.86
"Adora3",-1.65,-1.76,-1.18,-1.29,0.43,0.85,0.1,0.13,1.08,1.56,0.56,1.05,0.05,-0.13,-0.16,0.38
"Ptger3",-1.48,-1.7,-1.41,-1.43,0.89,0.88,0.76,0.24,0.96,1.05,0.62,0.68,0.74,-0.1,-0.27,-0.45
"F2r",-1.64,-1.11,-1.68,-1.26,0.46,0.37,-0.43,-0.11,1.2,0.14,0.81,1.29,1.22,0.74,-0.39,0.4
"Atp5b",-1.33,-1.45,-1.48,-1.29,-0.42,0.02,0.07,-0.68,1.35,0.9,1.06,1.02,1.12,0.31,0.69,0.11
"Fcgr2b",-1.57,-0.92,-1.1,-1.64,-0.28,-0.17,-0.51,-0.19,1.37,0.6,0.33,0.29,1.9,0.96,0.4,0.52
"Tnfrsf21",-1.42,-1.68,-1.39,-1.3,0.08,-0.12,0.58,-0.15,0.51,-0.19,0.3,1.88,0.52,1.02,0.6,0.76
"Itga2b",-1.53,-1.4,-1.09,-1.82,0.9,0.41,0.15,-0.45,0.85,0,0.07,1.3,0.49,1.43,0.36,0.32
"Grm6",-1.71,-1.23,-1.33,-1.51,0.24,-0.16,0.32,-0.12,0.35,1.11,1.53,1.02,0.41,0.67,-0.45,0.88
"Fgfrl1",-1.09,-1.94,-0.81,-1.59,0.09,-0.72,-0.05,-0.08,0.73,0.94,0.94,1,0.92,1.36,-0.24,0.54
"Ffar2",-2.46,-0.9,-0.92,-1.12,1.16,0.99,0.57,0.98,-0.14,-0.58,-0.13,0.35,0.47,1.23,0.17,0.34
"Ltb4r1",-2.55,-1.13,-0.5,-0.93,1.46,0.1,-0.17,0.53,0,-0.36,0.22,1.06,1.41,0.51,0.02,0.3
"Alox5",-1.75,-1.72,-1.18,-1.57,1.31,0.67,0.44,0.58,0.41,-0.21,0.66,1.07,0.44,0.36,-0.03,0.54
"Ncam1",-0.7,-1.84,-1.94,-0.67,1.23,-0.19,1.68,0.08,0.39,-0.33,0.72,1.15,0.55,0.17,-0.09,-0.2
"Ptprk",-0.99,-1.25,-0.78,-1.2,0.89,0.03,1.46,-0.28,-1.02,-0.5,0.3,1.94,1.07,-0.67,0.2,0.79
"Ptpra",-0.75,0.17,-1.1,-1.22,0.52,1.38,0.96,0.18,2.01,0.5,0.28,0.49,-1.08,-0.01,-1.27,-1.07
"Sort1",-1.18,-0.67,-0.27,-0.85,2.02,0.9,0.54,-0.98,1.14,0.22,0.61,1.25,-0.12,-0.58,-1.54,-0.5
"Il18rap",-0.67,-0.82,-0.43,-0.14,1.69,1.26,0.1,0.01,1.03,1.15,-0.45,1.29,-0.44,-0.69,-1.67,-1.22
"Itgb2",-0.2,-1.11,-0.22,-0.37,1.94,0.27,0.26,0.35,0.81,0.21,1.02,1.34,-1.35,-0.08,-1.3,-1.57
"Selenos",-0.69,-0.48,-0.37,-0.45,1.17,1.1,0.09,0.53,1.01,0.36,1.19,1.26,-2.04,-1.05,-1.2,-0.44
"Itgam",-0.66,-1.14,-0.45,-0.69,1.7,0.96,0.63,0.43,1.26,1.29,0.49,0.27,-1.25,-0.98,-1.36,-0.49
"Scarb1",-1.09,-1.3,-0.83,-1.33,1.74,0.9,0.8,-0.32,0.83,-0.48,0.1,1.55,-1.09,0.58,-0.39,0.31
"Lrp5",-0.23,-1.3,-0.44,-1.14,1.71,2.07,-0.45,0.18,0.21,-0.68,0.64,0.71,-1.26,-0.29,-0.65,0.91
"Spn",-1.3,-1.24,-0.03,-0.29,1.96,1.45,0.72,0.03,0.65,-1.59,0.04,0.71,-0.09,0.53,-0.42,-1.14
"Cxcr2",-1.63,-1.3,-0.27,-0.8,2.14,0.88,1.1,1.04,0.08,-0.72,-0.31,0.64,-0.12,0.13,-1.07,0.2
"Cd34",-1.56,-1.4,-0.48,-0.88,2.05,1.41,1.01,0.66,-0.3,-1.07,-0.57,0.14,-0.05,0.48,0.31,0.23
"Atrn",-1.44,-1.08,-1.04,-0.81,1.83,1.31,-0.15,-0.12,1.03,0.31,-0.6,-0.04,-0.69,1.69,0.05,-0.25
"Gria3",-0.55,-1.56,-0.04,-1.05,1.99,1.28,0.78,0.41,0.31,1.03,-1.28,0.5,-0.5,0.18,-0.34,-1.17
"Agtrap",-0.66,-0.45,-0.34,-0.01,0.39,-0.63,-1.61,-1.24,0.7,0.66,1.3,2.08,-0.05,1.21,-0.37,-1.01
"F3",-0.07,-0.18,-0.87,-1.06,-0.7,-0.93,-0.81,-0.82,0.71,1.28,1.57,2.09,0.23,0.79,-0.58,-0.64
"Jmjd6",-0.84,-1.05,-0.81,-0.59,-0.28,-0.95,-0.51,-1.06,0.49,0.03,2.01,2.11,-0.2,0.39,0.82,0.45
"Abca7",-1.1,-0.94,-0.76,-0.59,-0.36,-0.85,-0.61,-1.61,0.52,-0.03,1.23,1.45,0.89,1.72,0.57,0.47
"P2ry2",-0.99,-0.88,-0.66,-1.75,-0.31,-0.02,-0.19,-1.51,0.86,0.43,1.38,1.53,0.18,1.42,0.18,0.32
"Cd44",0.05,-1.65,-1.01,-1.07,-0.01,-0.83,-1.03,-0.88,0.89,0.73,0.64,1.42,0.97,1.66,-0.24,0.36
"C5ar1",-0.88,-1.49,-1.64,-1.01,-0.02,-0.39,-0.67,0.85,0.31,-0.11,0.85,1.64,1.23,1.38,-0.13,0.07
"P2ry1",-1.02,-1.3,-1.23,-1.05,0.57,-0.2,-0.42,-0.72,0.59,1.57,1.21,0.97,1.77,-0.01,-0.37,-0.35
"Atp6ap2",-0.85,-1.75,-1.09,-0.1,0.57,-0.71,-0.77,-1.06,1.38,0.75,1.48,1.32,0.98,-0.22,0.19,-0.12
"Derl1",-0.82,-1.47,-1.24,-1.22,0.05,-0.12,-0.4,-1.39,1.39,0.95,0.89,1.55,0.77,0.51,0.34,0.2
"Pik3cb",-0.6,-1.56,-0.86,-1.06,-0.04,-0.21,-0.7,-1.21,1.75,0.59,0.82,1.43,1.42,0.26,-0.24,0.2
"Fcgr3",-1.27,-1.39,-0.63,-0.61,0.79,0.22,-0.73,-1.4,0.31,0.15,0.38,1.42,1.73,1.43,0.03,-0.43
"Csf2ra",-1.45,-1.12,-0.61,-1.02,0.71,-0.35,-0.92,-0.82,0.45,0.22,1.19,2.17,0.93,0.25,-0.43,0.79
"Ltbr",-1.09,-0.85,-0.77,-1.16,0.35,0.02,-0.52,-1.37,1.17,-0.06,1.02,2.31,0.71,0.7,-0.12,-0.34
"Rtn4r",-1.14,-0.43,-0.72,-1.06,0.84,-0.02,-0.12,-0.73,1.08,-0.26,0.65,2.54,0.68,0.53,-1.13,-0.69
"Epor",0.28,-0.95,-1.34,-1.54,-0.26,-0.69,-1.01,-0.38,0.85,0.28,0.03,1.5,-0.46,0.98,1,1.7
"Vldlr",-1.18,-1.2,-0.87,-1.44,-0.93,-0.18,-0.24,0.49,1.66,0.13,0.48,1.49,-0.74,1.24,0.67,0.62
"Ntng2",-0.83,-1.22,-0.77,-0.92,-0.72,-0.93,-0.73,-0.45,0.73,0.79,0.22,2.53,0.46,0.99,0.64,0.22
"Ccr10",-0.89,-1.24,-1.2,-1.02,-1.01,-0.07,-0.8,-0.26,0.91,0.7,0.84,2.27,-0.16,0.58,0.71,0.63
"Nrp1",0.52,-1.48,-1.14,-0.92,-0.11,-0.26,-0.8,0.04,0.84,0.97,0.46,2.17,0.09,-0.08,-1.38,1.09
"Cd200r4",0.37,-1.61,-1.22,-1.14,-0.83,-0.36,-0.35,-0.47,1.95,1.23,0.52,1.46,0.35,0.59,-0.35,-0.12
"Ednrb",-0.17,-1.07,-1.05,-0.26,-0.61,-0.27,-0.79,-0.8,1.77,1.23,0.12,2.42,-0.53,0.35,-0.16,-0.17
"Hcar2",-0.89,-1.07,-0.78,-0.98,-0.38,-1.15,-0.64,-0.83,1.15,0.54,1.3,2.08,-0.02,0.69,0.06,0.91
"Adora2b",-1.08,-1.28,-1.05,-1.12,-0.25,-0.61,-0.4,-0.57,1.56,0.92,0.91,1.89,-0.16,0.75,-0.27,0.77
"Ptgir",-0.93,-1.24,-1.25,-1.02,-0.63,-0.26,-0.84,-0.65,1.4,0.97,1.39,1.62,0.25,0.75,-0.09,0.54
"Slc40a1",-0.63,-1.25,-0.57,-0.91,-0.46,-0.29,-0.67,-0.92,1.68,1.64,1.19,1.75,-0.54,-0.06,-0.02,0.05
"Cntnap1",-1.26,-1.15,-1.21,-1.17,-0.51,-0.68,-0.3,-0.08,1.16,1.45,1.16,1.86,0.14,0.03,0.21,0.34
"Rarg",0.66,0.03,-1.01,-0.6,-0.13,-1.37,-2.36,-0.85,0.75,0.67,0.83,1.42,0.48,0.49,0.06,0.91
"Csf2rb",-0.02,-0.38,0.14,0.4,-0.58,-1.09,-1.77,-1.55,1.26,1.01,0.25,1.8,-0.53,0.67,-0.48,0.87
"Ptafr",0.12,-0.1,-0.22,0.27,-1.19,-1.56,-1.53,-1.47,0.68,0.77,0.78,1.76,-0.22,1.11,0.16,0.64
"Ackr1",-0.05,-1.19,0.07,-1.14,-0.62,-1,-0.87,-0.88,1.3,-0.59,0.92,1.77,0.07,-0.01,1.76,0.45
"Pvr",-0.3,-0.18,-0.23,-0.7,-1.81,-1.07,-1.58,-1,1.03,0.84,1.14,0.88,0.21,0.88,0.92,0.97
