"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"0610005C13Rik",0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0
"0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009E02Rik",1,5,0,0,1,3,3,5,1,2,1,3,0,2,2,2
"0610009L18Rik",4,3,0,6,5,7,7,5,11,26,23,24,19,14,13,9
"0610010K14Rik",0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1
"0610012D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",52,30,8,30,65,74,55,80,43,77,72,88,33,73,63,39
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610033M10Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
"0610038B21Rik",0,1,0,0,1,2,2,1,2,0,4,3,1,2,1,1
"0610039K10Rik",0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,2
"0610040B10Rik",4,1,1,3,5,3,2,2,1,6,4,4,5,0,3,3
"0610040F04Rik",0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0
"0610040J01Rik",0,0,1,0,0,0,0,0,5,2,1,1,1,5,2,0
"0610043K17Rik",2,1,0,2,1,2,0,0,2,1,1,0,1,0,1,0
"0710001A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010001B22Rik",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1100001I12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1110002J07Rik",0,1,0,1,0,3,3,2,3,12,9,8,0,0,1,1
"1110002L01Rik",15,1,8,7,12,7,7,14,10,16,10,19,4,8,7,8
"1110002O04Rik",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1110003F10Rik",2,6,0,4,5,6,6,6,4,10,14,3,1,3,5,2
"1110004F10Rik",245,137,142,144,375,328,280,379,253,430,433,527,224,360,330,272
"1110006O24Rik",3,0,1,3,3,7,7,5,1,10,4,9,2,8,6,3
"1110008E08Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110013H19Rik",4,2,0,1,4,5,5,4,1,2,2,11,1,4,4,2
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1110017D15Rik",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"1110018N20Rik",0,1,0,0,2,0,1,3,1,1,1,1,1,2,4,1
"1110019B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110019D14Rik",0,0,0,0,0,1,1,2,2,4,2,6,0,1,1,1
"1110020A21Rik",2,0,2,2,6,6,2,4,5,3,7,6,3,3,4,3
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025M09Rik",6,3,2,3,12,4,6,5,8,13,14,14,8,4,10,11
"1110028F11Rik",0,1,1,1,2,0,2,2,0,2,1,1,0,4,3,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032F04Rik",45,13,22,18,23,14,22,26,26,40,33,42,10,18,12,14
"1110035H17Rik",11,1,1,9,14,18,20,26,11,29,14,26,20,30,14,14
"1110038B12Rik",295,110,109,218,618,510,425,498,207,366,334,421,210,234,270,190
"1110038F14Rik",122,60,59,90,221,166,145,181,129,232,221,290,100,139,161,108
"1110046J04Rik",0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",2,1,1,1,2,2,0,1,0,2,5,4,2,1,0,3
"1110059G10Rik",76,33,25,22,114,103,89,96,94,247,177,205,73,102,111,89
"1110060G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110065P20Rik",50,17,32,39,108,103,60,70,63,106,60,108,49,56,67,57
"1190001M18Rik",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"1190005I06Rik",1,1,1,0,5,1,3,3,1,1,1,2,1,2,1,1
"1190028D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200007C13Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1300002E11Rik",20,5,11,13,42,19,20,28,25,60,45,61,23,27,27,20
"1300014J16Rik",4,0,0,0,0,0,1,1,0,0,2,0,1,1,2,0
"1500002C15Rik",0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1
"1500002F19Rik",0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
"1500004A13Rik",0,0,0,0,1,0,0,0,0,2,2,4,1,0,2,0
"1500005C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",5,4,5,3,8,4,2,5,1,6,6,10,2,5,6,2
"1500011B03Rik",88,35,41,40,76,74,46,62,70,124,113,123,60,99,79,71
"1500012K07Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1500015A07Rik",20,5,2,5,13,12,15,11,10,19,13,16,8,10,8,12
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500026H17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500032F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500035N22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002D24Rik",1,0,0,0,0,2,0,1,1,1,1,1,0,0,0,1
"1600010M07Rik",4,2,1,2,3,4,1,5,3,9,7,5,5,5,7,2
"1600012H06Rik",58,27,32,20,88,81,62,75,46,82,68,86,40,64,47,31
"1600012P17Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",340,215,145,172,134,205,102,114,174,384,435,380,132,320,223,119
"1600014C23Rik",1,0,1,0,1,0,0,0,2,4,3,5,0,0,0,1
"1600017P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",84,27,30,39,123,113,77,89,47,79,93,92,38,41,51,38
"1600022D10Rik",0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0
"1600023N17Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1
"1700001C19Rik",0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",1,1,0,0,5,3,2,6,2,4,1,5,0,2,1,3
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700001J03Rik",0,0,0,0,0,1,0,0,2,1,3,1,0,0,1,0
"1700001J04Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K23Rik",0,0,0,1,4,0,0,3,0,1,0,1,3,1,0,2
"1700001L05Rik",5,3,3,1,7,3,6,2,2,1,8,7,2,7,9,3
