,TF,Flow_With_TF,Flow_Without_TF,Delta_With-Without
43,Rara,580.0264227184393,572.4206782614995,7.605744456939874
27,Jun,580.0264227184393,573.3756846462521,6.65073807218721
34,Tcf3,580.0264227184393,573.6950101423619,6.331412576077469
28,Stat3,580.0264227184393,573.9062001830058,6.120222535433527
4,Spi1,580.0264227184393,575.4720671403848,4.554355578054583
73,Relb,580.0264227184393,577.5104117611966,2.51601095724277
22,Rela,580.0264227184393,577.9220770524875,2.1043456659518824
9,Tal1,580.0264227184393,578.6681187190964,1.3583039993429793
0,Stat1,580.0264227184393,580.0264227184388,5.684341886080801e-13
66,Nfatc1,580.0264227184393,580.0264227184388,5.684341886080801e-13
23,Yy1,580.0264227184393,580.026422718439,3.410605131648481e-13
21,Hif1a,580.0264227184393,580.026422718439,3.410605131648481e-13
24,Nfkb1,580.0264227184393,580.0264227184391,2.2737367544323206e-13
58,Stat4,580.0264227184393,580.0264227184391,2.2737367544323206e-13
59,Nfya,580.0264227184393,580.0264227184392,1.1368683772161603e-13
12,Ctcf,580.0264227184393,580.0264227184392,1.1368683772161603e-13
17,Zfp263,580.0264227184393,580.0264227184392,1.1368683772161603e-13
68,Erg,580.0264227184393,580.0264227184392,1.1368683772161603e-13
63,Jund,580.0264227184393,580.0264227184392,1.1368683772161603e-13
25,Ar,580.0264227184393,580.0264227184392,1.1368683772161603e-13
70,Smad1,580.0264227184393,580.0264227184392,1.1368683772161603e-13
35,Bach1,580.0264227184393,580.0264227184392,1.1368683772161603e-13
33,Elk1,580.0264227184393,580.0264227184392,1.1368683772161603e-13
51,Creb1,580.0264227184393,580.0264227184392,1.1368683772161603e-13
13,Fos,580.0264227184393,580.0264227184392,1.1368683772161603e-13
50,Nfe2l2,580.0264227184393,580.0264227184392,1.1368683772161603e-13
7,Cebpa,580.0264227184393,580.0264227184392,1.1368683772161603e-13
44,E2f2,580.0264227184393,580.0264227184392,1.1368683772161603e-13
11,Mitf,580.0264227184393,580.0264227184393,0.0
10,Runx1,580.0264227184393,580.0264227184393,0.0
32,Usf1,580.0264227184393,580.0264227184393,0.0
29,Epas1,580.0264227184393,580.0264227184393,0.0
20,Foxp1,580.0264227184393,580.0264227184393,0.0
37,Foxo3,580.0264227184393,580.0264227184393,0.0
16,Gata2,580.0264227184393,580.0264227184393,0.0
36,Srebf1,580.0264227184393,580.0264227184393,0.0
19,Gata3,580.0264227184393,580.0264227184393,0.0
38,Tfap2a,580.0264227184393,580.0264227184393,0.0
30,Atf4,580.0264227184393,580.0264227184393,0.0
46,Foxo1,580.0264227184393,580.0264227184393,0.0
52,Hsf1,580.0264227184393,580.0264227184393,0.0
61,Ets2,580.0264227184393,580.0264227184393,0.0
15,Sp1,580.0264227184393,580.0264227184393,0.0
42,Srebf2,580.0264227184393,580.0264227184393,0.0
45,Runx3,580.0264227184393,580.0264227184393,0.0
49,Irf9,580.0264227184393,580.0264227184393,0.0
40,Foxm1,580.0264227184393,580.0264227184393,0.0
54,Irf4,580.0264227184393,580.0264227184393,0.0
55,Atf3,580.0264227184393,580.0264227184393,0.0
6,E2f1,580.0264227184393,580.0264227184393,0.0
57,Stat5b,580.0264227184393,580.0264227184393,0.0
60,Irf2,580.0264227184393,580.0264227184393,0.0
53,Nrf1,580.0264227184393,580.0264227184393,0.0
62,Cebpb,580.0264227184393,580.0264227184393,0.0
2,Ets1,580.0264227184393,580.0264227184393,0.0
69,E2f3,580.0264227184393,580.0264227184393,0.0
71,Myb,580.0264227184393,580.0264227184393,0.0
72,Cebpe,580.0264227184393,580.0264227184393,0.0
74,Rel,580.0264227184393,580.0264227184393,0.0
1,E2f4,580.0264227184393,580.0264227184393,0.0
76,Maz,580.0264227184393,580.0264227184393,0.0
41,Atf6,580.0264227184393,580.0264227184393,0.0
65,Pax5,580.0264227184393,580.0264227184393,0.0
31,Irf1,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
39,Usf2,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
75,Pparg,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
48,Nfkb2,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
77,Crem,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
78,Tbp,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
26,Stat2,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
14,Esr1,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
8,Trp53,580.0264227184393,580.0264227184394,-1.1368683772161603e-13
67,Pou2f2,580.0264227184393,580.0264227184396,-2.2737367544323206e-13
56,Srf,580.0264227184393,580.0264227184396,-2.2737367544323206e-13
5,Myc,580.0264227184393,580.0264227184396,-2.2737367544323206e-13
64,Smad4,580.0264227184393,580.0264227184396,-2.2737367544323206e-13
3,Egr1,580.0264227184393,580.0264227184396,-2.2737367544323206e-13
18,Vdr,580.0264227184393,580.0264227184397,-3.410605131648481e-13
47,Stat5a,580.0264227184393,580.0264227184398,-4.547473508864641e-13
