,Mouse_Source,Mouse_Target
0,Myc,Tert
1,Smad3,Jun
2,Smad4,Jun
3,Sp1,Aldoa
4,Trp53,Igf1r
5,Zbtb16,Ccna2
6,Runx1,Il3
7,Stat1,Cdkn1a
8,Stat3,Cdkn1a
9,Rela,Abcb1b
10,Trp53,Cdkn1a
11,Trp53,Rb1
12,E2f1,Cdkn1a
13,E2f3,Cdkn1a
14,Yy1,Nr3c1
15,Trp53,Bcl2
16,Stat4,Irf1
17,Wt1,Odc1
18,Irf3,Ifna12
19,Hnf1a,Igf1
20,Stat5a,Igf1
21,Ets1,Timp1
22,Arnt,Cyp1b1
23,Ahr,Cyp1b1
24,Trp53,Ccnb1
25,Stat5a,Ccnd1
26,Trp53,Mdm2
27,Rbpj,Hes1
28,Atf2,Ccnd1
29,Jun,Ccnd1
30,Nfatc2,Il4
31,Hnf4a,Gucy2c
32,Rara,Sftpb
33,Jun,Cdkn1a
34,Jun,Trp53
35,Stat3,Prf1
36,Pparg,Serpine1
37,Sp1,Fasl
39,Atf1,Cftr
40,Sp1,Gast
41,Gata4,Nppa
42,Rarb,Rarg
43,Rarg,Rarb
44,Jun,Ccl5
45,Rela,Cd40
46,Rela,Ifng
47,Esr2,Rara
48,Esr1,Rara
49,Pax6,Krt12
51,Fos,Trp53
52,Trp53,Fos
53,Sp1,Fos
54,Sp1,Egr1
55,Myc,Eno1
56,Trp53,Ccnd1
57,Creb1,Pck1
58,Rela,Nos2
59,Nfkb1,Nos2
60,Atf4,Ddit3
61,Atf4,Atf3
62,Atf3,Ddit3
63,Smad4,Serpine1
64,Smad3,Serpine1
65,Stat1,Irf8
66,Trp53,S100a2
67,Trp53,Bax
68,Trp53,Ccng1
69,Trp53,Gadd45a
70,Stat4,Ifng
71,Pparg,Lpl
72,Nr5a1,Cyp17a1
73,Fos,Runx1
74,Foxo3,Fasl
75,Usf1,Fasn
76,Elk1,Sod1
77,Fli1,Gp9
78,Fli1,Itga2b
79,Egr1,Elk1
80,Elk1,Egr1
81,Pou1f1,Prl2b1
82,Cebpa,Alb
83,Creb1,Ccnd1
84,Stat1,Ifng
85,Jun,Il6
86,Hif1a,Epo
87,Myc,Cdc25a
88,Arnt,Epo
89,Trp73,Mdm2
90,Trp53,Trp73
91,Trp73,Cdkn1a
92,E2f4,E2f1
93,Sp1,Cdkn1a
94,Ets2,Il5
95,Gata3,Il5
96,Ets1,Il5
97,Sp1,Tgfb1
98,Jun,Oxtr
99,Rel,Il2ra
100,Sp1,Ldlr
101,Yy1,Ldlr
102,Cebpa,Pck1
103,Wt1,Cdkn1a
104,Fos,Ercc1
105,Yy1,Cxcr4
106,Myc,Cxcr4
107,Usf1,Cxcr4
109,Atf2,Tnf
110,Jun,Tnf
111,Lef1,Ccnd1
112,Cebpb,Star
113,Nr5a1,Star
114,Srf,Fos
115,Myc,Cdkn1a
116,Jun,Il2
117,Sox9,Mia
118,Irf1,Ifna12
119,Irf1,Irf2
120,Trp53,Litaf
121,Trp53,Btg2
122,Sp3,Cdkn1a
123,Trp53,Pcna
124,Stat1,Ifnb1
125,Atf2,Jun
126,Egr1,F3
127,Srf,Egr1
128,Hnf4a,Serpina1e
129,Jun,Csf2
130,Nfatc2,Csf2
131,Mef2a,Jun
132,Runx2,Mmp13
133,Ybx1,Mmp13
134,Pdx1,Ins2
135,Hnf1a,Hnf4a
136,Hnf4a,Hnf1a
137,Hnf1a,Ins2
138,Rfx1,Pcna
139,E2f1,Dhfr
140,Wt1,Thbs1
141,Sp1,Igfbp4
142,Myc,Trp53
143,Trp53,Myc
144,Nfkb1,Trp53
145,Trp53,Rela
146,Rela,Trp53
147,Foxo1,Igfbp1
148,Stat5a,Csn2
149,Spi1,Utrn
150,Ahr,Cyp1a1
151,Stat1,Socs3
152,Stat3,Socs3
153,Pou2f1,Il5
154,Yy1,Il5
155,Rara,Plau
156,Sp1,Plau
157,Lef1,Mmp7
158,Spi1,Btk
159,Sp1,Btk
160,Sp3,Btk
161,Sp1,Sp3
162,Stat6,Il4
163,Egr1,Pdgfa
164,Jun,Abcb1b
165,Rela,Cd40lg
166,Cebpa,Sp1
167,Sp1,Odc1
168,Myc,Brca1
169,Nr5a1,Cyp19a1
170,Myc,Odc1
172,Mycs,Ndrg1
173,Myc,Ndrg1
174,Trp63,Cdkn1a
175,Sp1,Cyp11a1
176,Maz,Myc
177,Pou1f1,Gh
178,Creb1,Egr1
179,Egr1,Abcb1b
180,Wt1,Abcb1b
184,Stat1,Cd40
185,Nr1i2,Cyp3a25
186,Hnf1a,Cyp7a1
187,Stat1,Ifna12
188,Wt1,Bcl2
189,Fos,Clu
190,Fosl1,Clu
191,Junb,Clu
192,Creb1,Th
194,Sp1,Abcb1b
195,Jun,Spi1
196,Hif1a,Vegfa
197,Smad4,Cdkn1a
198,Esr1,C3
199,Egr1,Tnf
200,Sp1,Fn1
201,Pparg,Fabp4
202,Stat5a,Bcl2l1
203,Sp1,Lep
204,Stat5a,Osm
205,Egr1,Mmp14
206,Pparg,Cd36
207,Stat1,Ptgs2
208,Cebpb,Il6
209,Pax5,Cd79a
210,Ets1,Parp1
211,Pou2f1,H2-Ea
212,Ets1,Mgat5
213,Stat1,Hsp90aa1
214,Hsf1,Hspa4
215,Cebpb,Hp
216,Hif1a,Tfrc
217,Myc,Hspa4
218,Sp1,Psen1
219,Nr0b1,Nr5a1
220,Nr5a1,Nr0b1
221,Sp1,Slc25a5
222,Esr1,E2f1
223,Sp1,E2f1
224,Tfap2a,Cyp11a1
225,Sp1,Spi1
226,Sp1,Plat
227,Sp3,Plat
228,Spi1,Il1b
229,Pax5,Blk
230,Srebf2,Ldlr
231,Pgr,Igfbp1
232,Nr5a1,Cyp11a1
234,Hnf1a,Ugt1a1
235,Nfkb1,Ccnd1
236,Rela,Ccnd1
237,Cebpb,Il1b
238,Rela,Plau
240,Rel,Ccl2
241,Rela,Ccl2
242,Trp53,Mdm4
243,Wt1,Mycs
244,Creb1,Jun
245,Sp1,Hmga2
246,Sp3,Hmga2
248,Pax3,Mitf
249,Rela,Tnf
250,Nfkb1,Tnf
251,Nfic,Cyp1a1
252,E2f1,Rb1
253,Sp1,Lhcgr
254,Esrra,Cyp19a1
255,Usf1,Pklr
256,Stat3,Junb
257,Sp1,Ccnd1
258,Tfap2a,Esr1
259,Esr1,Tfap2c
260,Tfap2c,Esr1
261,Pax8,Tg
262,Wt1,Igf1r
263,Esr1,Ccnd1
264,Sp1,Itgav
265,Sp3,Itgav
266,E2f1,Ccne1
267,E2f1,Ccnd1
268,Yy1,Trp53
269,Irf1,Ciita
270,Sp1,Mmp2
271,Sp3,Mmp2
272,Tfap2a,Mmp2
273,Etv4,Mmp2
274,Atf2,Cdkn1a
275,Myc,Ccnd2
276,Egr1,Fas
277,Fli1,Tgfbr2
278,Sp1,Bax
279,Ets1,Trp53
280,Ets2,Trp53
281,Egr1,Nab2
282,Trp53,Cdk1
283,Nr1h4,Fabp6
284,Trp53,Cdkn1b
285,Trp53,Map4
286,Mef2c,Jun
287,Tfap2a,Cdh1
288,Stat6,Irf1
289,Irf1,Stat1
290,Stat1,Irf1
291,Ppara,Ucp1
292,Pparg,Ucp1
293,Epas1,Vegfa
294,Cebpb,Fos
295,Atf1,Il10
296,Creb1,Il10
297,Rela,Il6
298,Spi1,Itgb2l
299,Hnf1a,Alb
300,Usf1,Ccnb1
301,Ar,Myc
302,Sp1,F3
303,Nfkb1,Icam1
304,Nfkb1,Vcam1
305,Rela,Icam1
306,Rela,Vcam1
307,Trp53,Ing1
308,Ets1,Flt1
309,Cebpe,Ltf
310,Irf2,Ciita
311,Usf1,Brca2
312,Elf1,Brca2
313,Usf2,Brca2
314,Sp1,Tnf
315,Smad3,Smad7
316,Smad4,Smad7
317,Fosl1,Eln
318,Jun,Eln
319,Hif1a,Cdkn1a
320,Tfap2a,Mpg
321,Atf6,Hspa5
322,Atf1,Tgfb2
323,Myc,Cad
324,Irf8,Ncf2
325,Egr1,Trp73
326,Erg,Icam2
327,Sp1,Nos3
328,Ctcf,App
329,Nfkb1,Bcl2l1
330,Rela,Bcl2l1
331,Srebf1,Fasn
332,Crem,Il2
333,Mitf,Tyr
334,Hif1a,Serpine1
335,Myb,Ccna1
337,E2f1,Ccna2
338,Runx1,Etv6
339,Trp53,Tnfrsf22
340,Trp53,Brca1
341,Myc,Hmox1
342,Smad3,Cdkn1a
343,Wt1,Tert
344,Fos,Il2
345,Ar,Cdkn1a
346,Trp53,Trp63
347,Egr1,Igf2
348,Wt1,Igf2
349,Myc,Ncl
350,Ets1,Pthlh
351,Sp1,Fmr1
352,Tfap2a,Fmr1
353,Trp53,Tgfb1
354,Trp53,Gdf15
355,Sp1,Src
356,Smad1,Spp1
357,Ctcf,Myc
358,Hnf4a,Cyp7a1
359,Rara,Rarb
360,Cebpb,Ptgs2
361,Ppara,Lpl
362,Neurod1,Ins2
363,Rest,Grin1
364,Sp1,Ccl2
365,Tfap2a,Erbb2
366,Cebpb,Prl2b1
367,Rela,Fn1
368,Nfkb1,Fn1
369,Pgr,Myc
370,Stat1,Ciita
371,Ets1,Prl2b1
372,Foxa2,Pdx1
373,Snai1,Cdh1
374,Sp1,Il10
375,Stat6,Alox15
376,Fos,Cd44
377,Jun,Cd44
378,Jun,Ptgs2
379,Egr1,Flt1
380,Sp1,Sod2
382,Hnf4a,Gh
383,Cdx2,Lct
384,Spi1,Prtn3
385,Nr5a1,Amh
386,Vdr,Bglap
387,Hif1a,Nos2
388,Trp53,Cav1
389,Fos,Mmp1b
390,Sp1,Plaur
391,E2f1,Serpine1
392,Trp53,Serpinb5
393,Myb,Bcl2
394,Nr5a1,Pou5f1
395,Egr1,Chrna7
396,Pax8,Tpo
397,Ets1,Ctsb
398,Sp3,Ctsb
399,Irf1,Ifnb1
400,Arnt,Vegfa
401,Stat4,Myc
402,Myc,Il2
403,Klf12,Tfap2a
404,Cebpa,Defa41
405,Rel,Icam1
406,Smad3,Tgfb1
407,Gata2,Nos3
408,Prdm1,Myc
409,Yy1,Myc
410,Irf1,Ccl5
411,Sp1,Rela
412,Sp1,Igf1r
414,Sp3,Itgad
415,Sp1,Itgad
416,Trp53,Perp
417,Myc,Fasl
418,Spi1,Tlr4
419,Stat3,Gfap
420,Esr1,Ltf
421,Wt1,Amh
422,Stat3,Vegfa
423,Ppara,Cyp7a1
424,Trp53,Abcb1b
425,Lef1,Mitf
426,Hnf1a,Slc2a2
427,Trp53,Bdkrb2
428,Cebpa,Il6
429,Cebpd,Il6
430,Klf4,Cdkn1a
431,Esr1,Igf1
432,Creb1,Bcl2
433,Wt1,Cdh1
434,Cebpb,Tnf
435,Egr2,Fasl
436,Tfdp1,Ccne1
437,Neurog3,Neurod1
438,Tbx21,Ifng
439,Irf1,Psmb9
440,Stat1,Psmb9
441,Hnf1a,G6pc
442,Sp1,Tgfbr2
444,Nr5a1,Mc2r
445,Sp1,Col1a2
446,Stat1,Cd86
447,Sp1,Ar
448,Gabpa,Brca1
450,Trp53,Dkk1
451,Hif1a,Cp
452,Ppara,Acsl1
453,Sp1,Vim
454,Trp53,Tert
455,Sp1,Tert
458,Jun,Mmp13
459,Jund,Mmp13
460,Egr1,Fn1
461,Egr1,Serpine1
462,Egr1,Tgfb1
463,Foxo4,Cdkn1b
464,Hnf4a,Pklr
465,Trp53,Abcc1
466,Sp1,Tnfrsf8
467,Cebpd,Tnf
468,Srebf1,Acly
469,Srebf2,Acly
470,Sp1,Scarb1
471,Jun,Egfr
472,Fos,Egfr
473,Junb,Egfr
474,Esr2,Tert
475,Stat3,Socs1
476,Sp1,Vegfa
477,Sp3,Vegfa
478,Stat1,Mmp9
480,Stat1,Fcgr1
481,Irf1,Socs1
482,Stat1,Socs1
483,Spi1,Cd40
484,Spib,Cd40
485,Sp1,Ptgs2
486,Ets1,Cdh5
487,Trp53,Cd82
488,Stat1,Icam1
489,Stat3,Icam1
490,Esr1,Prl2b1
491,Sp1,Egfr
492,Rela,Serpine1
493,Cebpd,Ptgs2
494,Egr1,Th
495,Smad4,Tgfb1
496,Sp1,Smad7
497,Sp1,Vdr
498,Sp1,Ltf
499,Hif1a,Adm
500,Stat1,Nos2
501,Bmal1,Per1
502,Clock,Per1
503,Bmal1,Dbp
504,Atf2,Ifnb1
505,Irf3,Ifnb1
506,Jun,Ifnb1
507,Ets1,Csnk2a1
508,Sp1,Csnk2a1
509,Trp53,Mapk8
511,Nr1h3,Abca1
512,Tfap2a,Hgf
513,Spi1,Serpinb1b
514,Cebpa,Pparg
515,Cebpb,Pparg
516,Egr1,Klf5
517,Esr1,Vegfa
518,Spi1,Mmp2
519,Myc,Thbs1
520,Mzf1,Tert
521,Sp1,Utrn
522,Pax3,Bcl2l1
523,Hoxa5,Pgr
524,Stat3,Crp
525,Cebpb,Crp
526,Sp1,Serpine1
527,Cdx2,Gucy2c
528,Fos,Cdkn1a
529,Pax4,Ins2
530,Trp53,Casp3
531,Sp1,Pgr
532,Esr1,Pgr
533,Pgr,Esr1
534,Esr1,Egf
535,Stat3,Il10
536,Atf2,Ins2
537,Creb1,Ins2
538,Trp53,Vegfa
539,Myc,Gadd45a
540,Elk1,Tnf
541,Fosl1,Mmp1b
542,Jun,Mmp1b
543,E2f1,Tyms
544,E2f1,Mdm2
545,Hnf4a,Src
547,Jun,Ccl2
548,Sp1,Star
549,Nfkb1,Csf1
550,Hif1a,Bnip3
551,Sox10,Mpz
552,Irf7,Ifna12
553,Fos,Mmp9
554,Gata1,Sptb
556,Sox10,Mitf
557,Jun,Il24
558,Ets1,Psen1
559,Zeb1,Cdh1
560,Sp1,Mybl1
561,Foxo1,G6pc
562,Sp1,Ptn
563,Atf3,Sele
564,Rela,Edn1
565,Sp1,Alox12
566,Wt1,Ccn2
567,Stat1,Tap1
568,Nfkb1,Il6
