,Source,Target,capacity
0,Stk39,Aatk,0.30975169418055387
1,Src,Aatk,0.7964550511348671
2,Rara,Abca1,0.39006572420728686
3,Unk,Abcb7,0.7000763625334097
4,Sos1,Abi1,0.49617809534691254
5,Tnik,Abi1,0.6867337370509937
6,Pik3r1,Abi1,0.6381392750214256
7,Ywhae,Abi1,0.5014027556025774
8,Ywhaz,Abi1,0.2650735616129096
9,Shank3,Abi1,0.4881119923957542
10,Camk2a,Abi1,0.45720002343845323
11,Abl1,Abi1,0.6185485705515352
12,Eps8,Abi1,0.6647998384514602
13,Cyfip1,Abi1,0.7436956990595809
14,Dlg4,Abi1,0.4847889434601231
15,Ywhab,Abi1,0.7164130406108481
16,Cblb,Abi1,0.6200190379495075
17,Hras,Abi1,0.15822217022810087
18,Crkl,Abl1,0.6469141072668123
19,Cbl,Abl1,0.579676741730397
20,Inpp5d,Abl1,0.891559429821787
21,Pparg,Abl1,0.7857938935868038
22,Pstpip1,Abl1,0.6010327435737737
23,Syk,Abl1,0.8617670304069722
24,Ptpn11,Abl1,0.20798069642701245
25,Agap2,Abl2,0.609834029863453
26,Axl,Abl2,0.7504414423232522
27,Abi1,Abl2,0.26307988900384116
28,Ppp2ca,Abl2,0.6042720398300874
29,Cttn,Abl2,0.22007598662003436
30,Ywhae,Acadl,0.8448566058045874
31,Kcnq1,Acadl,0.4352393693395853
32,Snta1,Acadl,0.22128339029420258
33,Ywhae,Acadm,0.19349473102616466
34,Kcnq1,Acadm,0.5846173719044384
35,Atp1b1,Acadm,0.5526455390494501
36,Snta1,Acadm,0.68740108648553
37,Ywhae,Acadvl,0.4165175240191439
38,Kcnq1,Acadvl,0.4951058982993327
39,Socs3,Acadvl,0.6111952403057527
40,Ywhae,Acads,0.253169666046684
41,Pgls,Acads,0.8839689575189298
42,Hsd3b7,Acads,0.5595619337264556
43,Ywhaz,Acads,0.6690880184576007
44,Fancd2,Slc33a1,0.625762291040261
45,Rabl2,Ace,0.2904423060125754
46,Myh9,Ace,0.3410231847863926
47,Ywhaz,Ace,0.7138997024486754
48,Ywhae,Ace,0.21021802099054926
49,Ywhae,Ache,0.5487626822357997
50,Mybpc3,Macf1,0.7458390208267767
51,Gsk3b,Macf1,0.639321832686937
52,Eed,Macf1,0.09667909384194412
53,Eef1a1,Macf1,0.6928905615111633
54,Mycbp2,Macf1,0.34995645308177736
55,Herc2,Macf1,0.6693570837347635
56,Ywhae,Macf1,0.060531036140438976
57,Pde4dip,Macf1,0.440544500155823
58,Asap1,Macf1,0.6765479644943506
59,Cyfip1,Macf1,0.3128011137835223
60,Dlg4,Macf1,0.5441318164149448
61,Ywhab,Macf1,0.4973040693524049
62,Arhgef1,Macf1,0.8922648703505399
63,Shank3,Macf1,0.5584650504108621
64,Axin1,Macf1,0.6256321038141275
65,Kalrn,Macf1,0.1540778820311045
66,Tnik,Macf1,0.8155571812276955
67,Agap2,Macf1,0.8468845172065874
68,Fmr1,Macf1,0.34476671714402585
69,H3f3a,Macf1,0.7694528471451041
70,Nphp4,Aco1,0.39946773758452275
71,Ywhaz,Aco2,0.45120675169234026
72,Ywhae,Aco2,0.7009355311145907
