,Source,Target,capacity
0,Stk39,Aatk,0.3436119848785288
1,Src,Aatk,0.5919790094324877
2,Rara,Abca1,0.18922413828537402
3,Unk,Abcb7,0.40671003232228103
4,Sos1,Abi1,0.01475591939181428
5,Tnik,Abi1,0.3810614723453568
6,Pik3r1,Abi1,0.2876482250384962
7,Ywhae,Abi1,0.024799295944883008
8,Ywhaz,Abi1,0.42949686295806394
9,Shank3,Abi1,0.0007495690591266044
10,Camk2a,Abi1,0.060171718833999174
11,Abl1,Abi1,0.24998896830162814
12,Eps8,Abi1,0.33889788808682275
13,Cyfip1,Abi1,0.4905595843103479
14,Dlg4,Abi1,0.007137473751806019
15,Ywhab,Abi1,0.4381140665616511
16,Cblb,Abi1,0.2528156511985368
17,Hras,Abi1,0.6348975409702621
18,Crkl,Abl1,0.3045161054590216
19,Cbl,Abl1,0.17526556140951108
20,Inpp5d,Abl1,0.7747983776321183
21,Pparg,Abl1,0.5714850414982676
22,Pstpip1,Abl1,0.21631825339048766
23,Syk,Abl1,0.7175283789909667
24,Ptpn11,Abl1,0.5392466104050545
25,Agap2,Abl2,0.23323698648184382
26,Axl,Abl2,0.5035269422651389
27,Abi1,Abl2,0.43332930444834133
28,Ppp2ca,Abl2,0.22254516011305017
29,Cttn,Abl2,0.5159958059540962
30,Ywhae,Acadl,0.6850214304731412
31,Kcnq1,Acadl,0.10238673525109125
32,Snta1,Acadl,0.5136748110648914
33,Ywhae,Acadm,0.5670930153646291
34,Kcnq1,Acadm,0.18476294627650808
35,Atp1b1,Acadm,0.12330341766768434
36,Snta1,Acadm,0.3823443197144767
37,Ywhae,Acadvl,0.13837578202549652
38,Kcnq1,Acadvl,0.012694832515159096
39,Socs3,Acadvl,0.23585364447891857
40,Ywhae,Acads,0.4523797490730759
41,Pgls,Acads,0.7602071950819081
42,Hsd3b7,Acads,0.1365988192309704
43,Ywhaz,Acads,0.347141066479583
44,Fancd2,Slc33a1,0.2638559199638544
45,Rabl2,Ace,0.380730466634372
46,Myh9,Ace,0.283498725803041
47,Ywhaz,Ace,0.4332826707707901
48,Ywhae,Ace,0.5349457961963858
49,Ywhae,Ache,0.115839392989935
50,Mybpc3,Macf1,0.49467969672512085
51,Gsk3b,Macf1,0.2899214583875109
52,Eed,Macf1,0.7532019397510746
53,Eef1a1,Macf1,0.39289675031536114
54,Mycbp2,Macf1,0.2663262833953535
55,Herc2,Macf1,0.3476582912872577
56,Ywhae,Macf1,0.8226894350890981
57,Pde4dip,Macf1,0.09218866995239684
58,Asap1,Macf1,0.3614813380850746
59,Cyfip1,Macf1,0.3377500784880196
60,Dlg4,Macf1,0.10693746885904946
61,Ywhab,Macf1,0.016920381839657706
62,Arhgef1,Macf1,0.7761544476001855
63,Shank3,Macf1,0.13449027788393483
64,Axin1,Macf1,0.2636056607564655
65,Kalrn,Macf1,0.6428641158038587
66,Tnik,Macf1,0.628699078508743
67,Agap2,Macf1,0.6889196892746515
68,Fmr1,Macf1,0.27630252485092316
69,H3f3a,Macf1,0.5400726099421249
70,Nphp4,Aco1,0.17115062611734652
71,Ywhaz,Aco2,0.07169259904162906
72,Ywhae,Aco2,0.4083616140828387
73,Ywhah,Aco2,0.28033840820076267
74,Kcnma1,Aco2,0.09558258777212776
75,Ywhab,Aco2,0.036813636091718435
76,Snta1,Aco2,0.04212119539388732
77,Itpr1,Aco2,0.06067922738680588
78,Dlg4,Aco2,0.3555258777072594
79,Pgls,Acox1,0.18984593111131323
80,Ywhae,Acox1,0.3207937345117139
81,Hsd3b7,Acox1,0.1197111736636848
82,Ywhae,Acp1,0.0229083039680511
83,Zap70,Acp1,0.16322622670176076
84,Ctnnb1,Acp1,0.168768310270086
85,Fancd2,Acp1,0.31894691974551653
86,Pgls,Acp1,0.32451985853608034
87,Xpo7,Acp5,0.1016337744488181
88,Ywhae,Acp5,0.8126555554728695
89,Hsd3b7,Acp5,0.037979535404139265
90,Canx,Chrnb1,0.06706437209196639
91,Dag1,Chrnb1,0.1690222715730508
92,Cebpa,Adipoq,0.014335551885758049
93,Adipor1,Adipoq,0.29184292308107224
94,Mybpc3,Adipoq,0.13123070220117083
95,Cebpb,Adipoq,0.05906150071474963
96,Fbxo32,Acta1,0.18534150571534547
97,Trim32,Acta1,0.1557511574798558
98,Ezr,Acta1,0.0743112683304926
99,Atp1a1,Acta1,0.27061124880922116
100,Kcnma1,Acta1,0.11111116388713549
101,Rack1,Acta1,0.08611471301564581
102,Ywhae,Acta1,0.1405611620988384
103,Fancd2,Acta1,0.15188930024002992
104,Ywhaz,Acta1,0.3138357809986525
105,Hsd3b7,Actb,0.12645066552282583
106,Ywhae,Actb,0.4370979882169876
107,Eed,Actb,0.7221271278898853
108,Kcnma1,Actb,0.07903151980360125
109,Fancd2,Actb,0.41309818890400757
110,Rpgrip1l,Actb,0.18047941666457917
111,Iqcb1,Actb,0.22134810033672925
112,Rnf2,Actb,0.4065968929513345
113,Fbxo32,Actb,0.05650056027527055
114,Unk,Actb,0.25983335765471127
115,Ywhaz,Actb,0.629072779061064
116,Panx1,Actb,0.10065776558696177
117,Ywhab,Actb,0.5629385338996308
118,Cyfip1,Actb,0.531890399901775
119,Nphp4,Actb,0.18336461047590116
120,Pgls,Actb,0.6557954344632451
121,Git1,Actg1,0.6704416944268573
122,Dlg4,Actg1,0.33860772262646
123,Rnf2,Actg1,0.22069236423757727
124,Eed,Actg1,0.37713413682446384
125,Ywhaz,Actg1,0.049466411758517445
126,Iqcb1,Actg1,0.05670657430077034
127,Nphp4,Actg1,0.3476025395034636
128,Kat5,Actg1,0.15440341493118348
129,Kcnma1,Actg1,0.11326113167430257
130,Fbxo32,Actg1,0.4256702820272755
131,Invs,Actg1,0.1794380948200803
132,Lrrk2,Actg1,0.07405639425537786
133,Acta1,Actg1,0.06325056368691138
134,Ncoa2,Actn2,0.007345538023576589
135,Camk2a,Actn2,0.7150434188515574
136,Prkce,Actn2,0.5670814139651378
137,Ywhaz,Actn2,0.40438832619067644
138,Alms1,Actn2,0.3349473456289187
139,Rab6b,Actn2,0.6123395358830518
140,Ar,Actn2,0.17289989502590258
141,Ywhab,Actn2,0.160714095745541
142,Alms1,Actn3,0.17213891963311354
143,Rab33b,Actn3,0.0005062310628937256
144,Ywhae,Actn3,0.17569927017929035
145,Trim32,Actn3,0.09176169829070481
146,Rab10,Actn3,0.19400536029994792
147,Pgls,Actn3,0.302329969983547
148,Hsd3b7,Acta2,0.15796750975429436
149,Ywhae,Acta2,0.01329908324707308
150,Smad3,Acta2,0.6411236038509956
151,Nphp4,Acta2,0.4977246079794742
152,Fancd2,Acta2,0.37812405189297266
153,Casp7,Acta2,0.8056431492358209
154,Pgls,Acta2,0.18130992723124678
155,Lasp1,Acta2,0.7943446223046698
156,Pdlim5,Acta2,0.13229363794653692
157,Ywhaz,Acta2,0.21770944175227844
158,Smad6,Acvr1,0.17589532154225024
159,Diablo,Acvr1,0.29693389751576255
160,Acvr2a,Acvr1,0.18460708596148212
161,Inhba,Acvr1,0.5101007813973275
162,Smad7,Acvr1,0.0842138555664411
163,Magi2,Acvr2a,0.26517179477851244
164,Inhba,Acvr2a,0.539432869811193
165,Tal1,Acvr2a,0.056715953862302396
166,Irf8,Acvr2a,0.022060949059178856
167,Tdgf1,Acvr2b,0.16177249424071727
168,Lrg1,Acvrl1,0.12967529707515144
169,Tgfbr1,Acvrl1,0.40013873478212775
170,Ywhae,Acvrl1,0.575117996520486
171,Ywhae,Aspa,0.42440928843672904
172,Ywhae,Ada,0.3589774981204347
173,Sirt1,Adam10,0.5646373755095752
174,Dlg1,Adam10,0.07516113093375623
175,Ywhae,Adam10,0.21601672144573816
176,Ywhab,Adam11,0.03468997678240239
177,Grb2,Adam12,0.17140476602651103
178,Ywhae,Adam15,0.5631368661126959
179,Notch1,Adam17,0.519032165069519
180,Syngap1,Adam22,0.24491551507425627
181,Ywhab,Adam22,0.02631314548803199
182,Dlg4,Adam22,0.049378708599555614
183,Ywhaz,Adam22,0.17788316911364188
184,Ywhae,Adam22,0.5793816222738859
185,Kalrn,Adam22,0.5590089196087319
186,Kit,Adam8,0.9639722123397648
187,Il1r1,Adam8,0.8282837566020309
188,Tnf,Adam8,0.16317494312214353
189,Tnfrsf1a,Adam8,0.5010674280073725
190,Syngap1,Adam9,0.5324286525995454
191,Itga6,Adam9,0.4749168581035824
192,Prkcq,Adam9,0.02182249811244495
193,Dchs1,Adamts1,0.427546944862758
194,Shc1,Adamts1,0.18630097933120718
195,Akap5,Adcy6,0.4934968368062006
196,Tal1,Adcy7,0.04727127935852355
