"","GeneNameA","GeneNameB"
"1","Hsd3b7","Pzp"
"2","Ywhae","Pzp"
"3","Eed","Pzp"
"4","Ywhah","Pzp"
"5","Pgls","Pzp"
"6","Kcnma1","Pzp"
"7","Rnf2","Pzp"
"8","Stk39","Aatk"
"9","Src","Aatk"
"10","Rara","Abca1"
"11","Apoa1","Abca1"
"12","Unk","Abcb7"
"13","Abcg5","Abcg1"
"14","Cblb","Abi1"
"15","Pik3r1","Abi1"
"16","Hras","Abi1"
"17","Shank3","Abi1"
"18","Abl1","Abi1"
"19","Ywhaz","Abi1"
"20","Ywhae","Abi1"
"21","Ywhab","Abi1"
"22","Cyfip1","Abi1"
"23","Sos1","Abi1"
"24","Camk2a","Abi1"
"25","Eps8","Abi1"
"26","Dlg4","Abi1"
"27","Tnik","Abi1"
"28","Inpp5d","Abl1"
"29","Ptpn11","Abl1"
"30","Pparg","Abl1"
"31","Syk","Abl1"
"32","Abl1","Abl1"
"33","Pstpip1","Abl1"
"34","Cbl","Abl1"
"35","Crkl","Abl1"
"36","Ppp2ca","Abl2"
"37","Cttn","Abl2"
"38","Agap2","Abl2"
"39","Abi1","Abl2"
"40","Axl","Abl2"
"41","Hsd3b4","Acadl"
"42","Cav3","Acadl"
"43","Snta1","Acadl"
"44","Ywhae","Acadl"
"45","Kcnq1","Acadl"
"46","Atp1b1","Acadm"
"47","Hsd3b4","Acadm"
"48","Kcnq1","Acadm"
"49","Snta1","Acadm"
"50","Ywhae","Acadm"
"51","Cav3","Acadm"
"52","Ywhae","Acadvl"
"53","Hsd3b4","Acadvl"
"54","Kcnq1","Acadvl"
"55","Socs3","Acadvl"
"56","Cav3","Acadvl"
"57","Hsd3b7","Acads"
"58","Pgls","Acads"
"59","Hsd3b4","Acads"
"60","Ywhaz","Acads"
"61","Ywhae","Acads"
"62","Fancd2","Slc33a1"
"63","Asic1","Asic2"
"64","Dlg4","Asic2"
"65","Hcn1","Asic1"
"66","Hsd3b4","Ace"
"67","Ywhae","Ace"
"68","Ywhaz","Ace"
"69","Rabl2","Ace"
"70","Myh9","Ace"
"71","Lama1","Ache"
"72","Ache","Ache"
"73","Ywhae","Ache"
"74","Agap2","Macf1"
"75","Asap1","Macf1"
"76","Arhgef1","Macf1"
"77","Herc2","Macf1"
"78","Eed","Macf1"
"79","Ywhae","Macf1"
"80","Cyfip1","Macf1"
"81","Mybpc3","Macf1"
"82","Tnik","Macf1"
"83","Gsk3b","Macf1"
"84","Fmr1","Macf1"
"85","Hsd3b4","Macf1"
"86","Eef1a1","Macf1"
"87","Mycbp2","Macf1"
"88","Axin1","Macf1"
"89","Shank3","Macf1"
"90","Dlg4","Macf1"
"91","Kalrn","Macf1"
"92","H3f3a","Macf1"
"93","Ywhab","Macf1"
"94","Pde4dip","Macf1"
"95","Nphp4","Aco1"
"96","Snta1","Aco2"
"97","Ywhah","Aco2"
"98","Grin2b","Aco2"
"99","Hsd3b4","Aco2"
"100","Cav3","Aco2"
"101","Ywhab","Aco2"
"102","Itpr1","Aco2"
"103","Dlg4","Aco2"
"104","Kcnma1","Aco2"
"105","Ywhaz","Aco2"
"106","Ywhae","Aco2"
"107","Hsd3b7","Acox1"
"108","Pgls","Acox1"
"109","Hsd3b4","Acox1"
"110","Ywhae","Acox1"
"111","Ywhae","Acp1"
"112","Zap70","Acp1"
"113","Pgls","Acp1"
"114","Ctnnb1","Acp1"
"115","Fancd2","Acp1"
"116","Hsd3b7","Acp5"
"117","Xpo7","Acp5"
"118","Ywhae","Acp5"
"119","Acrbp","Acr"
"120","Zp2","Acr"
"121","Trim63","Chrna1"
"122","Actn1","Chrna1"
"123","Chrna1","Chrna1"
"124","Chrna5","Chrna4"
"125","Ubxn2a","Chrna4"
"126","Chrna4","Chrna6"
"127","Lynx1","Chrna7"
"128","Lypd1","Chrna7"
"129","Chrna7","Chrna7"
"130","Dag1","Chrnb1"
"131","Canx","Chrnb1"
"132","Chrna6","Chrnb2"
"133","Chrna4","Chrnb2"
"134","Chrna7","Chrnb2"
"135","Chrna3","Chrnb2"
"136","Chrng","Chrnd"
"137","Canx","Chrnd"
"138","Chrnb1","Chrnd"
"139","Canx","Chrng"
"140","Chrnb1","Chrng"
"141","Cebpb","Adipoq"
"142","Adipor1","Adipoq"
