"","GeneNameA","GeneNameB"
"1","Ywhae","Pzp"
"6","Hsd3b7","Pzp"
"16","Ywhah","Pzp"
"21","Eed","Pzp"
"26","Pgls","Pzp"
"36","Rnf2","Pzp"
"41","Kcnma1","Pzp"
"51","Stk39","Aatk"
"53","Src","Aatk"
"55","Apoa1","Abca1"
"56","Rara","Abca1"
"57","Unk","Abcb7"
"58","Abcg5","Abcg1"
"59","Sos1","Abi1"
"65","Tnik","Abi1"
"71","Pik3r1","Abi1"
"77","Ywhae","Abi1"
"83","Ywhaz","Abi1"
"95","Shank3","Abi1"
"101","Camk2a","Abi1"
"107","Abl1","Abi1"
"113","Eps8","Abi1"
"119","Cyfip1","Abi1"
"125","Dlg4","Abi1"
"131","Ywhab","Abi1"
"137","Cblb","Abi1"
"143","Hras","Abi1"
"149","Crkl","Abl1"
"151","Cbl","Abl1"
"153","Inpp5d","Abl1"
"155","Abl1","Abl1"
"157","Pparg","Abl1"
"159","Pstpip1","Abl1"
"161","Syk","Abl1"
"163","Ptpn11","Abl1"
"165","Agap2","Abl2"
"169","Axl","Abl2"
"173","Abi1","Abl2"
"177","Ppp2ca","Abl2"
"181","Cttn","Abl2"
"185","Ywhae","Acadl"
"188","Kcnq1","Acadl"
"191","Cav3","Acadl"
"197","Hsd3b4","Acadl"
"200","Snta1","Acadl"
"203","Hsd3b4","Acadm"
"206","Ywhae","Acadm"
"209","Kcnq1","Acadm"
"212","Cav3","Acadm"
"215","Atp1b1","Acadm"
"218","Snta1","Acadm"
"224","Ywhae","Acadvl"
"228","Hsd3b4","Acadvl"
"232","Kcnq1","Acadvl"
"236","Cav3","Acadvl"
"240","Socs3","Acadvl"
"248","Ywhae","Acads"
"251","Pgls","Acads"
"254","Hsd3b7","Acads"
"263","Ywhaz","Acads"
"266","Hsd3b4","Acads"
"269","Fancd2","Slc33a1"
"270","Dlg4","Asic2"
"272","Asic1","Asic2"
"274","Hcn1","Asic1"
"275","Rabl2","Ace"
"279","Hsd3b4","Ace"
"283","Myh9","Ace"
"287","Ywhaz","Ace"
"291","Ywhae","Ace"
"299","Ache","Ache"
"301","Lama1","Ache"
"303","Ywhae","Ache"
"307","Mybpc3","Macf1"
"315","Gsk3b","Macf1"
"323","Eed","Macf1"
"331","Eef1a1","Macf1"
"339","Mycbp2","Macf1"
"347","Hsd3b4","Macf1"
"355","Herc2","Macf1"
"363","Ywhae","Macf1"
"379","Pde4dip","Macf1"
"387","Asap1","Macf1"
"395","Cyfip1","Macf1"
"403","Dlg4","Macf1"
"411","Ywhab","Macf1"
"419","Arhgef1","Macf1"
"427","Shank3","Macf1"
"435","Axin1","Macf1"
"443","Kalrn","Macf1"
"451","Tnik","Macf1"
"459","Agap2","Macf1"
"467","Fmr1","Macf1"
"475","H3f3a","Macf1"
"483","Nphp4","Aco1"
"484","Ywhaz","Aco2"
"489","Cav3","Aco2"
"494","Ywhae","Aco2"
"499","Ywhah","Aco2"
"504","Kcnma1","Aco2"
"509","Grin2b","Aco2"
"514","Ywhab","Aco2"
"529","Hsd3b4","Aco2"
"534","Snta1","Aco2"
"539","Itpr1","Aco2"
"544","Dlg4","Aco2"
"549","Hsd3b4","Acox1"
"552","Pgls","Acox1"
"555","Ywhae","Acox1"
"558","Hsd3b7","Acox1"
"567","Ywhae","Acp1"
"572","Zap70","Acp1"
"577","Ctnnb1","Acp1"
"582","Fancd2","Acp1"
"587","Pgls","Acp1"
"597","Xpo7","Acp5"
"599","Ywhae","Acp5"
"603","Hsd3b7","Acp5"
"607","Zp2","Acr"
"609","Acrbp","Acr"
"611","Chrna1","Chrna1"
"614","Actn1","Chrna1"
"617","Trim63","Chrna1"
"620","Chrna5","Chrna4"
"622","Ubxn2a","Chrna4"
"624","Chrna4","Chrna6"
"625","Lynx1","Chrna7"
"626","Lypd1","Chrna7"
"627","Chrna7","Chrna7"
"628","Canx","Chrnb1"
"630","Dag1","Chrnb1"
"632","Chrna7","Chrnb2"
"633","Chrna3","Chrnb2"
"634","Chrna4","Chrnb2"
"635","Chrna6","Chrnb2"
"636","Chrng","Chrnd"
"637","Chrnb1","Chrnd"
"638","Canx","Chrnd"
"639","Chrnb1","Chrng"
"640","Canx","Chrng"
"641","Cebpa","Adipoq"
"644","Adipor1","Adipoq"
"647","Adipoq","Adipoq"
"650","Mybpc3","Adipoq"
"653","Cebpb","Adipoq"
"656","Fbxo32","Acta1"
"662","Trim32","Acta1"
"668","Hmga2","Acta1"
"674","Ezr","Acta1"
"680","Prkn","Acta1"
"686","Atp1a1","Acta1"
"692","Kcnma1","Acta1"
"698","Rack1","Acta1"
"704","Ywhae","Acta1"
"716","Fancd2","Acta1"
"722","Trim63","Acta1"
"728","Ywhaz","Acta1"
"740","Hsd3b7","Actb"
