"","GeneNameA","GeneNameB"
"1","Ppif","A2m"
"2","Xpo1","Aamp"
"3","Calml3","Aars"
"4","Mecom","Abca1"
"5","Ankfy1","Abca2"
"6","Myh10","Abca2"
"7","Kcnk1","Abcb7"
"8","Rrbp1","Abcf1"
"9","Fbl","Abcf1"
"10","Xpo1","Abcf1"
"11","Mecom","Abcf1"
"12","Snca","Abl1"
"13","Eea1","Abl1"
"14","Grap2","Abl1"
"15","Dok1","Abl1"
"16","Crk","Abl1"
"17","Zbtb48","Abl1"
"18","Anapc5","Abl1"
"19","Mbp","Abl2"
"20","Shoc2","Acaca"
"21","Paxip1","Acaca"
"22","Zfp36","Acacb"
"23","Ckap5","Acadm"
"24","Mecom","Acadm"
"25","Prdm16","Acadm"
"26","Dppa3","Acadsb"
"27","Ncbp2","Acadvl"
"28","Ect2","Acat1"
"29","Arhgap30","Acat1"
"30","Rnf183","Acat2"
"31","Eno1","Ache"
"32","Eno1b","Ache"
"33","Mecom","Aco1"
"34","Myo1c","Acta1"
"35","Actb","Acta1"
"36","Myh10","Acta1"
"37","Lima1","Acta1"
"38","Myh9","Acta1"
"39","Tpm1","Acta1"
"40","Dctn3","Acta2"
"41","Racgap1","Acta2"
"42","Tmod3","Actb"
"43","Myo1c","Actb"
"44","Prdm16","Actb"
"45","Dab2","Actb"
"46","Cdk9","Actb"
"47","Actr1a","Actb"
"48","Ep300","Actb"
"49","Mrtfa","Actb"
"50","Sorbs1","Actb"
"51","Mecom","Actb"
"52","Kifbp","Actb"
"53","Pparg","Actb"
"54","Gata4","Actb"
"55","Myh10","Actc1"
"56","Actb","Actc1"
"57","Lima1","Actc1"
"58","Myo1c","Actc1"
"59","Tpm1","Actc1"
"60","Myh9","Actc1"
"61","Prdm16","Actc1"
"62","Mecom","Actc1"
"63","Racgap1","Actc1"
"64","Dctn3","Actc1"
"65","Tpm1","Actg1"
"66","Myh9","Actg1"
"67","Actb","Actg1"
"68","Pparg","Actg1"
"69","Myh10","Actg1"
"70","Coro1c","Actg1"
"71","Myo1c","Actg1"
"72","Flot2","Actg1"
"73","Flot1","Actg1"
"74","Tmod3","Actg1"
"75","Calml3","Actg1"
"76","Flnb","Actg1"
"77","Tmed10","Actg1"
"78","Dmap1","Actg1"
"79","Lima1","Actg1"
"80","Prdm16","Actn4"
"81","Flot2","Actn4"
"82","Fcho2","Actn4"
"83","Tpm1","Actn4"
"84","Myh9","Actn4"
"85","Calml3","Actn4"
"86","Coro1c","Actn4"
"87","Tmod3","Actn4"
"88","Flnb","Actn4"
"89","Mecom","Actn4"
"90","Myo1c","Actn4"
"91","Actb","Actn4"
"92","Myh10","Actn4"
"93","Lima1","Actn4"
"94","Ncbp2","Actn4"
"95","Ruvbl2","Actl6a"
"96","Bcl7c","Actl6a"
"97","Ruvbl1","Actl6a"
"98","Mecom","Actl6a"
"99","Bach1","Actl6a"
"100","Smarcc1","Actl6a"
"101","Prdm16","Actl6a"
"102","Bcl7b","Actl6a"
"103","Prdm16","Actn1"
"104","Cdk5r2","Actn1"
"105","Lima1","Actn1"
"106","Myo1c","Actn1"
"107","Myh9","Actn1"
"108","Calml3","Actn1"
"109","Adam12","Actn2"
"110","Fbxo32","Actn2"
"111","Smad6","Acvr1"
"112","Rab3b","Acvr1"
"113","Ubxn1","Acvr1"
"114","Rhebl1","Acvr1"
"115","Rhod","Acvr1"
"116","Nek8","Acvr1"
"117","Fbxo30","Acvr1"
"118","Plekhb1","Acvr1"
"119","Rab17","Acvr1"
"120","Fancl","Acvr1"
"121","Chn1","Acvr1"
"122","Zbtb48","Acvr1b"
"123","Acvr2b","Acvr1b"
"124","Smad7","Acvr1b"
"125","Nedd1","Acvr1b"
"126","Dok1","Acvr2a"
"127","Mstn","Acvr2b"
"128","Dok1","Acvr2b"
"129","Fus","Adar"
"130","Srsf1","Adar"
"131","Prdm16","Adar"
"132","Rpl35","Adar"
"133","Sesn2","Adar"
"134","Junb","Adar"
"135","Rrbp1","Adar"
"136","Mecom","Adar"
"137","Ufl1","Adarb1"
"138","Rpl35","Adarb1"
"139","Rcc1","Adarb2"
"140","Coro1c","Add1"
"141","Tpm4","Add1"
"142","Rnf183","Add1"
"143","Tmod3","Add1"
"144","Lima1","Add1"
"145","Xpo1","Add1"
"146","Myo1c","Add1"
"147","Myh9","Add1"
"148","Lima1","Add3"
"149","Xpo1","Add3"
"150","Myh9","Add3"
"151","Calml3","Add3"
"152","Tmod3","Add3"
"153","Zfp365","Parp1"
"154","Rrp1b","Parp1"
"155","Slx4","Parp1"
"156","Aire","Parp1"
"157","Prdm16","Parp1"
"158","Mapk13","Parp1"
"159","Timeless","Parp1"
"160","Brwd3","Parp1"
"161","Atrx","Parp1"
"162","Ksr1","Parp1"
"163","Eif3i","Parp1"
"164","Mecom","Parp1"
"165","Lgals3bp","Parp4"
"166","Sntg2","Adra1d"
"167","Hacd3","Adra2a"
"168","Nos1","Adrb3"
"169","Cav3","Adrb3"
"170","Tnpo1","Grk2"
"171","Rfx5","Grk2"
"172","Opn4","Grk2"
"173","Opn4","Grk3"
"174","Xpo1","Ap2a1"
"175","Numb","Ap2a1"
"176","Flnb","Ap2a1"
"177","Calml3","Ap2a1"
"178","Myo1c","Ap2a1"
"179","Tpm1","Ap2a1"
"180","Edc4","Ap2a1"
"181","Myh9","Ap2a1"
"182","Lima1","Ap2a1"
"183","Cd2ap","Ap2a1"
"184","Ppp1cb","Ap2a1"
"185","Myh10","Ap2a1"
"186","Mcm3","Ap2a1"
"187","Coro1c","Ap2a1"
"188","Uso1","Ap2a1"
"189","Actb","Ap2a1"
"190","Ppp6r3","Ap2a1"
"191","Csnk1e","Ap2a1"
"192","Dab2","Ap2a1"
"193","Actb","Ap2a2"
"194","Rnf111","Ap2a2"
"195","Dab2","Ap2a2"
"196","Numb","Ap2a2"
"197","Ppp6r3","Ap2a2"
"198","Kcnj11","Ap2a2"
"199","Ppp6r3","Ap1b1"
"200","Numb","Ap1b1"
"201","Xpo1","Ap1b1"
"202","Numb","Ap2b1"
"203","Edc4","Ap2b1"
"204","Myh10","Ap2b1"
"205","Necap1","Ap2b1"
"206","Flnb","Ap2b1"
"207","Kifbp","Ap2b1"
"208","Dab2","Ap2b1"
"209","Itga5","Ap2b1"
"210","Rnf111","Ap2b1"
"211","Uso1","Ap2b1"
"212","Calml3","Ap2b1"
"213","Actb","Ap2b1"
"214","Ap2a2","Ap2b1"
"215","Myh9","Ap2b1"
"216","Tpm1","Ap2b1"
"217","Xpo1","Ap2b1"
"218","Ap1s2","Ap1g1"
"219","Ap1s1","Ap1g1"
"220","Slc2a8","Ap1g1"
"221","Mecom","Ap1g1"
"222","Xpo1","Ap1g1"
"223","Ect2","Tle5"
"224","Lck","Tle5"
"225","Wnt3a","Afm"
"226","Mapkapk5","Ager"
"227","Egfr","Ager"
"228","Ppp1r3b","Agl"
"229","Sdcbp","Jag1"
"230","Htra1","Jag1"
"231","Mpp2","Jag1"
"232","Kif1c","Ahcy"
"233","Mapk13","Ahcy"
"234","Dab2","Ahcy"
"235","Xpo1","Ahr"
"236","Smad3","Ahsg"
"237","Mad2l1","Ahsg"
"238","Xpo1","Crybg1"
"239","Tox4","Ak2"
"240","Nrip3","Ak2"
"241","Aifm1","Ak2"
"242","Ppargc1a","Akt1"
"243","Alad","Alad"
"244","Kctd5","Alb"
"245","Vps4b","Alb"
"246","Yap1","Alb"
"247","Rab5c","Abcd1"
"248","Abcd2","Abcd1"
"249","Abcd3","Abcd1"
"250","Abcd1","Abcd1"
"251","Mecom","Aldh1b1"
"252","Bag2","Aldh1b1"
"253","Bub1","Aldh1b1"
"254","Prdm16","Aldh1b1"
"255","Lgals3bp","Aldh1b1"
"256","Tubg1","Aldh1b1"
"257","Shcbp1","Aldh3b1"
"258","Tnpo1","Aldh3a2"
"259","Atp7a","Aldh3a2"
"260","Rnf183","Aldh3a2"
"261","Tubg1","Aldh3a2"
"262","Smn1","Aldh3a2"
"263","Mad2l2","Aldh3a2"
"264","Stag2","Aldh3a2"
"265","Prkci","Aldh3a2"
"266","Mapk13","Aldoa"
"267","Cep152","Aldoa"
"268","Cotl1","Alox5"
"269","Actb","Alpi"
"270","Erh","Akp3"
"271","Trim69","Akp3"
"272","Cbx1","Akp3"
"273","Cep76","Akp3"
"276","Mecom","Amd1"
"277","Vcp","Amfr"
"278","Hacd3","Amhr2"
"279","Pacsin1","Amph"
"280","Ehbp1l1","Bin1"
"281","Rnf183","Ank2"
"282","Mecom","Ank2"
"283","Dennd6a","Ank3"
"284","Cry1","Ank3"
"285","Tmed10","Ank3"
"286","Cep76","Anpep"
"287","Smad6","Slc25a4"
"288","Dnajc11","Slc25a5"
"289","Ecsit","Slc25a5"
"290","Mecom","Slc25a5"
"291","Tubg1","Slc25a5"
"292","Itgb1","Slc25a5"
"293","Ksr1","Slc25a5"
"294","Rab11a","Slc25a5"
"295","Prdm16","Slc25a5"
"296","Bmpr1a","Anxa1"
"297","Dppa3","Anxa1"
"298","Ophn1","Anxa1"
"299","Kifc1","Anxa1"
"300","Dnajc11","Anxa2"
"301","Mecom","Anxa2"
"302","Myh9","Anxa2"
"303","Ecpas","Anxa2"
"304","Ophn1","Anxa2"
"305","Calml3","Anxa2"
"306","Ksr1","Anxa2"
"307","Dppa3","Anxa2"
"308","Prdm16","Anxa2"
"309","Flot2","Anxa2"
"310","Ankfy1","Anxa2"
"311","Flnb","Anxa2"
"312","Cdk1","Anxa4"
"313","AI837181","Anxa5"
"314","Ube2k","Anxa7"
"315","Smad3","Anxa7"
"316","Cep135","Anxa7"
"317","Racgap1","Anxa11"
"318","Mus81","Anxa11"
"319","Yap1","Anxa11"
"320","Septin9","Anxa11"
"321","Lox","Apaf1"
"322","Bcl2l10","Apaf1"
"323","Cask","Apba1"
"324","App","Apba2"
"325","Rnf183","Apbb1"
"326","App","Apbb1"
"327","Nhsl1","Apc"
"328","Pxn","Apc"
"329","Ckap5","Apc"
"330","Gsk3b","Apc"
"331","Dlg4","Apc"
"332","Otud7b","Apc"
"333","Tnks2","Apc"
"334","Flot2","Apc"
"335","Zranb1","Apc"
"336","Lats2","Apc"
"337","Fbxw11","Apc"
"338","Jup","Apc"
"339","Mybbp1a","Aire"
"340","Hlf","Apex1"
"341","Tnfrsf1b","Birc2"
"342","Traf2","Birc2"
"343","Junb","Birc2"
"344","Sumo3","Xiap"
"345","Zbtb48","Xiap"
"346","Ranbp2","Xiap"
"347","Cnot2","Xiap"
"348","Bex3","Xiap"
"349","Rnf183","Xiap"
"350","Htra2","Xiap"
"351","Incenp","Birc5"
"352","Slc5a7","Aplp1"
"353","Tom1","Aplp1"
"354","Tmsb4x","Aplp1"
"355","Apbb1","Aplp1"
"356","Apbb1","Aplp2"
"357","Gpkow","Aplp2"
"358","Slc5a7","Aplp2"
"359","Lep","Apoa1"
"360","Cep135","Apoa1"
"361","Papss1","Apoa1"
"362","Pcna","Apob"
"363","Stmn1","Apob"
"364","Chmp6","Apob"
"365","Lck","Apoe"
"366","Cryab","App"
"367","Apbb1","App"
"368","Mapk8ip1","App"
"369","Tmem30a","App"
"370","Grb2","App"
"371","Dppa3","App"
"372","Ppid","App"
"373","Slc5a7","App"
"374","Pin1","App"
"375","Dab1","App"
"376","Shc1","App"
"377","Ptpn13","Fas"
"378","Pdcd6","Fas"
"379","Ube2i","Fas"
"380","Bmi1","Ar"
"381","Foxo1","Ar"
"382","Siah2","Ar"
