"","GeneNameA","GeneNameB"
"1","Abca17","Abca4"
"2","Fndc5","Abcb7"
"3","Unk","Abcb7"
"4","Rpp30","Abcb7"
"5","Cfd","Abcb7"
"6","Sting1","Abcb7"
"7","Syne2","Abi1"
"8","Nckap1","Abi1"
"9","Dlg4","Abi1"
"10","Mink1","Abi1"
"11","Prpf40a","Abi1"
"12","Cyfip1","Abi1"
"13","Tnik","Abi1"
"14","Ywhab","Abi1"
"15","Evl","Abi1"
"16","Prrc2a","Abi1"
"17","Prex1","Abi1"
"18","Rbm3","Abi1"
"19","Wipf2","Abi1"
"20","Tpm1","Abi1"
"21","Stx4a","Abi1"
"22","Abl1","Abi1"
"23","Tsc1","Abi1"
"24","Atxn1","Abi1"
"25","Abi2","Abi1"
"26","Nck2","Abi1"
"27","Pacsin2","Abi1"
"28","Shank3","Abi1"
"29","Ncf1","Abi1"
"30","Cdon","Abl1"
"31","Fmn1","Abl1"
"32","Asrgl1","Abl1"
"33","Epha4","Abl1"
"34","Dok3","Abl1"
"35","Enah","Abl1"
"36","Cish","Abl1"
"37","Sh3bp1","Abl1"
"38","Abl1","Abl1"
"39","Crkl","Abl1"
"40","Dok1","Abl1"
"41","Itgb1","Abl1"
"42","Inpp5d","Abl1"
"43","Nck1","Abl1"
"44","Pstpip1","Abl1"
"45","Prkn","Abl1"
"46","Pparg","Abl1"
"47","Crk","Abl1"
"48","Acadm","Acadl"
"49","Acadvl","Acadl"
"50","Osmr","Acadl"
"51","Eci1","Acadl"
"52","Kcnq1","Acadl"
"53","Cav3","Acadl"
"54","Ech1","Acadl"
"55","Cfd","Acadl"
"56","Fndc5","Acadl"
"57","Crat","Acadl"
"58","Kcnq1","Acadm"
"59","Cfd","Acadm"
"60","Eci1","Acadm"
"61","Mmut","Acadm"
"62","Adh5","Acadm"
"63","Ech1","Acadm"
"64","Fndc5","Acadm"
"65","Atp1b1","Acadm"
"66","Cav3","Acadm"
"67","Kcnq1","Acadvl"
"68","Metap2","Acadvl"
"69","Ppp1ca","Acadvl"
"70","Ech1","Acadvl"
"71","Fndc5","Acadvl"
"72","Cfd","Acadvl"
"73","Eci1","Acadvl"
"74","Acadm","Acadvl"
"75","Cav3","Acadvl"
"76","Atxn1","Acadvl"
"77","Crat","Acadvl"
"78","Acadl","Acads"
"79","Cpt2","Acads"
"80","Acadvl","Acads"
"81","Ech1","Acads"
"82","Eci1","Acads"
"83","Crat","Acads"
"84","Acadm","Acads"
"85","Fancd2","Slc33a1"
"86","Wdtc1","Slc33a1"
"87","Asic1","Asic2"
"88","Dlg4","Asic2"
"89","Hcn1","Asic1"
"90","Stom","Asic1"
"91","Tmf1","Ace"
"92","Nphp4","Aco1"
"93","Lgals1","Aco1"
"94","Dhodh","Aco1"
"95","Dlg4","Aco2"
"96","Kcnma1","Aco2"
"97","Cfd","Aco2"
"98","Hadhb","Aco2"
"99","Cav3","Aco2"
"100","Idh3g","Aco2"
"101","Atg16l1","Aco2"
"102","Atp5f1a","Aco2"
"103","Uqcr10","Aco2"
"104","Ndufs6","Aco2"
"105","Mettl21e","Aco2"
"106","Grin2b","Aco2"
"107","Tia1","Aco2"
"108","Tfe3","Aco2"
"109","Sdhaf3","Aco2"
"110","Atp5f1c","Aco2"
"111","Ogdh","Aco2"
"112","Fh1","Aco2"
"113","Dlat","Aco2"
"114","Ppp1r9b","Aco2"
"115","Atp5me","Aco2"
"116","Dld","Aco2"
"117","Ywhab","Aco2"
"118","Ywhah","Aco2"
"119","Slc25a4","Aco2"
"120","Got2","Aco2"
"121","Sdha","Aco2"
"122","Fndc5","Aco2"
"123","Ndufa12","Aco2"
"124","Mdh2","Aco2"
"125","Ywhaz","Aco2"
"126","Pfkm","Aco2"
"127","Coq9","Aco2"
"128","Ndufs1","Aco2"
"129","Ndufs2","Aco2"
"130","Cisd1","Aco2"
"131","Cycs","Aco2"
"132","Atxn1","Aco2"
"133","Ehhadh","Acox1"
"134","Scp2","Acox1"
"135","Ptgr3","Acox1"
"136","Elavl2","Acox1"
"137","Gpd2","Acox1"
"138","Pecr","Acox1"
"139","Crat","Acox1"
"140","Acad11","Acox1"
"141","Acsl6","Acox1"
"142","Hsdl2","Acox1"
"143","Acaa1a","Acox1"
"144","Hsd17b4","Acox1"
"145","Elavl4","Acox1"
"146","Dhrs4","Acox1"
"147","Hacl1","Acox1"
"148","Pex14","Acox1"
"149","Pex7","Acox1"
"150","Ech1","Acox1"
"151","Cat","Acox1"
"152","Fndc5","Acp1"
"153","Atxn1","Acp1"
"154","Fancd2","Acp1"
"155","Hnrnpk","Acp1"
"156","Prdx4","Acp1"
"157","Cfd","Acp1"
"158","Zap70","Acp1"
"159","Cfd","Acp2"
"160","Fndc5","Acp2"
"161","Xpo7","Acp5"
"162","Zp2","Acr"
"163","Canx","Chrna1"
"164","Chrna1","Chrna1"
"165","Stau1","Chrna1"
"166","Chrna5","Chrna4"
"167","Chrnb2","Chrna7"
"168","Canx","Chrnb1"
"169","Chrna4","Chrnb2"
"170","Canx","Chrnd"
"171","Fndc5","Adipoq"
"172","Adipoq","Adipoq"
"173","Cfd","Adipoq"
"174","Gstk1","Adipoq"
"175","Cacnb4","Acta1"
"176","Zbtb7b","Acta1"
"177","Klhl40","Acta1"
"178","Actg1","Acta1"
"179","Eef1a2","Acta1"
"180","Pgam2","Acta1"
"181","Atxn1","Acta1"
"182","Fancd2","Acta1"
"183","Hmga2","Acta1"
"184","Hip1r","Acta1"
"185","Kcnma1","Acta1"
"186","Ipp","Acta1"
"187","Prkn","Acta1"
"188","Fth1","Acta1"
"189","Adss2","Acta1"
"190","Epb41","Acta1"
"191","Ckm","Acta1"
