"","GeneNameA","GeneNameB"
"1","Ppif","A2m"
"2","Snca","Abl1"
"3","Grap2","Abl1"
"4","Mbp","Abl2"
"5","Eno1","Ache"
"6","Eno1b","Ache"
"7","Gata4","Actb"
"8","Pparg","Actb"
"9","Actr1a","Actb"
"10","Mrtfa","Actb"
"11","Ep300","Actb"
"12","Cdk9","Actb"
"13","Sorbs1","Actb"
"14","Pparg","Actg1"
"15","Fcho2","Actn4"
"16","Cdk5r2","Actn1"
"17","Adam12","Actn2"
"18","Fbxo32","Actn2"
"19","Rhod","Acvr1"
"20","Nek8","Acvr1"
"21","Ubxn1","Acvr1"
"22","Rab17","Acvr1"
"23","Plekhb1","Acvr1"
"24","Chn1","Acvr1"
"25","Rhebl1","Acvr1"
"26","Fancl","Acvr1"
"27","Rab3b","Acvr1"
"28","Smad6","Acvr1"
"29","Fbxo30","Acvr1"
"30","Smad7","Acvr1b"
"31","Acvr2b","Acvr1b"
"32","Dok1","Acvr2a"
"33","Dok1","Acvr2b"
"34","Mstn","Acvr2b"
"35","Mapk13","Parp1"
"36","Slx4","Parp1"
"37","Rrp1b","Parp1"
"38","Sntg2","Adra1d"
"39","Hacd3","Adra2a"
"40","Cav3","Adrb3"
"41","Nos1","Adrb3"
"42","Numb","Ap2a1"
"43","Dab2","Ap2a2"
"44","Numb","Ap2a2"
"45","Kcnj11","Ap2a2"
"46","Numb","Ap1b1"
"47","Necap1","Ap2b1"
"48","Numb","Ap2b1"
"49","Slc2a8","Ap1g1"
"50","Ap1s1","Ap1g1"
"51","Ap1s2","Ap1g1"
"52","Wnt3a","Afm"
"53","Egfr","Ager"
"54","Mapkapk5","Ager"
"55","Htra1","Jag1"
"56","Mpp2","Jag1"
"57","Sdcbp","Jag1"
"58","Mapk13","Ahcy"
"59","Ppargc1a","Akt1"
"60","Alad","Alad"
"61","Yap1","Alb"
"62","Abcd2","Abcd1"
"63","Abcd1","Abcd1"
"64","Abcd3","Abcd1"
"65","Mapk13","Aldoa"
"66","Cotl1","Alox5"
"67","Vcp","Amfr"
"68","Hacd3","Amhr2"
"69","Pacsin1","Amph"
"70","Ksr1","Anxa2"
"71","Yap1","Anxa11"
"72","Bcl2l10","Apaf1"
"73","Cask","Apba1"
"74","App","Apba2"
"75","App","Apbb1"
"76","Dlg4","Apc"
"77","Zranb1","Apc"
"78","Pxn","Apc"
"79","Otud7b","Apc"
"80","Mybbp1a","Aire"
"81","Hlf","Apex1"
"82","Traf2","Birc2"
"83","Tnfrsf1b","Birc2"
"84","Bex3","Xiap"
"85","Htra2","Xiap"
"86","Slc5a7","Aplp1"
"87","Apbb1","Aplp1"
"88","Tom1","Aplp1"
"89","Tmsb4x","Aplp1"
"90","Slc5a7","Aplp2"
"91","Apbb1","Aplp2"
"92","Lep","Apoa1"
"93","Dab1","App"
"94","Shc1","App"
"95","Apbb1","App"
"96","Ppid","App"
"97","Mapk8ip1","App"
"98","Slc5a7","App"
"99","Cryab","App"
"100","Pin1","App"
"101","Tmem30a","App"
"102","Grb2","App"
"103","Ptpn13","Fas"
"104","Ube2i","Fas"
"105","Pdcd6","Fas"
"106","Bmi1","Ar"
"107","Siah2","Ar"
"108","Foxo1","Ar"
"109","Mapk13","Arf3"
"110","Rabac1","Rhoa"
"111","Plekhg5","Rhoa"
"112","Diaph1","Rhoc"
"113","Ostm1","Arnt"
"114","Sim2","Arnt"
"115","Hif3a","Arnt"
"116","Nr0b2","Arnt"
"117","Clock","Arnt"
"118","Cry2","Bmal1"
"119","Hgs","Arrb1"
"120","Akt1","Arrb1"
"121","Hgs","Arrb2"
"122","Mdm2","Arrb2"
"123","Sec61b","Asgr2"
"124","Cebpb","Atf4"
"125","Ppme1","Atp1a1"
"126","Rnf183","Atp1a1"
"127","Bace1","Atp1b1"
"128","Nos1","Atp2b4"
"129","Yap1","Atp5f1a"
"130","Mapk13","Atp5f1a"
"131","Arf6","Atp6v1c1"
"132","H2-D1","B2m"
"133","Hacd3","Bag1"
"134","Mcl1","Bak1"
"135","Mfn2","Bak1"
"136","Bid","Bak1"
"137","Pmaip1","Bak1"
"138","Hap1","Bard1"
"139","Mfn2","Bax"
"140","Gimap4","Bax"
"141","Pmaip1","Bax"
"142","Lepr","Bbs1"
"143","Sstr3","Bbs2"
"144","Sstr3","Bbs4"
"145","Cdk4","Ccnd1"
"146","Bad","Bcl2"
"147","Bax","Bcl2"
"148","Itpr1","Bcl2"
"149","Bcl2l11","Bcl2"
"150","Bcl2l11","Bcl2a1a"
"151","Bad","Bcl2l1"
"152","Bmf","Bcl2l1"
"153","Mapk1","Bcl2l1"
"154","Bid","Bcl2l1"
"155","Bad","Bcl2l2"
"156","Bid","Bcl2l2"
"157","Bmf","Bcl2l2"
"158","Bcl2l11","Bcl2l2"
"159","Tnfsf13","Tnfrsf17"
"160","Numb","Bcr"
"161","Tlr4","Bgn"
"162","Bcl2a1a","Bik"
"163","Cbx2","Bmi1"
"164","Bgn","Bmp1"
"165","Sfrp2","Bmp1"
"166","Cfc1","Bmp2"
"167","Acvr2a","Bmp2"
"168","Acvr2a","Bmp7"
"169","Bmpr1a","Bmpr1a"
"170","Rhebl1","Bmpr1b"
"171","Ubxn1","Bmpr1b"
"172","Sash3","Bmpr1b"
"173","Lztr1","Bmpr1b"
"174","Ube2i","Foxl2"
"175","Sp100","Foxl2"
"176","Pias2","Foxl2"
"177","Ddx20","Foxl2"
"178","Bap1","Brca1"
"179","Ifi204","Brca1"
"180","Bard1","Brca1"
"181","Ksr1","Braf"
"182","Rgs12","Braf"
"183","Rad51","Brca2"
"184","Palb2","Brca2"
"185","Haus7","Bsg"
"186","Ap1m1","Bst2"
"187","Cnot7","Btg1"
"188","Mbp","Btk"
"189","Ppif","C1qbp"
"190","Fbxl16","C1qbp"
"191","Rrp1b","C1qbp"
"192","Rims3","Cacnb4"
"193","Hacd3","Calcr"
"194","Cobl","Calm1"
"195","Myo1c","Calm1"
"196","Plec","Calm1"
"197","Cobl","Calm2"
"198","Plec","Calm2"
"199","Myo1c","Calm2"
"200","Cobl","Calm3"
"201","Plec","Calm3"
"202","Myo1c","Calm3"
"203","Cdk5r2","Camk2a"
"204","Ostm1","Camk2a"
"205","Mapk13","Canx"
"206","Creld2","Canx"
"207","Edem1","Canx"
"208","Ankrd1","Capn3"
"209","Trim59","Capza1b"
"210","Trim59","Capzb"
"211","Gzmb","Casp3"
"212","Cdon","Casp3"
"213","Gzmb","Casp7"
"214","Fadd","Casp8"
"215","Trp53inp2","Casp8"
"216","Cdon","Casp9"
"217","Rab18","Cat"
"218","Vcp","Cav1"
"219","Grb7","Cav1"
"220","Hipk2","Runx1"
"221","Cdk4","Runx3"
"222","Tcf7l1","Runx3"
"223","Grap2","Cbl"
"224","Il6st","Cbl"
"225","Pik3r1","Cbl"
"226","Itsn1","Cbl"
"227","Mapk13","Cbr1"
"228","Ptpn11","Cckbr"
"229","Rap1a","Krit1"
"230","Samhd1","Ccna2"
"231","Samhd1","Ccnb1"
"232","Gata4","Ccnt1"
"233","Cdk9","Ccnt1"
"234","Ep300","Ccnt1"
"235","Mapk13","Cct6a"
"236","Ccr7","Cd247"
"237","Sdcbp","Cd6"
"238","Pik3r1","Cd28"
"239","Grb2","Cd28"
"240","Traf1","Tnfrsf8"
"241","Gba1","Scarb2"
"242","Ifi211","Cdk1"
"243","Ifi204","Cdk1"
"244","Samhd1","Cdk1"
"245","Birc6","Cdk1"
"246","Dnajc17","Cdc5l"
"247","Sirt2","Cdc20"
"248","Axin2","Cdc20"
"249","Sirt2","Cdc27"
"250","Ppp5c","Cdc27"
"251","Rag1","Cdc34"
"252","Pak2","Cdc42"
"253","Pard6a","Cdc42"
"254","Ktn1","Cdc42"
"255","Pard6b","Cdc42"
"256","Cdc42","Cdc42"
"257","Cbll1","Cdh1"
"258","Ccna2","Cdk2"
"259","Samhd1","Cdk2"
"260","Ifi211","Cdk2"
"261","Ifi204","Cdk2"
"262","Kat2a","Cdk4"
"263","Mapt","Cdk5"
"264","Gata4","Cdk9"
"265","Usp19","Cdk9"
"266","Brdt","Cdk9"
"267","Ep300","Cdk9"
"268","Hacd3","Cdk9"
"269","Abl1","Cdkn1b"
"270","Dnm1l","Cfl1"
"271","Pdzk1","Cftr"
"272","Cftr","Cftr"
"273","Pparg","Chd1"
"274","Trp53","Chd3"
"275","Tbx5","Chd4"
"276","Chek1","Chek1"
