"","GeneNameA","GeneNameB"
"5504","Abl1","Abi1"
"5506","Pacsin2","Abi1"
"5508","Prpf40a","Abi1"
"5512","Prrc2a","Abi1"
"5516","Nck2","Abi1"
"5518","Ncf1","Abi1"
"5520","Prex1","Abi1"
"5526","Tpm1","Abi1"
"5532","Rbm3","Abi1"
"5534","Mink1","Abi1"
"5536","Stx4a","Abi1"
"5584","Dok3","Abl1"
"5588","Cdon","Abl1"
"5592","Crk","Abl1"
"5600","Pstpip1","Abl1"
"5608","Dok1","Abl1"
"5624","Prkn","Abl1"
"5636","Pparg","Abl1"
"5640","Cish","Abl1"
"5660","Crkl","Abl1"
"5676","Enah","Abl1"
"5680","Epha4","Abl1"
"5684","Asrgl1","Abl1"
"5716","Abl1","Abl1"
"5720","Nck1","Abl1"
"5740","Inpp5d","Abl1"
"5744","Fmn1","Abl1"
"5764","Sh3bp1","Abl1"
"5784","Dlg4","Asic2"
"5787","Asic1","Asic2"
"5790","Kcnma1","Aco2"
"5792","Ppp1r9b","Aco2"
"5804","Zp2","Acr"
"5805","Stau1","Chrna1"
"5807","Canx","Chrna1"
"5809","Chrna1","Chrna1"
"5815","Chrna5","Chrna4"
"5818","Chrnb2","Chrna7"
"5820","Canx","Chrnb1"
"5822","Canx","Chrnd"
"5824","Adipoq","Adipoq"
"5830","Gstk1","Adipoq"
"5839","Kat5","Acta1"
"5843","Hip1r","Acta1"
"5845","Fbxo32","Acta1"
"5855","Prkn","Acta1"
"5859","Ipp","Acta1"
"5865","Trim32","Acta1"
"5873","Traf6","Actb"
"5885","Mt3","Actb"
"5889","Pkd1","Actb"
"5893","Cxadr","Actb"
"5901","Rara","Actb"
"5905","Prkn","Actb"
"5913","Patj","Actb"
"5933","Dab1","Actb"
"5941","Trpm7","Actb"
"5957","Prom1","Actb"
"5973","Set","Actb"
"5997","Kcnma1","Actb"
"6005","Dmrt2","Actb"
"6013","Prkce","Actb"
"6017","Plekhh2","Actb"
"6021","Fbxo32","Actb"
"6029","Kat5","Actb"
"6045","Mme","Actb"
"6053","Ppp1r9b","Actb"
"6057","Atp6v1a","Actb"
"6061","Pknox1","Actb"
"6093","Dmrt2","Actc1"
"6094","Grin1","Actc1"
"6095","Grin2b","Actc1"
"6100","Rnf123","Actg1"
"6103","Itga2b","Actg1"
"6106","Kat5","Actg1"
"6109","Kcnma1","Actg1"
"6118","Klhl17","Actg1"
"6127","Cotl1","Actg1"
"6133","Fbxo32","Actg1"
"6136","Smarca2","Actg1"
"6142","Ank2","Actg1"
"6151","Plekhg5","Actg1"
"6157","Smarca4","Actg1"
"6163","Lmna","Actg1"
"6175","Plec","Actg2"
"6180","Ar","Actn2"
"6186","Grin1","Actn2"
"6192","Ppp1r9b","Actn2"
"6201","Grip1","Actn2"
"6204","Grin2b","Actn2"
"6210","Raver1","Actn2"
"6231","Trim32","Actn3"
"6237","Nrap","Actn3"
"6241","Pdlim5","Acta2"
"6243","Casp7","Acta2"
"6249","Smad7","Acvr1"
"6251","Inha","Acvr1"
"6255","Smad6","Acvr1"
"6265","Inhba","Acvr1b"
"6266","Inhba","Acvr2a"
"6267","Inhba","Acvr2b"
"6268","Cdh5","Acvrl1"
"6270","Eng","Acvrl1"
"6272","Dlg1","Adam10"
"6280","Mme","Adam10"
"6282","Pacsin3","Adam15"
"6283","Sh3gl2","Adam15"
"6287","Lgi1","Adam22"
"6290","Dlg4","Adam22"
"6305","Dchs1","Adamts1"
