,Receptor,DSA,p_value,fdr_value,n
Csf1r,Csf1r,26113.70176199297,1.816093851815699e-153,1.9977032369972687e-152,3
Vcam1,Vcam1,19413.319420117845,0.00014751153029965018,0.001622626833296152,3
Itga5,Itga5,13103.873727629838,3.9955706290334145e-33,4.395127691936756e-32,3
Plxnb2,Plxnb2,26338.402470702924,2.140049704647352e-59,2.354054675112087e-58,3
Kdr,Kdr,16163.1242060082,0.06548957928804747,0.7203853721685222,3
Tnfrsf1b,Tnfrsf1b,39337.61771354398,2.7663566761596383e-141,3.042992343775602e-140,3
Traf2,Traf2,20261.662333992226,1.171289710851687e-104,1.2884186819368557e-103,3
Cxcr4,Cxcr4,28363.531306370674,3.7637248432464705e-103,4.140097327571118e-102,3
Rpsa,Rpsa,24945.09108708168,3.086516109558713e-117,3.395167720514584e-116,3
Csf2rb,Csf2rb,35640.54523979297,1.810739879150487e-168,1.9918138670655357e-167,3
F11r,F11r,6924.38563022463,6.572714347232561e-65,7.229985781955817e-64,3
