"","gene_name","log2FoldChange","padj"
"1","Ryk",3.88383621604016,2.55890245716883e-78
"2","Osmr",7.93049273416768,2.53934765939248e-61
"3","Cd80",3.99386198462565,2.20235469785907e-55
"4","Ednrb",8.39126576575037,4.10358337442303e-55
"5","Il17rc",6.4357822662732,7.92867429375736e-54
"6","Bmpr1a",3.31338245787853,7.96622471402184e-52
"7","Htr7",4.1658318250081,1.19922404759834e-46
"8","Plxnd1",3.36732750583805,6.59301728064499e-45
"9","Unc5b",7.05244595196148,1.04739170755237e-44
"10","Tnfrsf11b",5.13345370106813,2.7234236423471e-44
"11","Thbd",5.22405041754945,1.0438348895558e-39
"12","Mcc",5.05875021274127,1.19988610347899e-36
"13","Smo",4.55035640335436,3.83135884472059e-35
"14","Nrp2",3.6521913481503,1.29020493340882e-34
"15","Sdc1",2.93625316887769,2.87538761841127e-34
"16","Adora2b",5.64834603583945,1.03165216968775e-33
"17","Pdgfrb",8.03913349426911,4.85196074417025e-33
"18","Boc",7.65013847956244,2.49126743043696e-32
"19","F3",7.91059078147737,4.75556115037265e-32
"20","Klrk1",3.04000820686743,2.10553046294541e-31
"21","Gpr176",4.84901325465901,1.14208958456522e-30
"22","Axl",3.58707498146295,4.30445926104673e-30
"23","Mylk",4.93878867281439,1.89070102278156e-29
"24","Cadm4",4.56101906932905,2.68642541990143e-29
"25","C3ar1",8.89749342658686,4.75153882220106e-29
"26","Sphk1",5.46869666291751,5.05404915992909e-29
"27","Mertk",9.19223705765332,3.22211534990536e-28
"28","Neo1",6.22923725159968,7.66187061409065e-28
"29","Vdr",4.49478973682354,2.38409488438206e-27
"30","P2ry2",5.42775419304159,3.70313742474821e-26
"31","Il1r1",4.14055741911717,3.8658512603523e-26
"32","Mc1r",6.82546718731504,1.45912454901242e-25
"33","Nectin3",4.20262072072087,3.60253350568024e-25
"34","Procr",5.2401712672235,4.72786434105632e-25
"35","Pcdh1",8.25446002116161,5.2106383867107e-25
"36","Fzd6",4.59237376160106,3.49058080295192e-24
"37","Fzd7",4.86900498068191,5.98784201155543e-24
"38","Clec7a",7.15753217165041,1.17457175326503e-23
"39","Ptafr",5.6452497605546,1.67842504046305e-23
"40","Egfr",4.4979142717396,2.48421796933252e-23
"41","Pdcd1",4.46861650211649,4.97137457988325e-22
"42","Cd151",3.09762521858175,6.02502234165605e-22
"43","Grik2",8.35281758112846,6.31130247492452e-22
"44","Rtn4rl2",5.62819920276017,6.47433519811624e-22
"45","Lrp1",6.50311801404113,6.68020119054612e-22
"46","Itga5",4.24380809595927,1.13576186931369e-21
"47","Fpr2",6.70777225276475,1.32096250865016e-21
"48","Acvr1",3.81169031902379,2.46251903272284e-21
"49","Csf2rb",3.08788672169549,2.8155402123843e-21
"50","Tie1",9.29948127163633,3.11896024115916e-21
"51","Pcdh7",5.74139534928426,1.37431704291775e-20
"52","Ednra",7.67344899000391,1.7733560874776e-20
"53","Ccr1",6.99031925667105,1.86264262274874e-20
"54","Ephb4",5.55158646690569,2.42334638112777e-20
"55","Cd34",9.32453558591231,2.45060118626901e-19
"56","Cubn",5.05099842082468,4.4080633637329e-19
"57","Cdh19",8.70125911734807,5.65047786027123e-19
"58","Ghr",6.45473185808684,6.61384832886225e-19
"59","Itgav",2.13579294877969,1.29258039818256e-18
"60","Npr1",4.99136608061884,2.41240336397729e-18
"61","Ncam1",5.3923054902747,8.77123538691875e-18
"62","Robo4",11.3997455077157,2.24211487183532e-17
"63","Fzd2",6.17668010763701,5.42620040059352e-17
"64","Mrc2",8.36800546470286,8.95219749073458e-17
"65","Agtr1a",4.84798492930842,9.72787759215697e-17
"66","P2ry14",2.88915345156918,1.1338645701221e-16
"67","Plxna1",4.03662567857138,1.84950563694363e-16
"68","Notch3",7.07640540846068,2.27646110295169e-16
"69","Antxr1",6.27053829530855,3.13775090426078e-16
"70","Vldlr",5.19056518116386,3.88963258356315e-16
"71","Ptprb",11.1269068055834,5.57101269901746e-16
"72","Itga9",6.05478834183314,6.0478362011784e-16
"73","Flt1",7.5618875362797,6.62338827070222e-16
"74","Itgb5",4.48197609964453,1.30195304166289e-15
"75","Bmpr2",2.92502562031916,1.67910707511708e-15
"76","Gfra1",5.25936106497893,5.37653455309907e-15
"77","Gpc1",3.20616800247792,5.83299980578487e-15
"78","Plxna2",7.37601538733817,7.16821073967092e-15
"79","Ltbr",5.17178713118289,1.55554330363592e-14
"80","Cmklr1",5.92470157616395,1.61005731256264e-14
"81","Gpc4",7.47804030262231,1.819131932748e-14
"82","Pkd2",4.66481258930843,2.19614556704985e-14
"83","Hcar2",7.21813608679386,2.23594566661609e-14
"84","Fat1",6.56998724658803,3.23042665547719e-14
"85","Kit",2.12545131914961,3.40444055648216e-14
"86","Sfrp1",10.4612861117798,5.96760919950378e-14
"87","Rgma",5.58375541303996,9.36836420773364e-14
"88","Slc40a1",5.39120085805366,1.05782541678638e-13
"89","Ddr2",6.69320286225881,1.89436593934466e-13
"90","Msr1",7.65357006017348,2.21470310989501e-13
"91","Pcdh17",7.8696891765651,2.35325045203965e-13
"92","Ccr2",2.38254576783283,3.38548800079119e-13
"93","Nectin2",4.82267924375978,3.51567114930209e-13
"94","Ptprm",7.84381694980912,4.87176643800561e-13
"95","Itga1",4.93037088244388,4.98760909955696e-13
"96","Lgr4",4.41454248164792,5.83237179168783e-13
"97","Ramp3",3.64398032453674,7.44694271544908e-13
"98","Ptprg",6.49178953078027,8.9218509765275e-13
"99","Cdh11",4.60182635843163,9.05541759659343e-13
"100","Jam3",3.79694437592656,1.49126440398619e-12
"101","Tek",8.21069376273354,2.22783516460512e-12
"102","Esam",5.7394932837184,3.26078128642523e-12
"103","Lpar4",6.62277999886565,3.46147847429558e-12
