"","gene_name","log2FoldChange","padj"
"1","Plxnd1",3.36732750583805,6.59301728064499e-45
"2","Adora2b",5.64834603583945,1.03165216968775e-33
"3","F3",7.91059078147737,4.75556115037265e-32
"4","Axl",3.58707498146295,4.30445926104673e-30
"5","P2ry2",5.42775419304159,3.70313742474821e-26
"6","Procr",5.2401712672235,4.72786434105632e-25
"7","Ptafr",5.6452497605546,1.67842504046305e-23
"8","Pdcd1",4.46861650211649,4.97137457988325e-22
"9","Itga5",4.24380809595927,1.13576186931369e-21
"10","Csf2rb",3.08788672169549,2.8155402123843e-21
"11","Hcar2",7.21813608679386,2.23594566661609e-14
"12","Nectin2",4.82267924375978,3.51567114930209e-13
"13","Nlgn2",1.86386641047634,3.5519279896808e-11
"14","Scarf1",4.42383251878233,8.11886622973269e-11
"15","Kdr",5.00112427729911,2.9396863945299e-10
"16","Sdc3",4.07883289758342,4.89125579433493e-10
"17","Tnfrsf12a",3.10884858667635,2.1568002522741e-08
"18","Cd274",2.22918837973556,3.14350083067288e-07
"19","M6pr",0.79310836954671,3.74699357688577e-07
"20","Ptgir",2.47339650918591,1.26956197503848e-06
"21","P2rx4",1.48635394700994,1.69265401690031e-06
"22","Tlr2",3.29568314973936,1.8771840533818e-06
"23","Ccrl2",3.50743360920397,6.50292886149263e-06
"24","Plxnb2",2.95602520033795,1.26982722780218e-05
"25","Pvr",1.97480734742643,1.8805939760394e-05
"26","F11r",3.39564959250435,3.79150647661967e-05
"27","Tnfrsf1b",1.1963236420538,0.00086538506020175
"28","Vcam1",3.74638330441731,0.000866868488226831
"29","Ackr1",4.28926290610518,0.00110886166461591
"30","Gpr84",7.57469491052277,0.00168202111104775
"31","Csf1r",4.13701240458607,0.00252299191122138
"32","Rrbp1",1.31519244782787,0.00687590544735948
"33","Cd40",0.829113433725844,0.00701002086191608
"34","Robo3",2.30518879524961,0.0167287444617819
"35","Epor",2.3228497640658,0.0214359591176432
"36","Icam1",1.11319009898787,0.0307221065623132
