"","gene_name","log2FoldChange","padj"
"1","Adam17",2.2241145714788,5.40771672225577e-101
"2","Alcam",2.19435803444656,2.7942631133117e-18
"3","App",2.5106965150276,1.44490406403444e-99
"4","Arf1",0.828989390475119,1.16328324803369e-09
"5","Artn",4.53793051448489,1.44594801980068e-07
"6","C3",1.54769583998879,1.53272355361466e-05
"7","Calm1",0.558294150533536,0.019066468890516
"8","Ccl3",0.492560763925275,0.0160928616831459
"9","Ccl5",1.51867803546749,2.89165518055053e-12
"10","Cd200",1.18923887440191,5.70486236381986e-05
"11","Cd274",1.42442480898566,2.96432429994299e-10
"12","Cd40",0.659187148973165,0.00960605891675055
"13","Col5a3",5.10426825445726,4.27858808879374e-05
"14","Copa",0.580372278864742,0.00307578776790931
"15","Csf1",1.33069148408518,2.4597685509171e-12
"16","Cxcl1",1.59586166528351,0.000223711933886988
"17","Cxcl16",2.40921485634232,1.1520779714788e-38
"18","Edn1",1.47302599091066,1.42589152840399e-05
"19","Fbn1",2.79268512007771,0.00556463676962753
"20","Flrt2",4.17237448992089,1.10579993628097e-22
"21","Flrt3",1.97239832588031,3.82698727359638e-08
"22","Gmfb",0.990838697567424,4.58798923483402e-05
"23","H2-M3",0.768526555199505,0.000492931224968535
"24","Hbegf",2.07927870438816,1.20544098116363e-08
"25","Icam1",0.797684276044178,0.00441645216973551
"26","Il12a",1.48989697460707,0.00214515441630876
"27","Il15",2.25271833262835,1.29097035271806e-08
"28","Il1rn",1.81522554628985,4.08388243253188e-07
"29","Il27",2.64262739691801,1.100286812876e-05
"30","Inhba",3.28516260184977,1.27663148933449e-37
"31","Itgal",0.70198268902689,0.0239768504405875
"32","Itgb1",1.63300914379813,4.29069161263853e-20
"33","Jag1",3.0998251769062,2.26979446321038e-25
"34","Mmp13",4.85754517506322,1.17889675838148e-10
"35","Nectin2",0.634634852915017,0.0232911732127675
"36","Nlgn2",1.44828849892532,5.26727848961705e-05
"37","Nppc",3.71113706160261,0.0233657991114784
"38","Nts",1.92810528479223,0.00855660247771415
"39","Pcdh7",5.92577597989103,2.39085167752453e-26
"40","Penk",3.37083077146432,2.82437772546105e-19
"41","Plekho2",2.6694648082436,1.3484241418769e-40
"42","Psen1",1.11078417609561,9.16445337461394e-14
"43","Sema4d",1.97889074542079,2.66396247129701e-19
"44","Serpine1",3.71361392590209,1.06250495071052e-13
"45","Thbs4",6.09425296976906,2.02096285222904e-07
"46","Timp1",3.74368333733779,2.73100195318929e-10
"47","Tnc",5.77840921056463,3.59066277177498e-07
"48","Tnfsf10",1.53488710027083,3.18310463808519e-05
"49","Tnfsf4",1.15863221492421,0.00135232453765283
