"","gene_name","log2FoldChange","padj"
"1","Tnfrsf1b",1.95326760735796,5.98942112461115e-24
"2","Ptgir",2.37304021480532,3.48836886666822e-23
"3","Ccrl2",2.65071133723083,4.67547709804137e-19
"4","Icam1",1.27485303125133,1.20148595819547e-17
"5","Gpr84",1.91862775747295,2.55716362470451e-16
"6","Slc40a1",2.07850824137517,3.86332610109842e-16
"7","Ptafr",1.54469412776905,4.22662262819672e-16
"8","Procr",1.56009460422438,1.40066427529902e-12
"9","Pvr",1.15661981336605,1.65713150183964e-11
"10","Hcar2",2.65513711754979,1.80224224395895e-11
"11","P2rx4",1.01610990745782,7.19050280172119e-11
"12","Axl",1.51218651805938,1.03150903711221e-10
"13","Adora2b",1.27111052871429,1.93808643736078e-09
"14","Cxcr4",0.883701146242646,3.64008286884419e-09
"15","Plaur",1.16000892315827,4.42426906745417e-09
"16","Alcam",1.39696770825399,8.25636321693982e-09
"17","Tlr2",1.30767889185082,1.15227494085503e-07
"18","Cntnap1",2.20657319642647,2.88558153040266e-07
"19","Csf2rb",0.727863031519536,2.98332323624649e-07
"20","Plxnd1",0.763377860599823,3.27926845281292e-07
"21","Plxna1",1.36102695338597,9.02279605088458e-07
"22","Cd40",0.819699380631156,1.60214674729497e-05
"23","Fas",1.31586072219559,1.83508132665727e-05
"24","Derl1",0.466238943567035,2.57573381448181e-05
"25","Traf2",0.672660284812762,6.04844731634026e-05
"26","Amfr",0.490940841038322,9.31179041838053e-05
"27","Cd200r4",1.09947444018452,0.00012001491073691
"28","Pik3cb",1.06490952993769,0.000133362420752971
"29","Tyro3",2.67063726967123,0.000155215409650527
"30","Tnfrsf8",2.07805666609599,0.000165698223838275
"31","Abca7",0.611420303103364,0.000222584381354705
"32","F3",5.10173234038464,0.000224251930118217
"33","Lrp8",0.847418215329716,0.000257171092378362
"34","Ldlr",0.795136332663335,0.000298343908598627
"35","Ccr10",2.46363790261704,0.0003072212262838
"36","Cd274",0.569318691489038,0.000820992381801563
"37","P2ry2",1.43272979003677,0.00111402558251144
"38","Jmjd6",0.496616975897287,0.00116666805644526
"39","Kremen1",0.924735716642366,0.00135506778540817
"40","Ifnar2",0.46926757156275,0.00145554922899745
"41","Atp6ap2",0.492243130131618,0.00154637092563694
"42","Agtrap",0.736412053993781,0.00160706289988671
"43","Ntng2",2.70771149754604,0.00242773448179228
"44","Rarg",1.39762500851596,0.00335177310551955
"45","Kit",0.517894046557544,0.00460472195333766
"46","Ednrb",3.44397325691007,0.00840625138237922
"47","Ltbr",0.590824583123805,0.00893804403695446
"48","Cd44",0.374633499984836,0.00953663226808479
"49","Robo3",1.53769282630094,0.0103514800132133
"50","Tnfrsf11b",1.3914684964328,0.0109697327907297
"51","Il10rb",0.359526452239154,0.011411105010659
"52","Notch1",0.393586864972853,0.0130811966109551
"53","Ackr1",3.87338005477176,0.0139593618395364
"54","Ncstn",0.431261751601121,0.0185161001059959
"55","Grm6",0.698886295914586,0.0185810751003721
"56","Il9r",1.82287584889712,0.0187970391243177
"57","Gp5",1.12135785982844,0.0194839709137359
"58","Il1rl1",0.769343380799933,0.0208585722067245
"59","Tnfrsf10b",1.7199784889797,0.0221130410984634
"60","Fcgr2b",0.365234155878295,0.0226933560854279
"61","Nectin1",0.928919173685662,0.0227619084430461
"62","Csf2ra",0.435845753340319,0.0253919123003161
"63","Adora2a",0.612744455670407,0.0254356578590095
"64","Rpsa",0.370967174967515,0.025882062008505
"65","P2ry1",1.07192661941021,0.0300255116442093
"66","Dag1",0.315386044593516,0.0303532965958459
"67","Nrp2",0.466242306792433,0.0303810439845148
"68","Cmklr1",0.915349191942079,0.0350012706305485
"69","Ifnar1",0.479702353953297,0.0385081091341503
"70","Nlgn2",0.703292694946437,0.0398165512094417
"71","Tnfrsf11a",0.997427392421424,0.0476429202992279
