"","gene_name","log2FoldChange","padj"
"1","Sdc3",2.2440545599347,5.4733409207398e-22
"2","Ogfr",0.806285394065223,1.53722129516653e-09
"3","Anxa6",1.19824553293279,3.40680563519628e-09
"4","Vcam1",2.60761620929666,3.43538044651912e-08
"5","Pdcd1",1.37536785401553,1.34487561396233e-07
"6","Plxnb2",1.53547537480873,3.44391780018889e-07
"7","Nlgn2",1.15049829550989,6.01164552882947e-05
"8","Cd74",0.916226939036887,9.30411731600656e-05
"9","Cd2",0.887795525725835,0.000110153434881636
"10","Ptpn6",0.497379277730748,0.000192481648612042
"11","Il21r",0.800478719362577,0.000430516009950016
"12","Cd22",0.808931177749481,0.000704941354608639
"13","Selplg",0.428719164090628,0.000712483748726262
"14","Cxcr5",0.660393334292031,0.000905304295497258
"15","Itpr3",0.628703342705227,0.00127627731419265
"16","Ccr6",1.08673690782236,0.00127721554903436
"17","Eng",0.941879339441958,0.00712276495356686
"18","Il15ra",0.623943034249202,0.0109021468501346
"19","Tnfrsf12a",0.779455022561117,0.0109663585616919
"20","Rrbp1",0.420107505329361,0.0140528017220297
"21","Ager",1.38620110883141,0.0167000127883325
"22","Ffar1",1.43918484177643,0.0197698649775354
"23","Itga5",1.65133856425553,0.0206658798357636
"24","Cd247",0.527924274847685,0.030323573855179
"25","Cdh17",1.12237868747216,0.0323997355248029
"26","Cd40",0.480125633701219,0.0329201830254085
"27","Nectin2",1.32092494933581,0.0337113670569082
"28","Ifngr1",0.425624231191258,0.0410355317740422
"29","Gpr18",0.449730461257539,0.0467283877625057
"30","Fkbp1b",1.09603389707563,0.0483300223503063
