"","gene_name","log2FoldChange","padj"
"1","Gpr84",2.70485741821651,1.50177499265552e-30
"2","Ptgir",1.96881328107986,2.34705499557668e-14
"3","Nlgn2",1.88091449991683,3.75342059747499e-12
"4","Alox5",1.41848255361863,6.51994907410166e-11
"5","Cxcr4",0.945384900982087,2.97031163407634e-10
"6","Fcgr2b",0.868771233065679,1.38628255483809e-09
"7","Itga2b",1.82110958811037,2.90080505770082e-09
"8","Tnfrsf1b",1.12537644227523,1.30839283443328e-08
"9","Traf2",0.848290310674056,2.29162126572234e-07
"10","Ffar2",1.21227718250254,6.1902241617042e-07
"11","F2r",1.34705621086839,8.69483257096697e-07
"12","Grm6",1.52660590667341,9.60866279843902e-07
"13","Ptpn6",0.593184414668492,1.05909090239756e-06
"14","Tnfrsf21",1.38686115755249,1.09163180972956e-06
"15","Hcar2",1.92323801938983,3.61499295893777e-06
"16","Adora2b",1.05484038246952,4.56841884672208e-06
"17","Cntnap1",2.95350185310999,4.78375176717808e-06
"18","P2rx4",0.725955477200817,4.82178578829655e-06
"19","Il1rl1",1.47502285313142,7.57611372652567e-06
"20","Adgrl1",0.876707560274157,1.30323816802923e-05
"21","Rrbp1",0.60883081971186,2.44620094607564e-05
"22","Derl1",0.476050296585385,3.98279866197424e-05
"23","Ccr10",3.74442522924849,3.99770512661201e-05
"24","Robo3",2.32041222852509,4.05998809464521e-05
"25","Tnfrsf12a",1.06157673447681,4.98834213463266e-05
"26","Ogfr",0.533941791547837,5.38286419830808e-05
"27","Abca7",0.650192853379553,8.01418616176604e-05
"28","C5ar1",1.90525952606428,0.000124458837570127
"29","P2ry2",1.69779709154243,0.000140057089917713
"30","Itga5",2.35718849604456,0.000141542845065462
"31","Tnfrsf8",1.83146581844249,0.000197623402339767
"32","Pdcd1",0.890176648404362,0.000215204858079776
"33","Rpsa",0.555517348578007,0.00025723645775693
"34","Ptger3",1.63667290843278,0.000312487696535298
"35","Slc1a5",0.585843763681149,0.000522521120744595
"36","Fgfrl1",2.41971599217964,0.000591486138810225
"37","Adora3",0.755624626856214,0.000687770022902617
"38","Ccrl2",1.04215306083578,0.000742419071727995
"39","Pik3cb",0.969883766587211,0.000916769932538109
"40","Plaur",0.717397516966864,0.000940877538178328
"41","P2ry1",1.68784603303617,0.00128628785623059
"42","Ltb4r1",0.794059749364816,0.00140862203987555
"43","Pvr",0.559494171181908,0.00189514608473925
"44","Ntng2",2.72935222877598,0.00221954924983035
"45","Vcam1",1.40340659190534,0.00233840627586102
"46","Mpl",2.26492663840154,0.0023414144138332
"47","Fcgr3",0.676698383733329,0.00370618552223395
"48","Vldlr",3.35394237011048,0.00665531778754171
"49","Epor",2.08179824927851,0.00676115835708582
"50","Ifnar2",0.394344145784187,0.00736703694672037
"51","Tlr2",0.680593903619334,0.00883897420188193
"52","Tnfrsf11b",1.69146726525341,0.00973110334005629
"53","Cd44",0.377076454874453,0.0105570957901302
"54","Ncam1",1.68614740410771,0.011095462871387
"55","Cd34",1.00775441160784,0.0169694828775251
"56","Csf2ra",0.460341461622702,0.0171070469967728
"57","Cadm4",4.11032527891751,0.0171180916971251
"58","Slc40a1",0.782308417177435,0.0189041603092298
"59","Esam",1.76872596776311,0.0200159733590769
"60","Pde1b",0.73858069911745,0.0213442956040967
"61","Ifngr2",1.03246458233699,0.0223175128462484
"62","Gp5",1.22289467392171,0.0263255835825257
"63","Ptprk",3.65974785181222,0.0290786197333931
"64","S1pr3",1.06974774018104,0.0358434071625046
"65","Cd40",0.399835300183896,0.0447567131565696
"66","Ltbr",0.476333731376533,0.0450228406975783
"67","Rack1",0.148273338584433,0.0452197897559581
"68","Atp6ap2",0.334114503577766,0.0468831627916222
