"","gene_name","log2FoldChange","padj"
"1","Tnfrsf1b",1.93997452806512,5.4577201571545e-23
"2","Icam1",1.26697586642018,4.00912804158373e-16
"3","Gpr84",1.85733484156363,1.1096470391716e-14
"4","Axl",1.81728680862911,6.60086892245199e-14
"5","Ccrl2",2.25799292946476,3.19666685345854e-13
"6","Cd40",1.29982501433237,2.81059577964609e-12
"7","P2rx4",1.12276943805717,3.9387499949167e-12
"8","Nlgn2",1.85379099045633,4.98467233727148e-10
"9","Cxcr4",0.936817983695473,2.34329624077393e-09
"10","Ptafr",1.20485284215708,3.835620918284e-09
"11","Sdc3",1.3728581055989,4.3323437807152e-09
"12","Ogfr",0.783669900236964,4.71180765609074e-09
"13","Pvr",1.08869449275466,1.98437854972482e-08
"14","Tlr2",1.30317801114434,4.01785009441658e-07
"15","Traf2",0.862472236106167,8.98109791015025e-07
"16","Ifnar2",0.724929697726727,1.07860750489549e-06
"17","Ptgir",1.24946340726688,4.58451694702411e-06
"18","Cd274",0.781329564589616,4.66318848213894e-06
"19","Vcam1",2.13958529186777,6.38703626028005e-06
"20","Procr",1.08607801886323,8.73167742310009e-06
"21","Tnfrsf12a",1.22524469174977,2.15785439520359e-05
"22","Plxnd1",0.642878182200899,0.000105289434048623
"23","Cd247",0.819898174096632,0.000139359759680278
"24","Itga5",2.63067803521317,0.000179170263411461
"25","Hcar2",1.67398015530855,0.000184914932562046
"26","Tnfrsf8",2.19540204041493,0.000217152705942513
"27","Abca7",0.648358677321844,0.000224619718880608
"28","Ptpn6",0.456430607255453,0.000500974619545639
"29","Rpsa",0.546219556743004,0.000590184385737995
"30","Il21r",0.752678765593458,0.000686408321831488
"31","Nectin2",1.8632362251164,0.0016538435540497
"32","Adgrl1",0.693709117239151,0.00201280692299362
"33","Robo3",1.89613300756323,0.00230699034661985
"34","Fcgr2b",0.482348878845191,0.00251092836908333
"35","Kdr",2.68357559898681,0.0026573292728752
"36","M6pr",0.431918550946135,0.00499015238632352
"37","Csf2rb",0.437617058173267,0.0053429633415887
"38","Anxa6",0.547794317939481,0.013597130436249
"39","Rrbp1",0.395105608363714,0.0144849633896046
"40","Plxnb2",0.731439648816542,0.0180907402732238
"41","Ntng2",2.35418405634598,0.0182954326176459
"42","F11r",1.21100621646904,0.0205786347021122
"43","Ackr1",3.77795197614633,0.0240929878638966
"44","Ccr10",1.78062143811499,0.0262629302683108
"45","Rarg",1.19547480279743,0.0305053760474224
"46","Adora2b",0.557364147421599,0.034266363831009
"47","P2ry2",1.05238289097035,0.0342689627381302
"48","Il2rg",0.394419396322369,0.0342952819274024
"49","Pdcd1",0.579232297582937,0.0352061082051284
"50","Pde1b",0.738974988533794,0.0357095225139923
"51","F3",3.40400036644121,0.0382753332611851
"52","Csf1r",0.619453353057469,0.0408639898403158
"53","Scarf1",1.069378968744,0.0422949412617528
"54","Epor",1.69972722546234,0.0478033393476519
