"","gene_name","log2FoldChange","padj"
"1","Tnf",6.26829810339981,4.90409658934433e-193
"2","Ccl3",4.96228024066147,3.62347451307969e-159
"3","Cxcl2",5.38107473580136,6.61775419371061e-148
"4","Cd40",3.71297769334546,5.23401907414705e-110
"5","Ccl4",5.64888450084288,3.04266703958168e-101
"6","Inhba",3.35075352969861,2.01145991669246e-63
"7","Il12b",5.67023193184001,2.8797849493814e-60
"8","Ebi3",2.63568659053109,5.61307735591173e-57
"9","Gdf15",3.39827635299203,8.58221201265263e-53
"10","Ccl5",3.36785589064341,4.85152028048893e-47
"11","Dll4",5.45052869960306,3.48073928647733e-43
"12","Il27",6.60368432407617,4.45967820180338e-39
"13","Tnfsf15",7.94213377598838,1.24294585121256e-38
"14","Il12a",3.78832438345637,1.80888025273707e-36
"15","Icam1",1.96355908092682,2.84673115451329e-36
"16","Il23a",5.75088374423518,2.88372620412591e-31
"17","Sema7a",1.97253111129978,2.2860117477671e-30
"18","Edn1",3.90768057326911,1.02333790148621e-28
"19","Pvr",2.47785978823127,1.59541713519549e-28
"20","Ccl22",2.57661816204026,1.06658569509498e-26
"21","Cxcl1",5.9704820897399,2.20323714330935e-25
"22","Cxcl5",3.68818008541448,8.15813539578815e-24
"23","Cd70",3.73374772302678,6.13487326579986e-23
"24","Csf3",7.41163667132389,2.19168874229509e-22
"25","Tnfsf9",2.36498396542203,2.58483394180023e-22
"26","Il1rn",1.81929918071973,7.15199109562677e-21
"27","Lta",1.89244356329365,3.44941193115022e-20
"28","Hdc",2.48976725545121,2.8007446773225e-19
"29","Cxcl10",6.21589945926112,2.92485101296677e-19
"30","Vcam1",2.29278478461612,7.55924310545661e-19
"31","Ptgs2",6.05950344646128,5.29951300517912e-18
"32","Lif",4.76867446600298,4.78975356612075e-17
"33","Agrn",2.88962076103478,4.92764021420007e-17
"34","Il6",3.54408379884896,1.84791036206789e-16
"35","Il15",2.77260003848555,1.16414002992593e-14
"36","Il1a",5.33317661378875,1.34055661940623e-13
"37","Csf1",1.60632756236935,6.74174444005184e-11
"38","Cd274",1.59460823488456,3.59372789199317e-10
"39","Il1b",5.24930288301294,4.86423784291052e-10
"40","Il22",5.80205787738739,5.04325977484852e-10
"41","Il10",4.29006580166857,5.32008084730761e-10
"42","Csf2",5.04280156509958,6.45136199867685e-10
"43","Ifnb1",7.57369647027678,1.04184874424867e-09
"44","Dll1",3.44216529566725,1.15457547907527e-09
"45","Ccl2",3.70727913927678,1.72651460356162e-09
"46","Vegfa",1.34637528667917,2.90878144729268e-09
"47","Amigo2",2.20795915328125,3.02050025097889e-09
"48","Tnfsf10",3.25818307013573,7.68302124456819e-09
"49","Cd86",1.16798346118247,8.56588619256812e-09
"50","Ccl7",3.14894853882147,2.66932601842417e-08
"51","Ccl17",2.2231744981258,3.33299070977643e-08
"52","Nectin2",2.00230569361764,7.19439930551296e-08
"53","Il18",2.11433098926761,5.48873097679785e-06
"54","Alcam",1.3466349152636,6.04364193709738e-06
"55","Ifng",4.69397538437063,1.8089585904441e-05
"56","Osm",1.34268247056707,2.02111385437219e-05
"57","Cd80",0.870937867771087,0.000119886585476817
"58","Il33",5.43993615965441,0.000196310287613958
"59","Cxcl16",0.77489013400787,0.000427075810872478
"60","Cxcl11",3.30234286984992,0.000671091746071987
"61","Wnt10a",1.78193114339532,0.000688594656108314
"62","Ccl12",3.21490445896321,0.000751143135393141
"63","Grn",0.84169428641973,0.000887940978008795
"64","Il17a",3.95670905889498,0.00115691326512355
"65","Nlgn2",1.65320094387612,0.00136584987850901
"66","H2-T23",1.24766348651747,0.00137803860367833
"67","Pdgfb",1.29599569377004,0.00145929415627873
"68","Ccl20",5.10735015092128,0.0017315151465609
"69","Pdgfa",1.38236917336278,0.00176851712995439
"70","Tnfsf8",1.78646015362025,0.00236800495866706
"71","Thbs1",0.692614842150556,0.00248296086375595
"72","Sct",4.65630524380454,0.00268538463919489
"73","Plat",3.11290692177507,0.00277349862220144
"74","Adm",1.50704632480015,0.00282182404473145
"75","Mmp13",2.67947853016873,0.0032322571072697
"76","Icosl",0.735552216004911,0.00357511881893073
"77","Cd200",0.847416893631136,0.0040161806955009
"78","Vwf",1.58797740555496,0.00856718739142634
"79","Nts",4.53321466296537,0.00875997217614873
"80","Prok2",3.61886250837482,0.0100831026962042
"81","Kitl",1.79481083677492,0.0103112727507651
"82","Icam5",2.64050344471056,0.010416643087721
"83","Il17f",4.50290402027519,0.0106980223758172
"84","Rps19",0.392414181954693,0.0154821015133883
"85","Sell",0.652453365572732,0.0157462219214814
"86","H2-M3",0.724434973787537,0.0164070185850967
"87","Fam3c",0.536060236433652,0.0190786907755983
"88","Serpine1",1.94059077915813,0.0200792784821247
"89","Tnfsf4",1.19515079165583,0.0201240182586385
"90","Slit1",3.77263777871711,0.0262437505822937
"91","Gzmb",2.62748201247619,0.0282451164363944
"92","Ptprm",1.58415583500706,0.0285160328331387
"93","Yars",0.672025353354161,0.0287634036216682
"94","Il13",1.3978912652592,0.0330285949656854
"95","Bmp1",1.25866740893353,0.0438057062859997
