from	to
CXCL1	CXCR2
CXCL2	CXCR2
CXCL3	CXCR2
CXCL5	CXCR2
PPBP	CXCR2
CXCL6	CXCR2
CXCL8	CXCR2
CXCL6	CXCR1
CXCL8	CXCR1
CXCL9	CXCR3
CXCL10	CXCR3
CXCL11	CXCR3
CXCL12	CXCR4
CXCL13	CXCR5
CXCL16	CXCR6
XCL1	XCR1
XCL2	XCR1
CX3CL1	CX3CR1
CCL20	CCR6
CCL25	CCR9
CCL17	CCR4
CCL22	CCR4
CCL19	CCR7
CCL21	CCR7
CCL2	CCR2
CCL4L1	CCR5
CCL3L3	CCR5
CCL13	CCR2
CCL13	CCR3
CCL7	CCR2
CCL7	CCR1
CCL5	CCR5
CCL5	CCR1
CCL5	CCR3
CCL14	CCR1
CCL16	CCR1
CCL23	CCR1
CCL15	CCR1
CCL15	CCR3
CCL8	CCR3
CCL11	CCR3
CCL24	CCR3
CCL26	CCR3
CCL28	CCR3
CCL28	CCR10
CCL27	CCR10
IL6	IL6ST
IL6	IL6R
IL11	IL11RA
IL11	IL6ST
OSM	LIFR
OSM	IL6ST
OSM	OSMR
LIF	LIFR
LIF	IL6ST
CNTF	CNTFR
CNTF	LIFR
CNTF	IL6ST
CLCF1	CNTFR
CLCF1	LIFR
CLCF1	IL6ST
CTF1	LIFR
CTF1	IL6ST
CSF3	CSF3R
LEP	LEPR
IL4	IL13RA1
IL4	IL4R
IL13	IL13RA1
IL13	IL4R
IL12A	IL12RB2
IL12A	IL12RB1
IL23A	IL12RB1
IL23A	IL23R
CSF2	CSF2RB
CSF2	CSF2RA
IL3	IL3RA
IL3	CSF2RB
IL5	IL5RA
IL5	CSF2RB
IL2	IL2RG
IL2	IL2RB
IL2	IL2RA
IL4	IL2RG
IL7	IL7R
IL7	IL2RG
IL9	IL9R
IL9	IL2RG
IL15	IL2RG
IL15	IL15RA
IL15	IL2RB
IL21	IL2RG
IL21	IL21R
TSLP	CRLF2
TSLP	IL7R
EPO	EPOR
GH1	GHR
GH2	GHR
PRL	PRLR
THPO	MPL
PDGFC	PDGFRA
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	PDGFRA
PDGFB	PDGFRB
PLEKHO2	PDGFRB
VEGFB	FLT1
VEGFA	FLT1
VEGFA	KDR
VEGFD	KDR
VEGFD	FLT4
HGF	MET
EGF	EGFR
CSF1	CSF1R
KITLG	KIT
FLT3LG	FLT3
IFNA1	IFNAR2
IFNA1	IFNAR1
IFNB1	IFNAR2
IFNB1	IFNAR1
IFNW1	IFNAR2
IFNW1	IFNAR1
IFNK	IFNAR2
IFNK	IFNAR1
IFNE	IFNAR2
IFNE	IFNAR1
IFNG	IFNGR2
IFNG	IFNGR1
IL10	IL10RB
IL10	IL10RA
IL19	IL20RA
IL20	IL20RA
IL20	IL22RA1
IL24	IL20RA
IL24	IL22RA1
IL22	IL10RB
IL22	IL22RA1
IL22	IL22RA2
IFNL2	IL10RB
IFNL2	IFNLR1
IFNL3	IL10RB
IFNL3	IFNLR1
IFNL1	IL10RB
IFNL1	IFNLR1
TNFSF10	TNFRSF10A
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10C
TNFSF10	TNFRSF10D
TNFSF10	TNFRSF11B
TNFSF11	TNFRSF11B
TNFSF11	TNFRSF11A
TNFSF12	TNFRSF12A
TNF	TNFRSF1B
TNF	TNFRSF1A
LTA	TNFRSF1B
LTA	TNFRSF1A
LTA	LTBR
LTA	TNFRSF14
LTB	LTBR
TNFSF14	LTBR
TNFSF14	TNFRSF14
TNFSF14	TNFRSF6B
FASLG	TNFRSF6B
FASLG	FAS
CD70	CD27
TNFSF8	TNFRSF8
TNFSF9	TNFRSF9
TNFSF4	TNFRSF4
TNFSF18	TNFRSF18
TNFSF13	TNFRSF17
TNFSF13	TNFRSF13B
TNFSF13B	TNFRSF17
TNFSF13B	TNFRSF13B
TNFSF13B	TNFRSF13C
EDA	EDAR
EDA	EDA2R
TGFB1	TGFBR1
TGFB1	TGFBR2
TGFB2	TGFBR1
TGFB2	TGFBR2
TGFB3	TGFBR1
TGFB3	TGFBR2
INHBA	ACVR1
INHBA	ACVR2A
INHBA	ACVR1B
INHBA	ACVR2B
INHBB	ACVR1
INHBB	ACVR2A
INHBB	ACVR1B
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR2A
INHBC	ACVR1B
INHBC	ACVR2B
INHBE	ACVR1
INHBE	ACVR2A
INHBE	ACVR1B
INHBE	ACVR2B
AMH	ACVR1
AMH	AMHR2
BMP2	ACVR1
BMP2	BMPR2
BMP2	BMPR1B
BMP2	BMPR1A
BMP7	BMPR1B
BMP7	ACVR2A
GDF5	BMPR1A
GDF5	ACVR2A
IL1A	IL1RAP
IL1A	IL1R1
IL1A	IL1R2
IL1B	IL1RAP
IL1B	IL1R1
IL1B	IL1R2
IL18	IL18RAP
IL18	IL18R1
CXCL11	ACKR3
CXCL12	ACKR3
CCL1	CCR8
IL25	IL17RB
IL25	IL17RA
IL17A	IL17RA
IL17A	IL17RC
IL17F	IL17RA
IL17F	IL17RC
IL17C	IL17RA
IL17C	IL17RE
IL17B	IL17RB
CD58	CD2
CD86	CD28
CD86	CTLA4
HLA-DMA	CD4
HLA-A	CD8A
PDCD1LG2	PDCD1
ICAM3	ITGB2
ICAM3	ITGAL
LRRC4	NTNG2
LRRC4B	PTPRF
CTSG	F2R
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CSH1	GHR
LEP	LEPR
