from	to
TGFbR1	TGFB1
R2	TGFB1
TGFbR2	TGFB1
TGFbR	TGFB1
TGFbR1	TGFB2
R2	TGFB2
TGFbR2	TGFB2
TGFbR	TGFB2
TGFbR1	TGFB3
R2	TGFB3
TGFbR2	TGFB3
TGFbR	TGFB3
CFC1	NODAL
CFC1	GDF1
CFC1	GDF3
MCAM	WNT5A
IGFLR1	IGFL3
IL11R complex	IL11
CAP1	RETN
LILRB3	ANGPTL1
LILRB3	ANGPTL2
LILRB3	ANGPTL7
NCL	MDK
NCL	PTN
CR2	C3
CR2	C4A
NPY6R	NPY
NPY6R	PPY
NPY6R	PYY
PARD3	PRSS3
PARD3	CTSG
PARD3	F2
PARD3	PLG
PARD3	GZMA
PARD3	PRSS2
PARD3	PRSS1
LXA4	ANXA1
GPR19	ENHO
HAVCR2	LGALS9
CHRNB1	SLURP1
CHRNB2	SLURP1
CHRNB3	SLURP1
CHRNB4	SLURP1
CHRNA2	SLURP1
CHRNA3	SLURP1
CHRNA4	SLURP1
CHRNA5	SLURP1
CHRNA6	SLURP1
CHRNA10	SLURP1
CHRND	SLURP1
CHRNE	SLURP1
CHRNG	SLURP1
CHRNA7	SLURP1
CHRNB1	SLURP2
CHRNB2	SLURP2
CHRNB3	SLURP2
CHRNB4	SLURP2
CHRNA2	SLURP2
CHRNA3	SLURP2
CHRNA4	SLURP2
CHRNA5	SLURP2
CHRNA6	SLURP2
CHRNA7	SLURP2
CHRNA10	SLURP2
CHRND	SLURP2
CHRNE	SLURP2
CHRNG	SLURP2
NCR3	BAG6
SV2B	LAMA1
SV2B	LAMA2
SV2B	LAMA3
SV2B	LAMA4
SV2B	LAMA5
SV2B	LAMB1
SV2B	LAMB2
SV2B	LAMB3
SV2B	LAMC1
SV2B	LAMC2
SV2B	LAMC3
GP complex	VWF
CD55	ADGRE5
CR2	FCER2
TMIGD3	ENTPD1
MRC1	PTPRC
CD244	CD48
PILRA	CD99
CD99L2	CD99
CEACAM5	CD1D
CEACAM5	CD8A
CEACAM5	CEACAM1
KLRB1	CLEC2D
KLRB1	CLEC2A
KLRB1	CLEC2B
KLRB1	CD69
KLRB1	CLEC2L
KLRB1	CLEC1B
CD8 receptor	LCK
CD8B	HLA-A
CD8B2	HLA-A
CD8B	HLA-B
CD8B2	HLA-B
CD8B	HLA-C
CD8B2	HLA-C
KIR2DL2	HLA-C
KIR2DS1	HLA-C
KIR3DL3	HLA-C
CD8B	HLA-E
CD8B2	HLA-E
CD94:NKG2A	HLA-E
CD94:NKG2C	HLA-E
CD94:NKG2E	HLA-E
CD8B	HLA-F
CD8B2	HLA-F
KIR3DS1	HLA-F
CD8B	HLA-G
CD8B2	HLA-G
LILRB2	HLA-G
HCST	ULBP1
PODXL	SELL
GLYCAM1	SELL
CD72	SEMA4D
IGSF11	VSIR
CCL4L1	CCR5
IL12A	IL12RB2
IL12A	IL12RB1
IL23A	IL12RB1
IL23A	IL23R
GH2	GHR
PLEKHO2	PDGFRB
IFNL2	IL10RB
IFNL2	IFNLR1
IFNL3	IL10RB
IFNL3	IFNLR1
IFNL1	IL10RB
IFNL1	IFNLR1
LTB	LTBR
CD58	CD2
ICAM3	ITGB2
ICAM3	ITGAL
CSH1	GHR
ADM2	CALCR
RSPO1	LGR4
RSPO1	LGR6
RSPO1	LGR5
RSPO4	LGR4
RSPO4	LGR6
RSPO4	LGR5
RSPO3	LGR4
RSPO3	LGR6
RSPO3	LGR5
RSPO2	LGR4
RSPO2	LGR6
RSPO2	LGR5
CALM3	CNGA2
CALM3	PDE1C
CALM3	PDE1B
CALM3	KCNH1
CALM3	MYLK
CALM3	MYLK2
CALM3	PDE1A
CALM2	CNGA2
CALM2	PDE1C
CALM2	PDE1B
CALM2	KCNH1
CALM2	MYLK
CALM2	MYLK2
CALM2	PDE1A
RLN2	RXFP1
RLN2	RXFP2
ALOX5AP	ALOX5
HEBP1	FPR3
HEBP1	FPR2
CAMP	FPR2
YARS	CXCR1
RPS19	C5AR1
DEFB4A	CCR6
DEFB4B	CCR6
ANGPT4	TEK
GAST	CCKAR
GAST	CCKBR
GNRH2	GNRHR
MLN	MLNR
MST1	MST1R
NDP	FZD4
COPA	NTSR2
PNOC	OPRL1
ARF1	PLD2
CSH2	PRLR
CSHL1	PRLR
CSH1	PRLR
ASIP	MC1R
ASIP	MC4R
ASIP	MC5R
ASIP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	MC3R
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ITGA5
ADAM17	ITGB1
ADAM23	ITGA5
ADAM23	ITGB3
ADAM2	ITGA6
ADAM2	ITGB1
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADM2	CALCRL
ADM2	RAMP1
APOB	LDLR
APOE	LDLR
APOE	LRP5
APOE	LRP8
APOE	SORL1
