gene_name	Caco2	HCT115	HCT16	SFM	SW1417	SW403	SW480	SW620
AC073488.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC119427.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MADD	123.098	119.391	101.454	110.582	120.869	121.205	148.2	123.944
MAST2	17.767	16.635	17.584	17.027	15.485	8.473	16.452	17.881
TRBJ2-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAA2-SAA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-2P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF32	17.848	11.076	13.833	12.197	9.079	9.278	12.362	16.721
AC092506.1	0.12	0.164	0.0	0.0	0.082	0.067	0.0	0.0
GAN	35.197	36.753	47.421	35.613	31.487	53.012	35.604	41.003
LDB2	0.0	0.989	0.624	0.832	0.709	0.765	0.0	0.384
NBPF7	0.0	0.0	0.0	0.0	0.434	0.0	0.0	0.0
AC091230.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01356	0.867	2.005	0.954	1.402	3.089	3.543	3.094	0.917
KRT18P57	0.123	0.0	0.0	0.0	0.228	0.0	0.0	0.0
DOCK10	16.897	20.155	15.484	30.928	8.671	19.827	12.58	15.637
AC245297.1	0.482	0.576	0.0	0.52	0.269	0.0	0.24	0.091
AC233266.2	0.0	0.044	0.0	0.0	0.0	0.133	0.18	0.184
AC147055.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HIST1H1E	0.0	0.361	0.191	1.657	0.0	0.0	1.016	0.337
OSBPL9P3	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0
LURAP1L	0.123	0.0	5.116	0.0	0.082	0.0	0.0	0.0
AC021506.1	0.0	0.0	0.0	0.0	0.322	0.0	0.0	0.0
MIR2392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC233702.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EIF4EP1	0.0	0.221	0.0	0.0	0.0	0.135	0.0	0.0
PDHB	66.595	70.758	39.316	60.068	51.091	55.885	37.978	58.01
AC129507.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL049840.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004232.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC103853.2	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0
ZBTB45P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008837.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DPY19L2P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR52K3P	95.762	116.916	26.706	153.123	168.948	36.672	34.19	60.419
AL157373.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
