"","baseMean","lgFC_CD8_Tumor_vs_CD8_DLN","lfcSE","stat","pvalue","padj"
"Sh3pxd2b",1809.30890431574,5.63866980705685,0.198488630635139,28.4080241221566,1.60953590925249e-177,3.65058839577557e-173
"Cd19",6903.44263804802,-8.57133781894055,0.36371608777196,-23.5660123571838,8.60297219351959e-123,9.75620061606089e-119
"Yap1",973.230144692306,7.73169024977183,0.334067935031459,23.1440657393346,1.66823048502107e-118,1.26123785435877e-114
"Cd79b",4997.46456839221,-7.00606304004667,0.320460889564989,-21.8624589401755,5.91694770038613e-106,3.35505726981144e-102
"Ms4a1",6084.87725318275,-8.45579756504422,0.389151845271356,-21.7287870218063,1.09660682908306e-104,4.97442789808658e-101
"Hmox1",4943.95864327855,6.90916290558616,0.318621593488586,21.6845406801773,2.87108782386611e-104,1.08531904888512e-100
"Thbs1",12946.5931877909,9.51280600872925,0.439443649570992,21.6473853200886,6.43277062929419e-104,2.08430958061459e-100
"Clec4n",1192.92790966283,7.39187172456613,0.346480969313953,21.334134856533,5.47479304402638e-101,1.55217226289453e-97
"Ifitm3",9345.72236868473,6.44506841740841,0.321232734018182,20.0635481222272,1.5371448602347e-89,3.87377584166481e-86
"Mt1",2257.36545339962,5.37036320030628,0.267888116252417,20.047037828457,2.14226714689628e-89,4.85887611587545e-86
"Fnip2",1109.66143542543,4.55194881207524,0.228378133613855,19.9316315447771,2.16391544101638e-88,4.46179691979022e-85
"Serpine1",4961.57561124843,8.76130399711136,0.442893810984998,19.7819517451061,4.2588323547664e-87,8.04954805320474e-84
"Ly6d",1729.86582619067,-4.64668857911073,0.237189057593591,-19.5906532377752,1.85791153332335e-85,3.24148396056207e-82
"Tnc",2675.25965511167,8.82680916776154,0.455812664283142,19.3649932514348,1.52374861019788e-83,2.468581587707e-80
"Rai14",1181.11469913337,5.76682067050294,0.299820914847483,19.2342174442249,1.91410484975397e-82,2.71336325607936e-79
"Steap3",786.577946410402,3.7656290345587,0.195754480975993,19.2364895852397,1.83203458286247e-82,2.71336325607936e-79
"Ryk",877.201856064837,3.88383621604016,0.203189557089289,19.1143495348704,1.91796401269213e-81,2.55890245716883e-78
"Ighd",10487.3408106812,-8.86712784414961,0.464527574635678,-19.0884854383595,3.14763644774185e-81,3.96619679284627e-78
"Pou2af1",4174.77815801866,-6.67774839470805,0.351807616845355,-18.9812501917587,2.43726972633763e-80,2.90945866647704e-77
"Sbk1",2720.53972828242,-3.64135881555273,0.192154042645629,-18.9502066436777,4.39852737260565e-80,4.98814996690344e-77
"Mgat4b",2511.68817629179,3.8689434313749,0.206707025299379,18.7170388900493,3.59593784813137e-78,3.8837841111175e-75
"Angpt2",894.726817604046,7.19426481397678,0.384828573417201,18.6947262000146,5.4650293183271e-78,5.63419681677168e-75
"C2",403.771841372396,5.14733184699323,0.276736134280833,18.6001436363554,3.20448051190558e-77,3.16003576045785e-74
"Fcmr",4545.97917704042,-8.2214566953655,0.442103222992531,-18.5962378643514,3.44663741794228e-77,3.25721596984786e-74
"Chst3",2463.53883104707,-7.50599091323185,0.408840421056983,-18.3592192127835,2.78583759294154e-75,2.52742329782029e-72
"Cdkn1a",7494.76896634017,4.26629258061855,0.235498088297725,18.1160391214087,2.3813365086468e-73,2.07734974433146e-70
"Anxa4",2856.67808211533,3.56252240428756,0.19743796780588,18.0437554330493,8.83320108422632e-73,7.42021606634582e-70
"Plagl1",2152.5624383739,5.55256960927715,0.310412345496384,17.8877215736957,1.46997138112105e-71,1.19072931768594e-68
"Uaca",922.300298399751,7.96650854441675,0.450515087717823,17.6831115352268,5.65853759364107e-70,4.42556176418528e-67
"Col5a3",2906.31895517086,9.5596442771349,0.544726687188494,17.5494325906359,6.0077201026178e-69,4.54203665491581e-66
"Cnr2",1266.80881521438,-4.65814387581966,0.268675041889996,-17.3374640348129,2.4532434265383e-67,1.79490368249404e-64
"Phf11d",1315.98554464233,5.3307957625629,0.307977467343481,17.3090447445545,4.02029532745693e-67,2.84950994756408e-64
"Thbs2",1277.82131498606,9.50018093851497,0.550143953030935,17.2685365097174,8.11749305352524e-67,5.5791775741517e-64
"Snx10",2152.17223925403,2.68480374534145,0.155675106011236,17.2461982787901,1.19508964734876e-66,7.97230243868154e-64
"Osmr",595.077163649558,7.93049273416768,0.469033905796683,16.9081438168041,3.9185736113371e-64,2.53934765939248e-61
"Blk",1541.14658519183,-7.07877093568687,0.419332888761517,-16.8810296673694,6.20530090144575e-64,3.90951193738031e-61
"Dst",3118.32079176208,4.45490701459898,0.264451590480396,16.8458318080308,1.12574865327981e-63,6.90083924460522e-61
"Fcrla",1366.40897558001,-5.04023517668915,0.299472386514655,-16.8303837136667,1.46151862520663e-63,8.72334314166095e-61
"Pdpn",1084.41716403972,7.82439354898132,0.465886605947973,16.7946308159267,2.67161639673052e-63,1.55371619216013e-60
"Ifi204",2811.51807368988,7.08432901953902,0.422656591590919,16.7614303443676,4.67246700915924e-63,2.64940560586852e-60
"F10",650.567761932316,6.71498014769995,0.403428273943583,16.6447930931063,3.30105116831194e-62,1.82612540362154e-59
"Col18a1",2925.98480172903,7.83817604755802,0.472216973878485,16.598674933644,7.12464267339507e-62,3.84747667798271e-59
"Timp1",1142.79650202225,9.06264085424494,0.546767552797265,16.5749426934361,1.057637011313e-61,5.57866629153259e-59
"Sox6",503.739318557962,8.05241003551266,0.48600563166027,16.5685529363197,1.17622416956079e-61,6.06316827041096e-59
"Als2cl",5373.91108916356,-3.90474736944092,0.237194655589823,-16.462206366881,6.85553471432992e-61,3.45534184123815e-58
"Cystm1",244.53425220332,4.46102283823888,0.272900058171024,16.3467273262478,4.58977708823831e-60,2.26305943778985e-57
"Acod1",2814.28796519554,9.1527706219743,0.567247640453912,16.1354053666054,1.43859962562674e-58,6.94231449124258e-56
"Bcar1",614.611535579857,6.3197649929631,0.392572126457578,16.0983538235133,2.61982357149319e-58,1.23792121718827e-55
"Fcer2a",5089.09292085397,-10.4600151072873,0.650852273022965,-16.071258472686,4.05764272679046e-58,1.87819172829254e-55
"Cd80",1344.29694910088,3.99386198462565,0.248681745172191,16.0601333317017,4.85506524813515e-58,2.20235469785907e-55
"Clec4e",1618.29158694889,7.64541090603649,0.476660959408636,16.0395156245263,6.76801570884512e-58,3.0099091037709e-55
"Ednrb",854.547026295739,8.39126576575037,0.523830531504139,16.0190467356981,9.4081537617388e-58,4.10358337442303e-55
