"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Il21",1.43,0.01,0.73,-0.03,-1.32,-0.82
"Gad1",1.25,0.58,0.73,-0.38,-0.94,-1.24
"Fam3c",1.1,0.86,0.66,-0.52,-0.76,-1.33
"Rln3",1.2,0.76,0.71,-0.72,-0.79,-1.16
"Tdgf1",0.56,1.29,0.5,0.01,-1.22,-1.13
"Egf",0.5,1.1,0.73,0.08,-1.37,-1.05
"Flt3l",0.62,0.98,0.87,-0.06,-1.29,-1.11
"Npff",0.84,0.8,0.8,-0.02,-1.4,-1.02
"Ltb",0.9,0.82,0.84,-0.21,-1.22,-1.13
"Sema4d",1.04,0.59,0.65,0.21,-1.24,-1.25
"Il12a",0.85,0.59,0.86,0.22,-1.31,-1.2
"Bmp7",0.86,0.51,0.69,-1.88,-0.07,-0.11
"H2-M3",1.13,0.45,0.89,-1.5,-0.41,-0.56
"Btla",0.75,0.8,0.94,-1.58,-0.52,-0.39
"Sell",0.88,0.89,0.84,-1.43,-0.62,-0.55
"Insl3",0.88,0.86,0.66,-1.66,-0.29,-0.45
"Amigo2",1.07,0.62,0.71,-1.63,-0.4,-0.38
"Tshb",0.97,0.11,1.34,-1.16,-0.87,-0.39
"Tnfsf8",1.41,0.57,0.57,-1.18,-0.81,-0.56
"Cd226",-0.58,1.38,1.14,-0.27,-0.87,-0.8
"Cdhr1",-0.57,1.28,1.18,-0.69,-1.07,-0.14
"Rabep2",0.99,0.77,0.97,-0.95,-0.96,-0.82
"Il16",0.78,0.96,0.99,-0.91,-0.96,-0.87
"Fgf22",0.7,1,1.01,-0.84,-0.77,-1.09
"Gh",0.68,0.76,1.23,-0.68,-1.04,-0.96
"Rps19",0.57,1.1,0.98,-0.54,-1.15,-0.94
"Cd2",0.57,1.08,0.97,-0.49,-1.24,-0.89
"Fgf13",0.31,1.19,1.1,-0.91,-0.92,-0.77
"Selplg",0.59,1.11,0.98,-0.88,-1.06,-0.74
"Celsr1",0.45,1.21,0.99,-0.9,-0.99,-0.75
"Nrg4",0.5,0.89,0.87,-1.73,-0.42,-0.11
"Cd24a",0.3,0.89,1.15,-1.58,-0.34,-0.43
"Ptprc",0.33,1.07,0.98,-1.57,-0.44,-0.37
"Mst1",0.28,1.13,1.01,-1.47,-0.49,-0.47
"Il17c",0.71,1.21,0.64,-1.39,-0.62,-0.55
"Icosl",0.47,0.91,1.19,-1.34,-0.57,-0.66
"Wnt10a",0.5,0.95,1.16,-1.19,-0.89,-0.53
"Clcf1",0.1,1.18,1.14,-1.27,-0.69,-0.45
"Itgal",0.12,1.2,1.19,-1.04,-0.8,-0.65
"Cd40lg",0.27,1.04,1.24,-1.17,-0.72,-0.65
"Gdf11",-0.16,1.02,1.41,-1.14,-0.52,-0.6
"Itgb7",-0.14,1.26,1.22,-0.97,-0.68,-0.7
"Cd6",-0.28,1.25,1.08,-1.4,-0.37,-0.29
"Serpinc1",0.09,1.32,0.75,-1.59,-0.35,-0.22
"Insl5",-0.68,-0.34,-0.11,1.96,-0.74,-0.09
"Hmgb2",-1.09,-0.69,-0.56,1.66,0.45,0.23
"Nrtn",-0.91,-1.08,-0.46,1.55,0.49,0.41
"Gdnf",-0.95,-1.12,-0.19,1.61,0.41,0.23
"Vgf",-0.34,-1.01,-0.46,1.89,-0.22,0.15
"Penk",-0.24,-1.09,-0.78,1.76,0.17,0.18
"Cd200",-0.54,-1.02,-0.7,1.74,0.35,0.17
"Vtn",-1.04,-0.57,-0.13,-0.71,1.44,1
"Dchs1",-1.05,-0.31,-0.32,-0.8,1.33,1.14
"Fgf10",-0.99,-0.47,-0.37,-0.69,1.26,1.27
"Il18",-0.99,-0.36,-0.33,-0.81,1.16,1.33
"Plat",-1.27,-0.51,-0.5,-0.11,1.26,1.13
"Cfh",-1.25,-0.4,-0.44,-0.34,1.24,1.19
"Psap",-1.12,-0.59,-0.49,-0.29,1.2,1.28
"Sdk1",-1.36,-0.39,-0.31,-0.3,1.21,1.16
"Apoe",-1.47,-0.36,-0.22,-0.24,1.16,1.13
"Dkk2",-1.41,-0.13,-0.31,-0.46,1.24,1.07
"Alox5ap",-1.35,-0.19,-0.22,-0.58,1.19,1.16
"Ret",-1.27,-0.23,-0.23,-0.65,1.22,1.16
"Tslp",-0.84,-0.28,-0.84,-0.56,1.36,1.16
"Mag",-1.01,-0.12,-0.85,-0.48,1.14,1.31
"Fgf21",-0.88,-0.5,-0.5,-0.61,0.89,1.6
"Lrrc4b",-0.99,-0.6,-0.23,-0.68,1.12,1.38
"Dusp18",-1.14,-0.54,-0.32,-0.48,1.13,1.34
"Areg",-0.53,-0.55,-0.57,-0.9,1.28,1.27
"Tac1",-0.67,-0.75,-0.67,-0.46,1.39,1.17
"Rspo1",-0.67,-0.78,-0.67,-0.45,1.26,1.3
"Plekho2",-0.64,-0.77,-0.68,-0.47,1.3,1.27
"Calca",-0.74,-0.57,-0.74,-0.51,1.23,1.34
"Plxnb3",-0.66,-0.58,-0.83,-0.48,1.39,1.17
"Osm",0.2,-1.16,-1.3,0.38,0.91,0.97
"Nampt",0.03,-1.21,-1.18,0.34,0.99,1.03
"Arf1",-0.05,-1.25,-1.11,0.37,1.04,0.99
"Ccl24",-0.3,-0.91,-1.25,0.28,0.96,1.23
"Vegfb",-0.26,-1.16,-0.95,0.06,1.15,1.16
"Cd40",-0.25,-1.34,-0.84,0.28,0.95,1.2
"Pcdhb22",-0.44,-1.47,-0.44,0.16,1.16,1.03
"Efna1",-0.49,-1.12,-0.97,0.4,1.17,1.02
"Hbegf",-0.38,-1.23,-0.94,0.4,1.15,1
"Il10",-0.25,-1.23,-1.05,0.5,1.06,0.97
"Cd274",-0.37,-1.15,-1.06,0.52,1,1.07
"Pgf",-0.39,-1.38,-0.81,0.7,0.93,0.96
"Selp",-0.19,-1.31,-1.01,0.59,1.12,0.8
"Il17b",-0.84,-0.94,-0.84,0.36,1.04,1.22
"Ccl3",-0.85,-0.9,-0.86,0.32,1.1,1.2
"Tnfsf11",-0.78,-0.95,-0.84,0.24,1.04,1.29
"Tnfsf10",-0.82,-0.85,-0.88,0.19,1.08,1.28
"Fgf23",-0.69,-0.89,-0.96,0.24,0.97,1.34
"Tnfsf15",-0.61,-0.94,-0.95,0.14,0.98,1.37
"Grn",-0.61,-1.07,-0.9,0.28,1.1,1.18
"Ccl4",-0.68,-0.96,-0.91,0.22,1.1,1.24
"Sfrp2",-0.69,-0.93,-0.99,0.36,1.06,1.19
"Tnf",-0.58,-0.91,-1.07,0.31,1.01,1.25
"Pcdhb17",-0.81,-0.96,-0.81,0.29,1.3,1
"Lama2",-0.87,-0.87,-0.87,0.32,1.21,1.07
"Adam9",-0.82,-0.87,-0.88,0.22,1.19,1.15
"Rtn4",-0.94,-0.74,-0.96,0.41,1.09,1.14
"Sema3f",-0.93,-0.91,-0.82,0.46,1.18,1.02
"Calm2",-0.95,-0.89,-0.79,0.39,1.14,1.1
"Efemp1",-0.84,-0.98,-0.84,0.47,1.09,1.1
"Dhh",-0.83,-0.97,-0.83,0.41,1.09,1.15
"Plau",-0.84,-0.93,-0.91,0.53,1.04,1.11
"Vegfa",-0.79,-0.9,-0.96,0.45,1.11,1.09
"Hgf",-1,-0.68,-0.84,0.16,1.28,1.08
"Jam2",-0.96,-0.56,-0.96,0.12,1.28,1.08
"Clstn1",-0.96,-0.62,-0.91,0.11,1.3,1.08
"Lrpap1",-0.95,-0.55,-0.78,-0.23,1.27,1.24
"Cdh13",-0.92,-0.67,-0.74,-0.17,1.37,1.12
"Adam15",-1,-0.74,-0.61,-0.12,1.28,1.19
"Xcl1",-1.2,-0.62,-0.67,0.21,0.91,1.37
"Cxcl2",-1.11,-0.7,-0.74,0.26,1.18,1.12
"Apln",-1.13,-0.73,-0.66,0.2,1.24,1.09
"Itga9",-1.06,-0.81,-0.73,0.34,1.18,1.08
"Gdf3",-1.05,-0.86,-0.64,0.25,1.11,1.2
"Itgb1",-1.03,-0.84,-0.68,0.21,1.2,1.14
"Ccl12",-0.95,-0.9,-0.63,0.09,1.15,1.25
"Gas6",-0.92,-0.94,-0.62,0.09,1.19,1.2
"Gdf15",-0.93,-0.81,-0.78,0.13,1.19,1.2
"Cort",-0.98,-0.75,-0.8,0.16,1.14,1.23
"Bmp5",-0.66,-0.74,-0.66,-0.44,1.63,0.86
"Efna4",-0.54,-0.96,-0.54,-0.5,1.18,1.36
"Col2a1",-0.49,-0.9,-0.92,-0.18,1.24,1.24
"Tigit",-0.56,-1.05,-0.77,-0.06,1.34,1.09
"Il23a",-0.2,-0.5,-1.22,-0.53,1.25,1.18
"Cdhr2",0.05,-1.01,-1.01,-0.39,1.19,1.18
"Tg",-0.33,-1.03,-0.79,-0.33,1.22,1.27
"Icam1",-0.21,-0.92,-0.88,-0.49,1.25,1.24
"Calcb",-0.61,-0.87,-0.92,1.36,-0.03,1.08
"Csf2",-0.17,-1.07,-1.23,1.18,0.41,0.88
"Ntf5",-0.18,-0.78,-1.41,1.36,0.48,0.53
"Ifng",-0.25,-1.07,-1.07,1.5,0.35,0.54
"Fasl",-0.1,-1.13,-1.07,1.5,0.38,0.41
"Csf1",-0.54,-1.03,-1.02,1.37,0.62,0.6
"Apoa1",-0.59,-0.96,-0.96,1.51,0.62,0.39
"Manf",0.1,-1.35,-1.11,1.05,0.68,0.61
"Serpine2",-0.35,-1.26,-1.01,0.91,0.91,0.79
"Cd86",-0.27,-1.15,-1.16,0.74,1.01,0.83
"Efna5",-0.24,-1.09,-1.24,0.91,0.82,0.84
"Hsp90b1",-0.26,-1.19,-1.14,0.81,0.84,0.93
"Csf3",-0.49,-0.91,-1.23,0.97,1.03,0.63
"Nrg1",-0.78,-0.74,-1.18,0.8,0.98,0.91
"Calm1",-0.74,-0.99,-0.99,0.82,0.96,0.94
"Dlk1",-0.63,-0.99,-1.07,0.79,1.08,0.83
"Il6",-0.61,-1,-1.07,0.67,1.07,0.94
"Nenf",-0.52,-1.04,-1.11,0.95,0.83,0.9
"Il34",-0.63,-0.93,-1.14,1.03,0.85,0.81
"Cd70",-0.66,-0.95,-1.1,1.01,0.87,0.83
"Inhba",-0.48,-1.13,-1.05,1.08,0.78,0.79
"Pdcd1lg2",-0.63,-1.08,-0.97,1.03,0.68,0.98
"Nlgn2",-0.67,-0.86,-1.15,1.15,0.76,0.77
"Cmtm4",-0.65,-1.02,-1.01,1.21,0.74,0.72
"Ngf",-0.69,-1.06,-0.92,1.21,0.8,0.66
"Sema7a",-0.73,-1.05,-0.9,1.22,0.81,0.65
"Sema3e",-0.65,-1.11,-0.95,0.97,0.84,0.9
"Cxcl10",-0.57,-1.14,-0.97,0.87,0.9,0.92
"Lgals3",-0.59,-1.14,-0.96,0.84,0.91,0.94
"Sema3a",-0.74,-1.22,-0.74,0.89,0.9,0.9
"Cxcl11",-0.69,-1.18,-0.83,0.91,0.89,0.91
"Sema3b",-0.66,-1.18,-0.85,0.82,0.92,0.95
"Ccl11",-0.87,-0.99,-0.87,0.92,0.94,0.88
"F7",-0.86,-1.01,-0.86,0.95,0.86,0.92
"Nppb",-0.86,-1,-0.86,1.02,0.84,0.86
"Wnt2",-0.86,-1.01,-0.86,1,0.86,0.87
"Ppbp",-0.86,-1.01,-0.86,1.01,0.95,0.77
"Timp1",-0.76,-1.1,-0.86,0.99,0.9,0.83
"Cd80",-0.76,-1,-0.96,0.97,0.91,0.85
"Gstp2",-0.86,-0.88,-0.99,0.95,0.89,0.9
"Tnfrsf11b",-0.89,-0.85,-0.99,0.97,0.9,0.86
"Serpine1",-0.93,-0.87,-0.93,1.06,0.86,0.8
"Cadm4",-0.92,-0.98,-0.82,1.12,0.8,0.8
"Cxcl9",-1.42,-0.65,-0.53,0.74,0.95,0.91
"Ccl2",-1.28,-0.8,-0.58,0.79,0.93,0.95
"Bmp1",-1.28,-0.71,-0.67,0.79,0.97,0.92
"Osgin1",-1.36,-0.61,-0.67,0.89,0.91,0.84
"Bmp6",-1.36,-0.74,-0.53,0.87,0.97,0.79
"Fat1",-1.39,-0.72,-0.5,0.83,0.88,0.91
"Mmp9",-1.35,-0.76,-0.52,0.93,0.83,0.87
"Rgma",-1.29,-0.89,-0.46,0.84,0.86,0.94
"Podxl2",-1.32,-0.86,-0.45,0.73,0.92,0.97
"Pcdh7",-1.22,-0.93,-0.52,0.87,0.93,0.87
"Ncam1",-1.22,-0.92,-0.53,0.97,0.8,0.91
"Ccl17",-1.57,-0.45,-0.43,1.07,0.55,0.83
"Fat2",-1.28,-0.74,-0.63,1.06,0.95,0.64
"Pcdhga7",-1.38,-0.74,-0.4,1.18,0.88,0.45
"Nxph3",-0.93,-1.07,-0.6,1.33,0.5,0.77
"Rspo3",-1.12,-0.87,-0.63,1.26,0.48,0.88
"Crlf1",-0.95,-0.85,-0.79,1.45,0.59,0.55
"Pdgfa",-1,-0.86,-0.74,1.42,0.6,0.58
"Cdh6",-1.02,-0.85,-0.8,1.25,0.71,0.72
"Grem1",-0.84,-0.99,-0.84,1.24,0.82,0.61
"Fgf12",-0.86,-0.94,-0.86,1.3,0.74,0.62
"Il11",-0.87,-0.73,-1.09,1.04,1.02,0.63
"Fgf9",-1,-0.62,-1,1.33,0.75,0.54
"Fgf7",-1.02,-0.74,-0.94,1.11,0.76,0.83
"Jam3",-1.06,-0.55,-1.05,1.14,0.81,0.71
"Cdh11",-1.28,-0.46,-0.89,0.99,0.87,0.78
"Npy",-1.1,-0.33,-1.1,1.25,0.48,0.82
"Bmp4",-1.05,-0.43,-1.04,0.93,1.29,0.3
"Il7",-1.44,-0.03,-0.62,1.46,0.64,-0.01
"Nlgn1",-1,-1.14,-0.42,0.53,1.3,0.73
"Tnfsf13b",-1.33,-0.93,-0.15,0.44,1.31,0.65
"Agt",-1.04,-1.2,-0.3,0.44,1.03,1.07
"Pcdh9",-1.04,-1.2,-0.32,0.54,0.91,1.12
"Sectm1a",-1.05,-0.98,-0.55,0.33,1.08,1.17
"Wnt9a",-0.95,-1.09,-0.52,0.32,1.01,1.23
"Ptprm",-1.26,-0.87,-0.5,0.61,1.02,0.99
"Vegfc",-1.25,-0.81,-0.57,0.55,1.08,1
"Celsr3",-1.32,-0.86,-0.38,0.51,1.11,0.95
"Tnfsf12",-1.4,-0.74,-0.42,0.55,1.06,0.94
"Ccl8",-1.23,-0.8,-0.55,0.4,1.04,1.14
"Hdc",-1.16,-0.87,-0.6,0.48,0.98,1.16
"Adm",-1.2,-0.89,-0.54,0.56,0.99,1.09
"Esam",-1.29,-0.72,-0.57,0.45,1.19,0.94
"Lamb1",-1.3,-0.62,-0.67,0.46,1.13,0.99
"Nectin2",-1.27,-0.65,-0.7,0.51,1.1,1
"Adam12",-1.28,-0.71,-0.63,0.53,1.06,1.03
"Ntn4",-1.21,-0.76,-0.66,0.5,1.06,1.07
"Vwf",-1.32,-0.64,-0.66,0.58,1.1,0.94
"Anxa1",-1.34,-0.69,-0.59,0.59,1.02,1
"Il27",-1.45,-0.75,-0.17,0.25,0.99,1.13
"Lamc3",-1.25,-0.82,-0.4,0.2,1.17,1.09
"Plxnb2",-1.38,-0.63,-0.41,0.19,1.09,1.14
"Il1b",-1.29,-0.65,-0.54,0.21,1.16,1.11
"Igf1",-1.27,-0.67,-0.58,0.25,1.1,1.16
"Vegfd",-1.02,-0.66,-1.02,0.69,1.05,0.96
"Pcdhgc3",-1.15,-0.69,-0.86,0.78,1.09,0.82
"Agrn",-1.13,-0.68,-0.89,0.78,0.97,0.96
"Pdgfc",-1.26,-0.59,-0.78,0.54,0.97,1.11
"Ntn3",-1.29,-0.52,-0.79,0.49,1.03,1.08
"Cd34",-1.13,-0.66,-0.87,0.56,1.12,0.98
"Fbn1",-1.19,-0.6,-0.85,0.53,1.07,1.04
"Mapt",-1.16,-0.72,-0.78,0.55,1,1.11
"Lamb2",-1.07,-0.74,-0.85,0.51,1.12,1.03
"Col4a1",-1.11,-0.76,-0.81,0.58,1.1,0.99
"Col1a1",-1.06,-0.76,-0.87,0.59,1.05,1.05
"Kitl",-1.06,-0.88,-0.77,0.76,1.07,0.88
"Fat4",-1.06,-0.97,-0.67,0.79,1.07,0.84
"Thbs2",-1.1,-0.91,-0.7,0.95,0.86,0.9
"Ccl7",-1.14,-0.88,-0.69,0.79,0.95,0.96
"Il33",-1.14,-0.89,-0.68,0.78,0.97,0.96
"Flrt2",-1.08,-0.94,-0.7,0.82,0.93,0.96
"Flrt3",-1.12,-0.91,-0.68,0.87,0.9,0.94
"Tnc",-1.08,-0.86,-0.78,0.97,0.92,0.83
"Slit2",-1.03,-0.94,-0.76,0.91,0.96,0.86
"Bdnf",-1.05,-0.86,-0.81,0.88,1.01,0.83
"Tfpi",-1.11,-0.77,-0.85,0.87,0.93,0.92
"Serping1",-1.17,-0.78,-0.75,0.87,0.94,0.9
"Rarres2",-1.18,-0.76,-0.77,0.95,0.87,0.89
"Ccl1",-0.92,-0.91,-0.87,0.66,0.8,1.23
"Edn1",-0.88,-0.96,-0.88,0.79,0.89,1.05
"Tnfsf9",-0.95,-0.88,-0.9,0.88,0.86,0.99
"Thbs1",-0.97,-0.84,-0.92,0.78,1.03,0.91
"Angpt2",-0.98,-0.9,-0.85,0.82,1.02,0.89
"Col5a3",-0.85,-0.91,-0.96,0.72,1.02,0.98
"Col18a1",-0.98,-0.87,-0.87,0.71,1.07,0.94
"Nectin3",-0.93,-0.86,-0.93,0.67,1.1,0.95
"Gpnmb",-1.16,-1.09,-0.38,0.84,0.88,0.91
"Pcdhgb1",-1.05,-1.21,-0.36,0.79,0.88,0.94
"Negr1",-0.97,-1.1,-0.63,1.04,0.72,0.93
