"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Cdh17",1.74,-0.2,0.31,0.07,-0.85,-1.06
"Cd8a",0.65,0.91,0.82,0.11,-1.26,-1.22
"Avpr2",0.6,1.03,0.87,-0.47,-1.53,-0.51
"Ptger1",0.38,1.18,1.05,-0.9,-1.05,-0.66
"S1pr4",0.62,1.02,1.06,-0.89,-1.03,-0.78
"Selplg",0.59,1.11,0.98,-0.88,-1.06,-0.74
"Grm6",0.65,1.05,1,-0.95,-1.04,-0.71
"Rpsa",0.55,1.12,0.97,-0.55,-1.07,-1.02
"Cd2",0.57,1.08,0.97,-0.49,-1.24,-0.89
"Hcrtr2",0.49,1,1.16,-0.68,-1.03,-0.95
"Cd247",0.68,1.07,0.96,-0.81,-0.94,-0.96
"Il27ra",0.64,1.08,0.99,-0.78,-0.98,-0.95
"Abca7",0,1.22,1.23,-0.78,-0.81,-0.86
"Ccr9",-0.09,1.29,1.19,-0.68,-0.84,-0.87
"Gabbr1",0.23,1.31,1.02,-0.83,-0.82,-0.91
"Stra6",0.11,1.28,1.11,-0.74,-0.97,-0.79
"Cd40lg",0.27,1.04,1.24,-1.17,-0.72,-0.65
"Ptk2b",0.22,1.12,1.2,-1.11,-0.68,-0.76
"F2rl1",0.15,1.15,1.2,-1.14,-0.65,-0.7
"Itgal",0.12,1.2,1.19,-1.04,-0.8,-0.65
"Gpr183",0.3,1.06,1.23,-0.98,-0.91,-0.69
"Ephb6",-0.03,1.23,1.14,-1.26,-0.64,-0.44
"Dlg4",-0.04,1.37,1.05,-1.1,-0.67,-0.61
"Itgb7",-0.14,1.26,1.22,-0.97,-0.68,-0.7
"Lgr5",-0.4,1.04,1.45,-0.52,-0.49,-1.07
"Ackr4",-0.54,1.21,1.3,-0.69,-0.29,-0.99
"Cd3d",-0.08,1.27,1.07,-0.18,-1.09,-1
"Cd3g",-0.51,1.38,1.16,-0.41,-0.76,-0.86
"Cd226",-0.58,1.38,1.14,-0.27,-0.87,-0.8
"Il7r",-0.49,1.42,1.08,-0.31,-0.85,-0.86
"S1pr1",0.16,1,1.07,-1.61,-0.15,-0.46
"Adrb2",0.09,1.1,0.96,-1.65,-0.14,-0.36
"Cd6",-0.28,1.25,1.08,-1.4,-0.37,-0.29
"Ramp1",-0.26,1.2,1.16,-1.37,-0.4,-0.32
"Cd7",-0.17,1.12,1.05,-1.59,-0.21,-0.2
"Cd27",-0.03,1.11,1.07,-1.57,-0.35,-0.23
"Itgae",-0.07,1.13,1.02,-1.6,-0.31,-0.17
"Il17ra",0.41,1.03,1.04,-1.46,-0.4,-0.62
"Gp1ba",0.54,0.97,0.98,-1.51,-0.31,-0.65
"Inpp5k",0.5,1.08,1.03,-1.27,-0.62,-0.73
"Tnfrsf14",0.62,0.94,1.05,-1.36,-0.63,-0.61
"Sorl1",0.5,0.96,1.06,-1.46,-0.53,-0.53
"Hrh2",0.29,1.03,1,-1.62,-0.34,-0.36
"Ptprc",0.33,1.07,0.98,-1.57,-0.44,-0.37
"Adgrl1",0.33,1.17,0.93,-1.47,-0.52,-0.45
"Vipr1",0.43,1.06,1,-1.48,-0.57,-0.42
"Plxna3",0.19,0.91,1.28,-1.37,-0.71,-0.3
"Il9r",0.17,1.07,1.19,-1.35,-0.5,-0.57
"Acvr1b",0.25,1.15,1.1,-1.28,-0.71,-0.51
"Itpr3",0.32,1.1,1.12,-1.26,-0.64,-0.64
"Kcnj1",1.1,0.71,0.83,-0.87,-1.25,-0.52
"Pigr",1.28,0.59,0.71,-0.53,-1.3,-0.75
"Gpr83",1.34,0.64,0.65,-0.76,-0.86,-1.02
"Gpr18",1.49,0.41,0.62,-1.14,-0.74,-0.63
"Tnfrsf13b",1.32,0.58,0.71,-1.14,-0.69,-0.79
"Cd46",0.74,1.12,0.72,-1.34,-0.37,-0.87
"Il5ra",0.82,0.91,0.92,-1.2,-0.43,-1.01
"Tlr1",0.89,0.79,0.87,-1.51,-0.53,-0.5
"Sell",0.88,0.89,0.84,-1.43,-0.62,-0.55
"Lrp10",0.84,0.7,1.02,-1.46,-0.53,-0.57
"Rasa3",0.75,0.9,0.96,-1.4,-0.63,-0.58
"Ptpn6",0.83,0.8,0.97,-1.41,-0.69,-0.51
"Cd22",0.97,0.78,0.93,-1.25,-0.71,-0.72
"Rack1",0.76,1.02,0.9,-1.25,-0.68,-0.74
"Il2rg",0.79,0.94,0.92,-1.31,-0.77,-0.58
"Ryr2",0.33,1.06,1.17,-0.86,-0.54,-1.17
"Tbxa2r",0.68,1.06,0.95,-0.99,-0.64,-1.07
"Gpr151",0.77,1.02,0.88,-0.91,-0.57,-1.19
"Cnr2",0.85,0.91,0.97,-1.04,-0.79,-0.9
"Cxcr5",1.08,0.69,0.92,-1.1,-0.85,-0.75
"Tnfrsf13c",1.06,0.77,0.89,-1,-0.85,-0.87
"Tnfrsf25",0.97,0.85,0.83,-0.48,-1.19,-0.99
"Ffar1",0.99,0.81,0.91,-0.62,-1.02,-1.06
"Lpar2",1.02,0.92,0.79,-0.83,-0.91,-0.99
"Cd4",0.94,0.83,0.95,-0.78,-1.03,-0.92
