"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Bach1",-0.82,-0.48,-0.5,-0.76,1.39,1.16
"Klf10",-1.06,-0.21,-0.48,-0.73,1.29,1.19
"Spi1",-1.08,-0.7,-0.19,-0.5,1.17,1.3
"Tcf15",-0.96,-0.69,-0.18,-0.66,1.37,1.12
"Klf9",-1.17,-0.49,-0.27,-0.53,1.37,1.08
"Hlf",-0.34,-0.64,-0.92,-0.61,1.49,1.02
"Zfp423",-0.95,-0.7,-0.61,-0.25,1.39,1.12
"Peg3",-0.83,-0.59,-0.57,-0.55,1.47,1.07
"Zfand5",-0.84,-0.53,-0.71,-0.47,1.39,1.16
"Sox13",-0.61,-0.9,-0.72,-0.28,1.46,1.05
"Glmp",-0.68,-0.97,-0.62,-0.23,1.13,1.37
"Osr2",-0.54,-0.84,-0.71,-0.48,1.22,1.34
"Osr1",-0.67,-0.8,-0.67,-0.43,1.32,1.24
"Lin54",-0.71,-0.73,-0.69,-0.45,1.3,1.26
"Grhl2",-0.74,-0.68,-0.74,-0.4,1.25,1.31
"Gtf2b",-0.79,-0.71,-0.64,-0.41,1.32,1.24
"Nfia",-1.64,-0.31,-0.24,0.12,1.05,1.02
"Mafb",-1.59,-0.31,-0.37,0.18,1.08,1.02
"Nr1h3",-1.61,-0.34,-0.33,0.23,1,1.05
"Hoxa9",-1.56,-0.34,-0.31,0.03,1.05,1.12
"Atf3",-1.53,-0.3,-0.28,-0.11,1.1,1.13
"Rarb",-1.36,-0.91,-0.05,0.19,1.17,0.96
"Hoxa4",-1.44,-0.82,-0.04,0.22,0.97,1.12
"Tead2",-1.2,-0.72,-0.62,0.26,1.21,1.07
"Hlx",-1.28,-0.78,-0.47,0.33,1.17,1.03
"Mecom",-1.28,-0.69,-0.61,0.42,1.15,1
"Trps1",-1.3,-0.63,-0.62,0.36,1.13,1.06
"Zfpm2",-1.35,-0.67,-0.52,0.38,1.03,1.12
"Meis1",-1.36,-0.61,-0.59,0.44,1.03,1.09
"Zfp651",-1.39,-0.77,-0.34,0.42,1.03,1.06
"Prox1",-1.4,-0.78,-0.34,0.49,1.13,0.9
"Six4",-1.39,-0.61,-0.5,0.41,1.24,0.85
"Nfic",-1.52,-0.52,-0.39,0.38,1.09,0.97
"Zfp703",-1.33,-0.43,-0.43,-0.17,1.3,1.06
"Fosl2",-1.19,-0.42,-0.54,-0.31,1.21,1.24
"Lmx1b",-1.29,-0.52,-0.39,-0.2,1.14,1.26
"Etv5",-1.23,-0.58,-0.49,-0.1,1.16,1.24
"Zfp516",-1.22,-0.61,-0.58,0.05,1.18,1.18
"Nfxl1",-1.03,-0.69,-0.62,-0.11,1.03,1.41
"Foxf1",-1.45,-0.13,-0.57,-0.07,1.32,0.89
"Nr1d1",-1.24,-0.17,-0.7,-0.27,1.35,1.03
"Hoxc10",-1.08,-0.33,-1.08,0.24,1.16,1.08
"Msx1",-1.23,-0.36,-0.82,0.1,1.23,1.08
"Hoxa3",-1.29,-0.16,-0.87,0.07,1.15,1.11
"Satb2",-0.67,-1.45,-0.41,0.6,0.87,1.07
"Zfp9",-0.71,-1.31,-0.61,0.57,1,1.05
"Dpf1",-0.75,-1.37,-0.49,0.72,1.02,0.88
"Zfp354a",-1.02,-1.17,-0.13,0.07,1.03,1.22
"Otx1",-0.68,-1.4,-0.17,0.04,0.89,1.32
"Sox21",-0.95,-1.05,-0.52,0.47,1.47,0.58
"Bhlhe22",-0.83,-0.96,-0.83,0.54,1.37,0.72
"Zfp711",-0.8,-0.92,-0.8,0.27,1.47,0.78
"Onecut2",-1.23,-0.93,-0.33,0.3,1.22,0.97
"Hes1",-1.07,-1.01,-0.45,0.35,1.33,0.86
"Heyl",-1.02,-0.91,-0.67,0.36,1.24,1
"Pparg",-1.03,-0.8,-0.76,0.28,1.22,1.08
"Foxs1",-1.12,-0.73,-0.77,0.4,1.12,1.1
"Mxi1",-1.13,-0.68,-0.82,0.48,1.13,1.03
"Cebpd",-1.2,-0.77,-0.67,0.54,1.12,0.97
"E2f7",-1.12,-0.84,-0.71,0.59,1.17,0.91
"Rora",-0.74,-0.7,-0.97,-0.05,1.18,1.28
"Nfix",-0.64,-0.93,-0.8,-0.11,1.25,1.23
"Bhlhe40",-0.8,-0.92,-0.74,0.02,1.25,1.18
"Jazf1",-0.83,-0.82,-0.77,-0.06,1.24,1.23
"Tcf7l1",-1,-0.63,-0.91,0.19,1.26,1.08
"Tbx5",-0.82,-0.89,-0.82,0.16,1.32,1.05
"Creb3l2",-0.86,-0.91,-0.76,0.16,1.23,1.14
"Nfe2l2",-0.73,-0.81,-0.95,0.08,1.25,1.16
"Creb3l3",-0.87,-0.76,-0.86,0.08,1.21,1.2
"Nr4a3",-0.78,-0.88,-0.86,0.12,1.17,1.22
"Gbx2",-0.83,-0.93,-0.83,0.44,0.71,1.44
"Fbxl19",-0.65,-1.21,-0.58,0.11,0.99,1.34
"Lhx6",-0.88,-1.03,-0.6,0.16,1.23,1.13
"Hoxa11",-0.94,-1.1,-0.49,0.25,1.13,1.15
"Klf15",-0.93,-1.08,-0.63,0.51,1.04,1.1
"Hoxb7",-0.96,-1.12,-0.55,0.46,1.06,1.1
"Phox2a",-0.84,-0.94,-0.83,0.33,1.07,1.21
"Zeb2",-0.92,-0.97,-0.72,0.37,1.13,1.13
"Tfe3",-0.42,-0.95,-1.04,0.03,1.15,1.23
"Pogk",-0.17,-0.92,-1.25,0.11,1,1.24
"Nfil3",0.13,-1.1,-1.09,-0.2,1.18,1.08
"Mbnl2",0.09,-1.1,-1.15,-0.05,1.18,1.03
"Crem",-0.23,-1.13,-1.11,0.3,1.09,1.08
"Stat3",-0.06,-1.13,-1.1,0.05,1.1,1.14
"Etv6",0.12,-1.24,-1.13,0.18,1.01,1.06
"Tcf4",-0.28,-1.25,-0.92,0.33,1.35,0.76
"Sox5",-0.39,-0.98,-1.15,0.33,1.26,0.93
"Bcl6b",-0.53,-1.09,-0.95,0.33,1.22,1.02
"Prdm1",-0.51,-1.05,-0.99,0.34,1.31,0.9
"Smad5",-0.7,-1.09,-0.88,0.55,1.12,1
"Foxk2",-0.55,-1.14,-0.94,0.54,1.17,0.93
"Ebf2",-0.65,-0.97,-0.98,0.37,1.2,1.03
"Mxd1",-0.57,-1.04,-0.93,0.24,1.16,1.15
"Irf5",-0.45,-1.3,-0.77,0.33,1.15,1.04
"Nfkb2",-0.35,-1.38,-0.76,0.33,1.03,1.12
"Eea1",-0.34,-1.26,-0.96,0.52,1.03,1.02
"Zfp637",-0.39,-1.26,-0.94,0.54,1.09,0.95
"Nfe2l1",-0.59,-1.21,-0.81,0.45,1.01,1.14
"Prdm16",-0.52,-1.25,-0.88,0.69,0.98,0.98
"Pbx3",-0.55,-1.32,-0.75,0.62,0.99,1.01
"Hif1a",0,-1.26,-1.19,0.81,0.83,0.81
"Cenpb",0.09,-1.37,-1.1,0.64,0.83,0.9
"Plscr1",0.08,-1.39,-1.08,0.82,0.76,0.81
"Zfp768",0.09,-1.39,-1.08,0.8,0.73,0.84
"Jdp2",-0.48,-1.09,-1.08,0.75,1.06,0.85
"Mybl2",-0.31,-1.25,-1.03,0.99,0.9,0.7
"Mafg",-0.38,-1.19,-1.05,1.04,0.8,0.78
"Cebpg",-0.33,-1.21,-1.06,1.04,0.81,0.74
"Trafd1",-0.23,-1.14,-1.2,0.81,0.8,0.95
"Zfp791",-0.42,-1.17,-1.05,0.96,0.83,0.86
"Maf",-0.37,-1.19,-1.06,0.95,0.72,0.95
"Nfatc4",-1.27,-0.99,-0.36,0.97,0.87,0.76
"Hoxd8",-1.1,-0.99,-0.61,0.96,0.95,0.79
"Cpeb1",-1.1,-1.01,-0.57,1.06,0.8,0.83
"Vax2",-1.09,-1.05,-0.55,1.02,0.8,0.85
"Tfap2a",-1.12,-0.99,-0.59,0.95,0.85,0.89
"Zic2",-1.19,-0.92,-0.58,0.98,0.84,0.87
"Tbx4",-1.15,-1.06,-0.43,0.68,0.9,1.05
"Sox10",-1.16,-1.11,-0.35,0.82,0.88,0.92
"Pax3",-1.08,-1.2,-0.33,0.72,0.92,0.96
"Sox11",-1.21,-0.98,-0.46,0.85,0.89,0.91
"Msantd3",-1.13,-1.06,-0.46,0.78,0.93,0.95
"Zfp13",-1,-1.16,-0.5,0.84,0.89,0.94
"Hoxd4",-1.02,-1.16,-0.48,0.94,0.8,0.92
"Zfp704",-1.46,-0.72,-0.37,0.67,0.97,0.91
"Zfp532",-1.33,-0.74,-0.55,0.65,0.99,0.99
"Foxp2",-1.33,-0.81,-0.47,0.61,1.05,0.95
"Zfp462",-1.4,-0.69,-0.52,0.76,0.93,0.92
"Gli3",-1.36,-0.7,-0.58,0.79,0.92,0.92
"Nr2f1",-1.33,-0.72,-0.61,0.79,0.92,0.94
"E2f8",-1.43,-0.73,-0.43,0.76,0.9,0.93
"Zfp518b",-1.4,-0.79,-0.41,0.78,0.84,0.98
"Meis2",-1.31,-0.83,-0.5,0.78,0.91,0.95
"Zfp57",-1.36,-0.82,-0.42,0.7,0.96,0.94
"Etv1",-1.22,-0.78,-0.66,0.64,0.99,1.03
"Zfp334",-1.26,-0.68,-0.69,0.53,1.02,1.08
"Zfhx4",-1.28,-0.75,-0.57,0.5,1.05,1.05
"Nacc2",-1.32,-0.71,-0.57,0.49,1,1.09
"Foxc1",-1.17,-0.95,-0.47,0.43,1.06,1.1
"Tfec",-1.23,-0.96,-0.43,0.58,1.01,1.02
"Mitf",-1.2,-0.9,-0.54,0.55,1.01,1.07
"Irx3",-1.23,-0.86,-0.54,0.59,1.05,1
"Zfp30",-1.22,-0.65,-0.79,0.81,0.7,1.14
"Lhx2",-1.38,-0.73,-0.5,0.91,0.73,0.98
"Glis3",-1.21,-0.67,-0.81,0.83,0.92,0.95
"Zfp37",-1.17,-0.77,-0.76,0.87,0.9,0.94
"Sgsm2",-1.24,-0.73,-0.72,0.86,0.9,0.93
"Zfp618",-1.31,-0.7,-0.65,0.9,0.93,0.83
"Foxm1",-1.29,-0.72,-0.66,0.84,0.99,0.84
"Tead1",-1.18,-0.84,-0.67,0.88,0.95,0.88
"Tbx2",-1.26,-0.78,-0.63,0.78,0.95,0.94
"Pknox2",-1.31,-0.54,-0.81,0.84,0.94,0.88
"Nfib",-1.37,-0.56,-0.7,0.81,0.96,0.86
"Prdm5",-1.4,-0.51,-0.71,0.85,0.87,0.89
"Ebf3",-1.34,-0.61,-0.67,0.66,1.11,0.84
"Twist1",-1.21,-0.68,-0.78,0.69,1,0.99
"Creb3l1",-1.24,-0.59,-0.84,0.73,1,0.94
"Sox18",-1.09,-0.77,-0.85,0.72,1.05,0.94
"Lin28b",-1.04,-0.86,-0.81,0.69,1.04,0.98
"Ppard",-1.08,-0.87,-0.76,0.76,1.03,0.92
"Hoxb9",-0.9,-0.92,-0.9,0.71,1,1.01
"Shox2",-0.95,-0.82,-0.95,0.79,1.05,0.89
"Erg",-0.97,-0.78,-0.97,0.74,1.09,0.89
"Sox17",-0.9,-0.9,-0.9,0.58,1.12,1
"Tshz2",-0.85,-0.87,-0.96,0.56,1.18,0.95
"Sox7",-0.92,-0.87,-0.91,0.62,1.15,0.93
"Tal1",-0.95,-0.81,-0.95,0.66,1.13,0.91
"Epas1",-1.02,-0.78,-0.87,0.56,1.18,0.94
"Vdr",-1.02,-0.79,-0.88,0.63,1.1,0.97
"Bnc2",-0.97,-1.01,-0.71,0.64,1.01,1.05
"Rxra",-0.95,-0.93,-0.82,0.61,1.01,1.08
"Zfp979",-0.99,-0.99,-0.68,0.53,1.16,0.98
"Creb5",-1,-0.87,-0.81,0.53,1.08,1.07
"Hoxa1",-1.07,-0.86,-0.74,0.57,1.06,1.05
"Dach1",-1.28,-0.46,-0.85,0.58,1.21,0.8
"Hoxc5",-1.05,-0.53,-1.04,0.61,1.27,0.75
"Etv4",-0.84,-0.68,-1.16,0.65,1.08,0.95
"Meox2",-0.98,-0.74,-0.98,0.65,1.05,1
"Prrx2",-1.01,-0.66,-1.01,0.58,1.03,1.07
"Cebpb",-0.99,-0.5,-1.17,0.76,1.01,0.89
"Meox1",-1.04,-0.6,-1.04,0.65,1.05,0.97
"Nr5a2",-1.07,-0.49,-1.07,0.55,1.05,1.02
"Bmal2",-1.25,-0.45,-0.93,1.09,0.8,0.73
"Pou3f1",-1.26,-0.61,-0.8,1,0.91,0.75
"Hoxa5",-1.27,-0.58,-0.81,0.98,0.86,0.82
"Zfp697",-0.97,-0.77,-0.97,1.13,0.8,0.78
"Six1",-1.1,-0.75,-0.86,1.1,0.82,0.79
"Six5",-1.07,-0.68,-0.94,1.13,0.78,0.78
"Hoxb6",-1.08,-0.92,-0.71,1.11,0.81,0.78
"Dmrta2",-1.08,-0.85,-0.78,1.04,0.78,0.89
"Runx2",-1.07,-0.85,-0.8,1.05,0.85,0.81
"Pax9",-1.19,-0.75,-0.75,1.01,0.91,0.77
"Npas3",-1.2,-0.74,-0.74,1.11,0.75,0.81
"Plscr2",-0.78,-0.88,-1.07,0.96,0.96,0.8
"Tead3",-0.78,-0.88,-1.07,0.92,0.9,0.9
"Zfp428",-0.72,-1,-0.99,1.08,0.81,0.82
"Kcmf1",-0.66,-1.03,-1.02,0.98,0.89,0.84
"Irx5",-0.87,-1,-0.86,0.87,0.88,0.98
"Hoxb8",-0.86,-1.01,-0.86,0.89,0.92,0.93
"Plagl1",-0.81,-1.07,-0.84,0.84,0.92,0.96
"Bhlhe41",-0.82,-1.07,-0.83,0.87,0.86,0.99
"Zfp469",-0.84,-0.99,-0.9,0.98,0.92,0.83
"Tead4",-0.7,-1.01,-1.01,0.88,0.99,0.85
"Nr2f6",-0.75,-1.05,-0.92,0.86,1.06,0.8
"Irf7",-0.78,-0.76,-1.17,0.88,0.79,1.03
"Tbx18",-1.03,-0.65,-1.03,0.89,0.96,0.86
"Snai2",-0.87,-0.74,-1.11,0.85,0.99,0.88
"Dlx6",-0.86,-1.01,-0.86,0.99,0.75,0.98
"Hoxb2",-0.85,-0.99,-0.85,1.01,0.59,1.09
"Alx1",-1.01,-0.94,-0.78,0.9,0.9,0.93
"Hoxd13",-1.04,-0.94,-0.75,0.95,0.84,0.94
"Sox6",-1.08,-0.94,-0.69,0.87,0.92,0.92
"Zic5",-1.04,-0.93,-0.74,0.81,0.89,1.02
"Batf2",-0.87,-1.19,-0.63,0.86,0.89,0.94
"Hoxa10",-0.91,-1.05,-0.77,0.83,0.95,0.95
"Aebp1",-0.84,-1.13,-0.75,0.78,0.96,0.97
"Zfp219",-0.98,-1.03,-0.69,0.73,0.85,1.11
"Foxr2",-0.98,-1.11,-0.6,0.74,0.95,1
"Tcf7l2",-1.05,-1.01,-0.63,0.73,1.01,0.95
"Fosl1",-0.38,-0.45,-1.6,1.09,0.65,0.69
"Tfcp2l1",-1.05,-0.3,-1.24,1.01,0.77,0.81
"Zfp449",-0.56,-0.33,-1.52,0.34,1.04,1.04
"Zfta",-0.91,-0.45,-1.06,0.31,1.57,0.55
"Hoxb3",-1.39,-0.76,-0.35,1.21,0.8,0.49
"Zfp536",-1.56,-0.46,-0.41,1.15,0.53,0.75
"Mxd3",-1.63,-0.51,-0.12,1.25,0.49,0.52
"Hoxd9",-1.31,-0.71,-0.61,0.99,1.01,0.63
"Glis2",-1.37,-0.72,-0.5,0.91,1.07,0.61
"Prrx1",-1.41,-0.64,-0.56,0.96,0.83,0.82
"Hoxc6",-1.44,-0.61,-0.54,0.9,0.92,0.77
"Zfp503",-1.46,-0.62,-0.5,0.83,1.03,0.7
"Tbx3",-1.53,-0.48,-0.51,0.91,0.95,0.66
"Zfp111",-1.49,-0.51,-0.56,0.95,0.84,0.77
"Zbtb46",-1.51,-0.55,-0.48,0.89,0.87,0.79
"Foxc2",-1.51,-0.27,-0.71,1,0.91,0.58
"Klf5",-1.51,-0.38,-0.57,1.05,0.99,0.43
"Hoxc9",-1.44,-0.53,-0.53,1.24,0.76,0.5
"Snai1",-1.42,-0.46,-0.68,1.08,0.89,0.6
