"","CD8_DLN_1","CD8_DLN_2","CD8_DLN_3","CD8_Tumor_1","CD8_Tumor_2","CD8_Tumor_3"
"ENSMUSG00000104478",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,2,2,0
"ENSMUSG00000101231",0,0,0,0,0,0
"ENSMUSG00000102135",26,15,23,20,19,7
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0
"ENSMUSG00000100764",11,6,3,2,2,2
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",13,4,1,4,0,1
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000100480",16,2,18,6,2,2
"ENSMUSG00000089037",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"ENSMUSG00000100025",2,2,2,2,2,0
"ENSMUSG00000051285",4534,2578,1751,1984,1547,295
"ENSMUSG00000098201",1,1,0,0,0,0
"ENSMUSG00000103509",154,103,44,62,49,4
"ENSMUSG00000048538",8,11,6,30,2,2
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",27,15,30,16,4,8
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",4,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,2,0,0,0,0
"ENSMUSG00000103903",4,0,2,0,0,1
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,1,0,0
"ENSMUSG00000100290",0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0
"ENSMUSG00000039748",294,176,617,905,596,300
"ENSMUSG00000118715",0,0,0,0,0,0
