	CD8.DLN.1.bam	CD8.DLN.2.bam	CD8.DLN.3.bam	CD8.Tumor.1.bam	CD8.Tumor.2.bam	CD8.Tumor.3.bam
ENSMUSG00000102693.1	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0
ENSMUSG00000051951.5	0	2	0	1	0	0
ENSMUSG00000102851.1	0	0	0	0	0	0
ENSMUSG00000103377.1	0	1	0	0	0	0
ENSMUSG00000104017.1	0	0	1	0	0	0
ENSMUSG00000103025.1	0	0	0	0	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0
ENSMUSG00000103201.1	0	1	0	0	0	0
ENSMUSG00000103147.1	2	1	1	0	0	0
ENSMUSG00000103161.1	0	0	0	0	0	0
ENSMUSG00000102331.1	0	2	0	0	0	0
ENSMUSG00000102348.1	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	1	0
ENSMUSG00000025900.12	0	1	0	0	0	1
ENSMUSG00000102948.1	0	1	0	2	1	1
ENSMUSG00000104123.1	0	0	0	0	0	0
ENSMUSG00000025902.13	1	0	0	266	139	17
ENSMUSG00000104238.1	0	0	0	0	0	0
ENSMUSG00000102269.1	29	16	56	25	23	17
ENSMUSG00000096126.1	0	0	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	1	0	0
ENSMUSG00000102735.1	0	0	0	1	1	0
ENSMUSG00000098104.1	1438	748	711	509	399	86
ENSMUSG00000102175.1	29	17	14	12	9	1
ENSMUSG00000088000.1	0	0	0	0	0	0
ENSMUSG00000103265.1	0	1	2	0	0	0
ENSMUSG00000103922.1	869	513	661	823	559	171
ENSMUSG00000033845.13	1335	735	1308	1214	922	399
ENSMUSG00000102275.1	22	12	16	6	7	27
ENSMUSG00000025903.14	1752	997	1243	1452	913	354
ENSMUSG00000104217.1	0	0	3	2	1	0
ENSMUSG00000033813.15	1869	991	1356	1476	1081	381
ENSMUSG00000062588.4	165	91	124	365	262	86
ENSMUSG00000103280.1	4	2	1	3	4	0
ENSMUSG00000002459.17	3	0	0	0	1	0
ENSMUSG00000091305.1	1	0	0	0	0	0
ENSMUSG00000102653.1	0	0	1	0	0	0
ENSMUSG00000085623.1	0	0	0	0	0	0
ENSMUSG00000091665.1	0	0	0	0	0	0
ENSMUSG00000033793.12	1275	719	927	1802	1293	450
ENSMUSG00000104352.1	0	0	0	0	0	0
ENSMUSG00000104046.1	1	0	0	0	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0
ENSMUSG00000025905.13	0	0	0	0	1	0
ENSMUSG00000103936.1	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0
