"","baseMean","lgFC_MoDC_Tumor_vs_MoDC_LN","lfcSE","stat","pvalue","padj"
"Ighd",1080.76678613371,-2.27739961892555,0.2205030557697,-10.328199811,5.2537280040933e-25,9.03168381183679e-21
"Ly6d",1260.1706892848,-2.49379560718336,0.26095391605292,-9.55645979529055,1.21853736722558e-21,1.04739379399875e-17
"Cd79b",1070.02244074307,-1.44511373669028,0.160147475859562,-9.02364354438868,1.81935268164325e-19,1.04254973167097e-15
"Cd300c",363.334541215431,-2.07917924180413,0.235260528137194,-8.83777341769646,9.76450544910427e-19,4.19654032938879e-15
"Chdh",250.310396455132,-2.08174484974249,0.237460035672382,-8.76671665549069,1.83951948737642e-18,6.3246359014976e-15
"Btla",2463.91751576253,-1.97205278177122,0.22768411024882,-8.66135445120039,4.66191491942531e-18,1.33571632299734e-14
"Gcsam",532.198100752291,-2.10666093049469,0.245275062485502,-8.58897316811087,8.77500066234779e-18,2.1550148055203e-14
"BC035044",756.771617174428,-1.5618853168443,0.183141807532154,-8.52828383584712,1.48534736100383e-17,2.55346064830169e-14
"Snx22",415.592378275966,-2.53859706403558,0.296885886840868,-8.55075022611727,1.22291005951013e-17,2.55346064830169e-14
"Xcr1",1384.53906491908,-1.99900714016804,0.234158972623865,-8.53696579622038,1.37792321678837e-17,2.55346064830169e-14
"Mical1",2990.84290085112,-0.951168344171598,0.114468370931446,-8.30944248120075,9.61527489773477e-17,1.37746825639132e-13
"Myo1h",519.744801907493,-2.06258672168561,0.248085178386406,-8.31402639650249,9.25085613700799e-17,1.37746825639132e-13
"Fcrla",532.007513247487,-2.10750262230654,0.254328671536867,-8.2865317919967,1.16598538329422e-16,1.54188113263161e-13
"Ptprf",1140.19202215713,-2.06684249536767,0.253221077004141,-8.16220561029315,3.28961601767267e-16,4.03941349712935e-13
"Cd4",3852.50752340109,-2.12704257311874,0.262825169605558,-8.09299419956983,5.82156382082574e-16,6.67190024292102e-13
"Septin1",1752.94272953051,-1.49374273037934,0.189111360108914,-7.8987466935834,2.81721745277669e-15,3.02692407691776e-12
"Fcmr",454.701383304465,-2.3451738770919,0.297936925964166,-7.871377035601,3.50758791783158e-15,3.54699669973193e-12
"Obscn",1175.17973022284,-2.28456864030751,0.292843244438043,-7.80133632480246,6.12550180940002e-15,5.8501945336331e-12
"Asb2",587.722067252597,-1.54027988390765,0.198108775509915,-7.77492001524466,7.54950923977864e-15,6.8307164916334e-12
"Ccr9",1804.85655712151,-2.14475767770795,0.276649061881813,-7.75262949788788,9.00089491290874e-15,7.73671922239071e-12
"Blk",337.262366976974,-2.3149917564941,0.299478468250251,-7.73007745772109,1.07481165687101e-14,8.79861294917597e-12
"Tbc1d10c",230.047774532812,-1.74445826212127,0.22606766190066,-7.71653162356247,1.19537928773709e-14,9.34080242522199e-12
"Gzma",1017.87333191677,-1.2123139003448,0.158228915830644,-7.6617721481601,1.83384781845576e-14,1.37068164552491e-11
"Ryr3",155.826012531507,-2.27121416492822,0.296703638984521,-7.65482409552352,1.93577027249322e-14,1.38657611476795e-11
"Rpgrip1",550.519584086134,-1.97672263278049,0.259709063944433,-7.61129628191734,2.71360362072339e-14,1.86598239375423e-11
"Gpr162",624.526382697574,-1.4423074543675,0.191068534454256,-7.54863933241086,4.39829008455014e-14,2.80040758679635e-11
"Ighv1-81",120.626324034755,-2.26535314388213,0.299956207468112,-7.55227959108985,4.27705074831077e-14,2.80040758679635e-11
"Grap",1545.8839589855,-1.45822746795821,0.193698380480363,-7.52834104416298,5.13890261575272e-14,3.15510267383589e-11
"Cd209b",1151.91381743087,-1.77416794122973,0.235942246317914,-7.51950093261031,5.498572632284e-14,3.25622611898772e-11
"Slc14a1",474.299551856604,-1.52228857536959,0.202561309302325,-7.51519912964996,5.68243752949983e-14,3.25622611898772e-11
"Mctp2",539.477428593338,-1.73884671037574,0.23334245198326,-7.45190896725678,9.1999200299669e-14,5.10180081403745e-11
"Lag3",2372.07470634468,-1.47159832677395,0.198593645411947,-7.41009775877464,1.26206349703413e-13,6.78004174297301e-11
"Tmem231",167.286390001151,-1.71885574089118,0.232762892758382,-7.38457801637408,1.52937658455927e-13,7.96712511065405e-11
"Timd4",803.40522072976,-1.40151857234462,0.190058304412141,-7.37415066749957,1.65396056426919e-13,8.3627164883387e-11
"Ffar4",404.748915732899,-2.51422505153815,0.341188643006374,-7.36901741331168,1.71890211135071e-13,8.40615588472385e-11
"Siglech",2852.8111466274,-2.20831714006865,0.299805202451142,-7.365839958793,1.76034908876772e-13,8.40615588472385e-11
"Dnase1l3",4519.63986161601,-1.76468293516583,0.24013210946671,-7.348800371116,1.99993614490961e-13,9.29213574787599e-11
"Ms4a1",792.067710267876,-2.23427227073351,0.305911220797457,-7.30366236618963,2.80038575843774e-13,1.26687977824482e-10
"Cd8a",3513.67569122153,-1.51838934227481,0.208193562524949,-7.29316182431363,3.02764065410262e-13,1.33456847396611e-10
"Iglc3",201.956685161806,-2.31062698098797,0.31919179351528,-7.23899244257156,4.52030214750386e-13,1.94271285544347e-10
"Eldr",210.325475084777,-1.60018322112672,0.221242108600697,-7.23272450822087,4.73399117972594e-13,1.94645203001142e-10
"Rhobtb2",1117.84520332418,-1.01672042576421,0.140584195441114,-7.23211042730677,4.7554525775394e-13,1.94645203001142e-10
"Gm34680",254.553301237097,-2.26065650399095,0.313395754733417,-7.21342414454189,5.45621243909065e-13,2.18134297768389e-10
"Dntt",138.83896841886,-1.865599883959,0.261075417098958,-7.14582745740424,8.9455367700619e-13,3.49506187759396e-10
"Bcl11a",1996.79241292496,-2.03438008618998,0.285364520941224,-7.1290575278242,1.01058493560662e-12,3.81119922209283e-10
"Itgad",99.3992436812506,-2.03456473091199,0.285502850093706,-7.12625015912878,1.03140191767515e-12,3.81119922209283e-10
"Wdfy4",20577.8892212093,-1.16516809425904,0.163535918001532,-7.12484516244389,1.0419775663915e-12,3.81119922209283e-10
"Kcnip3",414.066955416529,-2.25939005913264,0.318074787949412,-7.10332960904773,1.21786476561501e-12,4.36173191368491e-10
"Fcer2a",590.114445446203,-2.16598934025831,0.305167120761936,-7.09771529400123,1.26836130046283e-12,4.44987737066459e-10
"Spn",4157.0346419954,-0.736719516799043,0.10403309456028,-7.08158802651176,1.42511796664961e-12,4.89984059293468e-10
"Mycl",2183.74890761733,-2.14581195240788,0.303265894512448,-7.07567844335954,1.487193522033e-12,5.01300859554299e-10
"Kynu",1051.3593385658,-1.86472872760889,0.263641672575978,-7.07296653593904,1.51656070077423e-12,5.01369134750187e-10
"Gm56536",325.454567004591,-1.48471734526864,0.211300689639073,-7.02656175805539,2.11684908417297e-12,6.86617973698444e-10
"Smim5",434.407257133708,-1.91559330229486,0.272825055798713,-7.0213246972014,2.19774442273876e-12,6.99656006875962e-10
"Spib",2603.68669419288,-2.21491951485063,0.317632661578738,-6.97321082738079,3.09787836031237e-12,9.68284125311453e-10
"Cd7",1226.9593590519,-2.25041537585478,0.323190143326145,-6.96313121648572,3.32791579011128e-12,1.02161072049648e-09
"Prss30",224.851191507414,-1.61753553162498,0.233967244864934,-6.91351275499592,4.72797145033316e-12,1.42593960004697e-09
"Ddr1",2083.27188482598,-1.36095220624393,0.197295400180314,-6.89804326406047,5.27236915760265e-12,1.53622539302283e-09
