"","MoDC_Tumor2","MoDC_Tumor1","MoDC_Tumor3","MoDC_LN2","MoDC_LN1","MoDC_LN3"
"Il12rb2",-1.28,-0.85,-0.35,0.88,0.32,1.28
"S1pr5",-1.18,-0.69,-0.65,0.49,0.56,1.47
"Pik3cb",-1.33,-0.04,-1.09,0.87,0.85,0.74
"Cd22",-1.4,-0.35,-0.82,0.7,0.81,1.05
"Procr",-1.71,-0.37,-0.26,0.87,0.63,0.83
"Cx3cr1",-1.58,-0.43,-0.42,0.64,1.16,0.63
"Ptgdr2",-0.82,-0.93,-0.6,0.99,1.46,-0.09
"Cdh1",0.12,-0.84,-1.42,1.04,1.09,0.01
"Ccr8",-0.14,-0.75,-1.25,1.23,1.14,-0.23
"Gpr18",-0.32,-0.87,-1.32,0.93,1.15,0.43
"Ffar2",-0.27,-1.19,-0.95,1.09,1.18,0.14
"Rpsa",-0.22,-0.7,-1.27,1.64,0.33,0.22
"Traf2",-0.08,-1.06,-1.16,1.43,0.23,0.65
"Vipr1",-0.19,-1.06,-1.16,1.37,0.33,0.72
"Selplg",-0.31,-1.01,-1.02,1.58,0.19,0.57
"Acvr2b",-0.23,-1.01,-1.03,1.63,0.27,0.37
"Il15ra",-0.02,-1.04,-0.79,1.57,-0.49,0.77
"Adora2a",0.01,-1.08,-0.95,1.62,-0.15,0.55
"Ocln",-0.16,-1.04,-0.96,1.63,-0.04,0.56
"Sucnr1",-0.16,-1.04,-0.94,1.67,0.01,0.46
"Tnfrsf4",0.06,-1.21,-0.75,1.7,-0.11,0.31
"Icos",-0.17,-1.27,-0.76,1.6,0.16,0.45
"Prnp",-0.18,-1.17,-0.77,1.7,0.1,0.33
"Il22ra2",-0.39,-0.99,-1.16,1.14,0.35,1.05
"Lrp8",-0.47,-1.03,-1.04,1.32,0.35,0.88
"Ackr1",-0.5,-1.16,-0.94,1.21,0.47,0.91
"Itgae",-0.16,-1,-1.33,1.1,0.8,0.58
"Gpr183",-0.21,-1.05,-1.17,1.39,0.55,0.49
"Ramp1",-0.38,-0.97,-1.21,1.28,0.66,0.62
"Cd4",-0.42,-1.18,-1.03,1.11,0.7,0.82
"Ddr1",-0.47,-1.25,-0.9,1.13,0.69,0.81
"Ptprf",-0.48,-1.23,-0.92,1.06,0.65,0.92
"Ngfr",-0.24,-1.24,-1.08,1.03,0.85,0.67
"Cd7",-0.32,-1.2,-1.05,1.16,0.75,0.66
"Ccr9",-0.39,-1.11,-1.11,1.11,0.8,0.7
"Siglech",-0.35,-1.09,-1.15,1.14,0.83,0.62
"Cxcr3",-0.54,-1.12,-0.98,1.19,0.84,0.6
"Xcr1",-0.49,-1.21,-0.96,1.04,0.86,0.75
"Cd209a",0.41,-1.53,-0.87,1.17,0.52,0.29
"Epha2",-0.01,-1.74,-0.46,1.02,0.56,0.64
"Ifnlr1",-0.14,-1.61,-0.62,1.03,0.78,0.57
"Gfra2",-0.4,-1.35,-0.83,1.15,0.66,0.76
"Cdon",-0.37,-1.37,-0.79,1.23,0.6,0.71
"Klrd1",-0.31,-1.49,-0.67,1.1,0.49,0.88
"Kit",-0.23,-1.43,-0.82,1.15,0.55,0.78
"Grm8",-0.15,-1.44,-0.89,1.04,0.73,0.71
"Flt3",-0.12,-1.32,-1.01,1.19,0.51,0.74
"L1cam",-0.24,-1.3,-0.95,1.16,0.44,0.89
"Cadm3",-0.28,-1.33,-0.92,1.17,0.54,0.82
"Gpr4",-0.13,-1.45,-0.69,1.43,0.47,0.37
"Ptger3",-0.27,-1.19,-0.89,1.55,0.45,0.35
"Tnfrsf18",-0.19,-1.26,-0.89,1.48,0.3,0.55
"Gfra3",-0.19,-1.16,-1.01,1.44,0.25,0.67
"Gpr68",-0.26,-1.33,-0.81,1.38,0.29,0.73
"Il27ra",-0.16,-1.37,-0.85,1.33,0.36,0.69
"Il9r",-0.19,-1.3,-0.94,1.3,0.42,0.71
"Fgfr3",0.07,-1.25,-1,1.46,0.22,0.5
"Plxnc1",-0.15,-1.23,-0.89,1.47,0.07,0.73
"Ntng2",-0.12,-1.3,-0.85,1.47,0.18,0.62
"Lpar3",-0.06,-1.34,-0.83,1.45,0.16,0.62
"Abca7",-0.1,-1.35,-0.77,1.45,0.1,0.67
"Nectin1",-0.02,-1.34,-0.85,1.4,0.1,0.71
"Cdh17",-0.54,-1.4,-0.64,0.89,1.1,0.59
"Hrh1",-0.69,-1.19,-0.8,0.84,1.11,0.73
