"","MoDC_Tumor2","MoDC_Tumor1","MoDC_Tumor3","MoDC_LN2","MoDC_LN1","MoDC_LN3"
"Maz",-0.5,-0.6,-1.31,1.5,0.46,0.45
"Zfp61",-0.51,-0.59,-1.33,1.47,0.51,0.45
"Hes6",-0.29,-0.99,-1.22,1.32,0.46,0.72
"Patz1",-0.3,-0.99,-1.17,1.4,0.44,0.62
"Irf3",-0.21,-1,-1.2,1.42,0.53,0.47
"Tcf7",-0.21,-1.12,-1.12,1.36,0.53,0.56
"Prr12",-0.47,-0.96,-1.09,1.38,0.31,0.83
"Tcf3",-0.52,-0.97,-0.99,1.52,0.35,0.6
"Zfp956",-0.67,-0.85,-1.02,1.48,0.39,0.68
"Irf8",-0.52,-0.6,-1.39,1.08,1.07,0.36
"Bhlhe22",-0.73,-0.46,-1.39,1.03,0.93,0.62
"Bmyc",-0.19,-0.87,-1.38,1.12,0.96,0.36
"Kcnip3",-0.38,-1,-1.24,0.97,0.9,0.75
"Zfp426",-1.16,-0.74,-0.46,1.58,0.6,0.18
"E430018J23Rik",-1.03,-0.81,-0.4,1.66,0.59,-0.02
"Ccdc17",-0.62,-1.07,-0.77,1.52,0.74,0.19
"Jrk",-0.65,-0.92,-0.79,1.65,0.61,0.1
"Foxr1",-0.71,-0.48,-1.08,1.61,0.71,-0.06
"Ttf1",-0.93,-0.67,-0.81,1.63,0.57,0.21
"Zfp169",-0.8,-0.66,-1.02,1.54,0.63,0.32
"Duxbl1",-0.75,-1.04,-0.74,0.87,1.42,0.23
"Bhlha15",-1.08,-0.79,-0.78,1.24,0.88,0.53
"Foxk1",-0.48,-1.14,-0.96,1.3,0.79,0.5
"Ikzf1",-0.48,-1.2,-0.93,1.25,0.68,0.67
"Zfp362",-0.59,-1.12,-0.89,1.33,0.67,0.61
"Zscan20",-0.46,-0.95,-1.12,1.41,0.65,0.47
"Sox12",-0.56,-1.05,-0.93,1.41,0.78,0.35
"Zscan2",-1.39,-0.95,0.07,1.3,0.54,0.44
"Zfp251",-1.22,-1.08,-0.21,1.16,0.56,0.8
"Zfp128",-1.12,-1.15,-0.26,1.1,0.45,0.97
"Egr3",-0.79,-1.11,-0.71,0.76,0.5,1.35
"Zmat1",-0.87,-1.22,-0.56,1.06,0.64,0.95
"Kmt2b",-0.46,-1.14,-0.77,1.17,-0.04,1.24
"Zscan29",-0.54,-1.22,-0.57,1.32,-0.07,1.08
"Akap8",-0.45,-1.27,-0.61,1.27,-0.04,1.09
"Zfhx2",-0.58,-1.14,-0.47,1.43,-0.26,1.02
"Zkscan3",-0.63,-1.06,-0.54,1.43,-0.23,1.04
"Zfp318",-0.63,-1.02,-0.58,1.41,-0.26,1.08
"Zfp62",-0.71,-1.17,-0.47,1.41,-0.02,0.96
"Rfx7",-0.57,-1.29,-0.49,1.43,0.07,0.84
"Zfp46",-0.41,-1.23,-0.5,1.5,-0.23,0.87
"Akap8l",-0.39,-1.17,-0.74,1.48,-0.04,0.86
"Zfp182",-0.45,-1.12,-0.66,1.52,-0.16,0.87
"Nr2c2",-1.11,-1,-0.18,1.38,-0.01,0.91
"Elf1",-0.82,-1.24,-0.32,1.34,0.09,0.95
"Zfp942",-0.9,-1.18,-0.34,1.25,0.12,1.05
"Mga",-0.87,-1.05,-0.45,1.36,-0.05,1.05
"Tfdp2",-0.8,-1.16,-0.37,1.27,-0.06,1.12
"Prdm15",-0.86,-0.8,-0.5,1.2,-0.38,1.34
"Zkscan8",-0.74,-0.66,-0.88,1.41,-0.22,1.09
"Zfp606",-0.8,-0.61,-0.77,1.44,-0.35,1.09
"Arid3b",-0.62,-0.81,-1.16,1.14,0.38,1.07
"Zfp512b",-0.51,-0.98,-1.02,1.25,0.19,1.08
"Zfp408",-0.39,-0.81,-1.07,1.18,-0.18,1.28
"Klf12",-0.06,-1.06,-1.2,1.13,0.1,1.08
"Zfp94",-0.58,-0.32,-1.35,0.85,-0.02,1.41
"Spic",-0.8,-0.56,-1.06,1.37,0.03,1.02
"Zfp113",-0.78,-0.41,-1.24,1.35,0.15,0.92
"Ikzf3",-0.6,-1.56,-0.2,0.99,0.33,1.04
"Eomes",-0.51,-1.47,-0.39,1.25,0.23,0.9
"Zeb1",-0.07,-1.51,-0.44,1.36,-0.16,0.81
"Klf8",-0.24,-1.54,-0.44,1.23,0.05,0.93
"Ikzf2",-0.47,-1.42,-0.38,1.49,0.19,0.59
"Bcl11b",-0.26,-1.54,-0.36,1.45,0.14,0.57
"Gata3",-0.3,-1.42,-0.46,1.52,0.06,0.61
"Zfp521",-0.31,-1.63,-0.33,1.24,0.37,0.67
"Setbp1",-0.48,-1.59,-0.09,1.31,0.15,0.7
"Cxxc5",-0.22,-1.47,-0.79,1.07,0.66,0.75
"Satb1",-0.3,-1.41,-0.82,1.08,0.59,0.86
"L3mbtl3",-0.4,-1.3,-0.87,1.21,0.56,0.79
"Scml4",-0.35,-1.27,-0.95,1.15,0.62,0.8
"Runx2",-0.44,-1.3,-0.8,1.3,0.55,0.68
"Pou2af1",-0.27,-1.37,-0.85,1.24,0.64,0.61
"Rxrg",-0.04,-1.21,-1.18,1.14,0.73,0.55
"Hoxa7",-0.26,-1.24,-1.08,0.99,0.88,0.7
"Mycl",-0.33,-1.28,-0.98,1.11,0.74,0.73
"Pax5",-0.25,-1.21,-1.09,1.1,0.68,0.78
"Bcl11a",-0.34,-1.16,-1.09,1.13,0.75,0.71
"Spib",-0.3,-1.13,-1.13,1.15,0.74,0.68
"Zfp777",-0.73,-1.08,-0.82,1.34,0.57,0.71
"Sall2",-0.83,-1.02,-0.72,1.46,0.58,0.54
"Zfp746",-0.6,-1.19,-0.59,1.61,0.36,0.41
"Tsc22d1",-0.68,-1.27,-0.5,1.44,0.29,0.72
"Nfatc3",-0.63,-1.2,-0.7,1.4,0.41,0.73
"Bach2",-0.64,-1.22,-0.65,1.38,0.33,0.8
"Zfp740",-0.31,-1.23,-0.8,1.57,0.39,0.38
"Nfe2l3",-0.25,-1.14,-0.94,1.58,0.43,0.3
