"","LN1","LN2","LN3","Tumor1","Tumor2","Tumor3"
"ENSMUSG00000104478",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0
"ENSMUSG00000102135",12,6,4,6,6,10
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0
"ENSMUSG00000100764",0,6,3,4,0,9
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",4,9,8,1,2,7
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000100480",5,8,9,11,7,6
"ENSMUSG00000089037",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"ENSMUSG00000100025",0,6,0,4,0,4
"ENSMUSG00000051285",2401,3175,2688,1968,2238,1967
"ENSMUSG00000098201",0,0,0,0,0,0
"ENSMUSG00000103509",82,117,86,56,37,56
"ENSMUSG00000048538",6,19,14,14,18,14
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",8,14,8,4,2,6
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0
"ENSMUSG00000103903",0,0,2,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0
"ENSMUSG00000039748",300,256,266,328,254,248
"ENSMUSG00000118715",0,0,0,0,0,0
"ENSMUSG00000104158",0,0,0,0,0,0
"ENSMUSG00000103540",0,0,0,0,0,0
"ENSMUSG00000057363",1275,1076,1114,1131,1095,1015
"ENSMUSG00000047216",209,86,254,244,259,354
"ENSMUSG00000102788",0,0,0,6,6,0
"ENSMUSG00000102160",0,0,2,2,0,3
"ENSMUSG00000101253",0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0
"ENSMUSG00000090243",2,4,24,8,4,2
"ENSMUSG00000100701",8,6,2,10,0,4
"ENSMUSG00000100555",0,0,0,0,0,0
"ENSMUSG00000101395",0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0
"ENSMUSG00000088848",0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0
"ENSMUSG00000038702",252,310,268,228,240,274
"ENSMUSG00000101875",0,0,0,2,0,0
"ENSMUSG00000099732",0,0,0,0,0,0
"ENSMUSG00000101220",0,0,0,0,0,0
"ENSMUSG00000100020",0,0,0,0,0,0
"ENSMUSG00000101054",0,0,0,0,0,0
"ENSMUSG00000088691",0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0
"ENSMUSG00000102105",0,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0
"ENSMUSG00000097648",0,0,0,0,0,0
"ENSMUSG00000101687",0,0,0,0,0,0
"ENSMUSG00000100515",0,0,0,0,0,0
"ENSMUSG00000055214",0,0,4,0,0,0
"ENSMUSG00000078184",18,16,16,8,38,26
"ENSMUSG00000104363",0,0,0,0,0,0
"ENSMUSG00000103277",0,0,0,0,0,0
"ENSMUSG00000104157",0,0,0,0,0,0
"ENSMUSG00000102446",0,0,0,0,0,0
"ENSMUSG00000104248",0,0,0,0,0,0
"ENSMUSG00000104021",0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0
"ENSMUSG00000087875",0,0,0,0,0,0
"ENSMUSG00000033007",0,0,0,0,0,1
"ENSMUSG00000070695",0,0,0,0,0,0
"ENSMUSG00000025909",6,0,0,0,4,0
"ENSMUSG00002076179",0,0,0,0,0,0
"ENSMUSG00000102033",0,0,0,0,0,0
"ENSMUSG00000102647",0,0,0,0,0,2
"ENSMUSG00000086235",0,0,0,0,0,0
"ENSMUSG00000102253",0,0,0,0,0,0
"ENSMUSG00002074990",0,0,0,0,0,0
"ENSMUSG00000094429",0,0,0,0,0,0
"ENSMUSG00000103884",0,0,0,0,0,0
"ENSMUSG00000084353",6,5,6,4,4,6
"ENSMUSG00000103933",2,0,0,0,2,0
"ENSMUSG00002075967",1,1,1,0,5,1
"ENSMUSG00000086195",0,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,0,0,0
"ENSMUSG00000102316",0,0,0,0,0,0
"ENSMUSG00000103819",0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,0
"ENSMUSG00000101571",0,0,1,1,0,0
