"","x"
"1","Irf7"
"2","Nfkb2"
"3","Batf2"
"4","Rbpj"
"5","Trafd1"
"6","Pou3f1"
"7","Stat3"
"8","Cebpb"
"9","Msantd3"
"10","Nfe2l2"
"11","Tcf4"
"12","Mbnl2"
"13","Nr4a3"
"14","Tfec"
"15","Lhx2"
"16","Mxd1"
"17","Prdm1"
"18","Nfe2l1"
"19","Hif1a"
"20","Six1"
"21","Nfxl1"
"22","Fosl1"
"23","Irf5"
"24","Mitf"
"25","Creb5"
"26","Zfp503"
"27","Fosl2"
"28","Etv6"
"29","Crem"
"30","Eea1"
"31","Atf3"
"32","Cebpd"
"33","Jdp2"
"34","Nfix"
"35","Kcmf1"
"36","Plscr1"
"37","Zfand5"
"38","Gtf2b"
"39","E2f8"
"40","Zfp703"
