"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL4",3.07899241237299e-35,1.56856346675672,0.68,0.224,4.09659940466226e-31
"TMSB10",2.21112835528368e-25,-0.255611879245548,0.969,0.965,2.94190627670493e-21
"TPT1",4.21092587827529e-22,-0.374902374073931,0.834,0.897,5.60263688104527e-18
"CRIP1",3.16262440922503e-21,0.993092968084518,0.712,0.381,4.20787177647391e-17
"NACA",1.79934749179652e-20,-0.396625043330419,0.804,0.862,2.39403183783527e-16
"NKG7",3.29549995642212e-20,1.15794381096769,0.617,0.26,4.38466269201963e-16
"TNFSF9",9.14636523074429e-20,1.6532537813981,0.438,0.131,1.21692389395053e-15
"CCL4L2",2.6074999116041e-19,2.14432140215542,0.336,0.067,3.46927863238926e-15
"MALAT1",3.32695438736738e-19,-0.127711659942614,1,1,4.4265128123923e-15
"EEF1A1",6.00446366269553e-19,-0.202541148209018,0.979,0.968,7.9889389032164e-15
"CST7",3.18759889789001e-18,1.01886289004293,0.623,0.279,4.24110033364265e-14
"B2M",3.37214137176925e-18,-0.129721120778432,0.999,1,4.48663409513898e-14
"GZMB",1.29665211011061e-17,3.66332434749905,0.236,0.019,1.72519563250217e-13
"VIM",1.50111213636085e-17,0.85744299274392,0.705,0.404,1.99722969742811e-13
"CCL5",5.3638110720347e-17,0.894244014086338,0.726,0.34,7.13655063134217e-13
"ACTB",8.83072953282248e-17,-0.232106633959988,0.907,0.901,1.17492856434203e-12
"DUSP4",4.06512036257412e-15,2.09916907127231,0.295,0.074,5.40864264240487e-11
"JUNB",1.08523409643668e-14,-0.285303019978792,0.858,0.897,1.44390396530901e-10
"UBA52",1.50734696355906e-14,-0.539754735941043,0.603,0.699,2.00552513501533e-10
"TNFAIP3",1.87383949817453e-14,0.739145498721311,0.788,0.462,2.49314345232122e-10
"LMNA",4.36191159005038e-14,2.68432332255782,0.233,0.038,5.80352337056204e-10
"NOSIP",1.40315985374471e-12,-2.02884763716997,0.061,0.196,1.86690418540733e-08
"ZFP36",4.71468042983309e-12,0.419023495827991,0.942,0.744,6.27288231189292e-08
"SERF2",5.37499240169769e-12,-0.433215940192579,0.626,0.696,7.15142739045877e-08
"COX7C",6.35513680069645e-12,-0.467392571270377,0.633,0.696,8.45550951332662e-08
"TMSB4X",1.05299525146236e-11,-0.134943751344212,0.984,0.974,1.40101018207067e-07
"GZMH",1.18260053758524e-11,2.05712618830552,0.21,0.038,1.57345001525716e-07
"LEF1",1.22598207040401e-11,-2.55280310502374,0.036,0.144,1.63116914467253e-07
"EEF1B2",2.27474144867137e-11,-0.448345164776649,0.623,0.667,3.02654349745725e-07
"FAU",3.19357387353139e-11,-0.150789163284282,0.971,0.968,4.24905003873352e-07
"TXNIP",4.46546112436593e-11,-0.660515023123238,0.447,0.564,5.94129602596888e-07
"RNF19A",5.84683431882156e-11,1.07665409427058,0.411,0.186,7.77921306119208e-07
"RSRP1",8.19702072711276e-11,1.47746884867667,0.293,0.103,1.09061360774235e-06
"CSRNP1",8.74037563919790e-11,1.50458145762339,0.283,0.096,1.16290697879528e-06
"TGFB1",4.29952746972911e-10,2.14820496633933,0.179,0.032,5.72052129847458e-06
"LGALS1",4.89796544256925e-10,1.86078443093686,0.228,0.071,6.51674302133839e-06
"LDHB",5.12088781696006e-10,-0.914829567377057,0.278,0.426,6.81334124046536e-06
"GNG2",1.12322493498617e-09,1.23003567158366,0.316,0.131,1.4944507759991e-05
"TXK",1.16203348449506e-09,-2.57886102613768,0.02,0.099,1.54608555112068e-05
"TAGLN2",1.29869463234917e-09,0.928938723882075,0.414,0.202,1.72791320834057e-05
"XCL1",1.81970743654409e-09,2.05842208630777,0.201,0.054,2.42112074432192e-05
"XCL2",3.2468913234714e-09,2.23276223867018,0.169,0.035,4.3199889058787e-05
"AHNAK",3.74013397153375e-09,1.71900737093276,0.197,0.051,4.97624824912565e-05
"PRKCQ-AS1",4.56651034350026e-09,-2.28283370028164,0.041,0.135,6.0757420120271e-05
"TUBB4B",4.7307121200024e-09,1.157753471221,0.327,0.151,6.29421247566319e-05
"HNRNPLL",5.09146325309223e-09,2.35604234251761,0.162,0.032,6.77419185823921e-05
"PFKFB3",7.51637584092621e-09,3.17889594944557,0.126,0.013,0.000100005380563523
"CYBA",1.41681933317719e-08,0.645950125716998,0.599,0.349,0.000188507812279225
"RACK1",1.46104008884585e-08,-0.299217493200727,0.698,0.737,0.000194391383820941
"MAP1LC3B",1.53862049339707e-08,1.08339809013407,0.298,0.122,0.000204713456646481
"HLA-DRB1",1.73531453188386e-08,0.926279344090181,0.394,0.212,0.000230883598467147
"MCL1",1.8627687620107e-08,0.864657383918211,0.398,0.192,0.000247841383785524
"GABARAPL1",2.0684733497086e-08,1.4237578282568,0.215,0.067,0.00027521037917873
"PABPC1",3.76877422099697e-08,-0.52911410531318,0.468,0.564,0.000501435410103647
"LTB",4.04286885555288e-08,-1.26861148099051,0.136,0.256,0.00053790370123131
"TMA7",4.80353239133157e-08,-0.271644887144677,0.707,0.721,0.000639109984666665
"HSPB1",5.0688701360886e-08,-1.45744331372346,0.076,0.183,0.000674413171606588
"NEU1",7.29496350417731e-08,3.11952370228365,0.113,0.013,0.000970594894230792
"IFRD1",8.29873672204298e-08,1.73108303323873,0.172,0.048,0.00110414692086782
"SELL",1.08391921189713e-07,-1.5199392061719,0.092,0.196,0.00144215451142913
"SRSF7",1.15995151447069e-07,0.729511200480104,0.464,0.253,0.00154331549000326
"MAP3K8",1.46190840346998e-07,2.3405976163719,0.137,0.029,0.00194506913081681
"CD44",1.53756732982341e-07,0.748078237595685,0.434,0.231,0.00204573333233005
"HERPUD1",1.56973868806311e-07,0.696518632441081,0.456,0.24,0.00208853732446796
"LDHA",1.65472929932855e-07,0.680616196422526,0.464,0.266,0.00220161733275663
"CD3D",1.83622954503491e-07,-0.435606918731876,0.53,0.587,0.00244310340966895
"NR4A2",2.18608653939381e-07,0.689511695836498,0.45,0.247,0.00290858814066347
"TSPYL2",2.61825918976536e-07,1.17601609523275,0.246,0.103,0.00348359385198281
"SFPQ",3.5050465190896e-07,1.08582582635371,0.284,0.138,0.00466346439364871
"IDS",3.89363317294225e-07,1.00889529028568,0.263,0.112,0.00518047893659967
"RGS10",4.2621377487391e-07,-0.997102810181241,0.189,0.304,0.00567077427469737
"GADD45B",4.74983097794161e-07,1.01600036484288,0.291,0.138,0.00631965011615132
"LITAF",5.15575751968914e-07,0.939302018408559,0.266,0.112,0.0068597353799464
"BRD7",5.27784416537373e-07,-1.85883560219918,0.027,0.096,0.00702217166202975
"SRSF2",5.52296033738302e-07,0.794405769493097,0.376,0.205,0.0073482987288881
"COTL1",5.82163636477153e-07,0.714335235072414,0.443,0.266,0.00774568718332852
"JMJD6",5.89875194859344e-07,1.32765738752819,0.188,0.064,0.00784828946760358
"ATP2B1",7.71676033420452e-07,2.18763324998757,0.123,0.026,0.0102671496246591
"IL7R",8.27220499602852e-07,-0.32314934542408,0.643,0.644,0.0110061687472159
"ITM2C",9.46260940963215e-07,1.67228820033177,0.146,0.038,0.0125900018195156
"PFDN5",9.72785534961874e-07,-0.237031890445293,0.722,0.721,0.0129429115426677
"TUBA4A",1.21053674496083e-06,0.62186673527682,0.482,0.285,0.0161061913917039
"GAPDH",1.39081682806621e-06,0.460849163270654,0.722,0.494,0.0185048178974209
"MARCKSL1",1.92489315632605e-06,1.49965989339955,0.176,0.064,0.025610703444918
"SERTAD1",2.0565085981019e-06,0.869259504210517,0.293,0.144,0.0273618468977458
"STAMBPL1",3.47220646139404e-06,-2.41180605920642,0.007,0.048,0.0461977069688477
"H2AFZ",3.68493899382196e-06,0.586075077210859,0.478,0.298,0.0490281133128012
"UQCRB",3.71003720071181e-06,-0.394702076400112,0.536,0.583,0.0493620449554707
