"","Cluster_0","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10","Cluster_11","Cluster_12"
"1","PRF1","RPS10","HSPA1A","TYROBP","RPS10","RPL41","MT-ATP6","MT-ATP6","LEF1","LINC-PINT","SOX4","STATH","TYMS"
"2","SRRT","RPS4Y1","HSPH1","H3F3B","GAS5","RPS18","RPL37A","MT-CYB","ACTN1","FUS","TRBV12-2","SMR3B","RRM2"
"3","HLA-DRB5","RPS29","CACYBP","EIF1","CD48","RPS26","MT-CYB","MT-ND1","LDLRAP1","NEAT1","GNLY","HTN3","CDT1"
"4","SH2D2A","RPS21","HSPA6","UBB","LINC-PINT","TMSB4X","MT-ND1","MT-CO3","LTB","RNF19A","CXCL13","RPS4Y1","MKI67"
"5","SLA2","RPL34","HSPE1","HSPA8","RPL13A","RPL28","MT-CO3","MT-ND3","GAS5","PTPRC","APOC2","HTN1","HIST1H1B"
"6","SNAP47","RPL36","DNAJB1","VIM","PTP4A1","RPL13","RPS29","MT-CO2","LYPD3","TNFAIP3","HTRA1","EEF1A1","HIST1H2AI"
"7","GZMB","RPS3A","HSPD1","RPL41","GPR183","RPL11","MT-ND3","MT-ATP8","SELL","HLA-A","TRBV11-2","RPS13","UBE2C"
"8","KLRC2","RPL39","HSP90AA1","TSC22D3","FOS","RPS28","RPL41","TNFAIP3","TCF7","RSRP1","TRAV41","RPS5","CCNA2"
"9","CD7","MT-CO2","DNAJA1","ZFP36","IL32","RPL19","RPL36A","MT-CO1","WNT7A","SLC2A3","ALOX5AP","RPL29","CDK1"
"10","TNFRSF9","RPS28","HSPB1","DUSP2","RPL27A","RPS15","HLA-A","MT-ND2","IGLV3-25","NKTR","GZMB","NACA","TK1"
"11","GZMH","RPS27A","BAG3","FTH1","MT-ND5","RPL7A","RPL23A","SMAD7","SCML1","RGPD2","CAPG","RPL8","HIST1H3B"
"12","LAG3","RPL30","HSPA1B","HNRNPA1","RPS20","RPS3","MT-ATP8","HLA-A","TRABD2A","RALGAPA1","TRBV6-5","RPL18A","ZWINT"
"13","HLA-DQA2","RPS24","HSPA8","FCER1G","IFI44L","RPL36","IL32","MT-ND5","CCR7","MT-CYB","KLRC1","RPL32","PKMYT1"
"14","PGAM1","RPS26","FKBP4","LDHA","TNF","RPS27","RPL37","SYNE2","C1orf162","FOS","ACP5","RPL19","BIRC5"
"15","GSPT1","RPL32","BPGM","PNRC1","AHNAK","RPS12","SNHG6","BCL11B","KRT1","CDC14A","VCAM1","RPL5","ASF1B"
"16","CD8A","RPL11","AHSA1","ANXA1","IFI6","RPL32","RPS2","SLFN5","S1PR1","ATP8A1","ZNF683","RPS23","AURKB"
"17","TIGIT","RPS13","KLRC2","ISG20","SLFN12L","RPL30","RPS16","PTPRC","CMTM8","MT-ND4L","TRAV21","RPL11","RAD51AP1"
"18","PGK1","RPS15A","HSP90AB1","S100A10","IGLV3-25","RPS15A","RPL38","REL","TXK","MALAT1","PHLDA1","RPS18","CCNB2"
"19","HAVCR2","RPS23","UBB","CALM1","TXNIP","RPL14","RPSA","MT-ND4","SPINT2","CD44","TRAV38-2DV8","RPL12","HIST1H3G"
"20","KIR2DL4","RPL26","ZFAND2A","DNAJA1","PNN","RPL10","RPS14","HSPA5","RASGRP2","HNRNPA2B1","CXCR6","RPL3","GTSE1"
