"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ctsk",368.080933031592,5.79323392714661,0.289319471166757,20.0236572525999,3.42624143560221e-89,5.00334036840991e-85
"Fblim1",279.362366538003,4.07391208473516,0.204245423796733,19.94616089313,1.61849230956204e-88,1.18174215982672e-84
"Pla2g7",4116.27537181755,2.82107294602928,0.144371149304483,19.5404203652875,4.97706478361254e-85,2.42266923450313e-81
"Rnf149",3191.58598552366,2.69540651317537,0.141432219127257,19.0579383524352,5.64559595288437e-81,2.06106594249926e-77
"Niban2",1616.3577914721,3.77750850718136,0.200294192439579,18.8598004823375,2.44139415178709e-79,7.13033575970938e-76
"Cnn2",931.745787320481,-3.13016232188445,0.168678641962333,-18.556957095869,7.16497497454772e-77,1.74383549255534e-73
"Alas1",3554.34703874552,3.13513106904199,0.169190919574043,18.5301378876303,1.17984223187857e-76,2.46131944458897e-73
"Sdc1",529.425457676337,5.05373430441517,0.274306562305941,18.4236726308378,8.48464454990844e-76,1.54876580452891e-72
"Cd300c2",1279.90893380147,4.8204938735577,0.262615658926082,18.3556985644734,2.97239907946288e-75,4.82288263971072e-72
"Fcmr",599.233354065478,-6.47240844476803,0.355714467182149,-18.1955164658898,5.60087374226407e-74,8.17895592582822e-71
"Fam20c",1137.06360490142,3.63254932035696,0.199754139911631,18.1851015551616,6.7729869848695e-74,8.99144808545903e-71
"Lrpap1",1278.07254634871,4.37763937717784,0.240857138018003,18.1752528208262,8.10541562264797e-74,9.86361536146069e-71
"Rogdi",314.06278224178,-4.16446276437421,0.229354999449856,-18.1572792150305,1.12461879834272e-73,1.26329294709221e-70
"Gpr132",378.970975369631,-3.94405436700188,0.220797302677757,-17.8627832820858,2.29884706315705e-71,2.23800424421882e-68
"Uchl1",273.365110065124,4.90328138205397,0.274463463925836,17.864969391259,2.21053311663571e-71,2.23800424421882e-68
"Rab7b",375.219301964797,5.5333919513366,0.31131075964678,17.7744963187746,1.11393663404119e-70,1.01667604168147e-67
"Psap",4889.12664506621,3.55364430617249,0.200418853430286,17.7310878959229,2.41319320109947e-70,2.07293295974444e-67
"Atf3",1359.72794112581,3.91790722812964,0.221392933810248,17.6966227453655,4.45218503008098e-70,3.61195877745959e-67
"Slc15a3",1577.45234356755,2.53559552371319,0.145495029005892,17.4273687633033,5.11458452503347e-68,3.93096199047704e-65
"Cd79b",689.253829153736,-6.30081750164922,0.366261528449234,-17.2030557736357,2.51890140229411e-66,1.83917585888504e-63
"Trem2",1370.14149283202,6.9901100252887,0.408099329294288,17.1284526180831,9.10441379070951e-66,6.33103593265386e-63
