"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Cnn2",931.745787320481,-3.86729870660329,0.142420506759016,-27.1540861257221,2.26577726493776e-162,3.6000934962596e-158
"Fcmr",599.233354065478,-7.71703577880281,0.289093172139039,-26.6939399561167,5.53459281148421e-157,4.39695725908363e-153
"Rnf149",3191.58598552366,3.35654328690277,0.129391459511257,25.9409956389799,2.29761110401075e-148,1.21689142772089e-144
"Ptprcap",277.835302932289,-6.45599580485147,0.249368160460256,-25.8894150437478,8.76333137964183e-148,3.48101430727823e-144
"Ighm",4194.03454341775,-5.72638380188166,0.223202706009915,-25.6555303663177,3.66803183277759e-145,1.16562715582006e-141
"Pla2g7",4116.27537181755,3.37648185646709,0.132785150161844,25.428158588153,1.23154497330303e-142,3.26133634680198e-139
"Cd79b",689.253829153736,-7.21630250942394,0.298421577961112,-24.1815707789211,3.47713710345408e-129,7.89260449096884e-126
"Rogdi",314.06278224178,-3.95463672871814,0.167519650555764,-23.6070020179615,3.2660234254706e-123,6.48673077591279e-120
"Alas1",3554.34703874552,3.63625153024368,0.15576278525852,23.3448029592471,1.55629224695373e-120,2.74754750131643e-117
"Cd19",388.227756844512,-7.19972692878107,0.313797068144525,-22.9438948278035,1.69550722162404e-116,2.69399142443843e-113
"H2-Ob",208.795944150383,-6.34840253545978,0.278392673295949,-22.8037701578124,4.20673950064786e-115,6.07644399325398e-112
"Ctsk",368.080933031592,6.29047761122327,0.277011840688269,22.7083347614089,3.70622369299455e-114,4.90734902149921e-111
"Tcf7",302.457364709491,-7.17271058613638,0.325219250734917,-22.05500003437,8.55315939222554e-108,1.04539345833132e-104
"Ablim1",185.654950195108,-5.29255050838304,0.241241095044177,-21.9388429961066,1.10681532386552e-106,1.25615633434994e-103
"Gimap6",160.61930979639,-7.03483208122774,0.326435589496248,-21.5504445826015,5.2441028528408e-103,5.55490334858583e-100
"Cybb",4048.97073976355,3.93050039140338,0.183165334649975,21.4587569144264,3.78282534913221e-102,3.7565819982726e-99
"Bach2",130.514043750707,-6.01631315293052,0.2818632697258,-21.3447930224583,4.35889087834667e-101,4.07402453917943e-98
"Tnfrsf1b",1849.50872303771,2.53141087188273,0.119253276479277,21.2271808927835,5.35817817755952e-100,4.72978294795795e-97
"Fblim1",279.362366538003,3.98343197304811,0.188387062662211,21.144933822715,3.0722036461641e-99,2.56917072283692e-96
