"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Oasl1",1635.30781822112,5.90229495156469,0.210555980816253,28.0319510691813,6.63047080538583e-173,1.01088157898912e-168
"Cflar",949.916760494788,3.15023396474548,0.114965688471504,27.4015143703186,2.63090629679328e-165,2.00553987004551e-161
"Tnfsf15",187.18293211101,5.38882411235405,0.232805713029989,23.1473018519089,1.54762599193607e-118,7.86503529101911e-115
"Mapkapk2",2125.16570468928,2.5050406350734,0.10976784676664,22.8212605864354,2.82052609422275e-115,1.075043520813e-111
"Gbp5",391.18978446457,7.24113828334893,0.318022724729342,22.7692479822365,9.25197457253108e-115,2.82111208665618e-111
"Jpt1",737.450091947791,1.88121807469448,0.0831590813659461,22.621919864844,2.63749870852232e-113,6.70188421835522e-110
"Igtp",922.936818172986,4.52449914473389,0.20237478189733,22.3570303686815,1.03152042058989e-110,2.24665147604479e-107
"Slco3a1",502.087553135155,4.2418983973628,0.195295583501532,21.7204010521288,1.31625014196416e-104,2.50844370804821e-101
"Clic4",2232.31981984752,3.34333061701179,0.154694627743125,21.6124545873919,1.37159910849525e-103,2.32348888979096e-100
"Malt1",588.469627632406,3.41636143609617,0.158504433551772,21.5537279276185,4.8850989857414e-103,7.44782191366134e-100
"Gbp2",1608.61407300126,5.48004381846266,0.263489078926419,20.7979922385816,4.51308933827211e-96,6.25514182284515e-93
"Tnfaip2",1914.72102813197,2.34693359222971,0.115073622829366,20.3950613053159,1.84982639676042e-92,2.35020443708412e-89
"Cd40",1347.37647603993,6.9127053871424,0.347256635503711,19.9066185650138,3.56586061829056e-88,4.18193161434291e-85
"Aftph",439.967111142948,2.75942817838103,0.13883010933107,19.8762947870377,6.52803775255661e-88,7.10903311253415e-85
"Pnp",1577.72462155014,3.43712743613133,0.177374143408962,19.3778381114238,1.18731062696741e-83,1.20678252124967e-80
"Edn1",245.100843802409,8.18388703995988,0.43097384759839,18.9892892238468,2.09140092017576e-80,1.99284365181248e-77
"Psme2",2063.44763813617,2.59223120324368,0.138290013096802,18.7448908651786,2.1310863526052e-78,1.91120838422464e-75
"Arid5a",205.530195918181,4.26397474528037,0.233141925557279,18.2891804427205,1.00920982747045e-74,8.54800723867471e-72
"Cmpk2",2223.75915706943,7.07832654344128,0.388951740802402,18.198469889449,5.30695298948963e-74,4.25841080409257e-71
"Nfkb2",958.695872675353,3.46591487025249,0.190606461333725,18.1836168931554,6.95889699701965e-74,5.30476718082808e-71
"Fabp3",129.765281778639,5.89503891250956,0.324814739013113,18.1489267710588,1.30934140698462e-73,9.50581861470835e-71
"Ifit1",1325.35480141791,6.27566658791349,0.346908970677762,18.090240144706,3.80425778638042e-73,2.57931820067468e-70
"Slc2a6",589.164622135463,3.6336645820456,0.200877077809032,18.0889956269676,3.89113988033042e-73,2.57931820067468e-70
"Ifi47",840.034094711452,4.72526890747222,0.261539359945559,18.0671425840295,5.78324238626737e-73,3.67380472587635e-70
"Il27",449.977178969288,8.06301053583171,0.453606655645536,17.7753356029512,1.09739054484424e-70,6.69232649867809e-68
"Gbp3",1322.05043644724,5.23264509642697,0.295232732595151,17.7237972579498,2.74725959083943e-70,1.61095075853607e-67
"Flnb",249.194970559584,3.44577075635385,0.194660026077939,17.7014810168279,4.08423902947387e-70,2.30623363864291e-67
"Ccl4",4717.02496352007,5.6172629429001,0.317779763431468,17.6765911153166,6.35226867013267e-70,3.45881029088724e-67
"Mcoln2",207.421639287508,2.63180279425481,0.149592717382315,17.5931211111614,2.78128131593259e-69,1.46218672216235e-66
"Etnk1",618.17740413516,2.87420701180522,0.164038330886035,17.5215572865226,9.81029216499098e-69,4.98559047824841e-66
"Cept1",106.282449613154,3.02871427101572,0.174517024603688,17.3548355978085,1.81318749956472e-67,8.91737310269798e-65
"Tnf",4388.52096096886,6.45540152536103,0.37694678507253,17.1254982957844,9.57857920095366e-66,4.56359432805436e-63
"Ifi35",765.133490593021,3.53467955166666,0.207072357276048,17.0697798497294,2.4913755237898e-65,1.15101549199089e-62
"Ifi211",362.965154386127,4.07071789722602,0.240442411672831,16.9301159013703,2.69848209039268e-64,1.2100311161802e-61
"Mx2",304.510516911745,5.36145091337779,0.318978875159133,16.8081692265767,2.1263762676003e-63,9.26249502166689e-61
"Usb1",300.799308608596,2.51929276628786,0.150704253601666,16.7167993343223,9.88895397339469e-63,4.18797200773265e-60
"Icam1",722.525609751711,3.91447888915573,0.236637727094234,16.5420744072516,1.82623731872595e-61,7.52508490845835e-59
"Whamm",154.617802531513,2.52586670028025,0.152821278042687,16.5282396053167,2.29756310360075e-61,9.21806502039397e-59
"Ifit1bl1",144.80864869469,7.36638336290386,0.446273267665053,16.5064410007024,3.29766370757549e-61,1.28913284322297e-58
"Il15ra",209.381167922187,4.31389559410162,0.263938036815591,16.3443497805345,4.77234648579343e-60,1.81897986306017e-57
"Myd88",331.676915315493,1.97879384753971,0.121624196715427,16.2697382673748,1.61848072953573e-59,6.01837980548824e-57
