"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Oasl1",1635.30781822112,7.64434804300953,0.315128946839327,24.257841495301,5.46520463216486e-130,8.15681791350606e-126
"Fcgr3",1502.44394799456,-3.91164767636081,0.176290917233879,-22.1885944990085,4.42611195794729e-109,3.30298604861816e-105
"Fblim1",279.362366538003,-5.06364148506308,0.230030689155425,-22.0128953386812,2.16701666528759e-107,1.07809079098058e-103
"Cd300c2",1279.90893380147,-5.57850599157928,0.266794449659705,-20.9093779825429,4.39930580000547e-97,1.64149097662704e-93
"Apobec3",767.429406170881,4.2328016735115,0.202598263360992,20.8925861618539,6.2539424750155e-97,1.86680182879213e-93
"Csf1r",1523.25293972351,-4.53044759345364,0.217428121474948,-20.8365300804736,2.01957440557994e-96,5.02369133388011e-93
"Psap",4889.12664506621,-4.16079162866723,0.200419965220167,-20.7603649870734,9.88133693151357e-96,2.10684219575486e-92
"Lyz2",38386.783735581,-5.84574050764527,0.28174359530334,-20.7484415088529,1.26630000723479e-95,2.36244095099741e-92
"Pla2g7",4116.27537181755,-2.94789168868976,0.143446977345797,-20.5503925090279,7.6343453066621e-94,1.26602893002146e-90
"Ccl5",13361.9432783755,5.1362628808808,0.250034898015052,20.5421839977378,9.04045285303039e-94,1.34928758831479e-90
"Ctsl",8461.10075048896,-4.81742632241049,0.239099853396897,-20.1481776503381,2.79204271229484e-90,3.78829431645459e-87
"Ctsk",368.080933031592,-5.96878835494226,0.300034360586377,-19.8936826544702,4.6157704516677e-88,5.74086449926171e-85
"Igtp",922.936818172986,5.13784795717664,0.259029283890698,19.8350081504477,1.48492356154633e-87,1.70480647354453e-84
"Ctsa",1747.39648451739,-3.6672108564453,0.185808426169807,-19.7365153563806,1.04758343619394e-86,1.11679877037104e-83
"Trf",926.262261358287,-5.85109853577022,0.299607179288351,-19.5292334104549,6.19625605111296e-85,6.1652747708574e-82
"Sdc1",529.425457676337,-5.4677561803924,0.280684650196659,-19.4800683847922,1.62062911828111e-84,1.5117430993966e-81
"Itgb2",4035.79679780784,-3.38392637663896,0.174622004349101,-19.3785794021346,1.17033242605552e-83,1.02748302699286e-80
"Lrpap1",1278.07254634871,-4.6082261270261,0.23917791707252,-19.2669381163181,1.01782455058112e-82,8.43946189856846e-80
"Sp100",757.758149030009,4.24431276673194,0.221023015809007,19.2030352639817,3.49084061890244e-82,2.74214717037468e-79
"Ctsd",19932.4948566377,-5.2861904002897,0.275602861351568,-19.1804626931883,5.38986071617254e-82,4.02218355944376e-79
"Rab7b",375.219301964797,-7.77064674000345,0.412446226055434,-18.8403875441427,3.52376176468661e-79,2.50438782561656e-76
"Trem2",1370.14149283202,-8.2946110817249,0.441833452183127,-18.7731622418826,1.25205942143966e-78,8.49408493863041e-76
"Rnf149",3191.58598552366,-2.58698418850475,0.139569795600493,-18.5354157564992,1.0695992129065e-76,6.94076880549111e-74
