"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Oasl1",1635.30781822112,6.28756743022583,0.210492855344388,29.870692855293,4.72915051007455e-196,7.81870453830625e-192
"Pla2g7",4116.27537181755,-3.50330059912757,0.131779750120504,-26.5845139023562,1.02528385188042e-155,8.47550896156947e-152
"Fcmr",599.233354065478,7.51187404864199,0.288823389384674,26.0085378287601,3.96485685206124e-149,2.18503261117095e-145
"Fcgr3",1502.44394799456,-4.18603626394621,0.162246073236614,-25.8005397630885,8.74427518073495e-147,3.61422753907727e-143
"Rnf149",3191.58598552366,-3.24812096223215,0.127353071859661,-25.504849744115,1.74158683013839e-143,5.75873101253561e-140
"Ighm",4194.03454341775,5.6752313730172,0.223129548220768,25.4346921699588,1.04274330910816e-142,2.87327918824753e-139
"Ptprcap",277.835302932289,6.27373785882437,0.248745438493612,25.2215192239012,2.32644704610089e-140,5.49473557331228e-137
"Cnn2",931.745787320481,3.5762384335355,0.142130025123723,25.1617378553365,1.05138970097588e-139,2.17282824077928e-136
"Apobec3",767.429406170881,4.00991563247614,0.159725810100576,25.1049948029764,4.38639332059532e-139,8.05780452993359e-136
"Arid5a",205.530195918181,5.69366065180778,0.229702603130158,24.7870967686924,1.23512086482401e-135,2.04202532581353e-132
"Gramd2b",196.100794608187,3.95553287999541,0.162140496307678,24.395712175997,1.89911675049651e-131,2.85437247599625e-128
"Cd83",344.096072326003,5.84672947129903,0.243163850322107,24.0444024206483,9.55277948207466e-128,1.31613419314284e-124
"Csf1r",1523.25293972351,-4.7484541313703,0.201068373149861,-23.6161165328132,2.63262280292723e-123,3.3480886769843e-120
"Igtp",922.936818172986,4.69323792072904,0.202354477213123,23.193150877438,5.33881353795302e-119,6.30475744449838e-116
"Ablim1",185.654950195108,5.54496801648432,0.239363839474965,23.1654373051793,1.01611913492536e-118,1.11996651051473e-115
"Fblim1",279.362366538003,-4.97316137337604,0.21607315791539,-23.0160998309815,3.21608879218973e-117,3.32322475007955e-114
"Bach2",130.514043750707,6.36885176064937,0.279703194107682,22.7700358623629,9.08716317644435e-115,8.83753345859732e-112
"Dusp2",258.815797232299,6.21341956139775,0.27349724552393,22.7183990445495,2.94756183477922e-114,2.70733554524471e-111
"Ctsk",368.080933031592,-6.46603203901892,0.288184696279175,-22.4371110697531,1.7099847136637e-111,1.48795669847379e-108
"Ctsl",8461.10075048896,-4.91473163617649,0.221384484412701,-22.1999823032518,3.43585667827528e-109,2.84025092309626e-106
"Tcf7",302.457364709491,7.18384951050028,0.324534176793658,22.1358797445479,1.42701140290327e-108,1.07239906928181e-105
"Tnfsf15",187.18293211101,5.16777550317766,0.233436760099149,22.1377965534765,1.36760905659191e-108,1.07239906928181e-105
"Nup210",179.356569198148,6.53102719100149,0.295392111212228,22.1096872363975,2.55030430550801e-108,1.83322526447669e-105
"Asah1",646.414476500134,-3.15376040182568,0.143187794763718,-22.0253437594306,1.64655480944048e-107,1.13427044435331e-104
"Cd300c2",1279.90893380147,-5.4431271814681,0.248387936133642,-21.9138146006395,1.91823294150809e-106,1.26856580887813e-103
"Cd19",388.227756844512,6.86901284132894,0.313525179792701,21.9089670752143,2.13366415955844e-106,1.35676421346075e-103
"Lrpap1",1278.07254634871,-4.82557121205254,0.221287337844453,-21.8068112665557,1.9993463383918e-105,1.22426640787525e-102
"H2-Ob",208.795944150383,5.9626533725576,0.278010878188286,21.4475541799458,4.81302186336558e-102,2.8419175166794e-99
"Lyz2",38386.783735581,-5.54538822801886,0.260910545131326,-21.2539827595993,3.02853949599247e-100,1.72658080990495e-97
"Satb1",175.622982773205,6.07075384113668,0.28639005965453,21.1975019260787,1.0070167957291e-99,5.54966956126307e-97
"Vars",253.077699509779,3.67397459503592,0.173951806151795,21.1206464383009,5.13869669810809e-99,2.74058298418777e-96
"Psap",4889.12664506621,-3.88524039164575,0.185373336924615,-20.959003361016,1.55304850163363e-97,8.02392214922148e-95
"Gimap6",160.61930979639,6.81871897589684,0.325800941745817,20.9290953530044,2.90965968750229e-97,1.45773950343865e-94
"Ifi208",95.7841756994111,5.8230332292425,0.281485229126117,20.6868163111804,4.55300782614884e-95,2.21396701146232e-92
"Alas1",3554.34703874552,-3.14469824018366,0.152877718972358,-20.5700232926177,5.09415530514705e-94,2.40633341885703e-91
"Sdc1",529.425457676337,-5.40834215222233,0.262942005665053,-20.5685741939297,5.24865014450605e-94,2.4104425788644e-91
"Cd79b",689.253829153736,6.13655424773666,0.298657466576736,20.5471315285532,8.16473483091401e-94,3.6483124583649e-91
"Idh1",348.88650939145,-4.0348722425448,0.19659789617894,-20.5234761966747,1.32863901325572e-93,5.78062863319914e-91
"Rcbtb2",398.643025505945,-3.65213162797337,0.178281799357879,-20.4851624850508,2.92008136794753e-93,1.23788987836606e-90
"Stat5a",228.099547560338,3.43393192260967,0.168054949051146,20.4333876627732,8.44357242965047e-93,3.48993957448528e-90
"Rogdi",314.06278224178,3.37007818591195,0.167523866286955,20.1170033894709,5.23796472452136e-90,2.11217733635394e-87
"Tnfrsf18",94.682053993613,5.10636779489441,0.253971389634803,20.1060749489818,6.52905037510551e-90,2.57011404408618e-87
"Alox5ap",612.88095308652,-2.82578044096403,0.141245523834058,-20.0061592343549,4.86737626189691e-89,1.87144957530097e-86
"Swap70",173.317609000174,4.25517250077228,0.21283828875648,19.992514155387,6.39890237679883e-89,2.40438756808216e-86
"Hexa",1783.54491674312,-3.89139557274523,0.194797314130177,-19.9766387443347,8.79497285644848e-89,3.23127302745917e-86
