"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Oasl1",1635.30781822112,4.30897317884304,0.209449233332933,20.5728763494381,4.80311327422075e-94,6.08986732038448e-90
"Slc15a3",1577.45234356755,2.3430511385488,0.132545363074534,17.6773527507804,6.26705029401281e-70,3.97299653388942e-66
"Ccl4",4717.02496352007,5.62220642019771,0.320983827575098,17.5155442025574,1.09038246366479e-68,4.60831975226864e-65
"Igtp",922.936818172986,3.55692249955266,0.206143337684558,17.2546080775867,1.03320383192893e-66,3.27499784625672e-63
"Ccl3",6298.78319636602,4.9434364265933,0.29694078173746,16.6478864831845,3.13479198335523e-62,7.94920551139218e-59
"Tnf",4388.52096096886,6.25736597373087,0.384992626927802,16.2532098956387,2.11969549411538e-59,4.47926986164814e-56
"Usp18",967.351331371298,4.42951761147804,0.280441122698159,15.7948219892329,3.37745293437883e-56,6.11753225071274e-53
"Ccl5",13361.9432783755,3.33605553749348,0.221184442948112,15.0826861646689,2.10526508443634e-51,3.33658200069604e-48
"Mx2",304.510516911745,5.33013406312809,0.356082367699656,14.968823358375,1.17379617443649e-50,1.6536179661867e-47
"Parp10",343.088632254524,2.5831856613788,0.175623115292446,14.7086883015217,5.66957447082884e-49,7.18845347156388e-46
"Tnfrsf1b",1849.50872303771,1.76582570211504,0.120960238725526,14.5983979588691,2.87522607233293e-48,3.31409012464629e-45
"Ifit1",1325.35480141791,5.33247933523499,0.366794376644912,14.5380618536507,6.95336034204459e-48,7.29959908423909e-45
"Parp14",1591.67840617079,3.91798349225996,0.269591790398641,14.53302226476,7.48440634869533e-48,7.29959908423909e-45
"Tmem184b",360.511087870417,2.1234267842321,0.146891514878486,14.4557484207898,2.30609404092874e-47,2.08849759606682e-44
"Ifi211",362.965154386127,4.59461299410341,0.325363764765415,14.1214649314624,2.80107330741139e-45,2.3676538976446e-42
"Ccrl2",1077.04442250744,4.19528191970656,0.298181111225036,14.0695763808473,5.84182857895817e-45,4.62928403453816e-42
"Tnfaip2",1914.72102813197,1.66264905020674,0.120688862177995,13.776325505121,3.53828613119024e-43,2.638937050433e-40
"Tnfsf15",187.18293211101,7.91065387832288,0.576964786609139,13.7108088083058,8.74772344329676e-43,6.16179919653109e-40
"Cflar",949.916760494788,1.69316547380925,0.124355664279994,13.615507452857,3.23888188019778e-42,2.16135701889619e-39
"Ifih1",725.667482601032,4.19822737676603,0.309210611069203,13.5772422629651,5.46454439267538e-42,3.46424791773655e-39
"Ifi208",95.7841756994111,3.28158115230767,0.242150804280873,13.5518077755436,7.73026169431482e-42,4.6672375248675e-39
"Eif2ak2",313.035765030296,3.54506437119294,0.26171130677418,13.5457058194732,8.40025638223062e-42,4.84122048501373e-39
"Gbp2",1608.61407300126,3.59605963782985,0.269678960096033,13.3345947216249,1.4564404821219e-40,8.02878646644506e-38
"Ifit3b",287.370175318314,5.74096679150518,0.431674580228296,13.2992931584459,2.33666841748075e-40,1.23444245271827e-37
"Oasl2",547.53830910974,3.17652760455761,0.239010038338319,13.2903522657121,2.63335540366294e-40,1.3355325265217e-37
"Parp12",346.530322729282,3.73073463932893,0.281267988884561,13.2639859022852,3.74452002135145e-40,1.82602959041212e-37
"H2-T22",697.360386663623,1.83863189053504,0.139803740664515,13.151521424217,1.66784373670614e-39,7.83207064359153e-37
"Phf11c",122.565277921331,3.54793834107249,0.270133981403353,13.1339949259284,2.10264627307376e-39,9.52123289153652e-37
"Clic4",2232.31981984752,2.04381551346717,0.158189365730127,12.9200563137345,3.4688749240073e-38,1.51661604005133e-35
"Daxx",774.986550910387,3.12771373180133,0.243545445820936,12.8424233976477,9.48578928681475e-38,4.00901074558414e-35
"Helz2",1062.22029487748,3.2144066295077,0.251185426639788,12.7969471497935,1.7052408696307e-37,6.97443515678955e-35
"Slc25a22",313.870680544141,2.96349628910285,0.231762597161352,12.7867754564369,1.94372648350279e-37,7.70140877635371e-35
"Acod1",3399.09813182282,4.09380114344866,0.320495430644663,12.7733526035431,2.30986649831529e-37,8.82506478147656e-35
"Rigi",636.361014520053,3.1523731169185,0.246829374632119,12.7714666117713,2.36652892633649e-37,8.82506478147656e-35
"Xaf1",299.682199841124,3.31808666540346,0.260400479470415,12.7422448382259,3.44342147439323e-37,1.24740402496662e-34
"Pml",566.35972784667,2.95162536927514,0.233390965789971,12.6466993239632,1.16674322825488e-36,4.10920483084546e-34
"Tdrd7",304.92370290041,2.62140530354156,0.208358468815947,12.5812275279157,2.67835364332912e-36,9.17806644426213e-34
"Phf11d",444.803154445846,5.15412789375396,0.410789779726918,12.5468746987335,4.135108714998e-36,1.3797116683542e-33
"Cmpk2",2223.75915706943,5.06390761752668,0.4038352957039,12.539536963207,4.53638360930416e-36,1.47478994313763e-33
"Zbp1",915.805094621872,4.06211698516133,0.324751151473568,12.5083990210022,6.71642659696812e-36,2.12893932057397e-33
"Trafd1",637.460242030655,2.86033555620674,0.228941869060986,12.4937197723532,8.07862825792596e-36,2.4982665288352e-33
"Mx1",755.770873926629,5.27674742040376,0.426562114987333,12.3704080484514,3.77896726139071e-35,1.14079823588507e-32
"Ifi47",840.034094711452,3.2776992407686,0.266412564777756,12.3030955522045,8.71682562226827e-35,2.57024725731952e-32
"Plk2",321.685097155281,2.9624433111466,0.241366269646807,12.2736425246227,1.25478694953437e-34,3.61578266662416e-32
"Stat2",742.923852884007,2.80169913836413,0.228402451366967,12.2665020519536,1.37047085296351e-34,3.86137776549429e-32
"Cybb",4048.97073976355,2.23516774228607,0.183841396191511,12.1581308050862,5.193340410487e-34,1.43144267531662e-31
"Phip",341.17609903074,1.87237964961859,0.154118906199001,12.1489290042128,5.81219726157371e-34,1.56793295913815e-31
"Sp100",757.758149030009,2.13972556345671,0.176392513855406,12.1304783104951,7.28228396172014e-34,1.92358496563853e-31
"Keap1",421.225361939693,1.44100398249421,0.119480910967295,12.0605372927617,1.7066587523833e-33,4.41606659621793e-31
"Lgals3bp",1863.75105145172,3.09945214447293,0.259196533596894,11.9579228219666,5.9019830154444e-33,1.49662485305639e-30
"Tor3a",1002.78676758987,3.56772851564977,0.300909399663335,11.8564874332322,1.99155954053981e-32,4.95117321853024e-30
"Trim30a",149.625091728818,3.33279400079521,0.28166305990829,11.8325562531358,2.64948166299243e-32,6.46014961636173e-30
"Slfn9",141.029152738869,3.6956071143725,0.312887646217257,11.8112912384096,3.41279402082508e-32,8.16430479057381e-30
"Fcgr3",1502.44394799456,-1.93920288091653,0.165787804790055,-11.6968970267278,1.32199620491583e-31,3.10399812631996e-29
"1600014C10Rik",175.058211893088,2.43195743967188,0.208335680812733,11.6732641772386,1.74593199644745e-31,4.02484941508314e-29
"Dhx58",390.529252694448,4.0161082347002,0.344415025437546,11.6606650061162,2.02454944475095e-31,4.58379685892809e-29
"Rnf213",1475.28414199251,3.89984576509833,0.334733940701602,11.6505836155254,2.27892702681187e-31,5.0692132934996e-29
