"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Alas1",2390.90467069137,3.14038101775038,0.135204996800642,23.2268118195426,2.44070922247871e-119,3.51608570590283e-115
"Psap",3264.39728677755,3.56327530861525,0.157282359300912,22.6552763097737,1.23765705515477e-113,8.91484376827979e-110
"Cd300c2",810.440945741342,4.81863294582783,0.214364468329911,22.4786924034997,6.70863674743836e-112,3.2214873661199e-108
"Ctss",10364.1340784956,3.66176451968593,0.174889662302036,20.9375698453921,2.43569894205015e-97,8.7721697397936e-94
"Rab7b",252.703782850157,5.5572962099448,0.267320729310461,20.7888711970806,5.45796666216574e-96,1.57254935470319e-92
"Rnf149",2131.47561764093,2.70094024966607,0.136457902774548,19.7932123735516,3.4062371706635e-87,8.17837544676305e-84
"Gpr132",362.849260180383,-3.93831085368857,0.202275732843161,-19.4700115447968,1.97227063942005e-84,4.05893297592645e-81
"Slc15a3",1329.3364131903,2.54220761567836,0.134883378814015,18.8474490929212,3.08357363776454e-79,5.5527452282045e-76
"Fcmr",607.182776283768,-6.46358275894036,0.345077189462613,-18.7308316988616,2.77546049129444e-78,4.4425870930653e-75
"Niban2",1214.70920578502,3.78442164472753,0.203133079814883,18.6302578003362,1.82642457034312e-77,2.6311472360363e-74
"Lrpap1",772.322725447781,4.38379906183932,0.236362472258596,18.5469335294613,8.63391823263301e-77,1.13072932781192e-73
"Dhrs3",238.210469255926,4.77231045978076,0.258791215437525,18.4407745514563,6.18488948439567e-76,7.424959826017e-73
"Ighm",4221.76302000647,-4.23469428461404,0.23335786691463,-18.1467817674354,1.36147540738413e-73,1.5087242091366e-70
"Uchl1",217.974441362718,4.91161461276797,0.272591086131864,18.0182510091031,1.40103133860459e-72,1.44166124742412e-69
"Pla2g7",2439.69008278552,2.8291082278149,0.157208410201515,17.9959088969125,2.09752491871682e-72,1.88855899868965e-69
"Trf",643.375781292309,4.76758624526308,0.264915842339762,17.996606783329,2.07126628457962e-72,1.88855899868965e-69
"Anpep",551.544803665363,5.00661407487948,0.283543205353642,17.6573234002738,8.93787304693478e-70,7.24852594265181e-67
"Ctsd",12903.1321041455,4.44040732037334,0.251487443448189,17.6565766445041,9.05688372676194e-70,7.24852594265181e-67
"Arl11",157.213162628758,4.62488648690548,0.263097904827743,17.5785758914861,3.59492665780656e-69,2.72571123328217e-66
"Igf1",1274.62141214806,5.22805534037864,0.303985609073633,17.1983646078202,2.73132040298467e-66,1.96737008626986e-63
"Capg",2749.13880770456,2.64026581421659,0.153982132425975,17.1465726095582,6.66705009039052e-66,4.36570561828026e-63
"Rogdi",307.594390964938,-4.15289345655577,0.242186078664574,-17.1475316808258,6.55794107889682e-66,4.36570561828026e-63
"Ctsk",215.991155126101,5.78199233527556,0.337977152823155,17.1076425935245,1.30161883089109e-65,8.1526612512248e-63
"Fblim1",145.38655990375,4.06485803205049,0.237695911172735,17.1010852142784,1.45666465975029e-65,8.7436296201511e-63
"Lyz2",26208.836599654,4.27003601906778,0.251838756741631,16.9554363844344,1.75453859636188e-64,1.01103532076757e-61
"Atp6v1b2",585.783924072534,2.42060634660129,0.1427958309087,16.9515197411398,1.87542646802836e-64,1.03913052686217e-61
"Sdc1",346.034883508438,5.06621427208897,0.299051818682016,16.9409244672607,2.24567668937707e-64,1.19819327359874e-61
"Trem2",897.245006275962,6.9949173938407,0.414824752734002,16.8623433094072,8.51453065487932e-64,4.38072602193541e-61
"Cnn2",914.496813440821,-3.12802158441416,0.185790579343528,-16.8362766049103,1.32303907657903e-63,6.57231066799916e-61
"Fam20c",944.330444298757,3.63734361479699,0.217122126466142,16.7525239090001,5.42739848895937e-63,2.60623675439829e-60
"Itgb5",227.563132935018,5.19068310360866,0.310038852144711,16.7420407723155,6.47303795915233e-63,3.00808338192092e-60
"Ptprcap",280.540610971756,-5.42695921295457,0.325033930267523,-16.6965929018175,1.38765736210126e-62,6.24705998700963e-60
"Zfp36l1",411.21471151082,-4.07551869762286,0.245258052964261,-16.6172676018787,5.22608036729379e-62,2.28142162943134e-59
"Atf3",1067.49898829584,3.92704292564721,0.236392723603741,16.6123680364629,5.67096742359483e-62,2.40282225600903e-59
"S100a1",323.406276934277,5.48218893630375,0.33249651373337,16.4879591510542,4.47821817541801e-61,1.84323460100206e-58
"2510009E07Rik",90.4480964287124,3.56597363075924,0.216504982856162,16.4706307620105,5.96452125002832e-61,2.38680258688633e-58
"Ctsa",1180.70395884418,3.0811802840577,0.187273176007179,16.4528650058223,7.9993123717531e-61,3.11454308182365e-58
"Ctsb",494.312452490946,4.30406334223632,0.262441467773758,16.4000886702353,1.90959131097172e-60,7.23936116469963e-58
"Cd79b",696.767497492731,-6.26201502164665,0.385843538005544,-16.2294153065657,3.12421160633024e-59,1.15403570258445e-56
"Hexa",1116.23947406329,3.27275420207214,0.201676372179179,16.2277522483618,3.21000584508547e-59,1.15608360510753e-56
"Cybb",2717.12787457946,3.09542440868776,0.19082225288914,16.2215064638508,3.55370379818189e-59,1.24865016869776e-56
"Itgb2",2859.05677461665,2.80790799237809,0.174097611769584,16.1283544549383,1.61260099702703e-58,5.5312214198027e-56
"Cd83",346.044328738961,-4.88685537354323,0.303556961582967,-16.0986437209663,2.60757896497252e-58,8.73599594637072e-56
"Plin2",730.188318825955,2.72163912651649,0.170545664369436,15.9584187412756,2.48959304957726e-57,8.15115397095683e-55
"Cd68",1791.25942441171,3.45891573638526,0.218752243432246,15.8120240602542,2.57073100132415e-56,8.22976684557237e-54
"Traf1",645.403030950269,-5.58929660122618,0.354633997739887,-15.7607466764248,5.79443214991363e-56,1.81466499025339e-53
"Grn",2161.72847851667,3.19438624143451,0.203237766605503,15.7174834913189,1.14793382364837e-55,3.51853929010179e-53
"Myof",486.286715714389,3.68835282210116,0.235343657335273,15.6721998113877,2.34326705635324e-55,7.03273025288015e-53
"Mfsd12",369.707861137398,3.63696765995974,0.232557647874055,15.6389940008741,3.94917609027472e-55,1.16105777054077e-52
"Slc6a8",363.790815427485,5.47863054282095,0.350535842632176,15.6293019900102,4.59812337660912e-55,1.32481130726862e-52
"C1qb",693.305442368194,3.98122477755361,0.256630269718184,15.5134652740908,2.81279903123563e-54,7.94532996940795e-52
"Ptpre",482.4716920072,1.94655657453932,0.12573167749281,15.4818309383539,4.60186873773994e-54,1.27489463530542e-51
"Lpl",835.338941062842,4.03697891359087,0.261207120029627,15.4550875685662,6.97167793949064e-54,1.89498098860948e-51
"Apobec3",753.931844972895,-3.27327617528796,0.213051904474921,-15.3637498963229,2.86511870240337e-53,7.64350000496722e-51
"Cd19",392.887824888106,-6.38991747064892,0.416504470790129,-15.3417740235223,4.02055368261537e-53,1.05309266094104e-50
"Ctsl",5721.01501319306,3.97808239306951,0.259656216543784,15.320574435,5.57228645209196e-53,1.43347068980066e-50
"H2-Ob",210.676614222373,-5.21499678641164,0.341506018511819,-15.2705853007717,1.20090329167431e-52,3.0351250561158e-50
"Dusp3",236.238754266476,3.4523949899273,0.226609755399481,15.2349795525846,2.07191950632313e-52,5.14621938070536e-50
"Akr1a1",5100.79159121474,2.87734075426937,0.189203914189974,15.2076174881896,3.14792671394729e-52,7.68627665103808e-50
"Hgsnat",199.616027622977,3.79160886367663,0.251226753552104,15.0923769465909,1.81774119967901e-51,4.36439662042929e-49
"Ciita",376.071661500133,-4.37013683260645,0.290929539426752,-15.0212894889167,5.3261419975919e-51,1.25784264946408e-48
"Spp1",4738.85580292315,5.60678671218709,0.373375876523788,15.0164674921892,5.72799987563714e-51,1.33092848723272e-48
"Atp6v1a",752.737508116393,3.03604561763635,0.202322259898535,15.0059890550794,6.70834716805381e-51,1.53397538576164e-48
"Il11ra1",156.417537986894,3.73914639825974,0.249496965389738,14.9867409906923,8.96453236314261e-51,2.01786020661613e-48
"Cish",458.733820982019,-5.66531939448021,0.378171001128405,-14.9808403541672,9.79703917142283e-51,2.17132532774642e-48
"Lamp2",591.954446585448,3.04518470534164,0.203628353001052,14.9546203191356,1.45308082052769e-50,3.17167913644272e-48
"Ablim1",186.498958247362,-4.74480997743094,0.318348422934008,-14.9044557334418,3.08314658286406e-50,6.6292253242895e-48
"Tyrobp",2167.92088801241,2.29294829791214,0.15416052413816,14.8737707706363,4.87863414596084e-50,1.03355299274576e-47
"Wfs1",210.377461252834,5.46896634803465,0.370149572571827,14.7750173262011,2.12302605820245e-49,4.43250918760356e-47
"Npc2",2461.24182328738,2.19588920192157,0.148905209205267,14.7468930982429,3.22157747309942e-49,6.6300064396386e-47
"Marcksl1",1041.70020916358,-4.17958029089631,0.285474057595516,-14.6408410140661,1.54149601111122e-48,3.12771711775609e-46
"App",746.26221402869,1.94007327924373,0.132868456371752,14.6014587075175,2.74899908174996e-48,5.50028899606804e-46
"Ahnak2",186.338245248114,6.66262171623483,0.457022509749324,14.578322892431,3.85880316016759e-48,7.6150573048458e-46
"Ckb",532.27522128523,5.34604930292608,0.367405075062444,14.550831400512,5.76975256291255e-48,1.12323047866646e-45
"Ly6e",3039.99605005089,-1.71919245626069,0.118435944852586,-14.5157997295544,9.62288064374661e-48,1.84836291405085e-45
"Rab7",1329.40381492309,1.72931858613671,0.119593259644884,14.4600004320619,2.16796471759526e-47,4.1094341739049e-45
"Tcf7",306.273073849603,-6.20800373735601,0.430273708077174,-14.4280341113535,3.44768603808078e-47,6.45030715124568e-45
"Gimap6",162.505374332885,-5.09382617792331,0.353925579575055,-14.3923651521296,5.77854596989935e-47,1.0672529902868e-44
"Gng12",608.897655437263,2.97185160670279,0.206617535704311,14.3833464888275,6.58327423733541e-47,1.20048922358296e-44
"Cd84",329.242800493711,2.80304629599152,0.195027264511851,14.3725868432164,7.69041942628967e-47,1.38485227818911e-44
"Ets1",298.296556704348,-4.88346872475471,0.340153505471911,-14.3566614666506,9.67780898380175e-47,1.72121624963763e-44
"Fth1",54494.9281397603,2.35286257725296,0.164471534940691,14.3055914088807,2.01913981446126e-46,3.54728392282059e-44
