"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Pnp",1489.28801126256,4.38485392958728,0.11754735856935,37.3028707999453,1.47433097378467e-304,2.30305241414903e-300
"Slc15a3",1329.3364131903,4.35066825102515,0.120989683757766,35.9590017586592,3.66099474867415e-283,2.85941994845195e-279
"Alas1",2390.90467069137,3.94411606843665,0.124240125709038,31.7459117650405,3.61576532152319e-221,1.88272900291713e-217
"Tnfrsf1b",1492.63997379098,4.01398255501811,0.132873233329264,30.2091132611437,1.79809684176714e-200,7.02201769131111e-197
"Rnf149",2131.47561764093,3.67449199749601,0.124896765896604,29.4202333512619,3.02671063721536e-190,9.45604937278822e-187
"Ccl3",6257.96876278863,5.42716403143769,0.186274913411679,29.1352385140737,1.28511900258115e-186,3.34580732322001e-183
"Slc7a2",1472.0926880048,7.31908337538421,0.253783458131325,28.8398756533486,6.78767933080465e-183,1.51471912609285e-179
"Acod1",3307.45621273203,7.10318351468944,0.24762412911372,28.6853447606769,5.81249832986388e-181,1.13496295513505e-177
"H2-M2",1351.45370600888,9.75548135313637,0.36588149814681,26.66295344954,1.26650736856391e-156,2.1982346227041e-153
"Cnn2",914.496813440821,-4.2554197619679,0.167698650289002,-25.3753966095396,4.7142423471684e-142,7.36411797051175e-139
"Procr",1037.09638094209,4.9453727205243,0.194995186591262,25.3615117735727,6.70846845940582e-142,9.52663507312529e-139
"Inhba",3390.43626896958,6.58299430724694,0.260173492256626,25.3023251913524,3.01145839679309e-141,3.92016596802541e-138
"Sod2",2668.1750939878,3.97222264020494,0.158871164132502,25.0027918023691,5.70060174186935e-138,6.84993075459547e-135
"Fam20c",944.330444298757,4.98326886784926,0.199634270291012,24.9619910478547,1.58235628142379e-137,1.76557053372293e-134
"Ptpre",482.4716920072,2.76351586640321,0.111130751836874,24.8672471006019,1.68308751077124e-136,1.75276733371717e-133
"Slco3a1",488.01827209417,4.9580262974796,0.201119037639406,24.6521978012298,3.4857320711501e-134,3.40316379271473e-131
"Tnfaip2",1727.67603063691,3.12628858486947,0.127226246048024,24.572670199586,2.47609186704587e-133,2.27523712088962e-130
"Mapkapk2",1929.12230132229,2.98236819801487,0.121523394477295,24.541514914415,5.32828377903879e-133,4.62406227290916e-130
"Plpp3",368.474648083236,5.81523596889003,0.237513942624899,24.4837667406916,2.19976913988556e-132,1.80855756495539e-129
"Cflar",894.773117084519,3.31929759876303,0.135966238814773,24.4126602875653,1.25494516216711e-131,9.80174918910619e-129
"Cybb",2717.12787457946,4.14172181618135,0.175860537108124,23.5511723339894,1.22111012230289e-122,9.08331486690163e-120
"Adam17",449.636497376533,2.48744565399883,0.106790701081126,23.2927177068458,5.25455450510572e-120,3.73097254201165e-117
"Gng12",608.897655437263,4.36156087118415,0.187778818398206,23.2271185237462,2.42335198127778e-119,1.6458774478061e-116
"Ccl5",10725.2741684399,4.85715686931305,0.209243072419383,23.212987714011,3.36650856963622e-119,2.19117626526197e-116
"Rogdi",307.594390964938,-5.73461285178894,0.247159396844684,-23.2020830484248,4.33800573393621e-119,2.7105595027927e-116
"Pi4k2a",492.641343373674,3.56180723664372,0.154076965082803,23.1170651286489,3.11885471803715e-118,1.87383190578686e-115
"Oasl1",1648.85471379966,3.92222936249123,0.171980839946574,22.8061995958949,3.9795886444718e-115,2.30241311908496e-112
"Niban2",1214.70920578502,4.26723397506938,0.187636748675799,22.7419948660608,1.72220691599521e-114,9.60806936955759e-112
"Atp6v1e1",899.524489379181,3.10498871871239,0.137229974891282,22.6261698376922,2.39526125332386e-113,1.29021986338524e-110
"Zc3h12a",313.770297379851,3.34189924957545,0.147715091607453,22.6239527268915,2.5187234100636e-113,1.31149927962011e-110
"Zfp36l1",411.21471151082,-5.01701692738049,0.222122626711038,-22.586699075494,5.85633942251523e-113,2.95102832642292e-110
"Fcmr",607.182776283768,-5.7641367581005,0.255404586438001,-22.5686501502969,8.80943939637911e-113,4.30038290033869e-110
"Abr",497.165489548802,2.49183153902217,0.1109548081466,22.458076226222,1.06709161245521e-111,5.05122366004936e-109
"Tnf",4423.54360266666,6.81155282253422,0.307155101666312,22.1762646479959,5.82163523553842e-109,2.6746989415984e-106
"Cav1",479.960743590969,7.71485874981621,0.350066661086366,22.0382561591972,1.23814960650912e-107,5.52603857236543e-105
"AA467197",807.518323080012,5.86712343840836,0.268564989281817,21.8461961631631,8.4483726838803e-106,3.66588971374706e-103
"Ifi211",350.964783201555,6.83105843757893,0.313853849807107,21.7650936631087,4.97082052824184e-105,2.0986266884234e-102
"Ctss",10364.1340784956,3.52145394724851,0.161891463679344,21.7519433527601,6.6214742563214e-105,2.7219486673157e-102
"App",746.26221402869,2.56659026663497,0.119231494775969,21.5261099549031,8.86716519167821e-103,3.55164070408219e-100
"Cd300c2",810.440945741342,4.29791867459988,0.199745534492522,21.5169700064598,1.07993267054147e-102,4.21740706163208e-100
"Atf3",1067.49898829584,4.64299233198764,0.218456407971975,21.2536330478494,3.0511835885493e-100,1.16250094723728e-97
"Ccl4",4751.64660266997,5.09223633911294,0.239887369233388,21.2276134228588,5.30909958285378e-100,1.97460582342283e-97
"Npc2",2461.24182328738,2.86389398552442,0.136589851377747,20.9671066820635,1.30991807450433e-97,4.75865819577492e-95
"Abcc5",393.96222936596,3.44382497905025,0.16515459086091,20.8521298808494,1.45786702074941e-96,5.1757592570742e-94
"Nrp2",1178.25458143428,4.73548201722558,0.227839568752471,20.784282744014,6.00549136444644e-96,2.08470623564484e-93
"Psap",3264.39728677755,3.0239410778148,0.145556081997453,20.7750925713136,7.27237874566275e-96,2.469604964913e-93
"Akr1a1",5100.79159121474,3.61828523401835,0.174801528889037,20.6993912296683,3.5077299885074e-95,1.16583510958456e-92
"Gbp3",1312.81430088657,5.53824111421907,0.26758230692131,20.6973367482318,3.66047275105638e-95,1.19125510092191e-92
"Ptprcap",280.540610971756,-4.93922850339439,0.239447393968044,-20.6276143646548,1.5511599181267e-94,4.94503450633821e-92
"Mcoln2",186.584403870423,4.26762757564091,0.207556028517469,20.5613279755048,6.09421381680777e-94,1.90395428064708e-91
"Clic4",2134.36883541844,3.30199799810747,0.162302912488291,20.3446626279469,5.17670260969514e-92,1.5855935581578e-89
"Ighm",4221.76302000647,-4.25410630617159,0.209289429133582,-20.3264270144114,7.50742010431725e-92,2.25525787402961e-89
"Slc6a12",246.919156087978,5.15384820993447,0.254453739932011,20.2545586923248,3.23838721960394e-91,9.5446880674402e-89
"Uchl1",217.974441362718,5.13782227874497,0.256068787438046,20.0642269998956,1.51629841854116e-89,4.38631436963547e-87
"Milr1",247.175105897629,3.43457123460258,0.171487430650872,20.0281223035813,3.13248113236709e-89,8.89681595794661e-87
"Cd200r4",231.196875814073,3.81088713115571,0.190756963297197,19.9777091503517,8.60844147332273e-89,2.40129400454954e-86
"Cndp2",450.29095712474,2.9140909474247,0.146111830135056,19.9442505424175,1.68151081695367e-88,4.52877249510918e-86
"Spryd7",268.748939237566,4.72813839080319,0.237061971016086,19.9447358449676,1.66527347611196e-88,4.52877249510918e-86
"Stx3",171.179475178976,4.13802319890356,0.208229132621539,19.8724508276395,7.04765634809848e-88,1.86595660701096e-85
"F10",1584.12271678118,3.89714667928161,0.196460597733472,19.8367852090559,1.43336468631393e-87,3.73176496081832e-85
"Pla2g7",2439.69008278552,2.87426375120183,0.144961161484865,19.8278195466993,1.71306495671176e-87,4.38685044078597e-85
"Rassf4",591.475735754273,4.2669105240426,0.219897372169177,19.4040996577252,7.12558500714869e-84,1.79530263543016e-81
"Gbp2",1606.10128859807,5.02590553134289,0.260253738729919,19.3115593876581,4.29409509216555e-83,1.06473110213838e-80
"Slamf7",772.865663171381,3.84707079778817,0.199500929478215,19.2834730537346,7.39411973056371e-83,1.8047428798615e-80
"Slc2a6",560.944382784465,4.5740871179427,0.237728470085613,19.2408049246076,1.68570309112472e-82,4.05113353637835e-80
"Fmnl1",338.111019522957,-3.17661231389754,0.165563602484215,-19.1866585785388,4.78429727485199e-82,1.13235617773429e-79
"Cept1",97.8000600230961,4.99253128931543,0.26051286449868,19.1642408866174,7.36229192868074e-82,1.71651286892421e-79
"H2-Ob",210.676614222373,-4.9774038917836,0.261924512570325,-19.0031999790291,1.6045666880647e-80,3.68602003444981e-78
"Ccrl2",1042.03157210815,5.46422293420494,0.287835965378985,18.9838088058605,2.32141155752678e-80,5.25547390436607e-78
"Lrpap1",772.322725447781,4.15724782684976,0.219389359805165,18.9491770728613,4.48542781936057e-80,1.00095525666045e-77
"Ifit1",1331.89888786072,6.73942470178759,0.356294744221698,18.9153076521222,8.53211345012073e-80,1.87718512963853e-77
"Slc11a2",210.345878352124,3.40891930843504,0.18028925703768,18.9080556681344,9.79004116158066e-80,2.12403101368127e-77
"Cd19",392.887824888106,-6.12520506148578,0.3241813709562,-18.8943770686729,1.26876302414166e-79,2.71497906850916e-77
