"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Rnf149",2131.47561764093,3.5636901127694,0.122836965374227,29.0115447081625,4.70539265448987e-185,7.06420599218564e-181
"Alas1",2390.90467069137,3.45301778486016,0.12096158863338,28.546399099683,3.11346204594325e-179,2.3371202847873e-175
"H2-M2",1351.45370600888,7.50643539025203,0.268425604061976,27.9646772761621,4.37121150224544e-172,2.18749994277369e-168
"Ptpre",482.4716920072,2.92627091506211,0.1103455074043,26.5191667871028,5.82704410264917e-155,2.1870353278268e-151
"Psap",3264.39728677755,3.62086271595574,0.145627572099849,24.8638541709197,1.83149576098957e-136,5.49924917194728e-133
"Cd300c2",810.440945741342,5.04914120786492,0.206050826993879,24.5043481820867,1.32762539023057e-132,3.32193999725527e-129
"Pnp",1489.28801126256,2.6544497403464,0.108776830816361,24.4027126036396,1.60047111521373e-131,3.43255326467196e-128
"Lyz2",26208.836599654,5.59851854071639,0.233626444546655,23.9635480973917,6.67539930237793e-127,1.2527221215825e-123
"Cnn2",914.496813440821,-3.96680202709765,0.167445333198496,-23.6901318855824,4.55740443470262e-124,7.60225697535449e-121
"Plpp3",368.474648083236,4.76991186668623,0.209361672300683,22.7831188692251,6.74164827994207e-115,1.0121236562677e-111
"Gramd2b",191.00786783058,-3.88434764318596,0.174955348364253,-22.2019371199721,3.28964542997283e-109,4.48976789456201e-106
"Cd200r4",231.196875814073,4.47941349962466,0.202632095024167,22.1061401901333,2.75878474437471e-108,3.45146961394146e-105
"Cav1",479.960743590969,6.64903636485314,0.302793455812345,21.9589830533651,7.1071813057487e-107,8.20770099563117e-104
"Fcmr",607.182776283768,-5.56188961530666,0.255101856645771,-21.8026230323748,2.1909491190775e-105,2.34947993747932e-102
"Adam17",449.636497376533,2.2241145714788,0.102704728720534,21.6554252095905,5.40303409270876e-104,5.40771672225577e-101
"Zfp36l1",411.21471151082,-4.78111176902127,0.221674550818257,-21.5681581461335,3.57653338154856e-103,3.35590597857429e-100
"App",746.26221402869,2.5106965150276,0.116789101645327,21.4976952443068,1.63613995128125e-102,1.44490406403444e-99
"Ctsl",5721.01501319306,5.17191992649918,0.240763235028735,21.4813525241174,2.326335525638e-102,1.94029306924462e-99
"Pirb",925.368981617585,2.38050650689181,0.111890208998807,21.2753781424896,1.91959219238781e-100,1.51678092549043e-97
"Itgb2",2859.05677461665,3.37504876026976,0.16071832020454,20.9997762294582,6.58951814625712e-98,4.9464217964879e-95
"Rogdi",307.594390964938,-5.15312288032286,0.247144556397479,-20.8506428603476,1.50388513961935e-96,1.07513464767168e-93
"Pla2g7",2439.69008278552,2.99648966495629,0.143992506273791,20.8100389561849,3.51059452536254e-96,2.39566161860308e-93
"Trf",643.375781292309,5.24113379406599,0.258090666208223,20.3073356780657,1.1075145723763e-91,7.22918098916753e-89
"Abr",497.165489548802,2.16106490497838,0.106580326724789,20.2763959483691,2.07811377286952e-91,1.29994675300376e-88
"Uchl1",217.974441362718,4.96377871929251,0.245312458798523,20.2345153752232,4.86384071587842e-91,2.92083362669931e-88
"Lrpap1",772.322725447781,4.38239851747345,0.21760160593449,20.1395504350863,3.32338927668863e-90,1.91900166195871e-87
"Fam20c",944.330444298757,3.77445748855244,0.18759270165656,20.1204921898434,4.88207411330093e-90,2.71461402455507e-87
"Ighm",4221.76302000647,-4.20641173623868,0.209211514059992,-20.1060240643948,6.53575004641233e-90,3.50432912309958e-87
"Ctsd",12903.1321041455,4.66317738138651,0.233044663410638,20.009801182058,4.52449465553509e-89,2.34228407805339e-86
"Ablim1",186.498958247362,-4.89523383901744,0.244856406381121,-19.9922636755436,6.43110664077266e-89,3.218340133264e-86
"Atp6v1e1",899.524489379181,2.66102698311807,0.133123257712808,19.989196695132,6.83878763075878e-89,3.3119586677607e-86
"Ptprcap",280.540610971756,-4.76020014776661,0.238794330902644,-19.9343097039742,2.05115269630705e-88,9.62311107176805e-86
"Cd83",346.044328738961,-3.76681115725073,0.18981782354479,-19.844349107511,1.23315170198657e-87,5.61009287937103e-85
"Capg",2749.13880770456,2.78247677859258,0.141266499759873,19.6966498307969,2.30368406418255e-86,1.0172120251639e-83
"Niban2",1214.70920578502,3.5150648791526,0.181159337748357,19.4031669735693,7.25606090049752e-84,3.11243549426198e-81
"Tyrobp",2167.92088801241,2.77174350675547,0.143175966899433,19.3589997454136,1.71176953711738e-83,7.13855446131757e-81
"Akr1a1",5100.79159121474,3.36362692890074,0.173854799461232,19.3473343233805,2.14661053465973e-83,8.7100172856342e-81
"Gng12",608.897655437263,3.41150573710829,0.176450861112657,19.3340271370519,2.77859264193365e-83,1.09776345614079e-80
"Csf1r",901.096472274368,3.96019547332148,0.205407049001613,19.2797447437668,7.94676718397242e-83,3.05909783930712e-80
"Ctss",10364.1340784956,3.10145176055208,0.161211924001501,19.2383521241469,1.76738383902398e-82,6.63343339381676e-80
"Hvcn1",2574.51123025245,3.27146918382798,0.170098925332406,19.2327445775151,1.96925361554513e-82,7.21083037321441e-80
"Smap2",289.971866429169,-2.83832532863971,0.147911355184183,-19.1893673417119,4.54134379492522e-82,1.62331415221934e-79
"Fabp3",129.366198815993,5.27559362521001,0.27497234753218,19.1859060467621,4.85406478214506e-82,1.69474592033358e-79
"Ctsk",215.991155126101,6.23696009352765,0.330463032443512,18.8733972674955,1.88764018880026e-79,6.44071412601327e-77
"Sgk1",939.990827450254,3.67921502663103,0.195366214775195,18.8324016558577,4.09749597305105e-79,1.3670157120759e-76
"Cndp2",450.29095712474,2.65871114463626,0.14128183479226,18.8184924731874,5.32790109083097e-79,1.73886476253577e-76
"Sdc1",346.034883508438,5.35322900900398,0.285123332522573,18.7751348219815,1.20641329662572e-78,3.85359208983872e-76
"Nup210",181.021221291662,-5.54082667234953,0.29796766577835,-18.5953957718056,3.50119212901384e-77,1.09507077985177e-74
"Anpep",551.544803665363,4.87416356593235,0.263968932483146,18.4649137308746,3.9565484428122e-76,1.21223799534571e-73
"Lpl",835.338941062842,4.51917429087372,0.245116838774845,18.4368169623176,6.65451588453573e-76,1.9980849394907e-73
"Ctsa",1180.70395884418,3.18487840575942,0.173144196095239,18.3943699967139,1.45744984286053e-75,4.29033225311081e-73
"Slc15a3",1329.3364131903,1.99995195069003,0.108759827405017,18.3887010342733,1.61810480504827e-75,4.67165527657493e-73
"Hexa",1116.23947406329,3.41009379686634,0.18646102447439,18.2885072442295,1.02174943456185e-74,2.89424986058057e-72
"Trem2",897.245006275962,7.75425311530811,0.424231910357425,18.278335330256,1.23127072393604e-74,3.4231606256392e-72
"Tnfrsf1a",381.629414409696,2.74780900551521,0.150597548219977,18.2460407755212,2.22459285315551e-74,6.07232954625885e-72
"Bach2",131.727682682755,-5.40489145769035,0.297311452418775,-18.179223887001,7.53932199135092e-74,2.02121144743128e-71
"Slc6a12",246.919156087978,4.07983896909999,0.22471122487594,18.1559197648111,1.15280897560092e-73,3.03633704398185e-71
"Cd68",1791.25942441171,3.64329898407619,0.201171550534869,18.1104086258196,2.63783181831252e-73,6.82789122212514e-71
"Tcf7",306.273073849603,-5.68769884320649,0.316651256382677,-17.9620283468347,3.86425287495816e-72,9.83288617148252e-70
"Satb1",177.035882327391,-4.94135084362127,0.275360898920627,-17.9449982295621,5.25122596140863e-72,1.31394425597713e-69
"Igf1",1274.62141214806,4.96213939535219,0.276786642031006,17.9276693374397,7.17238745518895e-72,1.765230374832e-69
"Cd19",392.887824888106,-5.79798592984756,0.323916689904711,-17.8996208301375,1.18727485365881e-71,2.87492860935157e-69
"Tmem131l",205.401758736622,-3.47628926038965,0.194641165892468,-17.8599899176013,2.41682938385209e-71,5.7593427840907e-69
"Tnfrsf1b",1492.63997379098,2.24392932342581,0.125659385789385,17.8572361254957,2.5390466203155e-71,5.95604795481197e-69
"Spp1",4738.85580292315,6.13401870946485,0.344156057213369,17.8233640841076,4.65509782676733e-71,1.07518436420397e-68
"Acsl1",777.418393034338,4.1210070042132,0.231443215071546,17.8056937332955,6.38363480195736e-71,1.45208347396645e-68
"AA467197",807.518323080012,4.48954374392419,0.252275929386586,17.7961637277112,7.56787747861864e-71,1.69576932218659e-68
"Dusp5",190.55208835736,-3.95006339253597,0.222225744053499,-17.7750035638761,1.10390704289677e-70,2.43719947573664e-68
"Cd302",279.118338170845,3.47147868075916,0.19653950284896,17.6630073366318,8.08167030069528e-70,1.75840748151215e-67
"Stx3",171.179475178976,3.25746316313419,0.184842088056956,17.6229515548994,1.64209490406105e-69,3.52182439923837e-67
"Cept1",97.8000600230961,3.44229201439456,0.195511090089272,17.606633019246,2.1909625256506e-69,4.63280568980175e-67
"Slc11a2",210.345878352124,3.0036528305638,0.170850270208772,17.5806150431806,3.46794039404887e-69,7.23113737997996e-67
"H2-Ob",210.676614222373,-4.59339496940642,0.261539262784194,-17.5629269598294,4.73684841726125e-69,9.74168565593742e-67
"Gimap6",162.505374332885,-4.77223700147528,0.272343144890736,-17.522882771255,9.58434903635904e-69,1.94445719030889e-66
"Vars",246.013505017395,-3.25019680870612,0.185591674120268,-17.5126218571632,1.14783378972969e-68,2.29765715802824e-66
"Coro1a",1476.48880760379,-3.89393923352993,0.223296061608979,-17.4384590819552,4.21280015685882e-68,8.3219432572265e-66
"Asah1",406.421256300012,2.72247785173258,0.156821049247168,17.3604108938312,1.64541618818918e-67,3.2081341861408e-65
