"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Oasl1",1648.85471379966,7.65378094691005,0.282753409550813,27.0687485575116,2.29812679517477e-161,3.38054451570209e-157
"Psap",3264.39728677755,-4.1601969467562,0.157348522248298,-26.4393772964156,4.83411050795354e-154,3.55548827859983e-150
"Cd300c2",810.440945741342,-5.56985547909287,0.220251652913609,-25.288597862544,4.26398680674143e-141,2.09077486423888e-137
"Ccl4",4751.64660266997,6.70240340594773,0.279633938918036,23.9684904911069,5.92851646278073e-127,2.18021192918761e-123
"Ccl3",6257.96876278863,4.8949353728945,0.208209716850396,23.5096394488238,3.25048683864639e-122,9.56293227929768e-119
"Lyz2",26208.836599654,-5.84657459305584,0.2522542414969,-23.177309362022,7.71351021618961e-119,1.89109558800249e-115
"Sp100",726.744682425929,4.24512314442802,0.186609103338889,22.7487462748199,1.47660801536966e-114,3.10298627229823e-111
"Gadd45b",1101.81316839052,4.14053884835247,0.183608477811743,22.5509132132659,1.31542959318055e-112,2.41874616446074e-109
"Ly6e",3039.99605005089,2.63712482763004,0.117773641210673,22.3914689273534,4.7661979782428e-111,7.79008580666128e-108
"Marcksl1",1041.70020916358,6.3387643474351,0.283196206224424,22.3829423138946,5.77082661606856e-111,8.48888595223685e-108
"Tyrobp",2167.92088801241,-3.37472543677743,0.155075571277022,-21.7618120570966,5.33961821742366e-105,7.14052581620927e-102
"Ccl5",10725.2741684399,5.13762862558374,0.237560918426086,21.6265733422068,1.01013742264753e-103,1.23826012392876e-100
"Trf",643.375781292309,-5.84708017543697,0.275670963687091,-21.2103592530473,7.66257293366254e-100,8.67049598878277e-97
"Ctsd",12903.1321041455,-5.28854896187786,0.251627103002487,-21.0174059104658,4.54610154690292e-98,4.77665383963871e-95
"Cd200r1",167.113901196111,-3.80784831375338,0.185685384169227,-20.5069899862611,1.86483654076254e-93,1.8287830343078e-90
"Csf1r",901.096472274368,-4.53315893414573,0.221520016093038,-20.4638795811652,4.51950884888676e-93,4.15512344794527e-90
"Rab7b",252.703782850157,-7.7715193012266,0.380375153050671,-20.4311959887436,8.83122002680522e-93,7.64160274084145e-90
"Fcgr3",836.503073627678,-3.91577102574968,0.194323013869111,-20.1508351881945,2.64611931605561e-90,2.16246750773211e-87
"Alas1",2390.90467069137,-2.64928273417389,0.132198669983253,-20.0401617846042,2.45966883588232e-89,1.904301503991e-86
"Apobec3",753.931844972895,4.22638368969097,0.211716028754177,19.9625116461929,1.16697073330994e-88,8.58306974349459e-86
"Cd40",1360.51306496009,6.34172537972875,0.319190845529648,19.8681305198638,7.68105753681523e-88,5.38039792221676e-85
"Gpr132",362.849260180383,3.98474013310065,0.201383481046242,19.7868271637715,3.86627944832176e-87,2.5638974979274e-84
"Igtp",919.168488181593,5.13313054239962,0.259445539591792,19.7850020874362,4.00881321905712e-87,2.5638974979274e-84
"Lrpap1",772.322725447781,-4.60894975246301,0.234704040982677,-19.6372833342191,7.42662632225596e-86,4.55190305001605e-83
"Ctsa",1180.70395884418,-3.66993391709742,0.187511065218194,-19.5718258697265,2.68874025839292e-85,1.58205476803839e-82
"Dhrs3",238.210469255926,-5.08914270080397,0.260062115936811,-19.5689506042492,2.84478929117478e-85,1.6094942489685e-82
"Fblim1",145.38655990375,-5.07369105671528,0.25981263861145,-19.5282688472403,6.31438963649208e-85,3.44017302047402e-82
"Itgb2",2859.05677461665,-3.38798864294408,0.174070331177979,-19.4633319763149,2.24690967852566e-84,1.1804300489683e-81
"Rnf149",2131.47561764093,-2.59013836493946,0.134575173281156,-19.2467771119129,1.50222377569213e-82,7.61990060014871e-80
"Cd83",346.044328738961,5.78232470878618,0.301921579717611,19.1517436885248,9.35996291234305e-82,4.58950181468554e-79
"Soat1",226.509100964213,-3.8118140743941,0.200113928124403,-19.0482197322339,6.79748514256607e-81,3.22551633700474e-78
"Arl11",157.213162628758,-5.36537826222089,0.28245508744918,-18.9955093769952,1.85776246839544e-80,8.53990184690527e-78
"Hexa",1116.23947406329,-3.82779279021818,0.201818584054069,-18.9665030510405,3.22670615786502e-80,1.43832871461195e-77
"Pla2g7",2439.69008278552,-2.95133414156937,0.156315667560317,-18.8806035097573,1.64693436563088e-79,7.12541309365594e-77
"Anpep",551.544803665363,-5.31733262075819,0.283166417695784,-18.7781187614938,1.14049843732531e-78,4.79335200373009e-76
"Ifi35",747.90100065903,4.19930357381463,0.225711963137248,18.6047009447221,2.94329419007942e-77,1.20266270933523e-74
"Ctss",10364.1340784956,-3.2417623329895,0.174260817859702,-18.6029330793079,3.04199319627855e-77,1.20939783560156e-74
"Stat2",709.448608792896,4.23596548749948,0.22794246873495,18.5834851706596,4.37170018922269e-77,1.69230815219647e-74
"Ctsl",5721.01501319306,-4.82080822696671,0.259996688646129,-18.5418062517255,9.49775508178363e-77,3.56557861967069e-74
"Dusp3",236.238754266476,-4.38300858475227,0.23639934027473,-18.5406971933956,9.69565906096721e-77,3.56557861967069e-74
"Trem2",897.245006275962,-8.29983927240712,0.44805688688125,-18.5240747668875,1.32053662434413e-76,4.73782774246392e-74
"Lpl",835.338941062842,-4.88650204026563,0.264087714604043,-18.5033296516355,1.94103465159709e-76,6.79824279166506e-74
"Nfam1",229.595319997407,-3.43543658249448,0.186139213225925,-18.4562754024578,4.64274573832975e-76,1.58825092583327e-73
"Capg",2749.13880770456,-2.81227707638575,0.153312979686772,-18.3433723754597,3.72928696043602e-75,1.24676843609122e-72
"Fcmr",607.182776283768,6.26133561614652,0.344853195225502,18.1565248715535,1.14017524064788e-73,3.72710617554009e-71
"Traf1",645.403030950269,6.41625641633178,0.353690795867825,18.1408634075102,1.51630261550051e-73,4.84887205956794e-71
"Rigi",613.865502819972,4.72617947242256,0.261021240795212,18.1064937781464,2.83222895121488e-73,8.86427401539807e-71
"Uchl1",217.974441362718,-4.73757105331551,0.262512629191317,-18.0470214629667,8.32614695926175e-73,2.55161712022376e-70
"Sdc1",346.034883508438,-5.48248113703977,0.30421039089226,-18.0220048400038,1.3091225102665e-72,3.9300392093919e-70
"Ighm",4221.76302000647,4.18699971468113,0.233287992473676,17.9477720661237,4.99545055556775e-72,1.46966155344803e-69
"Mfsd12",369.707861137398,-4.17901031740942,0.234446704899633,-17.824990627181,4.52166570366295e-71,1.30419024511533e-68
"Psme2",1961.06990944928,2.61944081295117,0.147070675007224,17.8107621578707,5.83103869903384e-71,1.649511139669e-68
"Epsti1",758.127508481149,3.89100415161001,0.21853607230027,17.8048599055251,6.47941823037131e-71,1.79834419186343e-68
"Itgb5",227.563132935018,-5.54395898435881,0.313316144635127,-17.6944567947976,4.62670193593791e-70,1.26034787921568e-67
"Parp10",324.506385220152,3.68118382869641,0.208418474916493,17.6624640889985,8.15983847090075e-70,2.18238588921727e-67
"Atp6v1b2",585.783924072534,-2.48316783076193,0.141003407969035,-17.6106937167592,2.03930355970265e-69,5.35681345771893e-67
"Ehd1",600.276382848931,2.75771860108865,0.157575408418037,17.500945285654,1.40911015063643e-68,3.63649303787052e-66
"2510009E07Rik",90.4480964287124,-4.01422590940776,0.230739752850086,-17.3972012183607,8.66336624239461e-68,2.19720892113146e-65
"Helz2",1050.48244406648,5.75753104449197,0.331126302033768,17.3877188526837,1.02222496007322e-67,2.54863206147068e-65
"Gramd2b",191.00786783058,3.62158483877001,0.208928248224901,17.3341080947156,2.6007013882286e-67,6.37605290347378e-65
"Tnf",4423.54360266666,5.90003984244832,0.341405742962516,17.2816068975621,6.47195266372401e-67,1.56069547021935e-64
"Ctsk",215.991155126101,-5.98640976000262,0.346603256697918,-17.2716489078465,7.69130857447417e-67,1.82482498597605e-64
"Ctsb",494.312452490946,-4.4395885795941,0.259671780598542,-17.0969235446411,1.56447686977429e-65,3.65292932609203e-63
"Naglu",169.796997729788,-3.32500033382184,0.195020767372797,-17.049468005968,3.52729040818369e-65,8.10725654755969e-63
"Rcbtb2",203.960854641536,-3.16578092053962,0.185702926098366,-17.0475553996534,3.64460686870133e-65,8.24802569824562e-63
"Oasl2",509.302651147118,4.6707528323532,0.274230058531956,17.0322424075511,4.73543177845545e-65,1.05542729486484e-62
"Adar",332.790750191902,3.34573758151449,0.196611746516785,17.0169770666721,6.14629807855131e-65,1.34943350351477e-62
"S100a1",323.406276934277,-5.60490417975539,0.329418776994763,-17.0145254951405,6.40903293705191e-65,1.38642462505932e-62
"C1qb",693.305442368194,-4.3454134303543,0.255843632710839,-16.9846455989999,1.06696148407848e-64,2.27463817837601e-62
"Tbxas1",192.885111175715,-4.0524373621223,0.239812576269831,-16.8983521429777,4.62656224085765e-64,9.72239008043087e-62
