"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Ccl5",20156.032639082,6.71073018811281,0.233259995815225,28.769314535308,5.19373050888153e-182,6.58461153916e-178
"Cflar",1343.86981031587,4.10282738431415,0.163742914755642,25.0565185702045,1.48241058747599e-138,9.39700071401027e-135
"Mapkapk2",3119.85946301379,2.94042669902444,0.124448451595672,23.6276680129197,2.00295885631644e-123,8.4645041267933e-120
"Helz2",706.852163768021,4.85460551062135,0.208099788676481,23.3282577627625,2.29130175999253e-120,7.26228092829631e-117
"Igtp",833.354913613808,5.00777429813249,0.215445338441438,23.2438275729679,1.64245579314705e-119,4.16461090910367e-116
"Oasl1",1352.79591710149,7.29547824242282,0.333063226410367,21.904184142605,2.36987182622305e-106,5.00753916880931e-103
"Slco3a1",810.079568291455,5.95267610082625,0.275536000451465,21.6039867424685,1.64763771322502e-103,2.98410727546669e-100
"Ptx3",5086.19032306555,6.14680328555945,0.28851149648013,21.305228251044,1.01531506093557e-100,1.60902054281764e-97
"Gbp2",2245.45387497827,5.68716799163984,0.267751966470291,21.2404340726696,4.04138372118607e-100,5.6929625352441e-97
"Irf7",1893.78636725301,6.00374538269312,0.295377542576584,20.3256663669226,7.62467789541436e-92,9.66656663580632e-89
"Mx1",965.112625811046,5.7533066849635,0.292485177168616,19.6704213890701,3.86554928891895e-86,4.45522126226495e-83
"Ifi211",582.626567223777,6.31299999255052,0.325364591214533,19.4028488748118,7.30110339661655e-84,7.71361573852539e-81
"Usp18",988.875153870539,6.06541297383412,0.315764523434264,19.2086587431245,3.13255090509527e-82,3.0549600288306e-79
"Acsl1",1474.04858455232,4.45936351977865,0.235282573912415,18.9532248208007,4.15333564205225e-80,3.76114209070989e-77
"Rnf213",1625.32460599292,5.12627215455956,0.279676892861142,18.3292659687289,4.83384121210201e-75,4.08556259246862e-72
"Pnp",2577.86831210435,4.29015629286516,0.240893122523079,17.8093764069754,5.97720335732493e-71,4.73618651026034e-68
"Rnf114",1097.71818452689,2.56870503483542,0.145157461295461,17.6959903535854,4.50244914695914e-70,3.35776766383223e-67
"Xaf1",290.830670235194,4.55190581793822,0.258827285518531,17.5866536204596,3.11752526455635e-69,2.19577696133585e-66
"Mcoln2",349.508522536281,3.14691427017181,0.180736865900852,17.4115792839859,6.73987340975068e-68,4.49726921520101e-65
"Tnip1",887.458705200337,2.67562660877098,0.153899314012316,17.3855655299208,1.06135212040791e-67,6.72791109126573e-65
"AA467197",1548.06283596136,4.53615060797402,0.261896187461147,17.3204148252329,3.29970519061364e-67,1.99207916221904e-64
"Ifi47",941.940798760916,5.3480464428786,0.309606667358245,17.2736798225679,7.42531287653233e-67,4.27900530221259e-64
"Malt1",725.861242246012,3.50785075885528,0.204177988649999,17.1803571092495,3.72610394601202e-66,2.05389329684958e-63
"Isg20",440.313726373417,6.3359505250141,0.369737730856119,17.1363374528841,7.95035099121155e-66,4.07113408973889e-63
"Nfkb1",1069.03444137727,3.23910524066184,0.189025924179827,17.1357725386935,8.02795016907022e-66,4.07113408973889e-63
"Psme2",1951.78587021849,2.82611097665859,0.16588670744342,17.036392006409,4.41119389129319e-65,2.15096600591596e-62
"Aftph",620.462603471016,3.17186113055734,0.187516373385443,16.9151155885333,3.48132955744774e-64,1.63467763441935e-61
"Ccl4",3774.38541149211,6.26116889899608,0.373399605018206,16.7680115748671,4.18273311268123e-63,1.89388180009188e-60
"Phf11b",577.662751974482,5.04035606160476,0.300927255772923,16.7494168936567,5.71840331193241e-63,2.49992817891997e-60
