"","baseMean","lgFC_Treatment_6H_vs_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Igtp",833.354913613808,4.55172826939595,0.159703886377711,28.5010488638379,1.13688702847839e-178,1.56844934448879e-174
"Oasl1",1352.79591710149,5.92921297738885,0.230015560050253,25.7774429525266,1.58780174664516e-146,1.09526564483583e-142
"Mx1",965.112625811046,5.89466486313432,0.230185669493112,25.6083051395635,1.23291358951875e-144,5.66975862700024e-141
"Ptx3",5086.19032306555,6.36323935961776,0.250894252414608,25.3622364736453,6.58610705794808e-142,2.27154832428629e-138
"Gbp2",2245.45387497827,5.50695682413759,0.222908207347033,24.7050428949175,9.44027222673633e-135,2.60475991280109e-131
"Cflar",1343.86981031587,3.17577254736484,0.128648638465283,24.6856288978282,1.52595201374204e-134,3.5086723302642e-131
"Helz2",706.852163768021,3.57637834692563,0.145078234558301,24.6513776364465,3.55704368792904e-134,6.13412183983363e-131
"Tnfsf15",197.501775408758,5.41304435086463,0.219569505746591,24.65298782023,3.41839152940677e-134,6.13412183983363e-131
"Mapkapk2",3119.85946301379,2.52985231872129,0.106865621451756,23.6732101900831,6.80868707034607e-124,1.04369607580549e-120
"Slco3a1",810.079568291455,4.26482172424506,0.188740039120272,22.5962744530712,4.71514899890012e-113,6.5050195588826e-110
"Il15ra",231.706791097815,4.3409423456688,0.205878895463995,21.0849311964954,1.09372633762514e-98,1.37173168671604e-95
"Malt1",725.861242246012,3.4426611925796,0.166886055841384,20.6288127262812,1.51319771294322e-94,1.73967297064706e-91
"Mx2",305.374899667917,5.38686271467143,0.262835537039954,20.4951840810345,2.37686039044722e-93,2.52239738050845e-90
"Ifi211",582.626567223777,4.09797838369093,0.202345148557,20.2524172826242,3.38228552186368e-91,3.33300078997367e-88
"Isg20",440.313726373417,4.67557883277896,0.231090197061157,20.2327008771453,5.04617981237836e-91,4.64113977943812e-88
"Gbp5",513.346201676869,7.26829384860048,0.361243504324267,20.1202063472293,4.91030247277109e-90,4.23390830714687e-87
"Mcoln2",349.508522536281,2.65687940060366,0.132309408834773,20.0808047137566,1.08620921250305e-89,8.81490723276002e-87
"Clic4",3000.91168354202,3.36918075106505,0.170053429018188,19.8124834677971,2.32336697915503e-87,1.78073171357904e-84
"Flnb",366.385392811635,3.47227935276684,0.177557205455279,19.55583466108,3.67934681380068e-85,2.67159308648391e-82
"Edn1",344.110767224863,8.20651895432677,0.420038845422351,19.5375238356231,5.26764295701034e-85,3.63362011174573e-82
"Naa25",222.25052736141,2.89779680179834,0.148925274445143,19.458059168229,2.49038631020543e-84,1.63606521598067e-81
"Cmpk2",3573.8819974149,7.10580818580706,0.368398794161294,19.2883589697527,6.72750058447226e-83,4.21875445742633e-80
"Ifi47",941.940798760916,4.75266992831285,0.248267430859174,19.1433484120949,1.09970423807866e-81,6.59631289936223e-79
"Nfkb1",1069.03444137727,3.03017192961637,0.158716063269578,19.0917785332771,2.95534280330252e-81,1.69882955476507e-78
"Ifit1",1861.4025265998,6.30337702908734,0.331744229940766,19.0007133815495,1.68242146942071e-80,9.28427463685127e-78
"Rsad2",2521.99748839353,7.09188343145867,0.373737562495584,18.9755704085603,2.71548164997222e-80,1.44087634011603e-77
"Aftph",620.462603471016,2.78475348620604,0.150226325855083,18.5370538110103,1.03751951707282e-76,5.30134046575428e-74
"Fabp3",244.297451962307,5.92341145081811,0.323703136106678,18.2989004124631,8.44358565478463e-75,4.1602752747646e-72
"Daxx",673.483400064478,3.52121339148237,0.192738882261511,18.2693463309844,1.4517929201419e-74,6.90652935388885e-72
"Ifit3b",299.029839409684,6.10019845110218,0.334024385851486,18.2627338287045,1.63876579328689e-74,7.536137628062e-72
"Pml",293.314413707568,2.34611071462309,0.128902616051182,18.2006446920483,5.10039819654903e-74,2.2698417264384e-71
"Psme2",1951.78587021849,2.61868696130142,0.144049134947566,18.1791231322189,7.5531855720419e-74,3.25636712974656e-71
"Peli1",363.451141606754,3.22718170472251,0.177705928400435,18.1602365985817,1.06564455375863e-73,4.45504007989516e-71
"Fblim1",505.347650356313,-2.51656691561985,0.139666658325201,-18.0183799469181,1.3977702398194e-72,5.67165830251425e-70
"Ifit1bl1",140.799890101082,7.38802917222121,0.413077065285487,17.8853531050318,1.53378453930738e-71,6.04574042979559e-69
"Il27",752.171692035863,8.09059290447558,0.453071760911269,17.8571996811341,2.5407047099602e-71,9.73654504961413e-69
"AA467197",1548.06283596136,3.95098385439923,0.222124567635354,17.7872438715796,8.87386385564448e-71,3.30875204736409e-68
"Usp18",988.875153870539,4.15310263580373,0.234916477373303,17.6790605846012,6.08008307192962e-70,2.20739015948266e-67
"Casp7",253.806531150108,3.61674829373517,0.204620198132248,17.6754217166657,6.48536473189934e-70,2.29415620105854e-67
