"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Rabep2",1.09,1.65,0.9,0.14,-1.92,-0.3,-0.83,-0.31,0.39,-0.09,-0.72
"Yars",0.15,1.53,1.07,0.77,-0.59,-0.62,-0.81,-0.79,1.31,-0.7,-1.31
"Dll1",0.59,1.73,1.55,0.58,-0.95,-1.13,-0.36,-1.13,-0.15,-0.27,-0.45
"Calm1",1.18,1.25,0.89,0.81,-0.56,-1.19,-1.04,-1.43,0.57,-0.62,0.14
"Cd274",1.17,1.15,1.23,1.17,0.2,-0.56,-0.68,-0.64,-1.33,-0.84,-0.86
"Psen1",0.81,1.11,1.43,1.35,-0.29,-0.96,-0.37,-0.15,-1.27,-1.04,-0.62
"Itgb1",1.2,0.99,1.43,1.35,-0.62,-0.7,-0.87,-0.76,-0.92,-0.7,-0.4
"Tnfsf15",1.3,1.21,1.31,1.19,-0.67,-0.6,-0.77,-0.69,-0.45,-0.86,-0.96
"Csf1",1.16,1.16,1.17,1.44,-0.2,-0.72,-0.6,-0.79,-0.78,-0.9,-0.95
"Ccl4",1.31,1.22,1.24,1.22,-0.32,-0.62,-0.89,-0.81,-0.81,-0.7,-0.82
"Ccl3",1.27,1.18,1.27,1.23,-0.19,-0.7,-0.78,-0.81,-0.89,-0.66,-0.92
"Clcf1",0.72,1.48,1.42,1.23,-0.38,-0.94,-0.86,-0.49,-0.73,-0.47,-0.99
"Cd40",1.12,1.29,1.35,1.23,-0.42,-0.75,-0.91,-0.9,-0.59,-0.56,-0.86
"Tnf",0.97,1.36,1.34,1.29,-0.42,-0.59,-0.97,-0.92,-0.8,-0.5,-0.75
"Nlgn2",0.98,1.42,1.34,1.21,-0.91,-0.85,-0.67,-0.28,-0.8,-0.62,-0.82
"Il15",0.85,1.29,1.44,1.36,-0.96,-0.52,-0.72,-0.73,-0.67,-0.48,-0.87
"Icam1",0.73,1.4,1.46,1.34,-0.67,-0.61,-0.77,-0.72,-0.57,-0.66,-0.94
"Pcdh7",0.52,1.44,1.2,1.33,-0.49,-0.78,-0.99,-1.07,-1.2,0.13,-0.1
"Cmtm6",0.96,1.08,1.32,1.23,-0.85,-0.47,-0.58,-0.7,-1.67,0.01,-0.32
"Alcam",0.95,0.93,1.37,1.22,-0.62,-0.32,-0.57,-0.69,-1.87,-0.09,-0.32
"Cd200",0.34,1.04,1.53,1.51,-0.64,-0.32,-0.29,-0.52,-1.6,-0.2,-0.84
"Plekho2",0.29,1.22,1.64,1.26,-1.1,-0.2,-0.47,-0.55,-1.47,-0.21,-0.41
"Ptprc",0.55,1.29,1.3,1.23,-1.01,0.13,-0.55,-0.58,-1.72,-0.29,-0.36
"Col5a3",0.42,1.32,1.09,1.63,-1.11,-0.27,-0.5,-1.38,-0.32,-0.04,-0.82
"Kitl",-0.22,0.48,1.57,1.91,-1.43,-0.29,-0.38,-0.95,-0.23,0.14,-0.61
"Itga4",0.93,1.25,1.16,0.98,-1.76,0.1,-0.85,-0.95,-0.76,-0.06,-0.03
"Sema4d",0.06,1.25,1.24,1.07,-2.13,-0.03,-0.22,-0.11,-1.04,-0.24,0.14
"Pik3cb",-0.27,1.84,1.35,0.82,-1.21,-0.16,-0.38,-0.55,-1.43,-0.16,0.15
"Cdh5",-0.56,1.4,1.76,0.87,-0.61,-0.75,-1.5,-0.53,-0.22,-0.35,0.49
"Bmp1",0.65,1.52,0.72,1.39,-0.93,-1.16,-1.11,-0.09,-0.36,-1.02,0.4
"Fbn1",0.22,1.76,1.07,1.47,-1.11,-0.67,-0.84,-0.34,-0.13,-0.66,-0.76
"Fbrs",0.21,1.53,1.71,1.18,-0.74,-0.59,-0.72,-0.67,-0.27,-0.72,-0.92
"Tnc",0.88,1.16,1.04,1.5,-1.62,-0.66,-0.7,-0.58,0.07,-0.73,-0.36
"Vcam1",0.73,1.23,1.46,1.4,-0.95,-0.8,-0.94,-0.91,-0.29,-0.24,-0.68
"Tnfsf10",1.01,1.24,1.34,1.35,-0.96,-0.87,-0.9,-0.63,-0.26,-0.62,-0.7
"Il27",0.88,1.37,1.45,1.26,-0.79,-0.78,-0.71,-0.95,-0.42,-0.54,-0.75
"Edn1",1.06,1.23,1.4,1.27,-0.69,-0.85,-0.93,-0.92,-0.32,-0.56,-0.69
"Ifnb1",0.72,1.9,0.99,1.09,-0.94,-0.92,-0.9,-0.71,-0.08,-0.53,-0.63
"Cxcl9",1.17,1.51,1.28,0.79,-0.97,-0.95,-0.93,-0.95,-0.04,-0.25,-0.67
"Itgal",-0.34,1.64,0.87,0.51,0.03,0.22,0.27,0.16,-2.35,-0.49,-0.52
"Rtn4",-0.19,1.08,1.42,1.1,-0.67,0.34,-0.56,-0.45,-2.12,0.08,-0.05
"Nts",1.33,0.73,0.88,0.33,1.14,-0.82,-0.42,0.24,-0.45,-1.53,-1.44
"Osm",0.91,0.55,0.86,1.27,1.29,-1.12,-0.57,-0.69,-0.16,-1.15,-1.2
"Pvr",1.34,1.14,0.69,0.86,1.04,-0.86,-0.93,-0.41,-0.77,-1.13,-0.98
"App",0.93,1.26,0.96,0.77,1.12,-0.35,-0.75,-0.84,-0.76,-1.32,-1.01
"H2-M3",0.62,0.9,1,1,0.96,-0.05,-0.12,-0.16,-1.48,-1.53,-1.14
"Ccl5",0.84,0.85,0.87,0.78,0.1,0.34,0.32,0.42,-1.34,-1.5,-1.67
"Cxcl16",0.65,0.88,1.22,0.88,0.53,-0.17,0.15,-0.02,-0.79,-1.53,-1.8
"Tnfsf9",1.53,1.2,1.01,0.69,0.29,-0.81,-0.42,-0.42,-0.49,-1.37,-1.22
