"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Ccl5",15326.547620797,6.71566818443009,0.208767418222115,32.1681814222804,4.91914573826139e-227,5.57585169431929e-223
"Ccl4",3818.229619104,6.19814227981608,0.219373397086589,28.253846465119,1.27660151834427e-175,7.23513910521617e-172
"Rnf213",1561.71685184505,5.1079049924931,0.205073908901828,24.9076297411307,6.15076897278003e-137,2.32396554354872e-133
"Oasl1",1373.43557352263,7.30668156951224,0.293934358003028,24.8582085440892,2.10794903373764e-136,5.97340057435403e-133
"Ccl3",7168.19637281311,5.44120126636286,0.22282031444702,24.4196821993832,1.0569179081366e-131,2.39603289774568e-128
"Parp14",1663.49124118594,4.73038652740667,0.19520822403881,24.2325165893944,1.01092359121288e-129,1.90980315106633e-126
"Gbp2",2267.57888145263,5.66180546787151,0.235633741094358,24.0279912442772,1.41820183502653e-127,2.29647397143225e-124
"Pnp",2446.65264687759,4.28058583598821,0.182013486468054,23.5179596800895,2.6719591175588e-122,3.78583207469112e-119
"Slco3a1",795.070141138875,5.9501556370104,0.255688517101201,23.271110116593,8.69793788684653e-120,1.09545695497117e-116
"Igtp",825.431564603966,5.00178195588068,0.21934966626244,22.8027789652359,4.3030910798195e-115,4.87755373897541e-112
"H2-M2",2648.76659813682,4.77721403068313,0.210319713373928,22.7140573465394,3.25370949516189e-114,3.35279973887819e-111
"Cxcl3",8672.92935696139,5.62580775899588,0.254085385274644,22.1414063343899,1.26235939105622e-108,1.19240364146852e-105
"Slc7a2",2572.52541870694,4.66410273396071,0.213664420915888,21.8291033854289,1.22805831173181e-105,1.07077238180616e-102
"Ptx3",5184.99122711728,6.14018659720033,0.283443084435028,21.6628555586009,4.59828809673831e-104,3.7229711126092e-101
"Acod1",5783.59624275708,6.1005461665767,0.282299904343267,21.6101602328516,1.44147516248672e-103,1.08927473111913e-100
"Stat1",1759.744499185,3.94720867163323,0.183118970972773,21.5554327913962,4.70847071750211e-103,3.3356572239304e-100
"Marcksl1",765.213938047296,5.91193706939706,0.276295659463439,21.3971405880133,1.42057354078705e-101,9.4718829910713e-99
"Sod2",4028.7475699478,3.93331581956678,0.185658939941261,21.1857065477763,1.29370401818368e-99,8.14674169228443e-97
"Ifi211",568.218190359153,6.29741018277297,0.303543143522031,20.7463430394234,1.32278282181826e-95,7.89144383437366e-93
"Helz2",674.189072329636,4.85232467899166,0.236218504212631,20.5416789644213,9.13495348266606e-94,5.17723488630099e-91
"Cflar",1253.72471521754,4.09889073491392,0.202713378055918,20.2201293975933,6.51121441058115e-91,3.51450549256844e-88
"Rtp4",784.773501507725,5.22315203872537,0.258793013643773,20.1827397315872,1.38833843785049e-90,7.15309826956148e-88
"Phf11b",544.01612847565,5.03657347082716,0.256851222705928,19.6089137430098,1.29773987807738e-85,6.39560066000311e-83
