"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Hif1a",1.15,0.25,0.68,0.75,-0.41,-0.72,-1.7
"Zfp346",1.59,0.6,0.34,0.31,-0.77,-0.76,-1.31
"Fosl2",1.64,0.16,0.2,0.73,-0.49,-1.06,-1.17
"Batf",1.6,0.18,0.51,0.52,-0.55,-1.06,-1.2
"Plscr1",1.62,0.01,0.6,0.45,-0.45,-0.88,-1.35
"Foxp4",0.74,0.84,0.68,0.74,-0.32,-1.32,-1.37
"Arid5a",0.78,0.78,0.82,0.71,-0.51,-1.36,-1.22
"Skil",0.76,0.81,0.81,0.73,-0.55,-1.2,-1.36
"Six1",1.02,0.85,0.72,0.45,-0.47,-1.23,-1.33
"Stat3",1.13,0.71,0.7,0.52,-0.59,-1.23,-1.26
"Csrnp1",0.93,0.55,0.89,0.69,-0.49,-1.28,-1.3
"Rexo4",1.07,0.62,0.83,0.48,-0.38,-1.32,-1.3
"Nr4a3",1.25,0.39,0.78,0.62,-0.66,-1.25,-1.13
"Mxd1",1.4,0.51,0.66,0.47,-0.87,-1.11,-1.06
"Tshz1",0.99,0.92,0.74,0.46,-0.74,-1.02,-1.35
"Irf7",0.92,0.79,0.77,0.68,-0.82,-1.02,-1.32
"Ets2",1.05,0.78,0.72,0.61,-0.84,-1.03,-1.28
"Stat1",0.84,0.78,0.84,0.75,-1.1,-1.12,-0.98
"Stat2",0.89,0.82,0.77,0.73,-1.06,-1.1,-1.05
"Plagl2",0.92,0.8,0.76,0.72,-1.09,-1.13,-0.98
"Sp100",0.82,0.78,0.77,0.83,-0.9,-1.16,-1.14
"Rbpj",0.74,0.81,0.84,0.8,-0.83,-1.18,-1.17
"Sp110",0.91,0.64,0.85,0.78,-0.9,-1.12,-1.17
"Stat5a",1.02,0.67,0.81,0.66,-0.82,-1.14,-1.2
"Etv3",1.56,0.59,0.82,-0.38,-0.94,-1.1,-0.55
"Cebpd",1.32,0.53,0.21,0.29,0.34,-1.58,-1.11
"Nfix",1.38,0.39,0.41,0.38,-0.09,-1.77,-0.7
"Tet2",1.38,0.25,0.57,0.75,-1.29,-1.07,-0.58
"Zfp503",1.19,0.46,0.58,0.61,-1.73,-0.43,-0.69
"Nr3c1",1.29,0.51,0.54,0.63,-1.53,-0.78,-0.67
"Aebp2",0.64,0.82,0.86,0.64,-1.66,-0.37,-0.94
"Dr1",0.37,0.66,1.04,0.97,-1.36,-0.57,-1.11
"Klf6",0.4,0.66,0.96,1.01,-1.51,-0.6,-0.92
"Gpbp1",0.53,0.02,1.23,1,-1.41,-0.33,-1.05
"Rel",0.88,0.3,1.07,0.76,-1.13,-0.51,-1.37
"Rest",0.94,0.13,0.69,1.08,-1.42,-0.25,-1.17
"Eea1",0.5,0.92,0.8,0.55,-1.82,-0.78,-0.17
"Atf3",0.39,0.88,0.99,0.49,-1.82,-0.66,-0.28
"Etv6",0.62,0.85,0.8,0.47,-1.9,-0.58,-0.26
"Mbd2",0.81,0.78,0.6,0.55,-1.93,-0.51,-0.3
"Kcmf1",0.78,0.9,0.6,0.44,-1.89,-0.67,-0.16
"Irf5",0.01,1.08,0.98,0.7,-1.64,-0.73,-0.4
"Jund",0.09,0.95,0.98,0.62,-1.84,-0.54,-0.27
"Hivep1",-0.01,0.87,1.05,0.95,-1.45,-0.97,-0.44
"Crem",0.14,0.7,1.38,0.66,-1.41,-0.96,-0.51
"Tgif1",0,0.73,1.25,0.84,-1.54,-0.71,-0.57
"Irf9",1.08,0.88,0.22,0.86,-1.06,-1.28,-0.7
"Zscan29",0.84,1.06,0.07,1.05,-1.11,-1,-0.91
"Lcor",0.8,1,0.45,0.89,-1,-0.82,-1.31
"Mecp2",0.48,0.97,0.47,1.17,-1.06,-1.12,-0.92
"Zfp513",0.26,1.25,0.63,0.87,-1.32,-0.72,-0.97
"Mitf",0.34,1.42,0.82,0.4,-1.14,-0.99,-0.86
"Ikzf1",0.49,0.63,1.16,0.85,-1.07,-0.94,-1.12
