"","baseMean","lgFC_LMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Nr4a1",608.731583635289,-3.89639844489326,0.161256979953448,-24.1626653681476,5.4957362657124e-129,8.63874783607332e-125
"Csf2rb2",982.953798593642,3.44807326635014,0.144593139107382,23.8467280511106,1.09497118183104e-125,8.60592600360103e-122
"Fos",706.091090559011,-5.83105774966167,0.245783684963197,-23.7243483046272,2.02210328078698e-124,1.05951471568968e-120
"Plbd1",286.7259262304,-4.31605578545022,0.188978893745247,-22.8388244841167,1.88734765461911e-115,7.41680444573945e-112
"Adgre5",599.742436842698,-2.30471101077177,0.106181115395013,-21.705469962317,1.82151660672738e-104,5.72648390822954e-101
"Csf2rb",1314.14042336856,2.96347076443887,0.141791167363152,20.9002494270245,5.32659503970145e-97,1.39547912381779e-93
"C1qa",287.605162439698,-6.90823957449101,0.331883111439706,-20.8152790436462,3.14707869886463e-96,7.06699000963616e-93
"Oasl1",806.27872161581,3.42839572913675,0.169122375078805,20.2716862717853,2.28685155101683e-91,4.49337744130419e-88
"Dusp1",449.513317043328,-3.600814381843,0.188293541906829,-19.1234088295219,1.61218333823039e-81,2.8157677659604e-78
"Ppp1r15a",395.661848267796,-3.12600856132246,0.164070969963958,-19.0527828415299,6.23005379416822e-81,9.79302155905303e-78
"Acp5",286.890010368722,-3.07004420121769,0.162456723268284,-18.8976124807575,1.19331580494897e-79,1.70524828527208e-76
"Jun",519.350727106559,-2.5644576870436,0.136321515136028,-18.8118338068988,6.04114273618902e-79,7.91339355584626e-76
"Ccl22",1666.8993755889,4.24314816597126,0.232059153643851,18.2847696345707,1.09424846267727e-74,1.32311473729416e-71
"Trbc2",7418.5889081189,-2.05318879554671,0.112515669286933,-18.2480254400011,2.14524024915695e-74,2.40864510546415e-71
"Selenop",267.422015331013,-3.96429920413801,0.218320212769955,-18.1581867928794,1.10618249251886e-73,1.15920550666027e-70
"Ncf1",1994.36970036984,1.23896345882167,0.0692944182551331,17.879700703453,1.69745759305335e-71,1.66764599407535e-68
"Bpgm",332.390962292147,-4.42597069684454,0.248723003375765,-17.7947782745204,7.75738121116931e-71,7.17283972108061e-68
