"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Irf7",1371.16191838475,-2.87267811008338,0.165635252202057,-17.343398050187,2.21260962454277e-67,2.71442948738907e-63
"Isg15",1870.77564816781,-3.41829694431961,0.208706857418811,-16.378460135884,2.7255636713714e-60,1.11457383734614e-56
"Isg20",601.910199861709,-3.33018131021126,0.203050282573896,-16.4007716118262,1.88824414289901e-60,1.11457383734614e-56
"Oasl1",806.27872161581,-2.55299454672748,0.15995999697075,-15.960206270786,2.41930516841256e-57,7.42000895152133e-54
"Zbp1",1053.17737887658,-2.3408735342452,0.14997735862124,-15.6081794996601,6.40383143960233e-55,1.57124408202083e-51
"Ifi35",605.810279324651,-1.66455969320305,0.109438380749364,-15.2100175624421,3.03461719544134e-52,6.2047806256124e-49
"Mx2",163.674386182253,-3.0670625090319,0.202394331135193,-15.1538953281413,7.14059314205972e-52,1.2514399523827e-48
"Usp18",559.184001713474,-3.20223040087901,0.216305318586749,-14.8042148098858,1.37584260386555e-49,2.10985463302782e-46
"Dhx58",301.103189086997,-2.81710483600423,0.194430711993032,-14.4889909990413,1.42216559587922e-47,1.93856972558292e-44
"Psmb8",2163.73667617027,-1.24689187175299,0.088018393000473,-14.1662649049534,1.48174633158435e-45,1.81780639958769e-42
"Rnf213",927.414032025235,-2.45732714491868,0.174892163069336,-14.050527489585,7.64623761942825e-45,8.52764028319507e-42
"Mx1",368.511199202753,-3.39057813555646,0.241688982947911,-14.028683038015,1.04066154531158e-44,1.0639029864902e-41
"Oas3",492.462036999968,-3.19838391267492,0.229283965998296,-13.94944430043,3.17066150322121e-44,2.99212887088599e-41
"Rigi",399.400762004492,-1.94397242703723,0.144635925120219,-13.4404535071175,3.50283291538922e-41,3.06948244328536e-38
"Slfn8",158.098519749376,-2.21013707213219,0.165360108187877,-13.3656000612983,9.60572332249381e-41,7.85620091469027e-38
"Ifit3",566.478251216407,-4.28323122543417,0.329028657846498,-13.0178059670183,9.69157260435146e-39,7.43101329438648e-36
"Phf11b",465.433710479392,-2.67582613709742,0.206301913711708,-12.9704377868093,1.79999326354253e-38,1.29895984453763e-35
"Trafd1",502.947181625073,-1.78734494312104,0.143180736304624,-12.4831383693849,9.22764576276986e-36,6.28915323431448e-33
"Sdc3",277.935572046199,-2.2556678563376,0.187982298600986,-11.9993630949556,3.5804098227148e-33,2.31181408974027e-30
"Rtp4",539.459799321767,-1.91092420814982,0.160522794487982,-11.9043791521639,1.12295959735498e-32,6.88823417017543e-30
"Tor3a",562.732844585927,-1.57391502315328,0.134873741457914,-11.6695437239309,1.82398865429175e-31,1.06555680051672e-28
"Mov10",144.596328792858,-2.10708107346603,0.180892649983115,-11.6482403992794,2.34245635998412e-31,1.30623884655842e-28
"Daxx",655.906716932377,-1.89509589648768,0.163944669834833,-11.559362670326,6.61982721739308e-31,3.53095827404254e-28
"Bst2",1220.08914050371,-2.14276328388111,0.186437021234294,-11.4932284891439,1.42678077017101e-30,7.29322770352414e-28
"Parp12",123.082381870911,-2.37821869374531,0.208892153633495,-11.3849115554524,4.97186635537487e-30,2.43979425790956e-27
"Parp10",300.014856824044,-1.7158940217653,0.151908620883255,-11.2955671099404,1.38010301860775e-29,6.51196301241535e-27
"Ifit3b",134.935846054083,-3.91506388643809,0.348329581681343,-11.2395389089281,2.6074063508741e-29,1.18472818935272e-26
"Slfn9",97.4077384024215,-2.6701079946888,0.24032803472078,-11.1102643426141,1.11827979810006e-28,4.89966305824696e-26
"Rilpl1",48.343698476566,-2.91027419228782,0.262456767278309,-11.0885850742868,1.4252421261558e-28,6.02926565644114e-26
"Ifit1",332.467311070648,-3.69366162169683,0.340330458815089,-10.8531620547772,1.92643251012607e-27,7.87782467807556e-25
"Sp100",916.929234642636,-1.5066550162289,0.140553189679728,-10.7194651338902,8.24789079796421e-27,3.26403626804596e-24
"Xaf1",237.204874694651,-1.98773448940701,0.186609433891201,-10.6518435212977,1.70945668263726e-26,6.55362955706059e-24
"Hsh2d",167.493080509455,-1.80278412343772,0.1698086759072,-10.6165607487743,2.49587993280726e-26,9.27862273202409e-24
"Oasl2",340.023720170438,-2.73634410220878,0.258454417418617,-10.5873373322025,3.41158141812909e-26,1.23097884816493e-23
"H2-T22",592.774979168123,-1.63869677159598,0.157964806872005,-10.3738092303292,3.26254310448802e-25,1.14356796588169e-22
"Oas2",221.130580506762,-2.41368063139454,0.232996939775694,-10.3592803996404,3.79808626101028e-25,1.29430339583539e-22
"Ifi27l2a",4508.36229060234,-1.7178169701411,0.168177274739721,-10.2143227900421,1.71069489946725e-24,5.52284342806955e-22
"Rasa4",196.427488370366,-1.70116255334809,0.166505089229082,-10.2168802240488,1.66617098780666e-24,5.52284342806955e-22
"Ifi208",85.9239421615774,-3.38494047189712,0.336608096173413,-10.0560280943251,8.64146856407507e-24,2.71829580369418e-21
"Uba7",382.127821044995,-1.58395856844239,0.15783817839459,-10.0353322912949,1.06599868739698e-23,3.26941797424653e-21
"Psmb9",603.856498188777,-1.35839608253825,0.137324475155478,-9.89187164924738,4.51506264499947e-23,1.35099484216716e-20
"Sqstm1",1627.28575388162,1.31941597605979,0.135536736195126,9.73474803288964,2.14348243035688e-22,6.26101010848053e-20
"Trim30b",82.5414391683719,-2.52975247878069,0.260138479993842,-9.72463773464261,2.36746591540791e-22,6.75443531400563e-20
"Ddx24",550.801688368396,-0.902882307558067,0.093856182615604,-9.61984903281117,6.59278525014131e-22,1.83818839656213e-19
"Bcl3",350.007937467477,-0.985230670755319,0.102572411580061,-9.6052208930109,7.59948061188511e-22,2.07178729214681e-19
"Lgals9",785.265447010852,-1.41706709342769,0.151768834795797,-9.33700977103986,9.90931249139325e-21,2.64277055748723e-18
"Parp14",730.709635020864,-1.36108199981227,0.146362673103252,-9.29937921297795,1.41268063893103e-20,3.6873970379587e-18
