"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Sqstm1",1627.28575388162,3.23727914056213,0.13750259201273,23.5434044782401,1.4666795332353e-122,2.1535255586494e-118
"Hmox1",1257.09666936416,4.8843159295612,0.208759161790168,23.3968937587065,4.59635846983777e-121,3.3744165706314e-117
"Egr1",461.185402467258,-3.2364970783263,0.150316128384191,-21.5312695524873,7.93304650269908e-103,3.88269739330435e-99
"Mthfd2",425.284682759813,2.66704204040863,0.136640534007816,19.5186740140819,7.61899487565974e-85,2.7967425439828e-81
"Pck2",266.025101005587,2.08612393996059,0.109839963483964,18.9923946967186,1.97130540097441e-80,5.78893544050145e-77
"Slco4a1",132.40187075802,2.98027892400346,0.163826240151945,18.1917067817665,6.00410063294996e-74,1.46930349322674e-70
"Nars",617.089567330483,1.62076091787583,0.0930959661225113,17.4095719221922,6.98039157083527e-68,1.46418699192249e-64
"Gars",568.846507783794,1.58223732147037,0.0969497270139962,16.3201833589686,7.09222653816954e-60,1.30168952824929e-56
"Atf5",241.07897230472,3.16556195866176,0.195868202990364,16.1616939877551,9.39442543107777e-59,1.53264831782794e-55
"Trib3",97.4667183627537,5.71882724907961,0.358099369678031,15.9699450301223,2.06968214053632e-57,3.03891428694947e-54
"Chac1",62.1999184092056,3.99448958417525,0.257502152319288,15.5124512482611,2.85758098802533e-54,3.81435105883417e-51
"Gdf15",129.654440949978,6.41150155617775,0.42374949813657,15.1304050727427,1.0206521632037e-51,1.24885297602665e-48
"Slc3a2",1282.12138267871,1.95544879113306,0.129517293862426,15.0979744311994,1.66984697467297e-51,1.88602793300948e-48
"Ccl4",970.464072303588,3.92736449553032,0.266228842026203,14.7518370498106,2.99402551210994e-49,3.14009118530787e-46
"Psph",299.247065703759,1.77365622160115,0.120460495798829,14.7239658100294,4.52336639137813e-49,4.42777258164034e-46
"Sesn2",156.50086314941,1.79511688949252,0.124871117243675,14.3757574138582,7.34619510740816e-47,6.74151142262963e-44
"Slc6a9",100.058659935011,3.64806169624043,0.257084494107789,14.1901272922003,1.05467118853651e-45,9.10925709487147e-43
"Rn7sk",158.941540943996,5.44628219424307,0.385381559269411,14.1321816346581,2.40574230728352e-45,1.96241746099133e-42
"Phf10",170.519306008907,1.6898993771332,0.12019358285526,14.0598136521832,6.70625682510801e-45,5.18252468226637e-42
"Asns",216.923549933901,3.19965907011208,0.231018821298192,13.8502094856681,1.26841634260883e-43,9.3120785792627e-41
"Gclm",953.656910605191,2.33202145744397,0.17132519355053,13.6116668489633,3.4136828303378e-42,2.38681452370714e-39
"Cars",216.221664299573,1.97362800563423,0.146908845932622,13.4343714505756,3.80283518212542e-41,2.53804677177943e-38
"Gadd45b",804.375631654614,1.17461639159428,0.0889527423858807,13.2049486062919,8.21557665047822e-40,5.24475269386833e-37
"Ifng",192.535300580715,3.58233960754848,0.271799852036533,13.1800645979269,1.14292920049924e-39,6.9923456045543e-37
"Ddit3",150.936615971072,2.31099392906339,0.180836636790288,12.7794564756443,2.13556687534259e-37,1.25426113722621e-34
"Batf",316.118328597824,1.75325972867854,0.138012331984944,12.703645416772,5.64382135857748e-37,3.18723957723051e-34
"Cebpg",168.332437607584,1.68796515652921,0.134963014573588,12.5068720631523,6.84675938561896e-36,3.72336918737197e-33
"Mars1",276.68221537061,1.32942311894138,0.108385711491147,12.2656676848957,1.38466181504389e-34,7.2610676536748e-32
"Abr",317.035914706867,1.3979658666398,0.114328469196989,12.2276269109411,2.2130994330444e-34,1.12051513708245e-31
"Slc7a1",201.88285497808,1.83817682776913,0.150747262981376,12.1937658529576,3.35549113455619e-34,1.64228921095628e-31
"Ablim1",443.729687230963,-1.3523185911477,0.112435373069703,-12.0275190469582,2.54699721290964e-33,1.20637290571459e-30
"Nfkb2",589.519639045222,1.43073549869216,0.120158896236239,11.9070293045905,1.08784231509491e-32,4.99149647266828e-30
"Fos",706.091090559011,-2.75163561638339,0.232216817162944,-11.8494243870916,2.16673990113334e-32,9.64067938434572e-30
"Eif4ebp1",398.326121213291,2.41013021979735,0.203857215169126,11.8226387905762,2.98169132692853e-32,1.28765216921446e-29
"Sod2",1051.08724922341,2.07349397001413,0.176410970573354,11.753769979696,6.75370540913369e-32,2.83327590063743e-29
"Abcc5",123.76307872569,1.61466945461072,0.138495341484998,11.6586553547408,2.07290072688723e-31,8.45455593691257e-29
"Atf4",1540.11972601877,1.51843930222661,0.134141263425332,11.319703299737,1.0482609634651e-29,4.15989614231299e-27
"Shmt2",563.960237193688,2.01454705780754,0.178035403352704,11.3154295149743,1.10061966624433e-29,4.25273646301725e-27
"Ifrd1",250.047116271807,1.91710913950006,0.174215318245083,11.0042512840525,3.64531309404237e-28,1.37241364512369e-25
"Psat1",336.590588291842,1.59146583430514,0.144771721799135,10.9929329742533,4.13273927696013e-28,1.51702527009014e-25
"Ccl3",1154.98163673852,3.1352579429206,0.28621640529308,10.9541517709656,6.34701927590742e-28,2.27300692751582e-25
"Slc38a2",553.088415048794,1.17991012612704,0.107771119694467,10.9482960692262,6.77093061627508e-28,2.36708510092302e-25
"Fth1",19139.9476283306,1.53921034041611,0.140724445217381,10.9377609415226,7.60550267207294e-28,2.59701385428016e-25
"Csf3",54.4754176504798,6.64689335201084,0.608129998135191,10.9300533971245,8.27996871035704e-28,2.72161916537125e-25
"Siglecg",256.914106657616,-1.53596928891652,0.14053574075571,-10.9293855118781,8.34113344968373e-28,2.72161916537125e-25
"Tnfrsf1b",470.229820797128,1.94903362243054,0.179596007328582,10.8523215600482,1.9442332964e-27,6.20590815022636e-25
"Pfkp",375.711237632167,0.962255757412023,0.0889197890393542,10.8216153885177,2.71941468431397e-27,8.49556719357063e-25
"6530402F18Rik",99.4869785513479,2.32652874493386,0.215895427625236,10.7761835001545,4.46008984970511e-27,1.36432290131708e-24
"Srxn1",121.723323870243,2.55512753129664,0.237339816924746,10.7656926865618,4.99842417511059e-27,1.49779310537038e-24
"Plin2",233.613843820179,1.79780996949177,0.167195265138074,10.7527564731399,5.75166128211466e-27,1.68903285210579e-24
"Txnrd1",442.517767030881,1.59609813282042,0.14903613453804,10.7094708123488,9.18855370869511e-27,2.6454026295053e-24
"Npepps",681.927007175513,1.29238096384331,0.121066146367457,10.6749987723298,1.33259283688511e-26,3.76278088922771e-24
"Tnip1",419.585921578393,1.27482679962028,0.11966916230923,10.6529265770749,1.68967889614638e-26,4.68104815700325e-24
"Abcc1",214.324859966051,1.75664030395176,0.165352251419371,10.6236249514167,2.31397074994039e-26,6.29185787432864e-24
"Srsf5",1205.75542872147,-0.783142911683446,0.0738384581999631,-10.6061655507839,2.7896371151975e-26,7.4473166840809e-24
"Ifi27l2a",4508.36229060234,-1.77286643074361,0.167817777758728,-10.5642349363752,4.36513440546929e-26,1.14452265134831e-23
"Raf1",397.977997716665,1.11705532346125,0.105909716537985,10.5472411783919,5.23105441117373e-26,1.34750126174147e-23
"Slc25a33",108.12673016713,1.48623965343582,0.141369969570113,10.5131214072923,7.5163786762802e-26,1.90281013972107e-23
"Creg1",806.435733549492,1.74878165250217,0.166390781857315,10.5100873556914,7.76216157340284e-26,1.93172573529278e-23
"Rnase6",155.198803156762,-1.97976455484916,0.189912337301674,-10.4246231865617,1.91416555335515e-25,4.68428213665227e-23
"Slc7a5",231.648462232209,2.03233886193935,0.195774013726394,10.3810450797605,3.0244601184301e-25,7.28002424900149e-23
"Ralgds",179.496147765256,2.05864433231513,0.199272567947036,10.3307964238324,5.11342451911087e-25,1.21097439055008e-22
"Fgd2",168.826310841491,-2.54354814580846,0.246709178062727,-10.3099048271393,6.35642373335777e-25,1.48145031233162e-22
"Gclc",209.927823081761,1.25705596725428,0.12216955002663,10.2894376461259,7.86342691713609e-25,1.80404214725483e-22
"Ccrl2",199.738738987696,2.64436152552713,0.257552184279968,10.2672844065365,9.89508167048957e-25,2.23522283335075e-22
"Tma16",54.8847532858112,2.69188952960375,0.262876544906596,10.2401282341877,1.31062542049595e-24,2.91574440138516e-22
"Slc39a4",104.814970202379,1.75617379779151,0.172095542352805,10.2046443143266,1.89012415121791e-24,4.14219297198993e-22
"Icam1",334.740345896839,1.27238746346228,0.125575364323489,10.1324608558136,3.96541862251474e-24,8.5623884756447e-22
"Nupr1",48.7997027435811,3.1205769684772,0.308554184776963,10.1135460882921,4.81106933672771e-24,1.02378160972715e-21
"Slc28a2",125.722615959417,-1.72085074672498,0.170297167233218,-10.1049875032174,5.25022635709576e-24,1.10127248001767e-21
"Cd3g",168.720765178919,-1.91164208216545,0.189391667685291,-10.093591262642,5.89716913833089e-24,1.21955118955088e-21
"Cnp",502.678789152966,-1.50968837218909,0.149913783726953,-10.0703773506162,7.46909631169083e-24,1.52317696034106e-21
"Gpt2",30.2863249091193,3.64741250330325,0.364580077272347,10.0044207862148,1.45742033362412e-23,2.93141133679493e-21
"Cd82",477.224295341426,1.28875074872069,0.130275000731468,9.89254071375639,4.48498081825965e-23,8.89905045331168e-21
"Bcat1",54.2030177229508,2.53797610413355,0.256962904054755,9.87681904308159,5.24721470639239e-23,1.02726471378613e-20
"Cln3",214.349399400761,1.7049695539281,0.172917609741154,9.86001111442796,6.20425233806669e-23,1.19864522473465e-20
"Id3",325.948071167714,-1.42095141327876,0.144565418586785,-9.82912391614417,8.43493387496698e-23,1.60844329982e-20
"Nfe2l1",263.447068452731,1.79492257795671,0.183001232861392,9.80825402043171,1.03748068776162e-22,1.95299088953895e-20
"Myo1d",85.1941237128352,1.75411036754267,0.179278851693712,9.78425704410172,1.3155790366033e-22,2.44514518917042e-20
"Nfkbia",2000.89624141043,0.908681873840477,0.0929616320021984,9.77480552212109,1.44434450213287e-22,2.65091379060211e-20
"Abi3",234.625661865053,-1.28973371313028,0.132924345228671,-9.702765215142,2.93436071061784e-22,5.31916275481504e-20
"Phyh",131.866221518241,-1.85879654366986,0.191647153462408,-9.69905636524084,3.04299866196788e-22,5.44882309191151e-20
"Stk17b",757.606154965026,-1.57791186584372,0.162738013965372,-9.69602508593638,3.13473815803185e-22,5.54546510534718e-20
"Serpina3g",671.745598383982,1.50303701785279,0.155331058143646,9.6763457084212,3.80058224185452e-22,6.64332726870833e-20
"Anxa5",533.116331830759,0.919212689348967,0.0955544633970516,9.61977762911418,6.59736328950054e-22,1.13963629623219e-19
"Ebi3",312.54432457893,1.68596711003687,0.176248560498055,9.5658489650784,1.1128433780518e-21,1.89998596743425e-19
"Acp5",286.890010368722,-1.457314132902,0.152412325119873,-9.56165540913975,1.15887980558318e-21,1.95584277992848e-19
"Yars",123.724734074398,1.45628071958401,0.152910017685266,9.52377575798511,1.66998614922138e-21,2.78640984420654e-19
"G0s2",108.836208957745,2.60281283747223,0.274105522987023,9.49565995281115,2.18820857113964e-21,3.61005241011723e-19
"Phf11b",465.433710479392,-1.94643520619016,0.205553036793432,-9.46926027731814,2.8183240274969e-21,4.5979390773041e-19
"Serpinb2",537.880406018892,2.02451417962368,0.213963172085435,9.46197497397027,3.02180898564249e-21,4.87573860837238e-19
"Ptgir",91.7461092834767,2.37031168618422,0.250695210191494,9.45495402314889,3.23163959963755e-21,5.15762654798676e-19
"Ninj1",392.802060956138,1.67634591860915,0.17823994238496,9.40499585097823,5.2032258782368e-21,8.21494253442483e-19
"Dusp6",58.9750047854006,-2.56260007369421,0.272549126333239,-9.40234191233834,5.33618900615989e-21,8.33524076355804e-19
"Sorl1",157.490104224346,-1.63531730357571,0.174091383036368,-9.39344196739528,5.80708742822916e-21,8.97531207459882e-19
"Aff3",93.1562599399342,-1.8360357880797,0.196154702569488,-9.3601415822763,7.96299150835007e-21,1.2179229616365e-18
"Traf1",466.344321555692,1.07539217895503,0.1149676963618,9.35386385033589,8.45029960568927e-21,1.27913143412717e-18
"Jaml",177.565562848575,-1.8472988522792,0.19806039057364,-9.32694743723816,1.08963870138039e-20,1.63256786248655e-18
"Bax",679.497638234809,1.27336469632867,0.13675274162288,9.31143815632009,1.26112993817935e-20,1.87042130124116e-18
"AB124611",502.477514669862,-1.13769849039429,0.12252337969625,-9.28556242257418,1.6085537209665e-20,2.32137709112126e-18
"H2-Oa",371.332270357782,-1.55345578289673,0.167302813964764,-9.2852938099649,1.6126163814913e-20,2.32137709112126e-18
"Ppard",118.409367321561,1.75192303092533,0.188648969266608,9.2866822317456,1.59172580265904e-20,2.32137709112126e-18
"Xpot",179.890670690456,1.20939147861695,0.130823071225695,9.24448162916549,2.36383697622445e-20,3.36972993416539e-18
"Gpr171",152.336772598812,-1.4725686583886,0.159494829888209,-9.23270465519628,2.638829131594e-20,3.7255700133841e-18
"Irag2",405.156686211297,-1.37328712245255,0.148832986335271,-9.22703465318493,2.78227616139025e-20,3.89068198835172e-18
"Arl14ep",87.396165543936,1.48131669368702,0.160678025575062,9.2191616643622,2.99432053273195e-20,4.147698903972e-18
